Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
16/05/2025 6:18:54 PM,1364712,34.0,35.5,,34.0,3.0,99.2,31.2,34.0,34.0,39.4,,34.0,3.0,99.2,31.2,34.0,34.0,18.3,,34.0,3.0,99.2,31.2,34.0,34.0,31.5,,34.0,34.0,30.8,,34.0,34.0,44.0,,34.0,34.0,44.7,,34.0,34.0,37.6,,34.0,34.0,39.0,,34.0,34.0,46.9,,34.0,34.0,48.2,,34.0,34.0,18.3,,34.0,34.0,37.0,,34.0,34.0,15.2,,34.0,34.0,57.1,,34.0,34.0,48.9,,34.0,34.0,46.2,,34.0,34.0,43.7,,34.0,34.0,42.7,,34.0,34.0,33.6,,34.0,34.0,32.8,,34.0,34.0,17.6,,34.0,34.0,17.9,,34.0,34.0,27.2,,34.0,34.0,26.3,,34.0,0.1,
16/05/2025 6:19:44 PM,1364762,34.0,36.3,,34.0,3.0,99.2,31.2,34.0,34.0,40.4,,34.0,3.0,99.2,31.2,34.0,34.0,18.1,,34.0,3.0,99.2,31.2,34.0,34.0,32.1,,34.0,34.0,29.0,,34.0,34.0,47.0,,34.0,34.0,45.9,,34.0,34.0,37.6,,34.0,34.0,38.1,,34.0,34.0,45.3,,34.0,34.0,46.9,,34.0,34.0,18.1,,34.0,34.0,38.1,,34.0,34.0,15.3,,34.0,34.0,63.5,,34.0,34.0,52.1,,34.0,34.0,55.8,,34.0,34.0,43.5,,34.0,34.0,47.1,,34.0,34.0,32.3,,34.0,34.0,31.9,,34.0,34.0,18.4,,34.0,34.0,19.0,,34.0,34.0,27.8,,34.0,34.0,26.3,,34.0,0.6,
16/05/2025 6:20:44 PM,1364822,34.0,35.4,,34.0,3.0,99.2,31.2,34.0,34.0,39.8,,34.0,3.0,99.2,31.2,34.0,34.0,19.8,,34.0,3.0,99.2,31.2,34.0,34.0,33.4,,34.0,34.0,30.4,,34.0,34.0,45.1,,34.0,34.0,44.3,,34.0,34.0,37.6,,34.0,34.0,38.4,,34.0,34.0,44.4,,34.0,34.0,46.9,,34.0,34.0,19.8,,34.0,34.0,35.7,,34.0,34.0,15.0,,34.0,34.0,63.0,,34.0,34.0,49.3,,34.0,34.0,46.5,,34.0,34.0,43.2,,34.0,34.0,42.9,,34.0,34.0,32.0,,34.0,34.0,31.3,,34.0,34.0,19.3,,34.0,34.0,18.4,,34.0,34.0,25.2,,34.0,34.0,27.0,,34.0,0.4,
16/05/2025 6:21:44 PM,1364882,34.0,36.3,,34.0,3.0,99.2,31.2,34.0,34.0,40.2,,34.0,3.0,99.2,31.2,34.0,34.0,19.2,,34.0,3.0,99.2,31.2,34.0,34.0,32.4,,34.0,34.0,29.1,,34.0,34.0,45.7,,34.0,34.0,46.5,,34.0,34.0,37.6,,34.0,34.0,38.6,,34.0,34.0,45.6,,34.0,34.0,48.7,,34.0,34.0,19.2,,34.0,34.0,37.8,,34.0,34.0,16.0,,34.0,34.0,64.4,,34.0,34.0,52.8,,34.0,34.0,50.0,,34.0,34.0,43.1,,34.0,34.0,42.2,,34.0,34.0,33.2,,34.0,34.0,31.7,,34.0,34.0,18.7,,34.0,34.0,19.0,,34.0,34.0,27.7,,34.0,34.0,26.9,,34.0,0.4,
16/05/2025 6:22:44 PM,1364942,34.0,35.8,1.616,34.0,3.0,99.2,31.2,34.0,34.0,39.9,1.381,34.0,3.0,99.2,31.2,34.0,34.0,18.9,3.633,34.0,3.0,99.2,31.2,34.0,34.0,32.3,1.856,34.0,34.0,29.8,2.034,34.0,34.0,46.2,1.133,34.0,34.0,44.2,1.148,34.0,34.0,37.9,1.505,34.0,34.0,38.5,1.468,34.0,34.0,44.1,1.152,34.0,34.0,47.7,1.032,34.0,34.0,18.9,3.633,34.0,34.0,38.4,1.469,34.0,34.0,16.3,4.552,34.0,34.0,64.6,0.577,34.0,34.0,51.2,0.944,34.0,34.0,48.2,1.001,34.0,34.0,43.3,1.291,34.0,34.0,41.7,1.272,34.0,34.0,32.5,1.865,34.0,34.0,31.0,1.917,34.0,34.0,18.8,3.811,34.0,34.0,17.7,3.871,34.0,34.0,26.0,2.364,34.0,34.0,26.5,2.378,34.0,0.1,
16/05/2025 6:23:44 PM,1365002,34.0,36.0,,34.0,3.0,99.2,31.2,34.0,34.0,39.8,,34.0,3.0,99.2,31.2,34.0,34.0,17.8,,34.0,3.0,99.2,31.2,34.0,34.0,33.5,,34.0,34.0,29.1,,34.0,34.0,45.7,,34.0,34.0,44.2,,34.0,34.0,38.0,,34.0,34.0,39.0,,34.0,34.0,43.9,,34.0,34.0,48.3,,34.0,34.0,17.8,,34.0,34.0,37.9,,34.0,34.0,15.3,,34.0,34.0,62.8,,34.0,34.0,56.7,,34.0,34.0,48.5,,34.0,34.0,43.4,,34.0,34.0,43.3,,34.0,34.0,32.0,,34.0,34.0,32.3,,34.0,34.0,19.1,,34.0,34.0,18.3,,34.0,34.0,27.3,,34.0,34.0,27.4,,34.0,0.2,
16/05/2025 6:24:44 PM,1365062,34.0,36.2,,34.0,3.0,99.2,31.2,34.0,34.0,40.4,,34.0,3.0,99.2,31.2,34.0,34.0,18.9,,34.0,3.0,99.2,31.2,34.0,34.0,34.1,,34.0,34.0,29.8,,34.0,34.0,45.7,,34.0,34.0,45.5,,34.0,34.0,38.0,,34.0,34.0,38.3,,34.0,34.0,46.5,,34.0,34.0,47.8,,34.0,34.0,18.9,,34.0,34.0,36.8,,34.0,34.0,15.7,,34.0,34.0,63.7,,34.0,34.0,51.9,,34.0,34.0,47.5,,34.0,34.0,44.8,,34.0,34.0,42.5,,34.0,34.0,33.9,,34.0,34.0,32.8,,34.0,34.0,18.5,,34.0,34.0,19.6,,34.0,34.0,26.7,,34.0,34.0,26.8,,34.0,0.1,
16/05/2025 6:25:44 PM,1365122,34.0,35.4,1.643,34.0,3.0,99.2,31.2,34.0,34.0,39.6,1.404,34.0,3.0,99.2,31.2,34.0,34.0,17.9,3.842,34.0,3.0,99.2,31.2,34.0,34.0,32.7,1.849,34.0,34.0,28.6,2.079,34.0,34.0,45.9,1.188,34.0,34.0,43.6,1.160,34.0,34.0,38.0,1.498,34.0,34.0,38.4,1.461,34.0,34.0,44.4,1.150,34.0,34.0,48.2,1.057,34.0,34.0,17.9,3.842,34.0,34.0,33.9,1.596,34.0,34.0,15.8,4.685,34.0,34.0,61.4,0.664,34.0,34.0,52.4,0.869,34.0,34.0,45.8,1.039,34.0,34.0,43.1,1.208,34.0,34.0,41.3,1.288,34.0,34.0,33.0,1.875,34.0,34.0,31.3,1.940,34.0,34.0,19.1,3.763,34.0,34.0,17.6,3.951,34.0,34.0,28.0,2.349,34.0,34.0,27.8,2.415,34.0,0.0,
16/05/2025 6:26:44 PM,1365182,34.0,35.4,,34.0,3.0,99.2,31.2,34.0,34.0,39.0,,34.0,3.0,99.2,31.2,34.0,34.0,19.1,,34.0,3.0,99.2,31.2,34.0,34.0,32.1,,34.0,34.0,29.7,,34.0,34.0,43.4,,34.0,34.0,43.3,,34.0,34.0,38.0,,34.0,34.0,38.2,,34.0,34.0,44.9,,34.0,34.0,46.3,,34.0,34.0,19.1,,34.0,34.0,39.0,,34.0,34.0,16.0,,34.0,34.0,63.2,,34.0,34.0,49.9,,34.0,34.0,47.4,,34.0,34.0,40.4,,34.0,34.0,40.7,,34.0,34.0,32.0,,34.0,34.0,32.4,,34.0,34.0,19.2,,34.0,34.0,17.6,,34.0,34.0,27.4,,34.0,34.0,26.6,,34.0,0.2,
