Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
19/05/2025 4:43:44 PM,1618197,34.0,36.4,,34.0,3.0,99.2,31.2,34.0,34.0,38.9,,34.0,3.0,99.2,31.2,34.0,34.0,20.2,,34.0,3.0,99.2,31.2,34.0,34.0,35.1,,34.0,34.0,31.3,,34.0,34.0,42.0,,34.0,34.0,42.7,,34.0,34.0,37.4,,34.0,34.0,38.1,,34.0,34.0,45.6,,34.0,34.0,47.9,,34.0,34.0,20.2,,34.0,34.0,37.7,,34.0,34.0,15.1,,34.0,34.0,78.2,,34.0,34.0,58.9,,34.0,34.0,44.3,,34.0,34.0,45.9,,34.0,34.0,39.6,,34.0,34.0,31.0,,34.0,34.0,32.1,,34.0,34.0,21.6,,34.0,34.0,21.4,,34.0,34.0,25.9,,34.0,34.0,27.3,,34.0,0.4,
19/05/2025 4:43:49 PM,1618202,34.0,35.9,,34.0,3.0,99.2,31.2,34.0,34.0,39.2,,34.0,3.0,99.2,31.2,34.0,34.0,16.4,,34.0,3.0,99.2,31.2,34.0,34.0,35.1,,34.0,34.0,31.4,,34.0,34.0,43.4,,34.0,34.0,42.7,,34.0,34.0,37.4,,34.0,34.0,38.6,,34.0,34.0,44.9,,34.0,34.0,47.4,,34.0,34.0,16.4,,34.0,34.0,34.6,,34.0,34.0,15.6,,34.0,34.0,77.5,,34.0,34.0,55.7,,34.0,34.0,43.9,,34.0,34.0,45.2,,34.0,34.0,38.9,,34.0,34.0,31.0,,34.0,34.0,32.7,,34.0,34.0,21.0,,34.0,34.0,20.9,,34.0,34.0,27.0,,34.0,34.0,26.3,,34.0,0.4,
19/05/2025 4:44:49 PM,1618262,34.0,36.4,,34.0,3.0,99.2,31.2,34.0,34.0,40.3,,34.0,3.0,99.2,31.2,34.0,34.0,19.4,,34.0,3.0,99.2,31.2,34.0,34.0,35.3,,34.0,34.0,30.8,,34.0,34.0,46.6,,34.0,34.0,43.7,,34.0,34.0,37.4,,34.0,34.0,39.1,,34.0,34.0,46.9,,34.0,34.0,47.7,,34.0,34.0,19.4,,34.0,34.0,36.3,,34.0,34.0,13.7,,34.0,34.0,72.9,,34.0,34.0,54.9,,34.0,34.0,46.4,,34.0,34.0,45.4,,34.0,34.0,39.7,,34.0,34.0,32.0,,34.0,34.0,32.4,,34.0,34.0,20.2,,34.0,34.0,21.9,,34.0,34.0,25.6,,34.0,34.0,28.0,,34.0,0.2,
19/05/2025 4:45:49 PM,1618322,34.0,35.9,,34.0,3.0,99.2,31.2,34.0,34.0,39.1,,34.0,3.0,99.2,31.2,34.0,34.0,20.0,,34.0,3.0,99.2,31.2,34.0,34.0,34.5,,34.0,34.0,31.6,,34.0,34.0,43.0,,34.0,34.0,42.9,,34.0,34.0,37.4,,34.0,34.0,38.3,,34.0,34.0,46.0,,34.0,34.0,46.6,,34.0,34.0,20.0,,34.0,34.0,37.6,,34.0,34.0,14.3,,34.0,34.0,73.4,,34.0,34.0,57.3,,34.0,34.0,44.1,,34.0,34.0,44.5,,34.0,34.0,41.3,,34.0,34.0,30.0,,34.0,34.0,32.4,,34.0,34.0,19.6,,34.0,34.0,19.9,,34.0,34.0,26.7,,34.0,34.0,25.5,,34.0,0.3,
19/05/2025 4:46:49 PM,1618382,34.0,34.8,,34.0,3.0,99.2,31.2,34.0,34.0,38.8,,34.0,3.0,99.2,31.2,34.0,34.0,18.0,,34.0,3.0,99.2,31.2,34.0,34.0,35.7,,34.0,34.0,30.2,,34.0,34.0,42.3,,34.0,34.0,42.2,,34.0,34.0,37.4,,34.0,34.0,37.1,,34.0,34.0,44.4,,34.0,34.0,46.6,,34.0,34.0,18.0,,34.0,34.0,34.0,,34.0,34.0,14.2,,34.0,34.0,73.7,,34.0,34.0,48.2,,34.0,34.0,45.2,,34.0,34.0,41.6,,34.0,34.0,38.7,,34.0,34.0,29.2,,34.0,34.0,30.8,,34.0,34.0,19.5,,34.0,34.0,19.0,,34.0,34.0,25.8,,34.0,34.0,25.6,,34.0,0.4,
19/05/2025 4:47:49 PM,1618442,34.0,34.8,,34.0,3.0,99.2,31.2,34.0,34.0,38.4,,34.0,3.0,99.2,31.2,34.0,34.0,19.1,,34.0,3.0,99.2,31.2,34.0,34.0,34.4,,34.0,34.0,30.3,,34.0,34.0,42.4,,34.0,34.0,41.3,,34.0,34.0,37.4,,34.0,34.0,37.1,,34.0,34.0,44.0,,34.0,34.0,46.3,,34.0,34.0,19.1,,34.0,34.0,34.2,,34.0,34.0,14.5,,34.0,34.0,72.4,,34.0,34.0,49.9,,34.0,34.0,45.3,,34.0,34.0,42.7,,34.0,34.0,38.8,,34.0,34.0,30.0,,34.0,34.0,30.4,,34.0,34.0,19.7,,34.0,34.0,18.7,,34.0,34.0,25.9,,34.0,34.0,27.1,,34.0,0.1,
19/05/2025 4:48:49 PM,1618502,34.0,35.1,,34.0,3.0,99.2,31.2,34.0,34.0,38.7,,34.0,3.0,99.2,31.2,34.0,34.0,17.7,,34.0,3.0,99.2,31.2,34.0,34.0,34.8,,34.0,34.0,30.7,,34.0,34.0,42.8,,34.0,34.0,41.7,,34.0,34.0,37.4,,34.0,34.0,38.3,,34.0,34.0,43.7,,34.0,34.0,45.5,,34.0,34.0,17.7,,34.0,34.0,34.8,,34.0,34.0,14.2,,34.0,34.0,71.9,,34.0,34.0,50.8,,34.0,34.0,45.8,,34.0,34.0,42.0,,34.0,34.0,39.6,,34.0,34.0,31.0,,34.0,34.0,30.9,,34.0,34.0,20.3,,34.0,34.0,20.1,,34.0,34.0,27.0,,34.0,34.0,27.4,,34.0,0.2,
19/05/2025 4:49:49 PM,1618562,34.0,35.1,,34.0,3.0,99.2,31.2,34.0,34.0,38.9,,34.0,3.0,99.2,31.2,34.0,34.0,17.2,,34.0,3.0,99.2,31.2,34.0,34.0,35.3,,34.0,34.0,31.4,,34.0,34.0,41.2,,34.0,34.0,43.4,,34.0,34.0,37.4,,34.0,34.0,37.5,,34.0,34.0,44.0,,34.0,34.0,46.0,,34.0,34.0,17.2,,34.0,34.0,34.8,,34.0,34.0,13.7,,34.0,34.0,71.6,,34.0,34.0,49.2,,34.0,34.0,44.2,,34.0,34.0,39.8,,34.0,34.0,39.7,,34.0,34.0,31.8,,34.0,34.0,29.9,,34.0,34.0,20.8,,34.0,34.0,21.0,,34.0,34.0,27.4,,34.0,34.0,27.9,,34.0,0.1,
19/05/2025 4:50:49 PM,1618622,34.0,34.4,,34.0,3.0,99.2,31.2,34.0,34.0,38.8,,34.0,3.0,99.2,31.2,34.0,34.0,19.7,,34.0,3.0,99.2,31.2,34.0,34.0,34.8,,34.0,34.0,30.6,,34.0,34.0,44.2,,34.0,34.0,40.8,,34.0,34.0,37.1,,34.0,34.0,38.2,,34.0,34.0,43.8,,34.0,34.0,44.6,,34.0,34.0,19.7,,34.0,34.0,31.0,,34.0,34.0,13.9,,34.0,34.0,72.6,,34.0,34.0,49.0,,34.0,34.0,41.7,,34.0,34.0,39.8,,34.0,34.0,38.6,,34.0,34.0,30.6,,34.0,34.0,29.4,,34.0,34.0,19.9,,34.0,34.0,20.7,,34.0,34.0,24.1,,34.0,34.0,27.0,,34.0,0.2,
