Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
19/05/2025 4:23:14 PM,1616967,34.0,36.5,,34.0,3.0,99.2,31.2,34.0,34.0,38.9,,34.0,3.0,99.2,31.2,34.0,34.0,18.8,,34.0,3.0,99.2,31.2,34.0,34.0,35.1,,34.0,34.0,30.2,,34.0,34.0,43.4,,34.0,34.0,42.0,,34.0,34.0,37.4,,34.0,34.0,37.7,,34.0,34.0,46.5,,34.0,34.0,47.4,,34.0,34.0,18.8,,34.0,34.0,36.3,,34.0,34.0,16.8,,34.0,34.0,84.3,,34.0,34.0,55.5,,34.0,34.0,45.4,,34.0,34.0,43.9,,34.0,34.0,39.3,,34.0,34.0,32.0,,34.0,34.0,33.0,,34.0,34.0,20.7,,34.0,34.0,21.5,,34.0,34.0,28.6,,34.0,34.0,26.7,,34.0,0.2,
19/05/2025 4:23:49 PM,1617002,34.0,37.2,,34.0,3.0,99.2,31.2,34.0,34.0,39.9,,34.0,3.0,99.2,31.2,34.0,34.0,18.7,,34.0,3.0,99.2,31.2,34.0,34.0,34.1,,34.0,34.0,31.5,,34.0,34.0,44.3,,34.0,34.0,44.7,,34.0,34.0,37.4,,34.0,34.0,39.4,,34.0,34.0,48.1,,34.0,34.0,48.1,,34.0,34.0,18.7,,34.0,34.0,36.8,,34.0,34.0,16.2,,34.0,34.0,77.6,,34.0,34.0,55.7,,34.0,34.0,50.8,,34.0,34.0,47.5,,34.0,34.0,45.6,,34.0,34.0,33.8,,34.0,34.0,31.1,,34.0,34.0,22.9,,34.0,34.0,21.0,,34.0,34.0,24.8,,34.0,34.0,27.7,,34.0,0.3,
19/05/2025 4:24:49 PM,1617062,34.0,36.8,1.572,34.0,3.0,99.2,31.2,34.0,34.0,40.5,1.365,34.0,3.0,99.2,31.2,34.0,34.0,18.9,3.608,34.0,3.0,99.2,31.2,34.0,34.0,33.6,1.682,34.0,34.0,32.9,1.918,34.0,34.0,46.1,1.139,34.0,34.0,44.9,1.152,34.0,34.0,37.4,1.531,34.0,34.0,38.7,1.443,34.0,34.0,45.4,1.115,34.0,34.0,49.2,1.006,34.0,34.0,18.9,3.608,34.0,34.0,38.0,1.550,34.0,34.0,16.6,4.553,34.0,34.0,76.7,0.373,34.0,34.0,56.4,0.822,34.0,34.0,46.1,1.122,34.0,34.0,42.1,1.289,34.0,34.0,41.4,1.382,34.0,34.0,31.8,1.959,34.0,34.0,32.4,1.885,34.0,34.0,21.1,3.202,34.0,34.0,21.3,3.096,34.0,34.0,26.9,2.447,34.0,34.0,26.9,2.308,34.0,0.1,
19/05/2025 4:25:49 PM,1617122,34.0,36.5,,34.0,3.0,99.2,31.2,34.0,34.0,39.7,,34.0,3.0,99.2,31.2,34.0,34.0,18.8,,34.0,3.0,99.2,31.2,34.0,34.0,35.4,,34.0,34.0,31.6,,34.0,34.0,44.6,,34.0,34.0,43.2,,34.0,34.0,37.4,,34.0,34.0,38.0,,34.0,34.0,43.6,,34.0,34.0,46.7,,34.0,34.0,18.8,,34.0,34.0,36.4,,34.0,34.0,16.1,,34.0,34.0,77.0,,34.0,34.0,59.4,,34.0,34.0,46.1,,34.0,34.0,45.1,,34.0,34.0,41.3,,34.0,34.0,30.3,,34.0,34.0,34.0,,34.0,34.0,20.2,,34.0,34.0,22.3,,34.0,34.0,27.1,,34.0,34.0,27.7,,34.0,0.5,
19/05/2025 4:26:49 PM,1617182,34.0,36.6,,34.0,3.0,99.2,31.2,34.0,34.0,39.2,,34.0,3.0,99.2,31.2,34.0,34.0,18.5,,34.0,3.0,99.2,31.2,34.0,34.0,34.7,,34.0,34.0,31.0,,34.0,34.0,42.7,,34.0,34.0,43.7,,34.0,34.0,37.4,,34.0,34.0,38.3,,34.0,34.0,45.0,,34.0,34.0,47.4,,34.0,34.0,18.5,,34.0,34.0,36.7,,34.0,34.0,16.4,,34.0,34.0,78.1,,34.0,34.0,56.9,,34.0,34.0,48.2,,34.0,34.0,46.3,,34.0,34.0,40.8,,34.0,34.0,33.0,,34.0,34.0,32.2,,34.0,34.0,21.9,,34.0,34.0,21.8,,34.0,34.0,26.9,,34.0,34.0,26.7,,34.0,0.4,
19/05/2025 4:27:49 PM,1617242,34.0,36.1,1.609,34.0,3.0,99.2,31.2,34.0,34.0,38.8,1.444,34.0,3.0,99.2,31.2,34.0,34.0,17.6,3.866,34.0,3.0,99.2,31.2,34.0,34.0,35.2,1.668,34.0,34.0,30.2,2.009,34.0,34.0,44.1,1.247,34.0,34.0,40.6,1.279,34.0,34.0,37.4,1.531,34.0,34.0,38.1,1.471,34.0,34.0,45.6,1.135,34.0,34.0,48.0,1.064,34.0,34.0,17.6,3.866,34.0,34.0,35.3,1.630,34.0,34.0,15.0,4.800,34.0,34.0,76.8,0.376,34.0,34.0,56.9,0.775,34.0,34.0,44.5,1.179,34.0,34.0,45.9,1.132,34.0,34.0,40.5,1.393,34.0,34.0,30.6,1.955,34.0,34.0,33.3,1.829,34.0,34.0,21.1,3.250,34.0,34.0,22.1,3.186,34.0,34.0,27.4,2.383,34.0,34.0,27.1,2.410,34.0,0.0,
19/05/2025 4:28:49 PM,1617302,34.0,36.4,1.598,34.0,3.0,99.2,31.2,34.0,34.0,39.2,1.430,34.0,3.0,99.2,31.2,34.0,34.0,17.9,3.954,34.0,3.0,99.2,31.2,34.0,34.0,33.3,1.732,34.0,34.0,31.4,2.024,34.0,34.0,42.8,1.237,34.0,34.0,43.8,1.217,34.0,34.0,37.4,1.531,34.0,34.0,38.7,1.477,34.0,34.0,45.6,1.136,34.0,34.0,48.5,1.043,34.0,34.0,17.9,3.954,34.0,34.0,35.4,1.594,34.0,34.0,15.4,4.734,34.0,34.0,80.1,0.359,34.0,34.0,55.8,0.850,34.0,34.0,43.9,1.186,34.0,34.0,43.5,1.233,34.0,34.0,40.3,1.320,34.0,34.0,32.8,1.850,34.0,34.0,33.6,1.845,34.0,34.0,21.8,3.165,34.0,34.0,21.1,3.106,34.0,34.0,26.8,2.383,34.0,34.0,26.6,2.396,34.0,0.0,
19/05/2025 4:29:49 PM,1617362,34.0,36.9,,34.0,3.0,99.2,31.2,34.0,34.0,40.1,,34.0,3.0,99.2,31.2,34.0,34.0,18.0,,34.0,3.0,99.2,31.2,34.0,34.0,34.4,,34.0,34.0,31.6,,34.0,34.0,45.4,,34.0,34.0,44.3,,34.0,34.0,37.4,,34.0,34.0,38.4,,34.0,34.0,47.3,,34.0,34.0,47.8,,34.0,34.0,18.0,,34.0,34.0,37.5,,34.0,34.0,15.5,,34.0,34.0,77.2,,34.0,34.0,58.8,,34.0,34.0,45.7,,34.0,34.0,46.1,,34.0,34.0,40.5,,34.0,34.0,33.4,,34.0,34.0,31.2,,34.0,34.0,21.0,,34.0,34.0,21.8,,34.0,34.0,26.9,,34.0,34.0,27.5,,34.0,0.2,
19/05/2025 4:30:49 PM,1617422,34.0,36.8,,34.0,3.0,99.2,31.2,34.0,34.0,39.4,,34.0,3.0,99.2,31.2,34.0,34.0,18.8,,34.0,3.0,99.2,31.2,34.0,34.0,35.0,,34.0,34.0,30.2,,34.0,34.0,43.0,,34.0,34.0,44.2,,34.0,34.0,37.4,,34.0,34.0,38.0,,34.0,34.0,47.0,,34.0,34.0,48.5,,34.0,34.0,18.8,,34.0,34.0,37.6,,34.0,34.0,15.5,,34.0,34.0,79.1,,34.0,34.0,56.8,,34.0,34.0,45.8,,34.0,34.0,46.8,,34.0,34.0,41.1,,34.0,34.0,32.2,,34.0,34.0,32.9,,34.0,34.0,20.9,,34.0,34.0,20.8,,34.0,34.0,27.2,,34.0,34.0,27.6,,34.0,0.1,
