Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
20/05/2025 3:48:11 PM,0,34.0,34.7,,34.0,3.0,99.2,31.2,34.0,34.0,40.3,,34.0,3.0,99.2,31.2,34.0,34.0,20.9,,34.0,3.0,99.2,31.2,34.0,34.0,34.9,,34.0,34.0,31.9,,34.0,34.0,43.7,,34.0,34.0,45.7,,34.0,34.0,38.2,,34.0,34.0,39.3,,34.0,34.0,47.0,,34.0,34.0,48.6,,34.0,34.0,20.9,,34.0,34.0,37.2,,34.0,34.0,14.2,,34.0,34.0,31.1,,34.0,34.0,47.2,,34.0,34.0,47.2,,34.0,34.0,39.7,,34.0,34.0,42.1,,34.0,34.0,30.8,,34.0,34.0,32.4,,34.0,34.0,16.1,,34.0,34.0,17.4,,34.0,34.0,27.2,,34.0,34.0,27.3,,34.0,0.1,
20/05/2025 3:49:11 PM,60,34.0,34.3,,34.0,3.0,99.2,31.2,34.0,34.0,40.4,,34.0,3.0,99.2,31.2,34.0,34.0,21.8,,34.0,3.0,99.2,31.2,34.0,34.0,34.1,,34.0,34.0,31.9,,34.0,34.0,44.7,,34.0,34.0,45.6,,34.0,34.0,38.2,,34.0,34.0,39.8,,34.0,34.0,46.5,,34.0,34.0,47.7,,34.0,34.0,21.8,,34.0,34.0,35.2,,34.0,34.0,14.2,,34.0,34.0,30.4,,34.0,34.0,46.5,,34.0,34.0,52.9,,34.0,34.0,40.1,,34.0,34.0,43.1,,34.0,34.0,27.8,,34.0,34.0,30.5,,34.0,34.0,16.5,,34.0,34.0,16.8,,34.0,34.0,24.9,,34.0,34.0,26.7,,34.0,0.1,
20/05/2025 3:50:11 PM,120,34.0,40.0,,34.0,3.0,99.2,31.2,34.0,34.0,42.4,,34.0,3.0,99.2,31.2,34.0,34.0,22.0,,34.0,3.0,99.2,31.2,34.0,34.0,35.4,,34.0,34.0,32.9,,34.0,34.0,49.5,,34.0,34.0,47.1,,34.0,34.0,38.2,,34.0,34.0,39.7,,34.0,34.0,47.5,,34.0,34.0,49.5,,34.0,34.0,22.0,,34.0,34.0,38.3,,34.0,34.0,22.2,,34.0,34.0,110.4,,34.0,34.0,58.7,,34.0,34.0,47.2,,34.0,34.0,47.6,,34.0,34.0,42.9,,34.0,34.0,35.7,,34.0,34.0,34.7,,34.0,34.0,24.7,,34.0,34.0,25.1,,34.0,34.0,26.1,,34.0,34.0,28.7,,34.0,1.7,
20/05/2025 3:51:11 PM,180,34.0,41.0,,34.0,3.0,99.2,31.2,34.0,34.0,40.8,,34.0,3.0,99.2,31.2,34.0,34.0,21.6,,34.0,3.0,99.2,31.2,34.0,34.0,34.5,,34.0,34.0,31.0,,34.0,34.0,46.1,,34.0,34.0,45.7,,34.0,34.0,38.2,,34.0,34.0,39.6,,34.0,34.0,47.3,,34.0,34.0,46.7,,34.0,34.0,21.6,,34.0,34.0,37.9,,34.0,34.0,25.8,,34.0,34.0,131.0,,34.0,34.0,58.1,,34.0,34.0,47.5,,34.0,34.0,52.0,,34.0,34.0,43.7,,34.0,34.0,41.2,,34.0,34.0,34.9,,34.0,34.0,28.6,,34.0,34.0,27.4,,34.0,34.0,27.9,,34.0,34.0,27.5,,34.0,1.0,
20/05/2025 3:52:11 PM,240,34.0,41.6,,34.0,3.0,99.2,31.2,34.0,34.0,41.6,,34.0,3.0,99.2,31.2,34.0,34.0,20.4,,34.0,3.0,99.2,31.2,34.0,34.0,35.5,,34.0,34.0,33.5,,34.0,34.0,46.2,,34.0,34.0,47.1,,34.0,34.0,38.2,,34.0,34.0,40.1,,34.0,34.0,46.7,,34.0,34.0,46.5,,34.0,34.0,20.4,,34.0,34.0,38.6,,34.0,34.0,25.9,,34.0,34.0,134.7,,34.0,34.0,57.4,,34.0,34.0,51.4,,34.0,34.0,48.8,,34.0,34.0,46.0,,34.0,34.0,42.2,,34.0,34.0,35.2,,34.0,34.0,29.5,,34.0,34.0,27.9,,34.0,34.0,27.4,,34.0,34.0,30.3,,34.0,0.1,
20/05/2025 3:53:11 PM,300,34.0,40.8,,34.0,3.0,99.2,31.2,34.0,34.0,40.2,,34.0,3.0,99.2,31.2,34.0,34.0,21.6,,34.0,3.0,99.2,31.2,34.0,34.0,34.7,,34.0,34.0,32.5,,34.0,34.0,44.7,,34.0,34.0,44.1,,34.0,34.0,38.2,,34.0,34.0,39.4,,34.0,34.0,46.2,,34.0,34.0,47.1,,34.0,34.0,21.6,,34.0,34.0,37.0,,34.0,34.0,25.1,,34.0,34.0,130.9,,34.0,34.0,60.5,,34.0,34.0,48.0,,34.0,34.0,51.2,,34.0,34.0,45.4,,34.0,34.0,39.4,,34.0,34.0,35.2,,34.0,34.0,29.5,,34.0,34.0,27.5,,34.0,34.0,27.4,,34.0,34.0,28.9,,34.0,0.2,
20/05/2025 3:54:11 PM,360,34.0,40.8,1.347,34.0,3.0,99.2,31.2,34.0,34.0,40.6,1.348,34.0,3.0,99.2,31.2,34.0,34.0,20.5,3.458,34.0,3.0,99.2,31.2,34.0,34.0,34.5,1.705,34.0,34.0,31.7,1.931,34.0,34.0,46.1,1.092,34.0,34.0,44.5,1.167,34.0,34.0,38.2,1.484,34.0,34.0,39.2,1.426,34.0,34.0,47.4,1.078,34.0,34.0,46.8,1.086,34.0,34.0,20.5,3.458,34.0,34.0,36.3,1.572,34.0,34.0,27.5,2.354,34.0,34.0,127.5,-0.055,34.0,34.0,62.5,0.636,34.0,34.0,50.8,0.980,34.0,34.0,49.1,0.995,34.0,34.0,44.5,1.230,34.0,34.0,37.6,1.469,34.0,34.0,35.5,1.659,34.0,34.0,28.3,2.256,34.0,34.0,27.3,2.303,34.0,34.0,28.9,2.368,34.0,34.0,28.4,2.219,34.0,0.0,
20/05/2025 3:55:11 PM,420,34.0,41.7,,34.0,3.0,99.2,31.2,34.0,34.0,40.8,,34.0,3.0,99.2,31.2,34.0,34.0,18.5,,34.0,3.0,99.2,31.2,34.0,34.0,35.1,,34.0,34.0,31.9,,34.0,34.0,46.8,,34.0,34.0,44.3,,34.0,34.0,38.2,,34.0,34.0,39.6,,34.0,34.0,46.3,,34.0,34.0,47.3,,34.0,34.0,18.5,,34.0,34.0,35.9,,34.0,34.0,27.1,,34.0,34.0,135.0,,34.0,34.0,60.7,,34.0,34.0,53.6,,34.0,34.0,50.3,,34.0,34.0,47.2,,34.0,34.0,43.7,,34.0,34.0,36.4,,34.0,34.0,29.8,,34.0,34.0,30.0,,34.0,34.0,27.2,,34.0,34.0,30.9,,34.0,0.1,
20/05/2025 3:56:11 PM,480,34.0,42.2,,34.0,3.0,99.2,31.2,34.0,34.0,41.1,,34.0,3.0,99.2,31.2,34.0,34.0,18.8,,34.0,3.0,99.2,31.2,34.0,34.0,35.1,,34.0,34.0,32.3,,34.0,34.0,47.8,,34.0,34.0,44.5,,34.0,34.0,38.2,,34.0,34.0,39.6,,34.0,34.0,47.1,,34.0,34.0,45.9,,34.0,34.0,18.8,,34.0,34.0,37.5,,34.0,34.0,26.4,,34.0,34.0,136.7,,34.0,34.0,59.7,,34.0,34.0,52.1,,34.0,34.0,53.5,,34.0,34.0,47.9,,34.0,34.0,47.2,,34.0,34.0,36.7,,34.0,34.0,33.5,,34.0,34.0,29.6,,34.0,34.0,28.8,,34.0,34.0,29.8,,34.0,0.2,
