Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
21/05/2025 1:06:46 PM,0,34.0,35.7,,34.0,3.0,99.2,31.2,34.0,34.0,38.7,,34.0,3.0,99.2,31.2,34.0,34.0,18.5,,34.0,3.0,99.2,31.2,34.0,34.0,33.4,,34.0,34.0,29.2,,34.0,34.0,44.5,,34.0,34.0,43.3,,34.0,34.0,35.5,,34.0,34.0,37.3,,34.0,34.0,44.7,,34.0,34.0,45.8,,34.0,34.0,18.5,,34.0,34.0,36.2,,34.0,34.0,13.8,,34.0,34.0,75.2,,34.0,34.0,44.3,,34.0,34.0,41.2,,34.0,34.0,51.3,,34.0,34.0,37.0,,34.0,34.0,33.7,,34.0,34.0,30.3,,34.0,34.0,25.7,,34.0,34.0,21.8,,34.0,34.0,27.6,,34.0,34.0,26.7,,34.0,0.1,
21/05/2025 1:07:46 PM,60,34.0,34.7,1.697,34.0,3.0,99.2,31.2,34.0,34.0,38.2,1.481,34.0,3.0,99.2,31.2,34.0,34.0,18.9,3.697,34.0,3.0,99.2,31.2,34.0,34.0,31.9,1.879,34.0,34.0,29.0,2.180,34.0,34.0,43.7,1.189,34.0,34.0,42.8,1.268,34.0,34.0,35.5,1.650,34.0,34.0,38.0,1.531,34.0,34.0,44.3,1.181,34.0,34.0,43.9,1.185,34.0,34.0,18.9,3.697,34.0,34.0,33.3,1.719,34.0,34.0,12.1,6.235,34.0,34.0,61.3,0.637,34.0,34.0,50.2,0.981,34.0,34.0,45.0,1.177,34.0,34.0,47.7,1.019,34.0,34.0,40.5,1.368,34.0,34.0,32.1,1.926,34.0,34.0,30.0,2.116,34.0,34.0,24.6,2.667,34.0,34.0,22.3,3.144,34.0,34.0,24.8,2.617,34.0,34.0,25.4,2.516,34.0,0.1,
21/05/2025 1:08:46 PM,120,34.0,34.9,,34.0,3.0,99.2,31.2,34.0,34.0,38.7,,34.0,3.0,99.2,31.2,34.0,34.0,18.4,,34.0,3.0,99.2,31.2,34.0,34.0,32.9,,34.0,34.0,28.3,,34.0,34.0,44.3,,34.0,34.0,44.0,,34.0,34.0,35.5,,34.0,34.0,37.1,,34.0,34.0,45.3,,34.0,34.0,44.9,,34.0,34.0,18.4,,34.0,34.0,37.4,,34.0,34.0,11.9,,34.0,34.0,59.4,,34.0,34.0,45.1,,34.0,34.0,42.1,,34.0,34.0,49.6,,34.0,34.0,38.6,,34.0,34.0,32.9,,34.0,34.0,29.3,,34.0,34.0,24.5,,34.0,34.0,22.3,,34.0,34.0,23.3,,34.0,34.0,27.0,,34.0,0.4,
21/05/2025 1:09:46 PM,180,34.0,34.5,,34.0,3.0,99.2,31.2,34.0,34.0,39.0,,34.0,3.0,99.2,31.2,34.0,34.0,19.7,,34.0,3.0,99.2,31.2,34.0,34.0,32.8,,34.0,34.0,28.9,,34.0,34.0,45.2,,34.0,34.0,44.1,,34.0,34.0,35.5,,34.0,34.0,38.8,,34.0,34.0,43.7,,34.0,34.0,45.4,,34.0,34.0,19.7,,34.0,34.0,34.4,,34.0,34.0,10.9,,34.0,34.0,58.3,,34.0,34.0,43.5,,34.0,34.0,40.5,,34.0,34.0,45.7,,34.0,34.0,38.6,,34.0,34.0,33.2,,34.0,34.0,28.8,,34.0,34.0,24.2,,34.0,34.0,20.9,,34.0,34.0,25.9,,34.0,34.0,25.2,,34.0,0.2,
21/05/2025 1:10:46 PM,240,34.0,33.9,,34.0,3.0,99.2,31.2,34.0,34.0,37.1,,34.0,3.0,99.2,31.2,34.0,34.0,18.3,,34.0,3.0,99.2,31.2,34.0,34.0,32.5,,34.0,34.0,29.3,,34.0,34.0,41.0,,34.0,34.0,40.8,,34.0,34.0,35.5,,34.0,34.0,36.4,,34.0,34.0,42.6,,34.0,34.0,42.8,,34.0,34.0,18.3,,34.0,34.0,36.6,,34.0,34.0,10.5,,34.0,34.0,58.5,,34.0,34.0,44.8,,34.0,34.0,40.5,,34.0,34.0,49.4,,34.0,34.0,38.7,,34.0,34.0,30.3,,34.0,34.0,30.4,,34.0,34.0,23.7,,34.0,34.0,21.7,,34.0,34.0,25.4,,34.0,34.0,26.7,,34.0,0.1,
21/05/2025 1:11:46 PM,300,34.0,34.0,,34.0,3.0,99.2,31.2,34.0,34.0,38.3,,34.0,3.0,99.2,31.2,34.0,34.0,20.1,,34.0,3.0,99.2,31.2,34.0,34.0,31.2,,34.0,34.0,29.2,,34.0,34.0,44.1,,34.0,34.0,43.2,,34.0,34.0,35.5,,34.0,34.0,36.1,,34.0,34.0,44.2,,34.0,34.0,44.3,,34.0,34.0,20.1,,34.0,34.0,34.5,,34.0,34.0,10.3,,34.0,34.0,56.9,,34.0,34.0,45.0,,34.0,34.0,41.2,,34.0,34.0,47.4,,34.0,34.0,37.0,,34.0,34.0,31.6,,34.0,34.0,28.9,,34.0,34.0,23.0,,34.0,34.0,22.6,,34.0,34.0,24.3,,34.0,34.0,24.5,,34.0,0.2,
21/05/2025 1:12:46 PM,360,34.0,33.7,,34.0,3.0,99.2,31.2,34.0,34.0,37.9,,34.0,3.0,99.2,31.2,34.0,34.0,18.6,,34.0,3.0,99.2,31.2,34.0,34.0,31.3,,34.0,34.0,28.7,,34.0,34.0,44.1,,34.0,34.0,41.7,,34.0,34.0,35.5,,34.0,34.0,36.4,,34.0,34.0,44.1,,34.0,34.0,44.3,,34.0,34.0,18.6,,34.0,34.0,34.2,,34.0,34.0,10.5,,34.0,34.0,57.4,,34.0,34.0,40.9,,34.0,34.0,40.1,,34.0,34.0,47.5,,34.0,34.0,38.0,,34.0,34.0,29.8,,34.0,34.0,30.0,,34.0,34.0,23.6,,34.0,34.0,20.4,,34.0,34.0,24.5,,34.0,34.0,25.9,,34.0,0.5,
21/05/2025 1:13:46 PM,420,34.0,33.5,1.780,34.0,3.0,99.2,31.2,34.0,34.0,37.8,1.496,34.0,3.0,99.2,31.2,34.0,34.0,17.7,3.856,34.0,3.0,99.2,31.2,34.0,34.0,32.5,1.915,34.0,34.0,29.8,2.162,34.0,34.0,43.3,1.217,34.0,34.0,41.1,1.280,34.0,34.0,35.5,1.650,34.0,34.0,36.5,1.591,34.0,34.0,42.4,1.263,34.0,34.0,43.2,1.217,34.0,34.0,17.7,3.856,34.0,34.0,32.7,1.773,34.0,34.0,10.5,7.134,34.0,34.0,59.0,0.724,34.0,34.0,43.0,1.214,34.0,34.0,42.4,1.296,34.0,34.0,48.6,1.005,34.0,34.0,38.5,1.477,34.0,34.0,28.9,2.180,34.0,34.0,28.7,2.166,34.0,34.0,23.4,2.895,34.0,34.0,20.7,3.263,34.0,34.0,25.0,2.751,34.0,34.0,24.3,2.654,34.0,0.0,
21/05/2025 1:14:46 PM,480,34.0,33.8,,34.0,3.0,99.2,31.2,34.0,34.0,37.6,,34.0,3.0,99.2,31.2,34.0,34.0,18.0,,34.0,3.0,99.2,31.2,34.0,34.0,32.5,,34.0,34.0,28.0,,34.0,34.0,42.7,,34.0,34.0,41.5,,34.0,34.0,35.5,,34.0,34.0,36.5,,34.0,34.0,44.8,,34.0,34.0,42.9,,34.0,34.0,18.0,,34.0,34.0,33.9,,34.0,34.0,10.9,,34.0,34.0,58.8,,34.0,34.0,43.5,,34.0,34.0,44.7,,34.0,34.0,46.6,,34.0,34.0,39.7,,34.0,34.0,29.8,,34.0,34.0,31.0,,34.0,34.0,23.8,,34.0,34.0,20.1,,34.0,34.0,22.3,,34.0,34.0,25.6,,34.0,0.1,
