Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
21/05/2025 4:51:51 PM,0,34.0,38.5,1.462,34.0,3.0,99.2,31.2,34.0,34.0,40.8,1.335,34.0,3.0,99.2,31.2,34.0,34.0,30.2,2.157,34.0,3.0,99.2,31.2,34.0,34.0,32.3,1.879,34.0,34.0,29.9,2.074,34.0,34.0,44.6,1.152,34.0,34.0,44.6,1.164,34.0,34.0,43.0,1.240,34.0,34.0,43.7,1.210,34.0,34.0,42.0,1.294,34.0,34.0,42.8,1.222,34.0,34.0,30.2,2.157,34.0,34.0,34.8,1.661,34.0,34.0,10.3,7.128,34.0,34.0,45.3,1.194,34.0,34.0,74.9,0.414,34.0,34.0,43.5,1.202,34.0,34.0,85.3,0.268,34.0,34.0,50.5,0.953,34.0,34.0,35.9,1.634,34.0,34.0,40.0,1.404,34.0,34.0,25.5,2.617,34.0,34.0,27.4,2.266,34.0,34.0,27.1,2.329,34.0,34.0,25.5,2.619,34.0,0.1,
21/05/2025 4:52:51 PM,60,34.0,35.8,,34.0,3.0,99.2,31.2,34.0,34.0,38.6,,34.0,3.0,99.2,31.2,34.0,34.0,27.8,,34.0,3.0,99.2,31.2,34.0,34.0,31.4,,34.0,34.0,29.5,,34.0,34.0,42.1,,34.0,34.0,41.5,,34.0,34.0,40.2,,34.0,34.0,42.0,,34.0,34.0,41.8,,34.0,34.0,42.9,,34.0,34.0,27.8,,34.0,34.0,35.0,,34.0,34.0,11.8,,34.0,34.0,40.7,,34.0,34.0,59.8,,34.0,34.0,43.5,,34.0,34.0,64.9,,34.0,34.0,43.6,,34.0,34.0,33.1,,34.0,34.0,36.4,,34.0,34.0,23.8,,34.0,34.0,23.9,,34.0,34.0,25.0,,34.0,34.0,24.6,,34.0,2.1,
21/05/2025 4:53:51 PM,120,34.0,35.3,1.657,34.0,3.0,99.2,31.2,34.0,34.0,40.0,1.379,34.0,3.0,99.2,31.2,34.0,34.0,26.3,2.453,34.0,3.0,99.2,31.2,34.0,34.0,31.6,1.896,34.0,34.0,29.1,2.130,34.0,34.0,45.8,1.126,34.0,34.0,44.6,1.161,34.0,34.0,38.9,1.439,34.0,34.0,38.6,1.416,34.0,34.0,43.4,1.204,34.0,34.0,44.2,1.151,34.0,34.0,26.3,2.453,34.0,34.0,37.0,1.657,34.0,34.0,11.2,7.008,34.0,34.0,35.2,1.590,34.0,34.0,61.2,0.713,34.0,34.0,40.4,1.350,34.0,34.0,60.1,0.681,34.0,34.0,41.4,1.324,34.0,34.0,31.0,1.936,34.0,34.0,34.5,1.743,34.0,34.0,21.7,3.116,34.0,34.0,23.6,2.876,34.0,34.0,23.5,2.826,34.0,34.0,23.7,2.728,34.0,0.1,
21/05/2025 4:54:51 PM,180,34.0,34.7,1.691,34.0,3.0,99.2,31.2,34.0,34.0,39.9,1.391,34.0,3.0,99.2,31.2,34.0,34.0,24.5,2.734,34.0,3.0,99.2,31.2,34.0,34.0,33.4,1.882,34.0,34.0,28.8,2.156,34.0,34.0,46.4,1.099,34.0,34.0,44.2,1.171,34.0,34.0,37.3,1.520,34.0,34.0,39.3,1.482,34.0,34.0,42.7,1.232,34.0,34.0,44.4,1.169,34.0,34.0,24.5,2.734,34.0,34.0,33.9,1.673,34.0,34.0,11.2,6.814,34.0,34.0,34.1,1.722,34.0,34.0,60.9,0.661,34.0,34.0,43.8,1.227,34.0,34.0,58.0,0.708,34.0,34.0,39.8,1.339,34.0,34.0,29.5,2.033,34.0,34.0,33.7,1.808,34.0,34.0,20.0,3.312,34.0,34.0,21.2,3.184,34.0,34.0,24.2,2.898,34.0,34.0,24.6,2.742,34.0,0.1,
21/05/2025 4:55:51 PM,240,34.0,34.8,,34.0,3.0,99.2,31.2,34.0,34.0,38.9,,34.0,3.0,99.2,31.2,34.0,34.0,25.2,,34.0,3.0,99.2,31.2,34.0,34.0,31.9,,34.0,34.0,28.9,,34.0,34.0,43.8,,34.0,34.0,43.3,,34.0,34.0,37.6,,34.0,34.0,38.4,,34.0,34.0,44.1,,34.0,34.0,44.4,,34.0,34.0,25.2,,34.0,34.0,35.9,,34.0,34.0,10.8,,34.0,34.0,34.8,,34.0,34.0,63.5,,34.0,34.0,41.2,,34.0,34.0,57.0,,34.0,34.0,40.7,,34.0,34.0,30.6,,34.0,34.0,34.1,,34.0,34.0,20.2,,34.0,34.0,20.6,,34.0,34.0,25.2,,34.0,34.0,25.0,,34.0,0.2,
21/05/2025 4:56:51 PM,300,34.0,34.0,,34.0,3.0,99.2,31.2,34.0,34.0,37.2,,34.0,3.0,99.2,31.2,34.0,34.0,26.7,,34.0,3.0,99.2,31.2,34.0,34.0,31.2,,34.0,34.0,28.5,,34.0,34.0,40.6,,34.0,34.0,40.7,,34.0,34.0,37.4,,34.0,34.0,37.4,,34.0,34.0,42.3,,34.0,34.0,43.7,,34.0,34.0,26.7,,34.0,34.0,34.8,,34.0,34.0,11.3,,34.0,34.0,34.9,,34.0,34.0,59.4,,34.0,34.0,40.9,,34.0,34.0,59.6,,34.0,34.0,39.7,,34.0,34.0,29.8,,34.0,34.0,33.0,,34.0,34.0,19.9,,34.0,34.0,21.0,,34.0,34.0,23.4,,34.0,34.0,25.1,,34.0,0.3,
21/05/2025 4:57:51 PM,360,34.0,33.9,1.757,34.0,3.0,99.2,31.2,34.0,34.0,36.9,1.564,34.0,3.0,99.2,31.2,34.0,34.0,25.3,2.688,34.0,3.0,99.2,31.2,34.0,34.0,31.4,1.945,34.0,34.0,27.8,2.295,34.0,34.0,39.5,1.401,34.0,34.0,42.1,1.306,34.0,34.0,36.0,1.602,34.0,34.0,37.6,1.540,34.0,34.0,43.2,1.238,34.0,34.0,42.6,1.247,34.0,34.0,25.3,2.688,34.0,34.0,35.1,1.695,34.0,34.0,12.4,6.494,34.0,34.0,34.3,1.773,34.0,34.0,60.8,0.662,34.0,34.0,42.5,1.179,34.0,34.0,57.4,0.718,34.0,34.0,40.2,1.323,34.0,34.0,30.7,2.082,34.0,34.0,33.4,1.815,34.0,34.0,20.3,3.459,34.0,34.0,20.5,3.232,34.0,34.0,22.6,2.811,34.0,34.0,24.7,2.724,34.0,0.0,
21/05/2025 4:58:51 PM,420,34.0,34.3,1.753,34.0,3.0,99.2,31.2,34.0,34.0,37.8,1.524,34.0,3.0,99.2,31.2,34.0,34.0,24.6,2.680,34.0,3.0,99.2,31.2,34.0,34.0,31.2,1.966,34.0,34.0,28.9,2.209,34.0,34.0,42.3,1.300,34.0,34.0,42.4,1.288,34.0,34.0,36.2,1.604,34.0,34.0,37.5,1.547,34.0,34.0,44.1,1.221,34.0,34.0,43.6,1.184,34.0,34.0,24.6,2.680,34.0,34.0,36.9,1.621,34.0,34.0,11.7,6.494,34.0,34.0,33.8,1.741,34.0,34.0,61.4,0.673,34.0,34.0,41.5,1.310,34.0,34.0,57.0,0.749,34.0,34.0,41.4,1.367,34.0,34.0,29.5,2.171,34.0,34.0,32.2,1.860,34.0,34.0,19.9,3.528,34.0,34.0,21.2,3.376,34.0,34.0,25.0,2.828,34.0,34.0,24.5,2.774,34.0,0.0,
21/05/2025 4:59:51 PM,480,34.0,33.9,,34.0,3.0,99.2,31.2,34.0,34.0,37.1,,34.0,3.0,99.2,31.2,34.0,34.0,25.4,,34.0,3.0,99.2,31.2,34.0,34.0,31.8,,34.0,34.0,28.2,,34.0,34.0,40.7,,34.0,34.0,41.2,,34.0,34.0,36.2,,34.0,34.0,37.2,,34.0,34.0,41.9,,34.0,34.0,44.1,,34.0,34.0,25.4,,34.0,34.0,34.5,,34.0,34.0,12.3,,34.0,34.0,32.5,,34.0,34.0,60.3,,34.0,34.0,42.1,,34.0,34.0,56.1,,34.0,34.0,42.2,,34.0,34.0,30.0,,34.0,34.0,33.4,,34.0,34.0,19.3,,34.0,34.0,21.0,,34.0,34.0,23.9,,34.0,34.0,25.7,,34.0,0.2,
