Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
21/05/2025 6:14:41 PM,0,34.0,35.5,,34.0,3.0,99.2,31.2,34.0,34.0,40.7,,34.0,3.0,99.2,31.2,34.0,34.0,19.1,,34.0,3.0,99.2,31.2,34.0,34.0,32.8,,34.0,34.0,30.5,,34.0,34.0,47.2,,34.0,34.0,46.8,,34.0,34.0,36.7,,34.0,34.0,39.3,,34.0,34.0,46.3,,34.0,34.0,46.8,,34.0,34.0,19.1,,34.0,34.0,38.4,,34.0,34.0,13.9,,34.0,34.0,42.4,,34.0,34.0,47.6,,34.0,34.0,51.9,,34.0,34.0,43.4,,34.0,34.0,46.9,,34.0,34.0,31.5,,34.0,34.0,33.3,,34.0,34.0,16.9,,34.0,34.0,17.2,,34.0,34.0,26.5,,34.0,34.0,27.5,,34.0,0.5,
21/05/2025 6:15:41 PM,60,34.0,34.6,,34.0,3.0,99.2,31.2,34.0,34.0,40.3,,34.0,3.0,99.2,31.2,34.0,34.0,20.9,,34.0,3.0,99.2,31.2,34.0,34.0,32.0,,34.0,34.0,30.3,,34.0,34.0,47.3,,34.0,34.0,45.7,,34.0,34.0,36.9,,34.0,34.0,39.2,,34.0,34.0,45.6,,34.0,34.0,46.8,,34.0,34.0,20.9,,34.0,34.0,35.7,,34.0,34.0,15.1,,34.0,34.0,39.9,,34.0,34.0,47.1,,34.0,34.0,48.2,,34.0,34.0,41.5,,34.0,34.0,42.0,,34.0,34.0,30.4,,34.0,34.0,31.4,,34.0,34.0,16.5,,34.0,34.0,18.1,,34.0,34.0,24.1,,34.0,34.0,26.2,,34.0,0.3,
21/05/2025 6:16:41 PM,120,34.0,35.0,,34.0,3.0,99.2,31.2,34.0,34.0,40.2,,34.0,3.0,99.2,31.2,34.0,34.0,19.7,,34.0,3.0,99.2,31.2,34.0,34.0,32.7,,34.0,34.0,29.8,,34.0,34.0,47.6,,34.0,34.0,43.8,,34.0,34.0,37.8,,34.0,34.0,37.6,,34.0,34.0,46.1,,34.0,34.0,47.9,,34.0,34.0,19.7,,34.0,34.0,36.0,,34.0,34.0,14.0,,34.0,34.0,46.9,,34.0,34.0,48.0,,34.0,34.0,47.9,,34.0,34.0,42.1,,34.0,34.0,44.0,,34.0,34.0,32.7,,34.0,34.0,32.6,,34.0,34.0,17.8,,34.0,34.0,17.9,,34.0,34.0,25.4,,34.0,34.0,26.2,,34.0,0.1,
21/05/2025 6:17:41 PM,180,34.0,34.9,,34.0,3.0,99.2,31.2,34.0,34.0,40.8,,34.0,3.0,99.2,31.2,34.0,34.0,20.4,,34.0,3.0,99.2,31.2,34.0,34.0,33.4,,34.0,34.0,30.3,,34.0,34.0,46.5,,34.0,34.0,46.8,,34.0,34.0,37.6,,34.0,34.0,37.9,,34.0,34.0,45.5,,34.0,34.0,46.0,,34.0,34.0,20.4,,34.0,34.0,35.7,,34.0,34.0,14.1,,34.0,34.0,37.9,,34.0,34.0,51.0,,34.0,34.0,49.6,,34.0,34.0,42.0,,34.0,34.0,44.6,,34.0,34.0,30.8,,34.0,34.0,32.7,,34.0,34.0,17.0,,34.0,34.0,19.5,,34.0,34.0,25.0,,34.0,34.0,27.4,,34.0,0.2,
21/05/2025 6:18:41 PM,240,34.0,35.2,,34.0,3.0,99.2,31.2,34.0,34.0,40.7,,34.0,3.0,99.2,31.2,34.0,34.0,20.7,,34.0,3.0,99.2,31.2,34.0,34.0,32.9,,34.0,34.0,30.6,,34.0,34.0,47.3,,34.0,34.0,45.7,,34.0,34.0,37.6,,34.0,34.0,38.7,,34.0,34.0,46.0,,34.0,34.0,47.7,,34.0,34.0,20.7,,34.0,34.0,37.5,,34.0,34.0,13.3,,34.0,34.0,38.5,,34.0,34.0,54.5,,34.0,34.0,49.2,,34.0,34.0,41.2,,34.0,34.0,43.2,,34.0,34.0,30.9,,34.0,34.0,32.7,,34.0,34.0,18.3,,34.0,34.0,18.7,,34.0,34.0,23.8,,34.0,34.0,27.4,,34.0,0.2,
21/05/2025 6:19:41 PM,300,34.0,36.1,,34.0,3.0,99.2,31.2,34.0,34.0,41.4,,34.0,3.0,99.2,31.2,34.0,34.0,20.2,,34.0,3.0,99.2,31.2,34.0,34.0,32.6,,34.0,34.0,31.4,,34.0,34.0,49.3,,34.0,34.0,46.5,,34.0,34.0,37.6,,34.0,34.0,40.0,,34.0,34.0,47.9,,34.0,34.0,48.2,,34.0,34.0,20.2,,34.0,34.0,38.2,,34.0,34.0,13.6,,34.0,34.0,43.2,,34.0,34.0,52.5,,34.0,34.0,49.5,,34.0,34.0,43.7,,34.0,34.0,44.5,,34.0,34.0,31.1,,34.0,34.0,34.3,,34.0,34.0,17.6,,34.0,34.0,19.1,,34.0,34.0,27.4,,34.0,34.0,28.5,,34.0,0.2,
21/05/2025 6:20:41 PM,360,34.0,36.0,1.634,34.0,3.0,99.2,31.2,34.0,34.0,41.6,1.308,34.0,3.0,99.2,31.2,34.0,34.0,21.2,3.255,34.0,3.0,99.2,31.2,34.0,34.0,33.5,1.778,34.0,34.0,30.9,2.086,34.0,34.0,49.8,0.983,34.0,34.0,46.3,1.080,34.0,34.0,37.6,1.523,34.0,34.0,39.5,1.436,34.0,34.0,47.4,1.063,34.0,34.0,47.7,1.050,34.0,34.0,21.2,3.255,34.0,34.0,38.9,1.508,34.0,34.0,14.0,5.286,34.0,34.0,36.2,1.527,34.0,34.0,57.2,0.778,34.0,34.0,48.0,1.059,34.0,34.0,43.6,1.221,34.0,34.0,48.1,1.111,34.0,34.0,30.7,1.958,34.0,34.0,33.1,1.834,34.0,34.0,17.8,4.039,34.0,34.0,19.7,3.607,34.0,34.0,26.4,2.453,34.0,34.0,26.3,2.495,34.0,0.0,
21/05/2025 6:21:41 PM,420,34.0,36.6,,34.0,3.0,99.2,31.2,34.0,34.0,41.2,,34.0,3.0,99.2,31.2,34.0,34.0,21.0,,34.0,3.0,99.2,31.2,34.0,34.0,33.7,,34.0,34.0,30.3,,34.0,34.0,47.4,,34.0,34.0,46.9,,34.0,34.0,38.1,,34.0,34.0,39.7,,34.0,34.0,47.5,,34.0,34.0,49.6,,34.0,34.0,21.0,,34.0,34.0,38.6,,34.0,34.0,13.8,,34.0,34.0,35.6,,34.0,34.0,61.0,,34.0,34.0,52.0,,34.0,34.0,44.3,,34.0,34.0,51.5,,34.0,34.0,31.9,,34.0,34.0,34.4,,34.0,34.0,17.1,,34.0,34.0,21.4,,34.0,34.0,27.7,,34.0,34.0,28.4,,34.0,0.1,
21/05/2025 6:22:42 PM,480,34.0,35.8,,34.0,3.0,99.2,31.2,34.0,34.0,42.0,,34.0,3.0,99.2,31.2,34.0,34.0,18.8,,34.0,3.0,99.2,31.2,34.0,34.0,33.0,,34.0,34.0,30.4,,34.0,34.0,50.3,,34.0,34.0,47.0,,34.0,34.0,38.5,,34.0,34.0,38.5,,34.0,34.0,45.2,,34.0,34.0,47.6,,34.0,34.0,18.8,,34.0,34.0,38.4,,34.0,34.0,14.6,,34.0,34.0,38.9,,34.0,34.0,56.3,,34.0,34.0,47.8,,34.0,34.0,43.1,,34.0,34.0,46.0,,34.0,34.0,30.7,,34.0,34.0,34.8,,34.0,34.0,18.2,,34.0,34.0,19.9,,34.0,34.0,25.7,,34.0,34.0,26.4,,34.0,0.3,
