Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
22/05/2025 12:10:15 PM,0,34.0,29.4,,34.0,3.0,99.2,31.2,34.0,34.0,35.6,,34.0,3.0,99.2,31.2,34.0,34.0,17.4,,34.0,3.0,99.2,31.2,34.0,34.0,30.7,,34.0,34.0,27.8,,34.0,34.0,40.6,,34.0,34.0,39.2,,34.0,34.0,33.0,,34.0,34.0,33.8,,34.0,34.0,40.9,,34.0,34.0,41.8,,34.0,34.0,17.4,,34.0,34.0,30.3,,34.0,34.0,11.7,,34.0,34.0,25.5,,34.0,34.0,36.1,,34.0,34.0,38.4,,34.0,34.0,33.8,,34.0,34.0,37.0,,34.0,34.0,25.0,,34.0,34.0,27.1,,34.0,34.0,13.4,,34.0,34.0,13.2,,34.0,34.0,21.6,,34.0,34.0,22.1,,34.0,0.1,
22/05/2025 12:11:15 PM,60,34.0,30.3,,34.0,3.0,99.2,31.2,34.0,34.0,35.5,,34.0,3.0,99.2,31.2,34.0,34.0,15.8,,34.0,3.0,99.2,31.2,34.0,34.0,31.2,,34.0,34.0,27.8,,34.0,34.0,39.3,,34.0,34.0,40.2,,34.0,34.0,32.6,,34.0,34.0,34.2,,34.0,34.0,41.3,,34.0,34.0,42.5,,34.0,34.0,15.8,,34.0,34.0,30.2,,34.0,34.0,13.0,,34.0,34.0,40.9,,34.0,34.0,40.3,,34.0,34.0,38.9,,34.0,34.0,34.3,,34.0,34.0,36.2,,34.0,34.0,26.0,,34.0,34.0,28.4,,34.0,34.0,13.5,,34.0,34.0,14.6,,34.0,34.0,22.7,,34.0,34.0,23.7,,34.0,0.3,
22/05/2025 12:12:15 PM,120,34.0,30.7,,34.0,3.0,99.2,31.2,34.0,34.0,36.2,,34.0,3.0,99.2,31.2,34.0,34.0,14.8,,34.0,3.0,99.2,31.2,34.0,34.0,31.2,,34.0,34.0,27.6,,34.0,34.0,41.6,,34.0,34.0,40.7,,34.0,34.0,32.6,,34.0,34.0,33.9,,34.0,34.0,42.1,,34.0,34.0,40.7,,34.0,34.0,14.8,,34.0,34.0,30.0,,34.0,34.0,12.6,,34.0,34.0,43.2,,34.0,34.0,39.6,,34.0,34.0,39.8,,34.0,34.0,35.9,,34.0,34.0,38.0,,34.0,34.0,26.2,,34.0,34.0,28.2,,34.0,34.0,15.9,,34.0,34.0,16.6,,34.0,34.0,22.1,,34.0,34.0,22.7,,34.0,0.4,
22/05/2025 12:13:15 PM,180,34.0,31.0,,34.0,3.0,99.2,31.2,34.0,34.0,35.7,,34.0,3.0,99.2,31.2,34.0,34.0,15.2,,34.0,3.0,99.2,31.2,34.0,34.0,29.5,,34.0,34.0,27.1,,34.0,34.0,41.7,,34.0,34.0,40.1,,34.0,34.0,32.6,,34.0,34.0,34.4,,34.0,34.0,41.7,,34.0,34.0,42.3,,34.0,34.0,15.2,,34.0,34.0,33.3,,34.0,34.0,12.5,,34.0,34.0,48.3,,34.0,34.0,38.2,,34.0,34.0,43.5,,34.0,34.0,36.2,,34.0,34.0,36.5,,34.0,34.0,25.3,,34.0,34.0,27.5,,34.0,34.0,16.9,,34.0,34.0,15.8,,34.0,34.0,22.5,,34.0,34.0,23.3,,34.0,0.2,
22/05/2025 12:14:15 PM,240,34.0,31.5,,34.0,3.0,99.2,31.2,34.0,34.0,36.1,,34.0,3.0,99.2,31.2,34.0,34.0,16.8,,34.0,3.0,99.2,31.2,34.0,34.0,31.2,,34.0,34.0,29.0,,34.0,34.0,41.6,,34.0,34.0,39.7,,34.0,34.0,32.6,,34.0,34.0,34.1,,34.0,34.0,41.7,,34.0,34.0,41.7,,34.0,34.0,16.8,,34.0,34.0,34.3,,34.0,34.0,12.8,,34.0,34.0,50.0,,34.0,34.0,39.0,,34.0,34.0,42.4,,34.0,34.0,34.6,,34.0,34.0,39.0,,34.0,34.0,27.8,,34.0,34.0,27.7,,34.0,34.0,17.1,,34.0,34.0,17.4,,34.0,34.0,22.5,,34.0,34.0,23.1,,34.0,0.2,
22/05/2025 12:15:15 PM,300,34.0,31.0,1.984,34.0,3.0,99.2,31.2,34.0,34.0,35.6,1.639,34.0,3.0,99.2,31.2,34.0,34.0,16.4,4.398,34.0,3.0,99.2,31.2,34.0,34.0,28.5,2.098,34.0,34.0,27.1,2.364,34.0,34.0,42.0,1.320,34.0,34.0,39.8,1.388,34.0,34.0,32.6,1.862,34.0,34.0,34.7,1.685,34.0,34.0,40.7,1.339,34.0,34.0,41.0,1.309,34.0,34.0,16.4,4.398,34.0,34.0,31.9,1.866,34.0,34.0,12.3,6.034,34.0,34.0,47.5,1.037,34.0,34.0,39.0,1.548,34.0,34.0,42.5,1.329,34.0,34.0,36.3,1.594,34.0,34.0,37.1,1.531,34.0,34.0,26.1,2.450,34.0,34.0,28.5,2.225,34.0,34.0,16.8,4.109,34.0,34.0,17.3,4.180,34.0,34.0,22.8,3.044,34.0,34.0,22.8,2.806,34.0,0.1,
22/05/2025 12:16:15 PM,360,34.0,31.1,1.982,34.0,3.0,99.2,31.2,34.0,34.0,36.2,1.624,34.0,3.0,99.2,31.2,34.0,34.0,17.1,4.131,34.0,3.0,99.2,31.2,34.0,34.0,30.6,2.094,34.0,34.0,28.2,2.301,34.0,34.0,41.5,1.343,34.0,34.0,40.9,1.334,34.0,34.0,32.6,1.862,34.0,34.0,35.5,1.671,34.0,34.0,41.7,1.295,34.0,34.0,41.3,1.331,34.0,34.0,17.1,4.131,34.0,34.0,32.1,1.844,34.0,34.0,11.8,6.376,34.0,34.0,46.6,1.146,34.0,34.0,38.8,1.438,34.0,34.0,39.0,1.354,34.0,34.0,34.2,1.708,34.0,34.0,37.6,1.527,34.0,34.0,24.9,2.586,34.0,34.0,28.0,2.249,34.0,34.0,16.7,4.253,34.0,34.0,18.1,3.994,34.0,34.0,22.2,2.987,34.0,34.0,25.0,2.600,34.0,0.1,
22/05/2025 12:17:15 PM,420,34.0,31.4,,34.0,3.0,99.2,31.2,34.0,34.0,36.7,,34.0,3.0,99.2,31.2,34.0,34.0,17.1,,34.0,3.0,99.2,31.2,34.0,34.0,30.7,,34.0,34.0,27.0,,34.0,34.0,44.1,,34.0,34.0,40.7,,34.0,34.0,32.6,,34.0,34.0,35.5,,34.0,34.0,42.0,,34.0,34.0,40.6,,34.0,34.0,17.1,,34.0,34.0,31.8,,34.0,34.0,11.2,,34.0,34.0,48.7,,34.0,34.0,36.4,,34.0,34.0,41.8,,34.0,34.0,36.2,,34.0,34.0,39.0,,34.0,34.0,25.6,,34.0,34.0,29.3,,34.0,34.0,18.0,,34.0,34.0,17.0,,34.0,34.0,22.5,,34.0,34.0,23.7,,34.0,0.3,
22/05/2025 12:18:15 PM,480,34.0,31.3,,34.0,3.0,99.2,31.2,34.0,34.0,36.2,,34.0,3.0,99.2,31.2,34.0,34.0,16.7,,34.0,3.0,99.2,31.2,34.0,34.0,30.1,,34.0,34.0,28.3,,34.0,34.0,41.3,,34.0,34.0,41.4,,34.0,34.0,32.6,,34.0,34.0,35.0,,34.0,34.0,43.1,,34.0,34.0,41.8,,34.0,34.0,16.7,,34.0,34.0,33.7,,34.0,34.0,11.6,,34.0,34.0,47.3,,34.0,34.0,36.7,,34.0,34.0,40.4,,34.0,34.0,37.1,,34.0,34.0,37.8,,34.0,34.0,25.0,,34.0,34.0,28.9,,34.0,34.0,16.9,,34.0,34.0,16.9,,34.0,34.0,21.4,,34.0,34.0,24.8,,34.0,0.1,
