Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
3/02/2025 6:57:03 PM,775877,34.0,54.8,,34.0,3.0,99.2,31.2,34.0,34.0,58.5,,34.0,3.0,99.2,31.2,34.0,34.0,30.5,,34.0,3.0,99.2,31.2,34.0,34.0,45.3,,34.0,34.0,45.1,,34.0,34.0,64.8,,34.0,34.0,69.2,,34.0,34.0,54.2,,34.0,34.0,60.1,,34.0,34.0,65.5,,34.0,34.0,63.4,,34.0,34.0,30.5,,34.0,34.0,51.9,,34.0,34.0,23.9,,34.0,34.0,106.3,,34.0,34.0,111.3,,34.0,34.0,92.1,,34.0,34.0,65.2,,34.0,34.0,73.5,,34.0,34.0,47.2,,34.0,34.0,49.9,,34.0,34.0,31.4,,34.0,34.0,30.8,,34.0,34.0,36.2,,34.0,34.0,37.2,,34.0,0.1,
3/02/2025 6:57:48 PM,775922,34.0,55.4,,34.0,3.0,99.2,31.2,34.0,34.0,58.8,,34.0,3.0,99.2,31.2,34.0,34.0,31.5,,34.0,3.0,99.2,31.2,34.0,34.0,45.9,,34.0,34.0,45.2,,34.0,34.0,66.4,,34.0,34.0,67.5,,34.0,34.0,55.1,,34.0,34.0,60.4,,34.0,34.0,67.0,,34.0,34.0,65.2,,34.0,34.0,31.5,,34.0,34.0,53.5,,34.0,34.0,24.2,,34.0,34.0,119.4,,34.0,34.0,101.0,,34.0,34.0,90.8,,34.0,34.0,66.2,,34.0,34.0,72.6,,34.0,34.0,50.3,,34.0,34.0,51.3,,34.0,34.0,29.6,,34.0,34.0,31.0,,34.0,34.0,35.7,,34.0,34.0,36.9,,34.0,0.3,
3/02/2025 6:58:48 PM,775982,34.0,56.3,,34.0,3.0,99.2,31.2,34.0,34.0,58.7,,34.0,3.0,99.2,31.2,34.0,34.0,30.1,,34.0,3.0,99.2,31.2,34.0,34.0,45.3,,34.0,34.0,45.7,,34.0,34.0,65.5,,34.0,34.0,66.9,,34.0,34.0,56.4,,34.0,34.0,60.5,,34.0,34.0,69.0,,34.0,34.0,65.8,,34.0,34.0,30.1,,34.0,34.0,52.8,,34.0,34.0,25.4,,34.0,34.0,122.7,,34.0,34.0,105.1,,34.0,34.0,90.1,,34.0,34.0,67.8,,34.0,34.0,72.6,,34.0,34.0,48.2,,34.0,34.0,52.7,,34.0,34.0,31.2,,34.0,34.0,34.0,,34.0,34.0,38.0,,34.0,34.0,42.8,,34.0,0.4,
3/02/2025 6:59:48 PM,776042,34.0,56.7,,34.0,3.0,99.2,31.2,34.0,34.0,60.8,,34.0,3.0,99.2,31.2,34.0,34.0,29.9,,34.0,3.0,99.2,31.2,34.0,34.0,46.2,,34.0,34.0,45.8,,34.0,34.0,72.2,,34.0,34.0,67.6,,34.0,34.0,56.6,,34.0,34.0,60.3,,34.0,34.0,67.2,,34.0,34.0,64.9,,34.0,34.0,29.9,,34.0,34.0,52.2,,34.0,34.0,25.3,,34.0,34.0,116.8,,34.0,34.0,119.8,,34.0,34.0,95.8,,34.0,34.0,67.3,,34.0,34.0,72.1,,34.0,34.0,48.4,,34.0,34.0,52.7,,34.0,34.0,31.5,,34.0,34.0,34.0,,34.0,34.0,37.2,,34.0,34.0,39.4,,34.0,0.6,
3/02/2025 7:00:48 PM,776102,34.0,56.3,,34.0,3.0,99.2,31.2,34.0,34.0,58.4,,34.0,3.0,99.2,31.2,34.0,34.0,30.6,,34.0,3.0,99.2,31.2,34.0,34.0,46.5,,34.0,34.0,43.4,,34.0,34.0,64.8,,34.0,34.0,66.6,,34.0,34.0,56.9,,34.0,34.0,59.8,,34.0,34.0,68.5,,34.0,34.0,65.9,,34.0,34.0,30.6,,34.0,34.0,52.9,,34.0,34.0,22.9,,34.0,34.0,129.1,,34.0,34.0,101.8,,34.0,34.0,94.7,,34.0,34.0,69.3,,34.0,34.0,74.9,,34.0,34.0,50.3,,34.0,34.0,51.4,,34.0,34.0,34.1,,34.0,34.0,32.7,,34.0,34.0,37.2,,34.0,34.0,39.5,,34.0,0.0,
3/02/2025 7:01:48 PM,776162,34.0,56.2,,34.0,3.0,99.2,31.2,34.0,34.0,58.4,,34.0,3.0,99.2,31.2,34.0,34.0,31.9,,34.0,3.0,99.2,31.2,34.0,34.0,47.0,,34.0,34.0,41.8,,34.0,34.0,65.1,,34.0,34.0,66.9,,34.0,34.0,57.0,,34.0,34.0,60.4,,34.0,34.0,71.1,,34.0,34.0,66.5,,34.0,34.0,31.9,,34.0,34.0,52.0,,34.0,34.0,24.3,,34.0,34.0,128.5,,34.0,34.0,103.8,,34.0,34.0,94.1,,34.0,34.0,66.3,,34.0,34.0,73.3,,34.0,34.0,48.5,,34.0,34.0,50.8,,34.0,34.0,32.6,,34.0,34.0,33.2,,34.0,34.0,37.5,,34.0,34.0,35.9,,34.0,0.3,
3/02/2025 7:02:48 PM,776222,34.0,56.0,,34.0,3.0,99.2,31.2,34.0,34.0,58.2,,34.0,3.0,99.2,31.2,34.0,34.0,30.0,,34.0,3.0,99.2,31.2,34.0,34.0,46.4,,34.0,34.0,44.7,,34.0,34.0,64.2,,34.0,34.0,65.8,,34.0,34.0,57.0,,34.0,34.0,59.8,,34.0,34.0,67.9,,34.0,34.0,66.2,,34.0,34.0,30.0,,34.0,34.0,52.0,,34.0,34.0,23.5,,34.0,34.0,119.1,,34.0,34.0,117.6,,34.0,34.0,95.4,,34.0,34.0,73.4,,34.0,34.0,74.1,,34.0,34.0,48.8,,34.0,34.0,53.4,,34.0,34.0,30.7,,34.0,34.0,24.0,,34.0,34.0,37.8,,34.0,34.0,40.2,,34.0,0.1,
3/02/2025 7:03:48 PM,776282,34.0,55.8,,34.0,3.0,99.2,31.2,34.0,34.0,58.4,,34.0,3.0,99.2,31.2,34.0,34.0,30.1,,34.0,3.0,99.2,31.2,34.0,34.0,44.4,,34.0,34.0,45.3,,34.0,34.0,63.5,,34.0,34.0,67.3,,34.0,34.0,57.9,,34.0,34.0,60.9,,34.0,34.0,70.9,,34.0,34.0,71.7,,34.0,34.0,30.1,,34.0,34.0,50.6,,34.0,34.0,22.9,,34.0,34.0,109.4,,34.0,34.0,113.6,,34.0,34.0,93.6,,34.0,34.0,68.5,,34.0,34.0,70.7,,34.0,34.0,49.9,,34.0,34.0,50.7,,34.0,34.0,30.3,,34.0,34.0,30.4,,34.0,34.0,37.4,,34.0,34.0,36.8,,34.0,0.3,
3/02/2025 7:04:48 PM,776342,34.0,57.1,,34.0,3.0,99.2,31.2,34.0,34.0,59.6,,34.0,3.0,99.2,31.2,34.0,34.0,32.0,,34.0,3.0,99.2,31.2,34.0,34.0,46.3,,34.0,34.0,46.3,,34.0,34.0,65.4,,34.0,34.0,68.0,,34.0,34.0,58.2,,34.0,34.0,60.5,,34.0,34.0,68.4,,34.0,34.0,69.9,,34.0,34.0,32.0,,34.0,34.0,52.2,,34.0,34.0,23.1,,34.0,34.0,118.3,,34.0,34.0,119.1,,34.0,34.0,99.0,,34.0,34.0,71.1,,34.0,34.0,76.2,,34.0,34.0,50.7,,34.0,34.0,51.3,,34.0,34.0,31.9,,34.0,34.0,34.0,,34.0,34.0,37.3,,34.0,34.0,37.9,,34.0,0.3,
