Manikin #3.4.32
Interval (sec),10
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
10/12/2024 4:46:05 PM,0,34.0,52.3,,34.0,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,34.0,57.0,,34.0,34.0,54.7,,34.0,34.0,75.5,,34.0,34.0,71.8,,34.0,34.0,58.8,,34.0,34.0,61.6,,34.0,34.0,51.0,,34.0,34.0,53.6,,34.0,34.0,34.2,,34.0,34.0,36.8,,34.0,34.0,21.7,,34.0,34.0,77.8,,34.0,34.0,98.4,,34.0,34.0,85.6,,34.0,34.0,63.6,,34.0,34.0,78.0,,34.0,34.0,51.1,,34.0,34.0,44.5,,34.0,34.0,33.4,,34.0,34.0,29.9,,34.0,34.0,33.1,,34.0,34.0,27.3,,34.0,0.0,
10/12/2024 4:46:15 PM,10,34.0,53.2,,34.0,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,34.0,58.2,,34.0,34.0,55.8,,34.0,34.0,75.6,,34.0,34.0,70.9,,34.0,34.0,58.8,,34.0,34.0,61.4,,34.0,34.0,50.3,,34.0,34.0,53.5,,34.0,34.0,33.4,,34.0,34.0,38.1,,34.0,34.0,22.4,,34.0,34.0,82.9,,34.0,34.0,101.2,,34.0,34.0,95.1,,34.0,34.0,63.5,,34.0,34.0,83.3,,34.0,34.0,54.0,,34.0,34.0,45.1,,34.0,34.0,33.6,,34.0,34.0,30.6,,34.0,34.0,33.2,,34.0,34.0,27.2,,34.0,0.0,
10/12/2024 4:46:25 PM,20,34.0,52.2,,34.0,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,34.0,57.3,,34.0,34.0,54.9,,34.0,34.0,74.9,,34.0,34.0,68.1,,34.0,34.0,58.7,,34.0,34.0,60.0,,34.0,34.0,50.2,,34.0,34.0,52.7,,34.0,34.0,34.7,,34.0,34.0,37.1,,34.0,34.0,22.8,,34.0,34.0,83.5,,34.0,34.0,97.1,,34.0,34.0,90.8,,34.0,34.0,64.9,,34.0,34.0,79.3,,34.0,34.0,51.2,,34.0,34.0,44.0,,34.0,34.0,32.9,,34.0,34.0,30.7,,34.0,34.0,31.2,,34.0,34.0,26.8,,34.0,0.0,
10/12/2024 4:46:35 PM,30,34.0,52.6,,34.0,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,34.0,57.9,,34.0,34.0,54.9,,34.0,34.0,74.4,,34.0,34.0,70.2,,34.0,34.0,58.7,,34.0,34.0,59.2,,34.0,34.0,50.9,,34.0,34.0,53.3,,34.0,34.0,35.9,,34.0,34.0,38.2,,34.0,34.0,22.2,,34.0,34.0,81.7,,34.0,34.0,102.7,,34.0,34.0,90.3,,34.0,34.0,66.8,,34.0,34.0,77.4,,34.0,34.0,52.6,,34.0,34.0,44.0,,34.0,34.0,33.2,,34.0,34.0,30.0,,34.0,34.0,33.0,,34.0,34.0,27.7,,34.0,0.0,
10/12/2024 4:46:45 PM,40,34.0,52.3,,34.0,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,34.0,56.6,,34.0,34.0,55.7,,34.0,34.0,74.9,,34.0,34.0,69.3,,34.0,34.0,58.1,,34.0,34.0,60.8,,34.0,34.0,51.0,,34.0,34.0,53.5,,34.0,34.0,35.8,,34.0,34.0,38.8,,34.0,34.0,21.1,,34.0,34.0,82.6,,34.0,34.0,101.9,,34.0,34.0,87.6,,34.0,34.0,63.0,,34.0,34.0,79.0,,34.0,34.0,50.1,,34.0,34.0,44.3,,34.0,34.0,32.0,,34.0,34.0,30.8,,34.0,34.0,32.3,,34.0,34.0,27.7,,34.0,0.0,
10/12/2024 4:46:55 PM,50,34.0,52.3,,34.0,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,34.0,57.1,,34.0,34.0,55.0,,34.0,34.0,73.4,,34.0,34.0,68.4,,34.0,34.0,57.4,,34.0,34.0,61.9,,34.0,34.0,49.2,,34.0,34.0,53.4,,34.0,34.0,35.1,,34.0,34.0,38.0,,34.0,34.0,20.6,,34.0,34.0,83.8,,34.0,34.0,101.1,,34.0,34.0,87.1,,34.0,34.0,65.5,,34.0,34.0,77.8,,34.0,34.0,52.1,,34.0,34.0,45.7,,34.0,34.0,32.4,,34.0,34.0,31.9,,34.0,34.0,32.3,,34.0,34.0,28.2,,34.0,0.0,
10/12/2024 4:47:05 PM,60,34.0,53.5,,34.0,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,34.0,57.7,,34.0,34.0,54.2,,34.0,34.0,75.5,,34.0,34.0,68.1,,34.0,34.0,58.4,,34.0,34.0,60.4,,34.0,34.0,50.1,,34.0,34.0,52.9,,34.0,34.0,38.3,,34.0,34.0,37.5,,34.0,34.0,22.1,,34.0,34.0,89.9,,34.0,34.0,104.5,,34.0,34.0,95.5,,34.0,34.0,74.5,,34.0,34.0,77.2,,34.0,34.0,55.0,,34.0,34.0,45.9,,34.0,34.0,34.6,,34.0,34.0,32.3,,34.0,34.0,31.6,,34.0,34.0,26.7,,34.0,0.0,
10/12/2024 4:47:15 PM,70,34.0,52.7,,34.0,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,34.0,56.5,,34.0,34.0,55.9,,34.0,34.0,75.4,,34.0,34.0,70.9,,34.0,34.0,58.4,,34.0,34.0,58.3,,34.0,34.0,48.7,,34.0,34.0,52.0,,34.0,34.0,35.0,,34.0,34.0,37.7,,34.0,34.0,23.3,,34.0,34.0,94.1,,34.0,34.0,100.2,,34.0,34.0,89.6,,34.0,34.0,61.5,,34.0,34.0,73.3,,34.0,34.0,56.0,,34.0,34.0,44.2,,34.0,34.0,34.3,,34.0,34.0,31.6,,34.0,34.0,31.7,,34.0,34.0,28.3,,34.0,0.0,
10/12/2024 4:47:25 PM,80,34.0,53.3,,34.0,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,34.0,56.5,,34.0,34.0,56.8,,34.0,34.0,76.0,,34.0,34.0,71.4,,34.0,34.0,58.3,,34.0,34.0,59.0,,34.0,34.0,49.1,,34.0,34.0,53.5,,34.0,34.0,34.9,,34.0,34.0,38.4,,34.0,34.0,23.2,,34.0,34.0,93.3,,34.0,34.0,104.7,,34.0,34.0,88.6,,34.0,34.0,64.9,,34.0,34.0,71.3,,34.0,34.0,56.8,,34.0,34.0,42.7,,34.0,34.0,36.5,,34.0,34.0,33.5,,34.0,34.0,32.5,,34.0,34.0,27.8,,34.0,0.0,
