Manikin #3.4.32
Interval (sec),10
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
10/12/2024 4:02:20 PM,0,34.0,61.8,,34.0,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,34.0,62.6,,34.0,34.0,60.9,,34.0,34.0,85.7,,34.0,34.0,81.2,,34.0,34.0,71.1,,34.0,34.0,71.8,,34.0,34.0,63.6,,34.0,34.0,66.0,,34.0,34.0,55.6,,34.0,34.0,53.0,,34.0,34.0,20.7,,34.0,34.0,64.7,,34.0,34.0,112.6,,34.0,34.0,105.3,,34.0,34.0,74.4,,34.0,34.0,89.6,,34.0,34.0,60.1,,34.0,34.0,51.8,,34.0,34.0,38.3,,34.0,34.0,37.5,,34.0,34.0,43.0,,34.0,34.0,37.3,,34.0,0.0,
10/12/2024 4:02:30 PM,10,34.0,61.6,,34.0,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,34.0,62.0,,34.0,34.0,61.7,,34.0,34.0,84.7,,34.0,34.0,81.2,,34.0,34.0,71.1,,34.0,34.0,70.6,,34.0,34.0,61.9,,34.0,34.0,65.6,,34.0,34.0,54.9,,34.0,34.0,54.5,,34.0,34.0,20.1,,34.0,34.0,61.4,,34.0,34.0,117.7,,34.0,34.0,104.4,,34.0,34.0,73.7,,34.0,34.0,85.7,,34.0,34.0,62.1,,34.0,34.0,50.4,,34.0,34.0,39.7,,34.0,34.0,38.1,,34.0,34.0,44.6,,34.0,34.0,36.1,,34.0,0.0,
10/12/2024 4:02:40 PM,20,34.0,61.6,,34.0,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,34.0,62.6,,34.0,34.0,61.4,,34.0,34.0,84.7,,34.0,34.0,80.5,,34.0,34.0,71.1,,34.0,34.0,70.9,,34.0,34.0,62.3,,34.0,34.0,65.3,,34.0,34.0,55.1,,34.0,34.0,55.7,,34.0,34.0,20.0,,34.0,34.0,60.7,,34.0,34.0,120.7,,34.0,34.0,103.4,,34.0,34.0,74.7,,34.0,34.0,87.6,,34.0,34.0,59.3,,34.0,34.0,49.8,,34.0,34.0,38.8,,34.0,34.0,38.2,,34.0,34.0,44.5,,34.0,34.0,36.0,,34.0,0.0,
10/12/2024 4:02:50 PM,30,34.0,62.0,,34.0,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,34.0,62.7,,34.0,34.0,60.1,,34.0,34.0,84.1,,34.0,34.0,78.8,,34.0,34.0,71.1,,34.0,34.0,71.5,,34.0,34.0,63.0,,34.0,34.0,65.6,,34.0,34.0,54.7,,34.0,34.0,56.7,,34.0,34.0,19.5,,34.0,34.0,62.3,,34.0,34.0,122.7,,34.0,34.0,102.5,,34.0,34.0,76.4,,34.0,34.0,90.4,,34.0,34.0,62.2,,34.0,34.0,52.4,,34.0,34.0,38.9,,34.0,34.0,37.6,,34.0,34.0,44.9,,34.0,34.0,36.4,,34.0,0.0,
10/12/2024 4:03:00 PM,40,34.0,61.1,,34.0,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,34.0,62.6,,34.0,34.0,61.8,,34.0,34.0,84.7,,34.0,34.0,79.8,,34.0,34.0,71.1,,34.0,34.0,72.1,,34.0,34.0,62.6,,34.0,34.0,64.9,,34.0,34.0,54.9,,34.0,34.0,51.9,,34.0,34.0,20.7,,34.0,34.0,61.9,,34.0,34.0,113.5,,34.0,34.0,101.6,,34.0,34.0,72.3,,34.0,34.0,86.8,,34.0,34.0,61.2,,34.0,34.0,51.7,,34.0,34.0,38.8,,34.0,34.0,37.0,,34.0,34.0,43.0,,34.0,34.0,35.4,,34.0,0.0,
10/12/2024 4:03:10 PM,50,34.0,61.5,,34.0,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,34.0,62.7,,34.0,34.0,61.9,,34.0,34.0,84.7,,34.0,34.0,79.8,,34.0,34.0,71.1,,34.0,34.0,72.6,,34.0,34.0,61.8,,34.0,34.0,64.8,,34.0,34.0,53.5,,34.0,34.0,53.1,,34.0,34.0,19.9,,34.0,34.0,61.7,,34.0,34.0,119.8,,34.0,34.0,101.2,,34.0,34.0,75.8,,34.0,34.0,91.1,,34.0,34.0,61.6,,34.0,34.0,51.5,,34.0,34.0,38.4,,34.0,34.0,36.7,,34.0,34.0,43.9,,34.0,34.0,34.9,,34.0,0.0,
10/12/2024 4:03:20 PM,60,34.0,62.1,,34.0,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,34.0,62.2,,34.0,34.0,60.9,,34.0,34.0,84.1,,34.0,34.0,79.5,,34.0,34.0,71.1,,34.0,34.0,72.9,,34.0,34.0,61.5,,34.0,34.0,65.1,,34.0,34.0,55.2,,34.0,34.0,53.9,,34.0,34.0,21.4,,34.0,34.0,62.4,,34.0,34.0,122.3,,34.0,34.0,104.2,,34.0,34.0,76.4,,34.0,34.0,93.6,,34.0,34.0,61.4,,34.0,34.0,52.5,,34.0,34.0,38.3,,34.0,34.0,37.0,,34.0,34.0,45.6,,34.0,34.0,37.7,,34.0,0.0,
10/12/2024 4:03:30 PM,70,34.0,61.7,,34.0,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,34.0,64.3,,34.0,34.0,62.9,,34.0,34.0,87.1,,34.0,34.0,82.6,,34.0,34.0,71.1,,34.0,34.0,73.2,,34.0,34.0,63.5,,34.0,34.0,65.9,,34.0,34.0,52.8,,34.0,34.0,52.3,,34.0,34.0,19.7,,34.0,34.0,60.8,,34.0,34.0,111.9,,34.0,34.0,103.2,,34.0,34.0,74.2,,34.0,34.0,92.1,,34.0,34.0,58.8,,34.0,34.0,52.7,,34.0,34.0,38.3,,34.0,34.0,36.9,,34.0,34.0,41.9,,34.0,34.0,36.6,,34.0,0.0,
10/12/2024 4:03:40 PM,80,34.0,61.6,,34.0,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,34.0,62.6,,34.0,34.0,61.2,,34.0,34.0,84.4,,34.0,34.0,81.2,,34.0,34.0,71.1,,34.0,34.0,73.6,,34.0,34.0,61.7,,34.0,34.0,65.5,,34.0,34.0,52.5,,34.0,34.0,53.5,,34.0,34.0,20.0,,34.0,34.0,59.8,,34.0,34.0,122.5,,34.0,34.0,111.4,,34.0,34.0,76.0,,34.0,34.0,89.9,,34.0,34.0,57.9,,34.0,34.0,52.4,,34.0,34.0,37.6,,34.0,34.0,36.7,,34.0,34.0,42.6,,34.0,34.0,35.1,,34.0,0.0,
10/12/2024 4:03:50 PM,90,34.0,61.7,,34.0,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,34.0,63.0,,34.0,34.0,62.4,,34.0,34.0,86.0,,34.0,34.0,81.4,,34.0,34.0,71.1,,34.0,34.0,72.7,,34.0,34.0,60.7,,34.0,34.0,66.0,,34.0,34.0,54.8,,34.0,34.0,52.0,,34.0,34.0,20.1,,34.0,34.0,61.5,,34.0,34.0,119.4,,34.0,34.0,106.4,,34.0,34.0,75.1,,34.0,34.0,92.0,,34.0,34.0,59.2,,34.0,34.0,52.6,,34.0,34.0,37.3,,34.0,34.0,37.7,,34.0,34.0,42.1,,34.0,34.0,36.0,,34.0,0.0,
10/12/2024 4:04:00 PM,100,34.0,61.3,,34.0,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,34.0,62.9,,34.0,34.0,62.4,,34.0,34.0,85.2,,34.0,34.0,80.1,,34.0,34.0,71.1,,34.0,34.0,72.7,,34.0,34.0,61.0,,34.0,34.0,64.8,,34.0,34.0,53.0,,34.0,34.0,51.5,,34.0,34.0,19.3,,34.0,34.0,59.2,,34.0,34.0,116.5,,34.0,34.0,105.8,,34.0,34.0,72.7,,34.0,34.0,92.8,,34.0,34.0,59.9,,34.0,34.0,53.8,,34.0,34.0,36.9,,34.0,34.0,37.1,,34.0,34.0,43.8,,34.0,34.0,36.5,,34.0,0.0,
