Manikin #3.4.32
Interval (sec),10
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
13/12/2024 10:40:08 AM,77157,32.9,65.0,,32.9,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,33.2,59.4,,33.2,33.3,58.3,,33.2,32.4,74.6,,32.4,32.5,71.8,,32.5,32.5,71.4,,32.5,32.5,71.5,,32.5,32.6,69.7,,32.6,32.6,71.0,,32.5,32.4,74.1,,32.3,32.6,69.6,,32.6,34.3,39.0,,34.3,33.1,60.8,,33.1,31.2,96.0,,31.2,31.7,87.1,,31.7,32.9,65.2,,32.9,32.7,69.1,,32.6,33.2,59.7,,33.2,33.4,55.9,,33.3,33.5,53.3,,33.5,33.5,53.1,,33.5,33.2,58.4,,33.2,33.4,56.4,,33.3,0.0,
13/12/2024 10:40:13 AM,77162,32.9,65.0,,32.9,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,33.2,59.3,,33.2,33.3,58.3,,33.2,32.4,74.6,,32.4,32.5,71.8,,32.5,32.5,71.4,,32.5,32.5,71.3,,32.5,32.6,69.7,,32.6,32.6,70.8,,32.5,32.4,74.1,,32.4,32.6,69.5,,32.6,34.3,38.8,,34.3,33.1,60.6,,33.1,31.2,95.9,,31.2,31.7,87.1,,31.7,32.9,65.1,,32.9,32.6,69.7,,32.6,33.2,59.7,,33.2,33.4,55.9,,33.3,33.5,53.3,,33.5,33.5,52.9,,33.5,33.2,58.4,,33.2,33.4,56.4,,33.3,0.0,
13/12/2024 10:40:23 AM,77172,32.9,64.9,,32.9,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,33.2,59.2,,33.2,33.3,58.3,,33.2,32.4,74.6,,32.4,32.5,71.8,,32.5,32.5,71.3,,32.5,32.5,71.3,,32.5,32.6,69.7,,32.6,32.6,70.4,,32.6,32.4,73.9,,32.4,32.7,69.3,,32.6,34.3,38.8,,34.3,33.1,60.1,,33.1,31.2,95.9,,31.2,31.7,87.1,,31.7,32.9,64.6,,32.9,32.6,69.8,,32.6,33.2,59.5,,33.2,33.4,55.9,,33.3,33.5,53.3,,33.5,33.6,52.5,,33.5,33.2,58.4,,33.2,33.4,56.4,,33.3,0.0,
13/12/2024 10:40:33 AM,77182,32.9,64.8,,32.9,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,33.2,59.2,,33.2,33.3,57.9,,33.3,32.4,74.6,,32.4,32.5,71.8,,32.5,32.6,70.8,,32.5,32.5,71.3,,32.5,32.6,69.6,,32.6,32.6,70.2,,32.6,32.4,73.9,,32.4,32.7,69.0,,32.6,34.3,38.8,,34.3,33.1,60.1,,33.1,31.2,95.8,,31.2,31.7,87.1,,31.7,32.9,65.2,,32.9,32.6,69.8,,32.6,33.2,59.2,,33.2,33.4,55.9,,33.4,33.5,53.3,,33.5,33.6,52.5,,33.5,33.2,58.4,,33.2,33.4,55.8,,33.3,0.0,
13/12/2024 10:40:43 AM,77192,32.9,64.6,,32.9,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,33.2,59.2,,33.2,33.3,57.7,,33.3,32.4,74.6,,32.4,32.5,71.8,,32.5,32.6,70.6,,32.5,32.5,71.3,,32.5,32.7,69.1,,32.6,32.6,70.2,,32.6,32.4,73.8,,32.4,32.7,69.0,,32.6,34.3,38.8,,34.3,33.1,60.1,,33.1,31.2,95.8,,31.2,31.7,87.1,,31.7,32.9,64.5,,32.9,32.6,69.8,,32.6,33.2,59.2,,33.2,33.4,55.9,,33.4,33.5,53.1,,33.5,33.6,52.5,,33.5,33.3,57.9,,33.2,33.4,55.3,,33.4,0.0,
13/12/2024 10:40:53 AM,77202,32.9,64.6,,32.9,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,33.2,59.2,,33.2,33.3,57.7,,33.3,32.4,74.6,,32.4,32.5,71.8,,32.5,32.6,70.2,,32.6,32.5,71.3,,32.5,32.7,69.1,,32.6,32.6,70.2,,32.6,32.4,73.3,,32.4,32.7,68.9,,32.7,34.3,38.8,,34.3,33.2,59.9,,33.1,31.2,96.4,,31.2,31.7,87.0,,31.7,32.9,64.8,,32.9,32.6,69.8,,32.6,33.2,59.2,,33.2,33.4,55.9,,33.4,33.6,52.5,,33.5,33.6,52.5,,33.5,33.3,57.4,,33.3,33.4,55.3,,33.4,0.0,
13/12/2024 10:41:03 AM,77212,32.9,64.4,,32.9,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,33.2,59.2,,33.2,33.3,57.6,,33.3,32.4,74.6,,32.4,32.5,71.8,,32.5,32.6,70.2,,32.6,32.5,71.3,,32.5,32.7,69.1,,32.6,32.6,70.1,,32.6,32.5,72.9,,32.4,32.7,68.6,,32.7,34.3,38.3,,34.3,33.2,59.7,,33.1,31.2,95.8,,31.2,31.7,86.5,,31.7,32.9,64.5,,32.9,32.6,69.8,,32.6,33.2,59.2,,33.2,33.4,55.9,,33.4,33.6,52.2,,33.5,33.6,52.4,,33.6,33.3,57.3,,33.3,33.4,55.3,,33.4,0.0,
13/12/2024 10:41:13 AM,77222,32.9,64.3,,32.9,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,33.2,59.2,,33.2,33.3,57.6,,33.3,32.4,74.6,,32.4,32.5,71.8,,32.5,32.6,70.2,,32.6,32.5,71.2,,32.5,32.7,69.1,,32.7,32.6,69.6,,32.6,32.5,72.6,,32.4,32.7,68.5,,32.7,34.3,38.1,,34.3,33.2,59.4,,33.2,31.2,95.8,,31.2,31.7,86.5,,31.7,32.9,64.5,,32.9,32.6,69.6,,32.6,33.2,59.2,,33.2,33.4,55.9,,33.4,33.6,52.2,,33.5,33.6,51.9,,33.6,33.3,57.3,,33.3,33.4,55.3,,33.4,0.0,
13/12/2024 10:41:23 AM,77232,32.9,64.2,,32.9,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,33.2,59.2,,33.2,33.3,57.6,,33.3,32.4,74.6,,32.4,32.5,71.8,,32.5,32.6,70.2,,32.6,32.6,70.7,,32.6,32.7,69.1,,32.7,32.6,69.6,,32.6,32.5,72.6,,32.4,32.7,68.1,,32.7,34.4,37.6,,34.3,33.2,59.4,,33.2,31.2,95.8,,31.2,31.7,86.5,,31.7,32.9,64.5,,32.9,32.6,69.6,,32.6,33.2,59.2,,33.2,33.4,55.9,,33.4,33.6,52.2,,33.6,33.6,51.4,,33.6,33.3,57.3,,33.3,33.4,55.0,,33.4,0.0,
