Manikin #3.4.32
Interval (sec),10
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
13/12/2024 1:51:33 PM,88642,33.7,50.8,,33.6,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,33.5,54.6,,33.5,33.5,53.7,,33.5,32.9,65.1,,32.9,33.0,62.4,,33.0,33.4,55.5,,33.4,33.4,54.7,,33.4,33.7,50.0,,33.7,33.6,51.2,,33.6,34.4,37.4,,34.4,34.3,39.4,,34.3,34.5,35.6,,34.5,32.4,73.9,,32.4,31.9,83.3,,31.9,32.1,78.6,,32.1,33.0,62.4,,33.0,32.7,67.5,,32.8,33.6,51.9,,33.6,34.0,44.8,,34.0,34.4,36.6,,34.4,34.5,34.5,,34.5,34.5,35.1,,34.5,34.7,30.6,,34.7,0.0,
13/12/2024 1:51:43 PM,88652,33.7,50.8,,33.7,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,33.5,54.5,,33.5,33.5,53.6,,33.5,32.9,65.1,,32.9,33.0,62.4,,33.0,33.4,55.5,,33.4,33.5,54.5,,33.4,33.7,50.0,,33.7,33.6,51.1,,33.6,34.4,37.4,,34.4,34.3,39.4,,34.3,34.5,35.6,,34.5,32.4,74.3,,32.4,31.9,83.3,,31.9,32.1,78.6,,32.1,33.0,62.4,,33.0,32.8,67.2,,32.8,33.6,51.9,,33.6,34.0,44.8,,34.0,34.4,36.6,,34.4,34.5,34.7,,34.5,34.5,35.1,,34.5,34.7,30.5,,34.7,0.0,
13/12/2024 1:51:53 PM,88662,33.7,50.8,,33.7,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,33.5,54.5,,33.5,33.5,53.7,,33.5,32.9,65.1,,32.9,33.0,62.4,,33.0,33.4,55.5,,33.4,33.5,54.5,,33.4,33.7,50.0,,33.7,33.6,51.2,,33.6,34.4,37.5,,34.4,34.3,39.4,,34.3,34.5,35.7,,34.5,32.4,74.3,,32.4,31.9,82.5,,31.9,32.1,78.6,,32.1,33.0,62.7,,33.0,32.8,67.2,,32.8,33.6,51.9,,33.6,34.0,44.8,,34.0,34.4,36.6,,34.4,34.5,34.7,,34.5,34.5,35.1,,34.5,34.7,30.5,,34.7,0.0,
13/12/2024 1:52:03 PM,88672,33.7,50.8,,33.7,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,33.5,54.5,,33.5,33.5,53.6,,33.5,32.9,65.1,,32.9,33.0,62.4,,33.0,33.4,55.5,,33.4,33.4,54.6,,33.4,33.7,50.0,,33.7,33.6,51.2,,33.6,34.4,37.4,,34.4,34.3,39.4,,34.3,34.5,35.7,,34.5,32.4,74.3,,32.4,31.9,82.7,,31.9,32.1,78.6,,32.1,33.0,62.5,,33.0,32.7,67.6,,32.8,33.6,51.9,,33.6,34.0,44.8,,34.0,34.4,36.6,,34.4,34.5,34.7,,34.5,34.5,35.1,,34.5,34.8,30.4,,34.7,0.0,
13/12/2024 1:52:13 PM,88682,33.6,50.9,,33.7,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,33.5,54.5,,33.5,33.5,53.7,,33.5,32.9,65.1,,32.9,33.0,62.4,,33.0,33.4,55.5,,33.4,33.4,54.7,,33.4,33.7,50.0,,33.7,33.6,51.2,,33.6,34.4,37.3,,34.4,34.3,39.4,,34.3,34.4,36.1,,34.5,32.3,75.0,,32.4,31.9,83.2,,31.9,32.1,78.6,,32.1,33.0,62.4,,33.0,32.7,67.7,,32.8,33.6,51.9,,33.6,34.0,44.8,,34.0,34.4,36.6,,34.4,34.5,34.7,,34.5,34.5,35.1,,34.5,34.7,30.6,,34.7,0.0,
13/12/2024 1:52:23 PM,88692,33.6,51.0,,33.7,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,33.5,54.5,,33.5,33.5,53.6,,33.5,32.9,65.1,,32.9,33.0,62.4,,33.0,33.4,55.5,,33.4,33.4,54.8,,33.4,33.7,50.0,,33.7,33.6,51.1,,33.6,34.4,37.3,,34.4,34.3,39.4,,34.3,34.4,36.3,,34.5,32.3,75.0,,32.4,31.9,83.3,,31.9,32.1,78.6,,32.1,33.0,63.1,,33.0,32.8,67.2,,32.8,33.5,52.8,,33.6,34.0,44.8,,34.0,34.4,36.6,,34.4,34.5,34.7,,34.5,34.5,35.1,,34.5,34.7,30.6,,34.7,0.0,
13/12/2024 1:52:33 PM,88702,33.6,51.0,,33.6,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,33.5,54.5,,33.5,33.5,53.7,,33.5,32.9,65.1,,32.9,33.0,62.4,,33.0,33.4,55.5,,33.4,33.4,54.7,,33.4,33.7,50.0,,33.7,33.6,51.1,,33.6,34.4,37.5,,34.4,34.3,39.4,,34.3,34.4,36.3,,34.5,32.3,75.5,,32.4,31.9,83.3,,31.9,32.1,78.6,,32.1,33.0,63.1,,33.0,32.8,67.1,,32.8,33.5,52.9,,33.6,34.0,44.8,,34.0,34.4,36.6,,34.4,34.5,34.7,,34.5,34.5,35.1,,34.5,34.7,30.6,,34.7,0.0,
13/12/2024 1:52:43 PM,88712,33.6,50.9,,33.6,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,33.5,54.5,,33.5,33.5,53.6,,33.5,32.9,65.1,,32.9,33.0,62.4,,33.0,33.4,55.5,,33.4,33.5,54.5,,33.4,33.7,50.0,,33.7,33.6,51.2,,33.6,34.4,37.4,,34.4,34.3,39.4,,34.3,34.4,36.3,,34.5,32.3,75.7,,32.4,31.9,83.3,,31.9,32.1,78.6,,32.1,33.0,62.7,,33.0,32.8,66.4,,32.8,33.6,52.7,,33.6,34.0,44.8,,34.0,34.4,36.6,,34.4,34.5,34.7,,34.5,34.5,35.1,,34.5,34.7,30.6,,34.7,0.0,
13/12/2024 1:52:53 PM,88722,33.6,51.0,,33.6,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,33.4,54.7,,33.5,33.5,53.6,,33.5,32.9,65.4,,32.9,33.0,62.4,,33.0,33.4,55.5,,33.4,33.5,54.4,,33.4,33.7,50.1,,33.7,33.6,51.2,,33.6,34.4,37.5,,34.4,34.3,39.4,,34.3,34.4,36.3,,34.4,32.3,75.7,,32.3,31.9,83.3,,31.9,32.1,78.6,,32.1,33.0,63.0,,33.0,32.8,67.1,,32.8,33.5,53.0,,33.6,34.0,44.8,,34.0,34.4,36.6,,34.4,34.5,34.7,,34.5,34.5,35.1,,34.5,34.7,30.5,,34.7,0.0,
