Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
23/01/2025 1:17:15 PM,0,34.0,65.9,,34.0,3.0,99.2,31.2,34.0,34.0,70.8,,34.0,3.0,99.2,31.2,34.0,34.0,66.2,,34.0,3.0,99.2,31.2,34.0,34.0,56.5,,34.0,34.0,53.4,,34.0,34.0,79.5,,34.0,34.0,78.9,,34.0,34.0,69.4,,34.0,34.0,76.5,,34.0,34.0,81.3,,34.0,34.0,82.1,,34.0,34.0,66.2,,34.0,34.0,76.3,,34.0,34.0,20.1,,34.0,34.0,58.2,,34.0,34.0,116.0,,34.0,34.0,96.2,,34.0,34.0,71.1,,34.0,34.0,69.2,,34.0,34.0,58.2,,34.0,34.0,63.0,,34.0,34.0,41.9,,34.0,34.0,44.8,,34.0,34.0,52.7,,34.0,34.0,52.8,,34.0,0.2,
23/01/2025 1:18:15 PM,60,34.0,65.2,,34.0,3.0,99.2,31.2,34.0,34.0,70.0,,34.0,3.0,99.2,31.2,34.0,34.0,66.0,,34.0,3.0,99.2,31.2,34.0,34.0,55.9,,34.0,34.0,53.5,,34.0,34.0,78.8,,34.0,34.0,77.6,,34.0,34.0,68.6,,34.0,34.0,72.7,,34.0,34.0,80.8,,34.0,34.0,79.5,,34.0,34.0,66.0,,34.0,34.0,75.1,,34.0,34.0,21.0,,34.0,34.0,58.1,,34.0,34.0,116.1,,34.0,34.0,96.1,,34.0,34.0,72.0,,34.0,34.0,68.1,,34.0,34.0,58.6,,34.0,34.0,64.2,,34.0,34.0,41.5,,34.0,34.0,44.0,,34.0,34.0,50.8,,34.0,34.0,52.6,,34.0,0.5,
23/01/2025 1:19:15 PM,120,34.0,63.7,,34.0,3.0,99.2,31.2,34.0,34.0,67.5,,34.0,3.0,99.2,31.2,34.0,34.0,63.9,,34.0,3.0,99.2,31.2,34.0,34.0,54.4,,34.0,34.0,51.5,,34.0,34.0,75.9,,34.0,34.0,74.0,,34.0,34.0,66.9,,34.0,34.0,73.1,,34.0,34.0,78.7,,34.0,34.0,79.5,,34.0,34.0,63.9,,34.0,34.0,75.1,,34.0,34.0,19.1,,34.0,34.0,57.6,,34.0,34.0,114.2,,34.0,34.0,90.6,,34.0,34.0,72.4,,34.0,34.0,68.6,,34.0,34.0,58.0,,34.0,34.0,60.4,,34.0,34.0,41.1,,34.0,34.0,43.4,,34.0,34.0,49.6,,34.0,34.0,49.0,,34.0,0.6,
23/01/2025 1:20:15 PM,180,34.0,63.8,,34.0,3.0,99.2,31.2,34.0,34.0,68.0,,34.0,3.0,99.2,31.2,34.0,34.0,63.9,,34.0,3.0,99.2,31.2,34.0,34.0,54.6,,34.0,34.0,51.5,,34.0,34.0,76.4,,34.0,34.0,75.5,,34.0,34.0,66.8,,34.0,34.0,71.2,,34.0,34.0,78.9,,34.0,34.0,80.6,,34.0,34.0,63.9,,34.0,34.0,73.9,,34.0,34.0,19.8,,34.0,34.0,55.6,,34.0,34.0,116.7,,34.0,34.0,91.5,,34.0,34.0,73.6,,34.0,34.0,70.3,,34.0,34.0,58.0,,34.0,34.0,63.7,,34.0,34.0,39.8,,34.0,34.0,41.6,,34.0,34.0,48.5,,34.0,34.0,49.3,,34.0,0.3,
23/01/2025 1:21:15 PM,240,34.0,62.6,,34.0,3.0,99.2,31.2,34.0,34.0,67.3,,34.0,3.0,99.2,31.2,34.0,34.0,62.9,,34.0,3.0,99.2,31.2,34.0,34.0,55.6,,34.0,34.0,50.2,,34.0,34.0,75.0,,34.0,34.0,74.7,,34.0,34.0,66.3,,34.0,34.0,71.6,,34.0,34.0,78.9,,34.0,34.0,77.9,,34.0,34.0,62.9,,34.0,34.0,72.3,,34.0,34.0,19.6,,34.0,34.0,56.6,,34.0,34.0,104.3,,34.0,34.0,87.9,,34.0,34.0,71.4,,34.0,34.0,67.9,,34.0,34.0,58.8,,34.0,34.0,60.6,,34.0,34.0,39.7,,34.0,34.0,41.6,,34.0,34.0,47.8,,34.0,34.0,47.7,,34.0,0.8,
23/01/2025 1:22:15 PM,300,34.0,60.9,,34.0,3.0,99.2,31.2,34.0,34.0,65.5,,34.0,3.0,99.2,31.2,34.0,34.0,59.3,,34.0,3.0,99.2,31.2,34.0,34.0,55.1,,34.0,34.0,50.5,,34.0,34.0,72.2,,34.0,34.0,71.8,,34.0,34.0,65.0,,34.0,34.0,68.5,,34.0,34.0,76.7,,34.0,34.0,77.3,,34.0,34.0,59.3,,34.0,34.0,69.6,,34.0,34.0,18.7,,34.0,34.0,53.9,,34.0,34.0,108.5,,34.0,34.0,94.6,,34.0,34.0,68.6,,34.0,34.0,65.7,,34.0,34.0,54.3,,34.0,34.0,58.6,,34.0,34.0,38.0,,34.0,34.0,40.4,,34.0,34.0,45.6,,34.0,34.0,46.7,,34.0,0.3,
23/01/2025 1:23:15 PM,360,34.0,61.4,-0.643,34.0,3.0,99.2,31.2,34.0,34.0,66.2,-0.646,34.0,3.0,99.2,31.2,34.0,34.0,59.8,-0.651,34.0,3.0,99.2,31.2,34.0,34.0,53.9,-0.647,34.0,34.0,50.5,-0.643,34.0,34.0,74.8,-0.643,34.0,34.0,72.5,-0.645,34.0,34.0,64.9,-0.650,34.0,34.0,70.9,-0.651,34.0,34.0,76.4,-0.649,34.0,34.0,74.9,-0.653,34.0,34.0,59.8,-0.651,34.0,34.0,69.2,-0.651,34.0,34.0,18.0,-0.634,34.0,34.0,53.4,-0.632,34.0,34.0,107.7,-0.626,34.0,34.0,90.1,-0.625,34.0,34.0,70.8,-0.634,34.0,34.0,65.9,-0.633,34.0,34.0,57.3,-0.636,34.0,34.0,61.2,-0.641,34.0,34.0,39.1,-0.640,34.0,34.0,41.8,-0.641,34.0,34.0,47.4,-0.643,34.0,34.0,46.6,-0.643,34.0,0.1,
23/01/2025 1:24:15 PM,420,34.0,60.8,,34.0,3.0,99.2,31.2,34.0,34.0,65.8,,34.0,3.0,99.2,31.2,34.0,34.0,56.7,,34.0,3.0,99.2,31.2,34.0,34.0,53.2,,34.0,34.0,50.8,,34.0,34.0,74.7,,34.0,34.0,72.2,,34.0,34.0,63.8,,34.0,34.0,67.0,,34.0,34.0,76.2,,34.0,34.0,75.0,,34.0,34.0,56.7,,34.0,34.0,71.3,,34.0,34.0,18.9,,34.0,34.0,53.6,,34.0,34.0,106.0,,34.0,34.0,98.7,,34.0,34.0,66.7,,34.0,34.0,67.3,,34.0,34.0,53.0,,34.0,34.0,58.8,,34.0,34.0,37.4,,34.0,34.0,39.3,,34.0,34.0,48.7,,34.0,34.0,46.3,,34.0,0.5,
23/01/2025 1:25:15 PM,480,34.0,60.3,,34.0,3.0,99.2,31.2,34.0,34.0,65.5,,34.0,3.0,99.2,31.2,34.0,34.0,55.2,,34.0,3.0,99.2,31.2,34.0,34.0,53.9,,34.0,34.0,49.3,,34.0,34.0,74.3,,34.0,34.0,71.8,,34.0,34.0,64.0,,34.0,34.0,66.8,,34.0,34.0,75.3,,34.0,34.0,75.9,,34.0,34.0,55.2,,34.0,34.0,68.9,,34.0,34.0,18.1,,34.0,34.0,54.5,,34.0,34.0,105.3,,34.0,34.0,92.0,,34.0,34.0,67.4,,34.0,34.0,64.9,,34.0,34.0,55.1,,34.0,34.0,59.7,,34.0,34.0,38.0,,34.0,34.0,40.1,,34.0,34.0,46.8,,34.0,34.0,45.7,,34.0,0.5,
23/01/2025 1:26:15 PM,540,34.0,59.8,,34.0,3.0,99.2,31.2,34.0,34.0,65.7,,34.0,3.0,99.2,31.2,34.0,34.0,56.2,,34.0,3.0,99.2,31.2,34.0,34.0,53.6,,34.0,34.0,50.0,,34.0,34.0,73.3,,34.0,34.0,73.5,,34.0,34.0,63.8,,34.0,34.0,66.0,,34.0,34.0,74.6,,34.0,34.0,75.6,,34.0,34.0,56.2,,34.0,34.0,67.0,,34.0,34.0,18.4,,34.0,34.0,52.6,,34.0,34.0,97.9,,34.0,34.0,86.4,,34.0,34.0,66.4,,34.0,34.0,65.9,,34.0,34.0,56.2,,34.0,34.0,60.3,,34.0,34.0,37.4,,34.0,34.0,40.5,,34.0,34.0,45.2,,34.0,34.0,46.2,,34.0,0.3,
23/01/2025 1:27:15 PM,600,34.0,60.7,,34.0,3.0,99.2,31.2,34.0,34.0,66.8,,34.0,3.0,99.2,31.2,34.0,34.0,57.6,,34.0,3.0,99.2,31.2,34.0,34.0,53.7,,34.0,34.0,50.0,,34.0,34.0,77.0,,34.0,34.0,74.2,,34.0,34.0,63.7,,34.0,34.0,68.1,,34.0,34.0,76.0,,34.0,34.0,76.5,,34.0,34.0,57.6,,34.0,34.0,67.6,,34.0,34.0,17.8,,34.0,34.0,54.9,,34.0,34.0,100.4,,34.0,34.0,86.0,,34.0,34.0,70.3,,34.0,34.0,66.4,,34.0,34.0,55.9,,34.0,34.0,60.3,,34.0,34.0,38.3,,34.0,34.0,39.8,,34.0,34.0,45.4,,34.0,34.0,45.6,,34.0,0.3,
23/01/2025 1:28:15 PM,660,34.0,60.2,,34.0,3.0,99.2,31.2,34.0,34.0,66.4,,34.0,3.0,99.2,31.2,34.0,34.0,57.0,,34.0,3.0,99.2,31.2,34.0,34.0,53.6,,34.0,34.0,50.0,,34.0,34.0,74.7,,34.0,34.0,74.9,,34.0,34.0,63.7,,34.0,34.0,67.7,,34.0,34.0,74.7,,34.0,34.0,73.9,,34.0,34.0,57.0,,34.0,34.0,68.8,,34.0,34.0,17.8,,34.0,34.0,53.0,,34.0,34.0,103.1,,34.0,34.0,87.0,,34.0,34.0,67.8,,34.0,34.0,64.9,,34.0,34.0,55.8,,34.0,34.0,57.6,,34.0,34.0,37.4,,34.0,34.0,39.7,,34.0,34.0,46.1,,34.0,34.0,46.7,,34.0,0.7,
23/01/2025 1:29:15 PM,720,34.0,59.9,,34.0,3.0,99.2,31.2,34.0,34.0,65.9,,34.0,3.0,99.2,31.2,34.0,34.0,54.8,,34.0,3.0,99.2,31.2,34.0,34.0,52.3,,34.0,34.0,50.2,,34.0,34.0,75.1,,34.0,34.0,74.4,,34.0,34.0,62.2,,34.0,34.0,70.6,,34.0,34.0,75.5,,34.0,34.0,76.9,,34.0,34.0,54.8,,34.0,34.0,67.4,,34.0,34.0,19.0,,34.0,34.0,53.0,,34.0,34.0,94.8,,34.0,34.0,83.6,,34.0,34.0,65.5,,34.0,34.0,64.0,,34.0,34.0,54.2,,34.0,34.0,59.1,,34.0,34.0,37.9,,34.0,34.0,39.7,,34.0,34.0,45.4,,34.0,34.0,46.1,,34.0,0.3,
23/01/2025 1:30:15 PM,780,34.0,59.6,,34.0,3.0,99.2,31.2,34.0,34.0,64.5,,34.0,3.0,99.2,31.2,34.0,34.0,54.7,,34.0,3.0,99.2,31.2,34.0,34.0,53.1,,34.0,34.0,49.4,,34.0,34.0,72.0,,34.0,34.0,71.9,,34.0,34.0,62.5,,34.0,34.0,68.7,,34.0,34.0,72.6,,34.0,34.0,74.0,,34.0,34.0,54.7,,34.0,34.0,66.0,,34.0,34.0,18.2,,34.0,34.0,53.9,,34.0,34.0,113.2,,34.0,34.0,89.2,,34.0,34.0,73.5,,34.0,34.0,66.1,,34.0,34.0,54.1,,34.0,34.0,59.5,,34.0,34.0,35.9,,34.0,34.0,37.1,,34.0,34.0,43.5,,34.0,34.0,45.4,,34.0,0.5,
23/01/2025 1:31:15 PM,840,34.0,58.3,,34.0,3.0,99.2,31.2,34.0,34.0,63.9,,34.0,3.0,99.2,31.2,34.0,34.0,50.0,,34.0,3.0,99.2,31.2,34.0,34.0,52.4,,34.0,34.0,48.6,,34.0,34.0,72.5,,34.0,34.0,70.2,,34.0,34.0,61.9,,34.0,34.0,65.3,,34.0,34.0,74.9,,34.0,34.0,71.2,,34.0,34.0,50.0,,34.0,34.0,63.6,,34.0,34.0,17.5,,34.0,34.0,51.5,,34.0,34.0,105.1,,34.0,34.0,95.0,,34.0,34.0,65.3,,34.0,34.0,64.0,,34.0,34.0,53.1,,34.0,34.0,58.7,,34.0,34.0,35.4,,34.0,34.0,36.5,,34.0,34.0,43.4,,34.0,34.0,46.3,,34.0,0.8,
23/01/2025 1:32:15 PM,900,34.0,58.9,-0.643,34.0,3.0,99.2,31.2,34.0,34.0,64.5,-0.646,34.0,3.0,99.2,31.2,34.0,34.0,52.3,-0.651,34.0,3.0,99.2,31.2,34.0,34.0,52.2,-0.647,34.0,34.0,49.7,-0.643,34.0,34.0,72.6,-0.643,34.0,34.0,72.7,-0.645,34.0,34.0,61.5,-0.650,34.0,34.0,65.0,-0.651,34.0,34.0,73.7,-0.649,34.0,34.0,74.1,-0.653,34.0,34.0,52.3,-0.651,34.0,34.0,64.3,-0.651,34.0,34.0,18.5,-0.634,34.0,34.0,52.6,-0.632,34.0,34.0,99.4,-0.626,34.0,34.0,87.0,-0.625,34.0,34.0,68.9,-0.634,34.0,34.0,66.1,-0.633,34.0,34.0,54.5,-0.636,34.0,34.0,60.1,-0.641,34.0,34.0,37.0,-0.640,34.0,34.0,36.6,-0.641,34.0,34.0,46.9,-0.643,34.0,34.0,44.5,-0.643,34.0,0.1,
23/01/2025 1:33:15 PM,960,34.0,59.2,,34.0,3.0,99.2,31.2,34.0,34.0,65.0,,34.0,3.0,99.2,31.2,34.0,34.0,51.0,,34.0,3.0,99.2,31.2,34.0,34.0,51.8,,34.0,34.0,49.4,,34.0,34.0,75.3,,34.0,34.0,72.0,,34.0,34.0,61.5,,34.0,34.0,65.7,,34.0,34.0,73.3,,34.0,34.0,71.8,,34.0,34.0,51.0,,34.0,34.0,65.2,,34.0,34.0,17.0,,34.0,34.0,54.2,,34.0,34.0,107.6,,34.0,34.0,85.3,,34.0,34.0,71.4,,34.0,34.0,67.9,,34.0,34.0,54.8,,34.0,34.0,59.5,,34.0,34.0,35.8,,34.0,34.0,38.9,,34.0,34.0,45.9,,34.0,34.0,45.4,,34.0,0.7,
