Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
23/01/2025 5:37:53 PM,0,29.9,51.8,-0.643,32.6,2.2,85.4,29.5,32.6,29.1,0.0,-0.646,32.4,2.1,79.7,29.2,32.4,31.8,0.0,-0.651,33.2,2.6,94.9,30.2,33.2,29.3,0.0,-0.647,32.4,29.4,0.0,-0.643,32.5,28.6,0.0,-0.643,32.2,28.7,0.0,-0.645,32.2,30.0,0.0,-0.650,32.7,29.8,0.0,-0.651,32.6,29.8,0.0,-0.649,32.6,29.9,143.1,-0.653,32.6,31.8,0.0,-0.651,33.2,30.8,118.2,-0.651,32.9,31.5,103.9,-0.634,33.2,29.3,88.2,-0.632,32.4,28.1,103.5,-0.626,32.0,28.3,54.4,-0.625,32.1,27.7,116.8,-0.634,31.9,28.3,103.4,-0.633,32.1,29.2,68.9,-0.636,32.4,29.3,63.5,-0.641,32.4,31.4,56.0,-0.640,33.1,31.3,36.9,-0.641,33.1,31.3,56.6,-0.643,33.1,31.3,56.0,-0.643,33.1,0.1,
23/01/2025 5:38:53 PM,60,32.3,218.0,,32.1,1.9,73.4,28.9,32.1,32.0,245.6,,31.9,1.8,64.7,28.5,31.9,33.7,203.3,,33.6,2.8,97.8,30.7,33.6,32.3,258.0,,32.1,32.5,261.2,,32.3,31.6,250.8,,31.4,31.6,249.9,,31.5,32.5,220.3,,32.3,32.1,215.8,,32.0,32.2,220.7,,32.1,31.9,216.8,,31.8,33.7,203.3,,33.6,32.7,211.9,,32.6,33.7,204.4,,33.5,31.6,193.0,,31.5,30.4,203.5,,30.3,30.9,213.9,,30.8,31.0,254.6,,30.8,31.5,253.2,,31.3,31.9,225.3,,31.7,31.6,208.8,,31.4,33.2,184.8,,33.1,33.1,182.7,,33.1,33.1,186.9,,33.0,33.1,184.8,,33.0,110.9,
23/01/2025 5:39:53 PM,120,33.6,208.5,,33.5,2.7,97.2,30.6,33.5,33.7,243.7,,33.6,2.8,97.4,30.6,33.6,34.6,157.0,,34.6,3.4,99.9,31.9,34.6,34.1,255.5,,34.0,34.3,258.9,,34.2,33.4,248.6,,33.3,33.4,248.1,,33.2,33.7,219.1,,33.6,33.3,214.5,,33.2,33.3,219.8,,33.3,33.1,215.8,,33.0,34.6,157.0,,34.6,33.9,210.7,,33.8,34.5,91.2,,34.6,32.9,192.1,,32.8,31.4,202.8,,31.3,32.0,212.6,,31.9,33.1,251.9,,32.9,33.6,250.9,,33.4,33.7,223.6,,33.6,33.0,207.4,,32.9,34.4,183.9,,34.3,34.2,181.8,,34.1,34.1,185.9,,34.0,34.1,183.8,,34.0,0.8,
23/01/2025 5:40:53 PM,180,34.2,119.2,,34.2,3.2,99.6,31.4,34.2,34.5,126.2,,34.5,3.3,99.9,31.8,34.5,34.1,40.5,,34.1,3.1,99.3,31.2,34.1,34.2,46.2,,34.3,34.1,46.2,,34.2,34.6,135.2,,34.7,34.7,181.0,,34.6,34.5,142.3,,34.6,34.3,215.4,,34.2,34.3,221.2,,34.3,34.1,216.5,,34.0,34.1,40.5,,34.1,34.4,84.7,,34.5,34.0,28.2,,34.0,34.0,192.7,,33.9,32.2,203.9,,32.1,33.0,213.0,,32.9,34.7,156.3,,34.7,34.4,75.1,,34.5,34.4,45.8,,34.4,34.2,207.8,,34.1,34.1,17.8,,34.2,34.2,22.9,,34.2,34.3,43.5,,34.3,34.3,46.3,,34.4,22.2,
23/01/2025 5:41:53 PM,240,34.0,66.6,,34.0,3.0,99.3,31.2,34.0,34.0,66.1,,34.0,3.0,99.3,31.2,34.0,34.0,45.5,,34.0,3.0,99.2,31.2,34.0,34.0,56.0,,34.0,34.0,54.8,,34.0,34.0,71.0,,34.0,34.0,72.9,,34.1,34.0,64.7,,34.0,34.1,69.9,,34.2,34.1,84.2,,34.2,34.3,87.2,,34.4,34.0,45.5,,34.0,34.0,61.3,,34.0,34.0,24.7,,34.0,34.3,90.3,,34.3,32.8,204.1,,32.8,33.8,213.0,,33.8,34.0,79.0,,34.1,34.0,71.2,,34.0,34.0,53.4,,34.0,34.2,52.8,,34.2,34.0,34.0,,34.0,34.0,32.6,,34.0,34.0,36.9,,34.0,34.0,37.9,,34.0,40.4,
23/01/2025 5:42:53 PM,300,34.0,68.4,,34.0,3.0,99.2,31.2,34.0,34.0,72.2,,34.0,3.0,99.2,31.2,34.0,34.0,44.3,,34.0,3.0,99.2,31.2,34.0,34.0,58.4,,34.0,34.0,54.1,,34.0,34.0,81.9,,34.0,34.0,83.0,,34.0,34.0,67.1,,34.0,34.0,76.2,,34.0,34.0,80.8,,34.0,34.0,79.0,,34.0,34.0,44.3,,34.0,34.0,65.6,,34.0,34.0,24.2,,34.0,34.0,67.1,,34.0,33.4,203.4,,33.4,34.6,196.9,,34.5,34.0,82.4,,34.0,34.0,73.4,,34.0,34.0,59.2,,34.0,34.0,59.6,,34.0,34.0,32.1,,34.0,34.0,38.2,,34.0,34.0,41.8,,34.0,34.0,43.6,,34.0,0.5,
23/01/2025 5:43:53 PM,360,34.0,65.7,,34.0,3.0,99.2,31.2,34.0,34.0,70.4,,34.0,3.0,99.2,31.2,34.0,34.0,40.6,,34.0,3.0,99.2,31.2,34.0,34.0,56.1,,34.0,34.0,52.8,,34.0,34.0,79.3,,34.0,34.0,81.6,,34.0,34.0,65.6,,34.0,34.0,72.1,,34.0,34.0,79.5,,34.0,34.0,79.6,,34.0,34.0,40.6,,34.0,34.0,65.2,,34.0,34.0,23.5,,34.0,34.0,81.4,,34.0,33.9,203.1,,33.9,34.0,120.9,,34.0,34.0,79.2,,34.0,34.0,71.5,,34.0,34.0,56.3,,34.0,34.0,62.4,,34.0,34.0,32.6,,34.0,34.0,35.2,,34.0,34.0,41.6,,34.0,34.0,42.0,,34.0,1.9,
23/01/2025 5:44:53 PM,420,34.0,64.7,,34.0,3.0,99.2,31.2,34.0,34.0,69.0,,34.0,3.0,99.2,31.2,34.0,34.0,42.4,,34.0,3.0,99.2,31.2,34.0,34.0,54.3,,34.0,34.0,51.7,,34.0,34.0,79.2,,34.0,34.0,78.8,,34.0,34.0,64.3,,34.0,34.0,69.4,,34.0,34.0,76.0,,34.0,34.0,77.3,,34.0,34.0,42.4,,34.0,34.0,64.3,,34.0,34.0,22.8,,34.0,34.0,78.2,,34.0,34.4,202.7,,34.4,34.0,119.5,,34.0,34.0,78.7,,34.0,34.0,70.6,,34.0,34.0,58.4,,34.0,34.0,63.4,,34.0,34.0,33.8,,34.0,34.0,35.4,,34.0,34.0,40.9,,34.0,34.0,41.4,,34.0,0.6,
23/01/2025 5:45:53 PM,480,34.0,61.0,,34.0,3.0,99.2,31.2,34.0,34.0,66.9,,34.0,3.0,99.2,31.2,34.0,34.0,40.8,,34.0,3.0,99.2,31.2,34.0,34.0,53.7,,34.0,34.0,51.0,,34.0,34.0,76.2,,34.0,34.0,76.3,,34.0,34.0,62.3,,34.0,34.0,70.0,,34.0,34.0,74.4,,34.0,34.0,74.9,,34.0,34.0,40.8,,34.0,34.0,63.0,,34.0,34.0,22.3,,34.0,34.0,69.8,,34.0,34.1,126.9,,34.1,34.0,109.8,,34.0,34.0,79.0,,34.0,34.0,69.0,,34.0,34.0,55.0,,34.0,34.0,59.5,,34.0,34.0,33.1,,34.0,34.0,34.3,,34.0,34.0,39.6,,34.0,34.0,41.1,,34.0,2.3,
23/01/2025 5:46:53 PM,540,34.0,59.8,,34.0,3.0,99.2,31.2,34.0,34.0,66.0,,34.0,3.0,99.2,31.2,34.0,34.0,37.4,,34.0,3.0,99.2,31.2,34.0,34.0,54.6,,34.0,34.0,50.2,,34.0,34.0,75.4,,34.0,34.0,73.4,,34.0,34.0,62.2,,34.0,34.0,67.8,,34.0,34.0,71.0,,34.0,34.0,72.1,,34.0,34.0,37.4,,34.0,34.0,60.7,,34.0,34.0,21.4,,34.0,34.0,68.0,,34.0,34.0,138.6,,34.0,34.0,106.8,,34.0,34.0,78.3,,34.0,34.0,67.8,,34.0,34.0,54.7,,34.0,34.0,58.7,,34.0,34.0,32.4,,34.0,34.0,33.8,,34.0,34.0,38.2,,34.0,34.0,39.4,,34.0,0.5,
23/01/2025 5:47:53 PM,600,34.0,59.9,,34.0,3.0,99.2,31.2,34.0,34.0,65.6,,34.0,3.0,99.2,31.2,34.0,34.0,38.8,,34.0,3.0,99.2,31.2,34.0,34.0,52.7,,34.0,34.0,50.0,,34.0,34.0,75.0,,34.0,34.0,74.6,,34.0,34.0,60.7,,34.0,34.0,66.9,,34.0,34.0,72.3,,34.0,34.0,71.8,,34.0,34.0,38.8,,34.0,34.0,60.8,,34.0,34.0,20.5,,34.0,34.0,74.8,,34.0,34.0,126.8,,34.0,34.0,108.8,,34.0,34.0,73.2,,34.0,34.0,69.0,,34.0,34.0,55.9,,34.0,34.0,61.2,,34.0,34.0,32.5,,34.0,34.0,34.1,,34.0,34.0,41.1,,34.0,34.0,41.0,,34.0,0.3,
23/01/2025 5:48:53 PM,660,34.0,59.0,-0.643,34.0,3.0,99.2,31.2,34.0,34.0,64.8,-0.646,34.0,3.0,99.2,31.2,34.0,34.0,36.6,-0.651,34.0,3.0,99.2,31.2,34.0,34.0,51.6,-0.647,34.0,34.0,49.6,-0.643,34.0,34.0,73.4,-0.643,34.0,34.0,74.6,-0.645,34.0,34.0,60.0,-0.650,34.0,34.0,67.2,-0.651,34.0,34.0,70.2,-0.649,34.0,34.0,71.1,-0.653,34.0,34.0,36.6,-0.651,34.0,34.0,61.4,-0.651,34.0,34.0,20.1,-0.634,34.0,34.0,73.2,-0.632,34.0,34.0,119.0,-0.626,34.0,34.0,101.0,-0.625,34.0,34.0,74.4,-0.634,34.0,34.0,68.0,-0.633,34.0,34.0,58.2,-0.636,34.0,34.0,58.2,-0.641,34.0,34.0,32.6,-0.640,34.0,34.0,35.0,-0.641,34.0,34.0,39.8,-0.643,34.0,34.0,39.6,-0.643,34.0,0.1,
