Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
24/01/2025 3:31:36 PM,0,34.0,58.4,,34.0,3.0,99.2,31.2,34.0,34.0,60.5,,34.0,3.0,99.2,31.2,34.0,34.0,43.5,,34.0,3.0,99.2,31.2,34.0,34.0,50.2,,34.0,34.0,46.4,,34.0,34.0,69.5,,34.0,34.0,66.8,,34.0,34.0,57.0,,34.0,34.0,63.2,,34.0,34.0,71.5,,34.0,34.0,69.3,,34.0,34.0,43.5,,34.0,34.0,59.0,,34.0,34.0,19.0,,34.0,34.0,88.4,,34.0,34.0,97.1,,34.0,34.0,105.0,,34.0,34.0,70.1,,34.0,34.0,70.6,,34.0,34.0,53.9,,34.0,34.0,64.1,,34.0,34.0,35.7,,34.0,34.0,41.3,,34.0,34.0,41.1,,34.0,34.0,42.6,,34.0,0.3,
24/01/2025 3:32:36 PM,60,34.0,57.7,-0.643,34.0,3.0,99.2,31.2,34.0,34.0,60.6,-0.646,34.0,3.0,99.2,31.2,34.0,34.0,42.7,-0.651,34.0,3.0,99.2,31.2,34.0,34.0,51.9,-0.647,34.0,34.0,47.7,-0.643,34.0,34.0,69.2,-0.643,34.0,34.0,66.0,-0.645,34.0,34.0,57.0,-0.650,34.0,34.0,63.1,-0.651,34.0,34.0,68.6,-0.649,34.0,34.0,67.1,-0.653,34.0,34.0,42.7,-0.651,34.0,34.0,59.0,-0.651,34.0,34.0,18.5,-0.634,34.0,34.0,85.3,-0.632,34.0,34.0,100.0,-0.626,34.0,34.0,101.0,-0.625,34.0,34.0,68.3,-0.634,34.0,34.0,67.4,-0.633,34.0,34.0,55.2,-0.636,34.0,34.0,63.0,-0.641,34.0,34.0,35.5,-0.640,34.0,34.0,41.3,-0.641,34.0,34.0,41.8,-0.643,34.0,34.0,40.8,-0.643,34.0,0.1,
24/01/2025 3:33:36 PM,120,34.0,58.4,,34.0,3.0,99.2,31.2,34.0,34.0,61.6,,34.0,3.0,99.2,31.2,34.0,34.0,43.5,,34.0,3.0,99.2,31.2,34.0,34.0,50.0,,34.0,34.0,47.8,,34.0,34.0,70.4,,34.0,34.0,69.7,,34.0,34.0,57.0,,34.0,34.0,65.4,,34.0,34.0,70.1,,34.0,34.0,66.8,,34.0,34.0,43.5,,34.0,34.0,58.9,,34.0,34.0,19.4,,34.0,34.0,95.6,,34.0,34.0,91.7,,34.0,34.0,102.1,,34.0,34.0,66.2,,34.0,34.0,70.0,,34.0,34.0,52.5,,34.0,34.0,65.6,,34.0,34.0,35.1,,34.0,34.0,41.4,,34.0,34.0,41.4,,34.0,34.0,41.5,,34.0,0.2,
24/01/2025 3:34:36 PM,180,34.0,57.7,,34.0,3.0,99.2,31.2,34.0,34.0,59.8,,34.0,3.0,99.2,31.2,34.0,34.0,42.3,,34.0,3.0,99.2,31.2,34.0,34.0,49.5,,34.0,34.0,48.5,,34.0,34.0,69.1,,34.0,34.0,68.6,,34.0,34.0,51.6,,34.0,34.0,63.2,,34.0,34.0,69.6,,34.0,34.0,65.1,,34.0,34.0,42.3,,34.0,34.0,56.4,,34.0,34.0,19.4,,34.0,34.0,96.8,,34.0,34.0,96.1,,34.0,34.0,103.3,,34.0,34.0,68.4,,34.0,34.0,69.3,,34.0,34.0,53.4,,34.0,34.0,64.5,,34.0,34.0,35.6,,34.0,34.0,41.4,,34.0,34.0,41.3,,34.0,34.0,40.4,,34.0,0.7,
24/01/2025 3:35:36 PM,240,34.0,58.0,,34.0,3.0,99.2,31.2,34.0,34.0,60.3,,34.0,3.0,99.2,31.2,34.0,34.0,41.7,,34.0,3.0,99.2,31.2,34.0,34.0,49.6,,34.0,34.0,47.5,,34.0,34.0,68.8,,34.0,34.0,67.1,,34.0,34.0,56.3,,34.0,34.0,61.4,,34.0,34.0,68.4,,34.0,34.0,72.7,,34.0,34.0,41.7,,34.0,34.0,58.7,,34.0,34.0,20.2,,34.0,34.0,102.3,,34.0,34.0,95.5,,34.0,34.0,101.4,,34.0,34.0,65.9,,34.0,34.0,68.3,,34.0,34.0,51.8,,34.0,34.0,60.6,,34.0,34.0,35.3,,34.0,34.0,41.0,,34.0,34.0,40.4,,34.0,34.0,41.5,,34.0,0.2,
24/01/2025 3:36:36 PM,300,34.0,57.4,,34.0,3.0,99.2,31.2,34.0,34.0,59.8,,34.0,3.0,99.2,31.2,34.0,34.0,42.1,,34.0,3.0,99.2,31.2,34.0,34.0,48.2,,34.0,34.0,46.6,,34.0,34.0,68.0,,34.0,34.0,66.2,,34.0,34.0,57.1,,34.0,34.0,63.6,,34.0,34.0,67.5,,34.0,34.0,65.2,,34.0,34.0,42.1,,34.0,34.0,56.4,,34.0,34.0,19.4,,34.0,34.0,102.2,,34.0,34.0,97.0,,34.0,34.0,99.3,,34.0,34.0,67.6,,34.0,34.0,69.0,,34.0,34.0,51.5,,34.0,34.0,62.3,,34.0,34.0,35.6,,34.0,34.0,42.1,,34.0,34.0,39.2,,34.0,34.0,40.8,,34.0,0.3,
24/01/2025 3:37:36 PM,360,34.0,57.7,,34.0,3.0,99.2,31.2,34.0,34.0,60.7,,34.0,3.0,99.2,31.2,34.0,34.0,40.9,,34.0,3.0,99.2,31.2,34.0,34.0,49.6,,34.0,34.0,47.3,,34.0,34.0,69.3,,34.0,34.0,68.8,,34.0,34.0,55.6,,34.0,34.0,64.2,,34.0,34.0,70.2,,34.0,34.0,65.5,,34.0,34.0,40.9,,34.0,34.0,57.5,,34.0,34.0,19.2,,34.0,34.0,84.9,,34.0,34.0,92.8,,34.0,34.0,99.1,,34.0,34.0,67.8,,34.0,34.0,71.8,,34.0,34.0,53.5,,34.0,34.0,66.5,,34.0,34.0,36.5,,34.0,34.0,42.0,,34.0,34.0,40.7,,34.0,34.0,41.2,,34.0,0.1,
24/01/2025 3:38:36 PM,420,34.0,57.6,,34.0,3.0,99.2,31.2,34.0,34.0,60.4,,34.0,3.0,99.2,31.2,34.0,34.0,40.5,,34.0,3.0,99.2,31.2,34.0,34.0,49.9,,34.0,34.0,46.6,,34.0,34.0,69.7,,34.0,34.0,67.1,,34.0,34.0,55.8,,34.0,34.0,64.3,,34.0,34.0,67.9,,34.0,34.0,65.6,,34.0,34.0,40.5,,34.0,34.0,58.3,,34.0,34.0,19.6,,34.0,34.0,97.0,,34.0,34.0,95.9,,34.0,34.0,98.6,,34.0,34.0,67.4,,34.0,34.0,70.0,,34.0,34.0,53.8,,34.0,34.0,61.5,,34.0,34.0,35.4,,34.0,34.0,41.0,,34.0,34.0,39.1,,34.0,34.0,42.6,,34.0,0.2,
24/01/2025 3:39:36 PM,480,34.0,57.6,,34.0,3.0,99.2,31.2,34.0,34.0,59.9,,34.0,3.0,99.2,31.2,34.0,34.0,38.5,,34.0,3.0,99.2,31.2,34.0,34.0,50.0,,34.0,34.0,46.2,,34.0,34.0,68.1,,34.0,34.0,66.4,,34.0,34.0,56.7,,34.0,34.0,61.8,,34.0,34.0,70.0,,34.0,34.0,65.3,,34.0,34.0,38.5,,34.0,34.0,58.7,,34.0,34.0,19.3,,34.0,34.0,104.2,,34.0,34.0,95.4,,34.0,34.0,97.9,,34.0,34.0,65.4,,34.0,34.0,68.0,,34.0,34.0,51.8,,34.0,34.0,63.3,,34.0,34.0,35.7,,34.0,34.0,43.8,,34.0,34.0,39.2,,34.0,34.0,42.0,,34.0,0.2,
