Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
25/01/2025 4:19:53 PM,0,34.0,58.8,,34.0,3.0,99.2,31.2,34.0,34.0,59.4,,34.0,3.0,99.2,31.2,34.0,34.0,38.5,,34.0,3.0,99.2,31.2,34.0,34.0,49.0,,34.0,34.0,46.3,,34.0,34.0,67.0,,34.0,34.0,66.4,,34.0,34.0,56.1,,34.0,34.0,58.8,,34.0,34.0,69.0,,34.0,34.0,65.5,,34.0,34.0,38.5,,34.0,34.0,56.9,,34.0,34.0,23.9,,34.0,34.0,138.1,,34.0,34.0,89.9,,34.0,34.0,91.4,,34.0,34.0,65.6,,34.0,34.0,68.8,,34.0,34.0,53.3,,34.0,34.0,71.9,,34.0,34.0,36.7,,34.0,34.0,42.6,,34.0,34.0,42.5,,34.0,34.0,41.4,,34.0,0.4,
25/01/2025 4:20:53 PM,60,34.0,59.1,,34.0,3.0,99.2,31.2,34.0,34.0,60.1,,34.0,3.0,99.2,31.2,34.0,34.0,37.9,,34.0,3.0,99.2,31.2,34.0,34.0,49.8,,34.0,34.0,47.6,,34.0,34.0,68.6,,34.0,34.0,66.4,,34.0,34.0,56.1,,34.0,34.0,58.4,,34.0,34.0,66.7,,34.0,34.0,68.7,,34.0,34.0,37.9,,34.0,34.0,54.3,,34.0,34.0,23.3,,34.0,34.0,146.3,,34.0,34.0,90.1,,34.0,34.0,89.4,,34.0,34.0,64.4,,34.0,34.0,72.0,,34.0,34.0,53.1,,34.0,34.0,74.9,,34.0,34.0,35.7,,34.0,34.0,44.6,,34.0,34.0,40.9,,34.0,34.0,42.1,,34.0,1.0,
25/01/2025 4:21:53 PM,120,34.0,58.1,,34.0,3.0,99.2,31.2,34.0,34.0,59.3,,34.0,3.0,99.2,31.2,34.0,34.0,34.9,,34.0,3.0,99.2,31.2,34.0,34.0,47.9,,34.0,34.0,46.4,,34.0,34.0,67.0,,34.0,34.0,66.4,,34.0,34.0,56.1,,34.0,34.0,61.0,,34.0,34.0,68.9,,34.0,34.0,66.1,,34.0,34.0,34.9,,34.0,34.0,55.0,,34.0,34.0,23.8,,34.0,34.0,145.6,,34.0,34.0,98.3,,34.0,34.0,93.4,,34.0,34.0,65.3,,34.0,34.0,63.2,,34.0,34.0,53.3,,34.0,34.0,61.0,,34.0,34.0,35.1,,34.0,34.0,39.3,,34.0,34.0,40.8,,34.0,34.0,40.3,,34.0,0.6,
25/01/2025 4:22:53 PM,180,34.0,58.3,,34.0,3.0,99.2,31.2,34.0,34.0,60.1,,34.0,3.0,99.2,31.2,34.0,34.0,36.3,,34.0,3.0,99.2,31.2,34.0,34.0,48.8,,34.0,34.0,46.5,,34.0,34.0,68.9,,34.0,34.0,67.2,,34.0,34.0,56.1,,34.0,34.0,58.1,,34.0,34.0,69.3,,34.0,34.0,68.9,,34.0,34.0,36.3,,34.0,34.0,53.5,,34.0,34.0,25.2,,34.0,34.0,144.4,,34.0,34.0,98.2,,34.0,34.0,98.8,,34.0,34.0,68.3,,34.0,34.0,61.6,,34.0,34.0,52.2,,34.0,34.0,57.6,,34.0,34.0,35.7,,34.0,34.0,39.2,,34.0,34.0,41.3,,34.0,34.0,41.6,,34.0,0.3,
25/01/2025 4:23:53 PM,240,34.0,58.5,,34.0,3.0,99.2,31.2,34.0,34.0,59.4,,34.0,3.0,99.2,31.2,34.0,34.0,36.2,,34.0,3.0,99.2,31.2,34.0,34.0,48.7,,34.0,34.0,46.0,,34.0,34.0,68.2,,34.0,34.0,65.5,,34.0,34.0,56.1,,34.0,34.0,58.9,,34.0,34.0,69.2,,34.0,34.0,69.0,,34.0,34.0,36.2,,34.0,34.0,54.7,,34.0,34.0,25.1,,34.0,34.0,145.3,,34.0,34.0,97.4,,34.0,34.0,90.7,,34.0,34.0,66.9,,34.0,34.0,66.0,,34.0,34.0,51.7,,34.0,34.0,66.4,,34.0,34.0,34.8,,34.0,34.0,39.7,,34.0,34.0,40.7,,34.0,34.0,39.6,,34.0,0.0,
25/01/2025 4:24:53 PM,300,34.0,58.6,,34.0,3.0,99.2,31.2,34.0,34.0,60.1,,34.0,3.0,99.2,31.2,34.0,34.0,34.2,,34.0,3.0,99.2,31.2,34.0,34.0,49.0,,34.0,34.0,47.3,,34.0,34.0,68.9,,34.0,34.0,66.9,,34.0,34.0,55.8,,34.0,34.0,58.0,,34.0,34.0,69.5,,34.0,34.0,66.8,,34.0,34.0,34.2,,34.0,34.0,57.3,,34.0,34.0,24.2,,34.0,34.0,145.3,,34.0,34.0,94.2,,34.0,34.0,95.5,,34.0,34.0,64.7,,34.0,34.0,66.1,,34.0,34.0,52.0,,34.0,34.0,65.9,,34.0,34.0,36.8,,34.0,34.0,40.8,,34.0,34.0,39.9,,34.0,34.0,40.4,,34.0,0.1,
25/01/2025 4:25:53 PM,360,34.0,58.7,,34.0,3.0,99.2,31.2,34.0,34.0,60.3,,34.0,3.0,99.2,31.2,34.0,34.0,33.7,,34.0,3.0,99.2,31.2,34.0,34.0,49.5,,34.0,34.0,46.7,,34.0,34.0,69.0,,34.0,34.0,67.8,,34.0,34.0,55.6,,34.0,34.0,59.9,,34.0,34.0,70.9,,34.0,34.0,67.8,,34.0,34.0,33.7,,34.0,34.0,54.8,,34.0,34.0,25.0,,34.0,34.0,145.4,,34.0,34.0,100.0,,34.0,34.0,94.4,,34.0,34.0,65.7,,34.0,34.0,67.6,,34.0,34.0,48.7,,34.0,34.0,65.2,,34.0,34.0,34.9,,34.0,34.0,39.0,,34.0,34.0,41.1,,34.0,34.0,40.8,,34.0,0.2,
25/01/2025 4:26:53 PM,420,34.0,58.3,,34.0,3.0,99.2,31.2,34.0,34.0,59.6,,34.0,3.0,99.2,31.2,34.0,34.0,34.6,,34.0,3.0,99.2,31.2,34.0,34.0,49.6,,34.0,34.0,46.0,,34.0,34.0,69.0,,34.0,34.0,65.7,,34.0,34.0,55.6,,34.0,34.0,59.3,,34.0,34.0,70.3,,34.0,34.0,67.2,,34.0,34.0,34.6,,34.0,34.0,53.6,,34.0,34.0,24.8,,34.0,34.0,144.5,,34.0,34.0,95.1,,34.0,34.0,95.5,,34.0,34.0,69.4,,34.0,34.0,68.3,,34.0,34.0,50.3,,34.0,34.0,63.0,,34.0,34.0,35.2,,34.0,34.0,39.6,,34.0,34.0,40.7,,34.0,34.0,39.8,,34.0,0.1,
25/01/2025 4:27:53 PM,480,34.0,57.8,,34.0,3.0,99.2,31.2,34.0,34.0,59.3,,34.0,3.0,99.2,31.2,34.0,34.0,33.2,,34.0,3.0,99.2,31.2,34.0,34.0,48.5,,34.0,34.0,46.3,,34.0,34.0,67.7,,34.0,34.0,66.0,,34.0,34.0,55.4,,34.0,34.0,58.5,,34.0,34.0,69.4,,34.0,34.0,67.5,,34.0,34.0,33.2,,34.0,34.0,55.4,,34.0,34.0,25.8,,34.0,34.0,145.6,,34.0,34.0,91.7,,34.0,34.0,92.4,,34.0,34.0,62.2,,34.0,34.0,67.4,,34.0,34.0,49.4,,34.0,34.0,62.8,,34.0,34.0,33.8,,34.0,34.0,38.6,,34.0,34.0,41.6,,34.0,34.0,39.8,,34.0,0.0,
