Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
25/01/2025 4:02:43 PM,0,34.0,59.1,,34.0,3.0,99.2,31.2,34.0,34.0,60.7,,34.0,3.0,99.2,31.2,34.0,34.0,40.7,,34.0,3.0,99.2,31.2,34.0,34.0,50.1,,34.0,34.0,45.9,,34.0,34.0,69.5,,34.0,34.0,67.6,,34.0,34.0,57.2,,34.0,34.0,58.4,,34.0,34.0,72.2,,34.0,34.0,70.2,,34.0,34.0,40.7,,34.0,34.0,59.4,,34.0,34.0,21.8,,34.0,34.0,127.7,,34.0,34.0,97.2,,34.0,34.0,95.5,,34.0,34.0,69.1,,34.0,34.0,63.8,,34.0,34.0,54.8,,34.0,34.0,60.3,,34.0,34.0,37.4,,34.0,34.0,42.0,,34.0,34.0,43.3,,34.0,34.0,41.9,,34.0,0.3,
25/01/2025 4:03:43 PM,60,34.0,60.3,,34.0,3.0,99.2,31.2,34.0,34.0,62.8,,34.0,3.0,99.2,31.2,34.0,34.0,40.8,,34.0,3.0,99.2,31.2,34.0,34.0,50.0,,34.0,34.0,48.2,,34.0,34.0,72.3,,34.0,34.0,71.9,,34.0,34.0,57.2,,34.0,34.0,62.3,,34.0,34.0,72.5,,34.0,34.0,71.6,,34.0,34.0,40.8,,34.0,34.0,60.7,,34.0,34.0,22.6,,34.0,34.0,135.6,,34.0,34.0,92.2,,34.0,34.0,92.7,,34.0,34.0,65.2,,34.0,34.0,67.9,,34.0,34.0,50.4,,34.0,34.0,67.7,,34.0,34.0,36.4,,34.0,34.0,43.4,,34.0,34.0,42.9,,34.0,34.0,41.9,,34.0,0.2,
25/01/2025 4:04:43 PM,120,34.0,61.0,,34.0,3.0,99.2,31.2,34.0,34.0,62.7,,34.0,3.0,99.2,31.2,34.0,34.0,39.9,,34.0,3.0,99.2,31.2,34.0,34.0,50.0,,34.0,34.0,47.0,,34.0,34.0,73.6,,34.0,34.0,70.9,,34.0,34.0,57.2,,34.0,34.0,62.9,,34.0,34.0,75.3,,34.0,34.0,72.1,,34.0,34.0,39.9,,34.0,34.0,59.2,,34.0,34.0,23.7,,34.0,34.0,135.4,,34.0,34.0,94.5,,34.0,34.0,93.3,,34.0,34.0,68.5,,34.0,34.0,71.0,,34.0,34.0,53.6,,34.0,34.0,70.8,,34.0,34.0,36.4,,34.0,34.0,42.9,,34.0,34.0,43.8,,34.0,34.0,41.4,,34.0,0.1,
25/01/2025 4:05:43 PM,180,34.0,60.6,,34.0,3.0,99.2,31.2,34.0,34.0,61.9,,34.0,3.0,99.2,31.2,34.0,34.0,41.8,,34.0,3.0,99.2,31.2,34.0,34.0,49.9,,34.0,34.0,48.2,,34.0,34.0,71.7,,34.0,34.0,68.8,,34.0,34.0,57.2,,34.0,34.0,62.2,,34.0,34.0,73.6,,34.0,34.0,70.8,,34.0,34.0,41.8,,34.0,34.0,59.4,,34.0,34.0,22.9,,34.0,34.0,136.7,,34.0,34.0,91.7,,34.0,34.0,92.6,,34.0,34.0,66.6,,34.0,34.0,69.2,,34.0,34.0,53.1,,34.0,34.0,73.2,,34.0,34.0,37.6,,34.0,34.0,43.8,,34.0,34.0,41.9,,34.0,34.0,41.8,,34.0,0.1,
25/01/2025 4:06:43 PM,240,34.0,60.6,,34.0,3.0,99.2,31.2,34.0,34.0,61.7,,34.0,3.0,99.2,31.2,34.0,34.0,38.5,,34.0,3.0,99.2,31.2,34.0,34.0,49.3,,34.0,34.0,47.7,,34.0,34.0,70.8,,34.0,34.0,69.7,,34.0,34.0,57.2,,34.0,34.0,62.8,,34.0,34.0,71.4,,34.0,34.0,71.0,,34.0,34.0,38.5,,34.0,34.0,58.4,,34.0,34.0,23.0,,34.0,34.0,138.3,,34.0,34.0,92.7,,34.0,34.0,93.4,,34.0,34.0,62.4,,34.0,34.0,74.1,,34.0,34.0,52.0,,34.0,34.0,75.6,,34.0,34.0,37.1,,34.0,34.0,45.6,,34.0,34.0,44.1,,34.0,34.0,41.5,,34.0,0.2,
25/01/2025 4:07:43 PM,300,34.0,61.0,,34.0,3.0,99.2,31.2,34.0,34.0,62.4,,34.0,3.0,99.2,31.2,34.0,34.0,40.2,,34.0,3.0,99.2,31.2,34.0,34.0,50.3,,34.0,34.0,48.2,,34.0,34.0,72.2,,34.0,34.0,70.3,,34.0,34.0,57.2,,34.0,34.0,63.6,,34.0,34.0,73.0,,34.0,34.0,71.1,,34.0,34.0,40.2,,34.0,34.0,58.5,,34.0,34.0,23.0,,34.0,34.0,138.5,,34.0,34.0,97.3,,34.0,34.0,92.1,,34.0,34.0,65.1,,34.0,34.0,70.7,,34.0,34.0,51.2,,34.0,34.0,75.6,,34.0,34.0,36.5,,34.0,34.0,43.1,,34.0,34.0,43.5,,34.0,34.0,43.4,,34.0,0.0,
25/01/2025 4:08:43 PM,360,34.0,60.2,,34.0,3.0,99.2,31.2,34.0,34.0,61.6,,34.0,3.0,99.2,31.2,34.0,34.0,40.4,,34.0,3.0,99.2,31.2,34.0,34.0,49.4,,34.0,34.0,47.5,,34.0,34.0,71.3,,34.0,34.0,68.7,,34.0,34.0,57.2,,34.0,34.0,61.8,,34.0,34.0,71.4,,34.0,34.0,70.4,,34.0,34.0,40.4,,34.0,34.0,57.4,,34.0,34.0,23.5,,34.0,34.0,139.1,,34.0,34.0,89.2,,34.0,34.0,88.0,,34.0,34.0,65.0,,34.0,34.0,70.2,,34.0,34.0,53.3,,34.0,34.0,75.1,,34.0,34.0,36.5,,34.0,34.0,44.2,,34.0,34.0,41.6,,34.0,34.0,43.3,,34.0,0.2,
25/01/2025 4:09:43 PM,420,34.0,60.2,,34.0,3.0,99.2,31.2,34.0,34.0,61.1,,34.0,3.0,99.2,31.2,34.0,34.0,40.1,,34.0,3.0,99.2,31.2,34.0,34.0,49.9,,34.0,34.0,47.5,,34.0,34.0,69.3,,34.0,34.0,68.8,,34.0,34.0,57.2,,34.0,34.0,59.1,,34.0,34.0,70.5,,34.0,34.0,70.7,,34.0,34.0,40.1,,34.0,34.0,59.6,,34.0,34.0,22.7,,34.0,34.0,138.4,,34.0,34.0,93.3,,34.0,34.0,87.9,,34.0,34.0,67.7,,34.0,34.0,70.8,,34.0,34.0,53.0,,34.0,34.0,74.0,,34.0,34.0,35.8,,34.0,34.0,44.5,,34.0,34.0,42.8,,34.0,34.0,43.2,,34.0,0.0,
25/01/2025 4:10:43 PM,480,34.0,59.1,,34.0,3.0,99.2,31.2,34.0,34.0,61.3,,34.0,3.0,99.2,31.2,34.0,34.0,39.1,,34.0,3.0,99.2,31.2,34.0,34.0,51.5,,34.0,34.0,47.4,,34.0,34.0,70.0,,34.0,34.0,68.0,,34.0,34.0,57.2,,34.0,34.0,60.3,,34.0,34.0,71.6,,34.0,34.0,68.9,,34.0,34.0,39.1,,34.0,34.0,56.3,,34.0,34.0,23.5,,34.0,34.0,139.6,,34.0,34.0,92.1,,34.0,34.0,89.3,,34.0,34.0,62.9,,34.0,34.0,67.5,,34.0,34.0,51.2,,34.0,34.0,67.0,,34.0,34.0,35.9,,34.0,34.0,43.1,,34.0,34.0,40.8,,34.0,34.0,40.9,,34.0,0.5,
