Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
25/01/2025 5:00:53 PM,0,34.0,57.3,,34.0,3.0,99.2,31.2,34.0,34.0,60.1,,34.0,3.0,99.2,31.2,34.0,34.0,36.7,,34.0,3.0,99.2,31.2,34.0,34.0,49.5,,34.0,34.0,47.0,,34.0,34.0,69.3,,34.0,34.0,67.3,,34.0,34.0,55.1,,34.0,34.0,61.8,,34.0,34.0,68.8,,34.0,34.0,67.2,,34.0,34.0,36.7,,34.0,34.0,55.9,,34.0,34.0,17.2,,34.0,34.0,88.3,,34.0,34.0,94.7,,34.0,34.0,95.2,,34.0,34.0,74.3,,34.0,34.0,69.8,,34.0,34.0,60.0,,34.0,34.0,66.3,,34.0,34.0,37.7,,34.0,34.0,42.4,,34.0,34.0,37.4,,34.0,34.0,37.3,,34.0,0.6,
25/01/2025 5:01:53 PM,60,34.0,56.9,,34.0,3.0,99.2,31.2,34.0,34.0,59.4,,34.0,3.0,99.2,31.2,34.0,34.0,36.7,,34.0,3.0,99.2,31.2,34.0,34.0,49.5,,34.0,34.0,47.4,,34.0,34.0,66.6,,34.0,34.0,66.8,,34.0,34.0,55.1,,34.0,34.0,60.7,,34.0,34.0,68.3,,34.0,34.0,66.8,,34.0,34.0,36.7,,34.0,34.0,54.4,,34.0,34.0,18.4,,34.0,34.0,95.6,,34.0,34.0,91.9,,34.0,34.0,92.8,,34.0,34.0,71.5,,34.0,34.0,66.4,,34.0,34.0,58.3,,34.0,34.0,67.6,,34.0,34.0,38.5,,34.0,34.0,40.7,,34.0,34.0,37.7,,34.0,34.0,38.5,,34.0,0.5,
25/01/2025 5:02:53 PM,120,34.0,57.4,,34.0,3.0,99.2,31.2,34.0,34.0,60.1,,34.0,3.0,99.2,31.2,34.0,34.0,36.1,,34.0,3.0,99.2,31.2,34.0,34.0,49.5,,34.0,34.0,46.7,,34.0,34.0,69.3,,34.0,34.0,67.5,,34.0,34.0,55.1,,34.0,34.0,62.6,,34.0,34.0,68.9,,34.0,34.0,67.0,,34.0,34.0,36.1,,34.0,34.0,56.6,,34.0,34.0,17.4,,34.0,34.0,93.5,,34.0,34.0,87.8,,34.0,34.0,100.5,,34.0,34.0,70.7,,34.0,34.0,71.2,,34.0,34.0,59.3,,34.0,34.0,63.8,,34.0,34.0,38.6,,34.0,34.0,42.3,,34.0,34.0,38.9,,34.0,34.0,37.1,,34.0,0.3,
25/01/2025 5:03:53 PM,180,34.0,58.2,,34.0,3.0,99.2,31.2,34.0,34.0,60.5,,34.0,3.0,99.2,31.2,34.0,34.0,35.9,,34.0,3.0,99.2,31.2,34.0,34.0,50.1,,34.0,34.0,46.4,,34.0,34.0,69.4,,34.0,34.0,68.8,,34.0,34.0,55.1,,34.0,34.0,60.5,,34.0,34.0,71.0,,34.0,34.0,69.3,,34.0,34.0,35.9,,34.0,34.0,56.3,,34.0,34.0,18.2,,34.0,34.0,103.7,,34.0,34.0,90.8,,34.0,34.0,93.5,,34.0,34.0,74.2,,34.0,34.0,68.1,,34.0,34.0,60.5,,34.0,34.0,68.2,,34.0,34.0,38.1,,34.0,34.0,42.3,,34.0,34.0,40.5,,34.0,34.0,38.1,,34.0,0.4,
25/01/2025 5:04:53 PM,240,34.0,57.9,,34.0,3.0,99.2,31.2,34.0,34.0,59.5,,34.0,3.0,99.2,31.2,34.0,34.0,36.2,,34.0,3.0,99.2,31.2,34.0,34.0,48.3,,34.0,34.0,47.4,,34.0,34.0,68.5,,34.0,34.0,65.8,,34.0,34.0,55.1,,34.0,34.0,58.9,,34.0,34.0,69.8,,34.0,34.0,68.7,,34.0,34.0,36.2,,34.0,34.0,56.1,,34.0,34.0,19.0,,34.0,34.0,103.6,,34.0,34.0,89.6,,34.0,34.0,93.3,,34.0,34.0,70.6,,34.0,34.0,69.7,,34.0,34.0,61.8,,34.0,34.0,67.6,,34.0,34.0,39.2,,34.0,34.0,42.7,,34.0,34.0,39.3,,34.0,34.0,40.2,,34.0,0.9,
25/01/2025 5:05:53 PM,300,34.0,58.6,,34.0,3.0,99.2,31.2,34.0,34.0,60.7,,34.0,3.0,99.2,31.2,34.0,34.0,37.2,,34.0,3.0,99.2,31.2,34.0,34.0,50.0,,34.0,34.0,47.5,,34.0,34.0,70.8,,34.0,34.0,67.7,,34.0,34.0,55.1,,34.0,34.0,61.0,,34.0,34.0,70.5,,34.0,34.0,67.0,,34.0,34.0,37.2,,34.0,34.0,56.2,,34.0,34.0,19.3,,34.0,34.0,101.2,,34.0,34.0,96.3,,34.0,34.0,92.0,,34.0,34.0,73.4,,34.0,34.0,71.3,,34.0,34.0,62.8,,34.0,34.0,68.4,,34.0,34.0,40.3,,34.0,34.0,43.3,,34.0,34.0,39.3,,34.0,34.0,39.0,,34.0,0.2,
25/01/2025 5:06:53 PM,360,34.0,58.6,,34.0,3.0,99.2,31.2,34.0,34.0,60.6,,34.0,3.0,99.2,31.2,34.0,34.0,36.8,,34.0,3.0,99.2,31.2,34.0,34.0,49.7,,34.0,34.0,46.9,,34.0,34.0,69.9,,34.0,34.0,68.3,,34.0,34.0,55.1,,34.0,34.0,61.5,,34.0,34.0,70.9,,34.0,34.0,68.2,,34.0,34.0,36.8,,34.0,34.0,57.0,,34.0,34.0,19.2,,34.0,34.0,102.9,,34.0,34.0,91.8,,34.0,34.0,98.7,,34.0,34.0,75.6,,34.0,34.0,68.3,,34.0,34.0,62.0,,34.0,34.0,66.7,,34.0,34.0,40.2,,34.0,34.0,43.5,,34.0,34.0,38.4,,34.0,34.0,39.0,,34.0,0.5,
25/01/2025 5:07:53 PM,420,34.0,58.1,,34.0,3.0,99.2,31.2,34.0,34.0,60.1,,34.0,3.0,99.2,31.2,34.0,34.0,37.6,,34.0,3.0,99.2,31.2,34.0,34.0,48.4,,34.0,34.0,46.4,,34.0,34.0,69.1,,34.0,34.0,67.9,,34.0,34.0,55.3,,34.0,34.0,59.6,,34.0,34.0,69.4,,34.0,34.0,68.9,,34.0,34.0,37.6,,34.0,34.0,56.7,,34.0,34.0,20.2,,34.0,34.0,102.9,,34.0,34.0,90.3,,34.0,34.0,94.9,,34.0,34.0,72.2,,34.0,34.0,65.8,,34.0,34.0,61.6,,34.0,34.0,66.7,,34.0,34.0,39.4,,34.0,34.0,44.1,,34.0,34.0,39.0,,34.0,34.0,38.5,,34.0,0.4,
25/01/2025 5:08:53 PM,480,34.0,57.7,,34.0,3.0,99.2,31.2,34.0,34.0,59.5,,34.0,3.0,99.2,31.2,34.0,34.0,37.2,,34.0,3.0,99.2,31.2,34.0,34.0,48.4,,34.0,34.0,45.6,,34.0,34.0,69.1,,34.0,34.0,66.1,,34.0,34.0,55.3,,34.0,34.0,60.1,,34.0,34.0,69.8,,34.0,34.0,66.1,,34.0,34.0,37.2,,34.0,34.0,55.5,,34.0,34.0,19.9,,34.0,34.0,103.7,,34.0,34.0,93.3,,34.0,34.0,93.1,,34.0,34.0,72.9,,34.0,34.0,64.1,,34.0,34.0,59.7,,34.0,34.0,66.2,,34.0,34.0,40.2,,34.0,34.0,43.4,,34.0,34.0,41.0,,34.0,34.0,38.0,,34.0,0.2,
