Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
26/01/2025 3:22:20 PM,71807,34.0,52.3,,34.0,3.0,99.2,31.2,34.0,34.0,59.9,,34.0,3.0,99.2,31.2,34.0,34.0,30.3,,34.0,3.0,99.2,31.2,34.0,34.0,47.8,,34.0,34.0,45.0,,34.0,34.0,69.2,,34.0,34.0,69.0,,34.0,34.0,54.5,,34.0,34.0,58.7,,34.0,34.0,72.2,,34.0,34.0,69.8,,34.0,34.0,30.3,,34.0,34.0,54.8,,34.0,34.0,16.4,,34.0,34.0,46.0,,34.0,34.0,85.5,,34.0,34.0,85.4,,34.0,34.0,60.7,,34.0,34.0,68.1,,34.0,34.0,44.0,,34.0,34.0,51.3,,34.0,34.0,28.2,,34.0,34.0,30.1,,34.0,34.0,36.1,,34.0,34.0,37.6,,34.0,0.1,
26/01/2025 3:22:35 PM,71822,34.0,52.3,,34.0,3.0,99.2,31.2,34.0,34.0,59.5,,34.0,3.0,99.2,31.2,34.0,34.0,31.1,,34.0,3.0,99.2,31.2,34.0,34.0,47.9,,34.0,34.0,47.0,,34.0,34.0,68.5,,34.0,34.0,67.0,,34.0,34.0,54.5,,34.0,34.0,59.4,,34.0,34.0,71.7,,34.0,34.0,69.0,,34.0,34.0,31.1,,34.0,34.0,55.1,,34.0,34.0,16.3,,34.0,34.0,49.1,,34.0,34.0,92.1,,34.0,34.0,84.0,,34.0,34.0,59.8,,34.0,34.0,67.5,,34.0,34.0,42.7,,34.0,34.0,49.8,,34.0,34.0,27.2,,34.0,34.0,29.5,,34.0,34.0,36.6,,34.0,34.0,40.4,,34.0,0.3,
26/01/2025 3:23:35 PM,71882,34.0,54.8,,34.0,3.0,99.2,31.2,34.0,34.0,59.7,,34.0,3.0,99.2,31.2,34.0,34.0,31.7,,34.0,3.0,99.2,31.2,34.0,34.0,47.4,,34.0,34.0,45.1,,34.0,34.0,68.0,,34.0,34.0,69.3,,34.0,34.0,54.5,,34.0,34.0,60.5,,34.0,34.0,70.7,,34.0,34.0,70.0,,34.0,34.0,31.7,,34.0,34.0,54.7,,34.0,34.0,17.1,,34.0,34.0,55.9,,34.0,34.0,106.9,,34.0,34.0,110.5,,34.0,34.0,70.3,,34.0,34.0,79.5,,34.0,34.0,45.4,,34.0,34.0,55.1,,34.0,34.0,27.9,,34.0,34.0,31.4,,34.0,34.0,36.6,,34.0,34.0,37.3,,34.0,0.6,
26/01/2025 3:24:35 PM,71942,34.0,52.3,,34.0,3.0,99.2,31.2,34.0,34.0,59.8,,34.0,3.0,99.2,31.2,34.0,34.0,29.6,,34.0,3.0,99.2,31.2,34.0,34.0,51.0,,34.0,34.0,45.7,,34.0,34.0,66.4,,34.0,34.0,69.5,,34.0,34.0,54.5,,34.0,34.0,58.2,,34.0,34.0,68.7,,34.0,34.0,70.8,,34.0,34.0,29.6,,34.0,34.0,54.5,,34.0,34.0,17.0,,34.0,34.0,51.4,,34.0,34.0,93.0,,34.0,34.0,85.7,,34.0,34.0,62.5,,34.0,34.0,70.6,,34.0,34.0,43.9,,34.0,34.0,50.1,,34.0,34.0,27.1,,34.0,34.0,29.4,,34.0,34.0,34.5,,34.0,34.0,36.6,,34.0,1.4,
26/01/2025 3:25:35 PM,72002,34.0,53.7,,34.0,3.0,99.2,31.2,34.0,34.0,60.2,,34.0,3.0,99.2,31.2,34.0,34.0,30.0,,34.0,3.0,99.2,31.2,34.0,34.0,48.3,,34.0,34.0,46.6,,34.0,34.0,69.3,,34.0,34.0,69.0,,34.0,34.0,54.5,,34.0,34.0,58.4,,34.0,34.0,69.7,,34.0,34.0,68.9,,34.0,34.0,30.0,,34.0,34.0,55.2,,34.0,34.0,17.4,,34.0,34.0,81.9,,34.0,34.0,95.4,,34.0,34.0,87.3,,34.0,34.0,63.9,,34.0,34.0,69.3,,34.0,34.0,43.5,,34.0,34.0,46.8,,34.0,34.0,28.6,,34.0,34.0,32.1,,34.0,34.0,36.3,,34.0,34.0,37.4,,34.0,0.2,
26/01/2025 3:26:35 PM,72062,34.0,54.8,,34.0,3.0,99.2,31.2,34.0,34.0,59.1,,34.0,3.0,99.2,31.2,34.0,34.0,29.9,,34.0,3.0,99.2,31.2,34.0,34.0,47.9,,34.0,34.0,45.2,,34.0,34.0,67.1,,34.0,34.0,67.8,,34.0,34.0,54.5,,34.0,34.0,59.7,,34.0,34.0,68.0,,34.0,34.0,66.1,,34.0,34.0,29.9,,34.0,34.0,54.0,,34.0,34.0,19.5,,34.0,34.0,118.8,,34.0,34.0,94.7,,34.0,34.0,85.7,,34.0,34.0,63.3,,34.0,34.0,69.6,,34.0,34.0,45.8,,34.0,34.0,49.8,,34.0,34.0,33.5,,34.0,34.0,32.9,,34.0,34.0,35.1,,34.0,34.0,37.3,,34.0,0.4,
26/01/2025 3:27:35 PM,72122,34.0,55.8,,34.0,3.0,99.2,31.2,34.0,34.0,60.1,,34.0,3.0,99.2,31.2,34.0,34.0,29.8,,34.0,3.0,99.2,31.2,34.0,34.0,46.8,,34.0,34.0,44.5,,34.0,34.0,68.0,,34.0,34.0,71.5,,34.0,34.0,54.5,,34.0,34.0,59.5,,34.0,34.0,71.3,,34.0,34.0,72.3,,34.0,34.0,29.8,,34.0,34.0,52.5,,34.0,34.0,18.8,,34.0,34.0,122.1,,34.0,34.0,98.5,,34.0,34.0,92.6,,34.0,34.0,63.1,,34.0,34.0,69.7,,34.0,34.0,45.0,,34.0,34.0,53.3,,34.0,34.0,31.7,,34.0,34.0,33.1,,34.0,34.0,35.9,,34.0,34.0,36.4,,34.0,0.4,
26/01/2025 3:28:35 PM,72182,34.0,54.9,,34.0,3.0,99.2,31.2,34.0,34.0,59.4,,34.0,3.0,99.2,31.2,34.0,34.0,29.7,,34.0,3.0,99.2,31.2,34.0,34.0,48.7,,34.0,34.0,45.6,,34.0,34.0,67.1,,34.0,34.0,68.3,,34.0,34.0,54.5,,34.0,34.0,58.2,,34.0,34.0,68.4,,34.0,34.0,68.5,,34.0,34.0,29.7,,34.0,34.0,55.0,,34.0,34.0,16.7,,34.0,34.0,120.7,,34.0,34.0,94.6,,34.0,34.0,92.0,,34.0,34.0,65.3,,34.0,34.0,68.4,,34.0,34.0,44.8,,34.0,34.0,51.0,,34.0,34.0,32.2,,34.0,34.0,32.5,,34.0,34.0,36.5,,34.0,34.0,34.6,,34.0,0.2,
26/01/2025 3:29:35 PM,72242,34.0,56.1,,34.0,3.0,99.2,31.2,34.0,34.0,60.4,,34.0,3.0,99.2,31.2,34.0,34.0,32.5,,34.0,3.0,99.2,31.2,34.0,34.0,48.0,,34.0,34.0,46.7,,34.0,34.0,68.2,,34.0,34.0,71.1,,34.0,34.0,54.5,,34.0,34.0,61.3,,34.0,34.0,68.8,,34.0,34.0,70.5,,34.0,34.0,32.5,,34.0,34.0,55.1,,34.0,34.0,18.4,,34.0,34.0,124.3,,34.0,34.0,96.8,,34.0,34.0,87.1,,34.0,34.0,65.6,,34.0,34.0,69.3,,34.0,34.0,47.5,,34.0,34.0,52.6,,34.0,34.0,32.9,,34.0,34.0,33.1,,34.0,34.0,35.3,,34.0,34.0,35.9,,34.0,0.3,
