Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
26/01/2025 6:01:10 PM,81337,34.0,75.5,,34.0,3.0,99.2,31.2,34.0,34.0,85.7,,34.0,3.0,99.2,31.2,34.0,34.0,43.8,,34.0,3.0,99.2,31.2,34.0,34.0,56.3,,34.0,34.0,54.8,,34.0,34.0,105.7,,34.0,34.0,98.3,,34.0,34.0,82.8,,34.0,34.0,82.2,,34.0,34.0,100.0,,34.0,34.0,97.9,,34.0,34.0,43.8,,34.0,34.0,109.1,,34.0,34.0,18.2,,34.0,34.0,73.0,,34.0,34.0,95.8,,34.0,34.0,94.7,,34.0,34.0,72.6,,34.0,34.0,88.6,,34.0,34.0,58.9,,34.0,34.0,69.5,,34.0,34.0,37.5,,34.0,34.0,36.5,,34.0,34.0,75.3,,34.0,34.0,69.8,,34.0,0.2,
26/01/2025 6:01:35 PM,81362,34.0,74.7,,34.0,3.0,99.2,31.2,34.0,34.0,85.9,,34.0,3.0,99.2,31.2,34.0,34.0,44.1,,34.0,3.0,99.2,31.2,34.0,34.0,55.1,,34.0,34.0,54.9,,34.0,34.0,105.1,,34.0,34.0,99.9,,34.0,34.0,82.8,,34.0,34.0,83.6,,34.0,34.0,101.1,,34.0,34.0,96.9,,34.0,34.0,44.1,,34.0,34.0,103.0,,34.0,34.0,18.1,,34.0,34.0,75.1,,34.0,34.0,90.0,,34.0,34.0,88.2,,34.0,34.0,70.3,,34.0,34.0,86.7,,34.0,34.0,59.0,,34.0,34.0,68.7,,34.0,34.0,36.6,,34.0,34.0,37.0,,34.0,34.0,74.3,,34.0,34.0,71.2,,34.0,0.6,
26/01/2025 6:02:35 PM,81422,34.0,68.1,,34.0,3.0,99.2,31.2,34.0,34.0,76.8,,34.0,3.0,99.2,31.2,34.0,34.0,44.3,,34.0,3.0,99.2,31.2,34.0,34.0,53.7,,34.0,34.0,52.5,,34.0,34.0,92.5,,34.0,34.0,86.1,,34.0,34.0,75.2,,34.0,34.0,80.5,,34.0,34.0,86.3,,34.0,34.0,90.6,,34.0,34.0,44.3,,34.0,34.0,100.2,,34.0,34.0,17.6,,34.0,34.0,64.7,,34.0,34.0,86.1,,34.0,34.0,86.1,,34.0,34.0,63.3,,34.0,34.0,72.8,,34.0,34.0,53.0,,34.0,34.0,60.9,,34.0,34.0,34.8,,34.0,34.0,35.2,,34.0,34.0,65.4,,34.0,34.0,61.5,,34.0,1.0,
26/01/2025 6:03:35 PM,81482,34.0,73.5,,34.0,3.0,99.2,31.2,34.0,34.0,84.0,,34.0,3.0,99.2,31.2,34.0,34.0,44.0,,34.0,3.0,99.2,31.2,34.0,34.0,55.8,,34.0,34.0,51.5,,34.0,34.0,105.4,,34.0,34.0,97.0,,34.0,34.0,79.0,,34.0,34.0,82.5,,34.0,34.0,95.4,,34.0,34.0,93.6,,34.0,34.0,44.0,,34.0,34.0,108.7,,34.0,34.0,17.9,,34.0,34.0,72.3,,34.0,34.0,92.0,,34.0,34.0,86.6,,34.0,34.0,68.2,,34.0,34.0,81.9,,34.0,34.0,58.4,,34.0,34.0,67.7,,34.0,34.0,36.4,,34.0,34.0,35.1,,34.0,34.0,73.0,,34.0,34.0,69.5,,34.0,3.0,
26/01/2025 6:04:35 PM,81542,34.0,74.3,,34.0,3.0,99.2,31.2,34.0,34.0,84.6,,34.0,3.0,99.2,31.2,34.0,34.0,44.3,,34.0,3.0,99.2,31.2,34.0,34.0,54.2,,34.0,34.0,54.2,,34.0,34.0,105.3,,34.0,34.0,98.1,,34.0,34.0,79.8,,34.0,34.0,83.3,,34.0,34.0,97.9,,34.0,34.0,96.1,,34.0,34.0,44.3,,34.0,34.0,109.6,,34.0,34.0,17.8,,34.0,34.0,74.3,,34.0,34.0,86.8,,34.0,34.0,86.8,,34.0,34.0,66.8,,34.0,34.0,83.8,,34.0,34.0,59.1,,34.0,34.0,69.3,,34.0,34.0,35.9,,34.0,34.0,37.8,,34.0,34.0,73.8,,34.0,34.0,70.4,,34.0,0.8,
26/01/2025 6:05:35 PM,81602,34.0,75.3,,34.0,3.0,99.2,31.2,34.0,34.0,84.3,,34.0,3.0,99.2,31.2,34.0,34.0,44.6,,34.0,3.0,99.2,31.2,34.0,34.0,53.5,,34.0,34.0,53.7,,34.0,34.0,104.6,,34.0,34.0,97.0,,34.0,34.0,81.3,,34.0,34.0,81.9,,34.0,34.0,100.3,,34.0,34.0,96.8,,34.0,34.0,44.6,,34.0,34.0,110.3,,34.0,34.0,18.4,,34.0,34.0,74.6,,34.0,34.0,92.5,,34.0,34.0,86.0,,34.0,34.0,68.2,,34.0,34.0,84.5,,34.0,34.0,59.8,,34.0,34.0,82.7,,34.0,34.0,37.2,,34.0,34.0,37.6,,34.0,34.0,74.8,,34.0,34.0,69.2,,34.0,0.4,
26/01/2025 6:06:35 PM,81662,34.0,75.1,,34.0,3.0,99.2,31.2,34.0,34.0,85.0,,34.0,3.0,99.2,31.2,34.0,34.0,44.7,,34.0,3.0,99.2,31.2,34.0,34.0,54.5,,34.0,34.0,52.9,,34.0,34.0,105.2,,34.0,34.0,98.5,,34.0,34.0,81.7,,34.0,34.0,83.1,,34.0,34.0,102.6,,34.0,34.0,95.4,,34.0,34.0,44.7,,34.0,34.0,109.5,,34.0,34.0,17.9,,34.0,34.0,73.6,,34.0,34.0,91.2,,34.0,34.0,88.0,,34.0,34.0,77.2,,34.0,34.0,84.5,,34.0,34.0,58.1,,34.0,34.0,70.4,,34.0,34.0,37.3,,34.0,34.0,37.0,,34.0,34.0,72.5,,34.0,34.0,71.1,,34.0,0.1,
26/01/2025 6:07:35 PM,81722,34.0,74.5,,34.0,3.0,99.2,31.2,34.0,34.0,84.9,,34.0,3.0,99.2,31.2,34.0,34.0,46.1,,34.0,3.0,99.2,31.2,34.0,34.0,54.3,,34.0,34.0,55.0,,34.0,34.0,104.9,,34.0,34.0,97.1,,34.0,34.0,82.2,,34.0,34.0,82.4,,34.0,34.0,97.7,,34.0,34.0,97.0,,34.0,34.0,46.1,,34.0,34.0,111.2,,34.0,34.0,17.6,,34.0,34.0,71.3,,34.0,34.0,92.2,,34.0,34.0,86.2,,34.0,34.0,69.1,,34.0,34.0,82.8,,34.0,34.0,58.3,,34.0,34.0,68.5,,34.0,34.0,36.2,,34.0,34.0,37.9,,34.0,34.0,74.7,,34.0,34.0,69.7,,34.0,0.4,
26/01/2025 6:08:35 PM,81782,34.0,74.7,,34.0,3.0,99.2,31.2,34.0,34.0,84.5,,34.0,3.0,99.2,31.2,34.0,34.0,44.4,,34.0,3.0,99.2,31.2,34.0,34.0,55.1,,34.0,34.0,52.1,,34.0,34.0,103.6,,34.0,34.0,97.9,,34.0,34.0,82.2,,34.0,34.0,84.4,,34.0,34.0,100.3,,34.0,34.0,96.1,,34.0,34.0,44.4,,34.0,34.0,106.8,,34.0,34.0,17.8,,34.0,34.0,73.4,,34.0,34.0,88.4,,34.0,34.0,88.4,,34.0,34.0,67.6,,34.0,34.0,91.0,,34.0,34.0,58.2,,34.0,34.0,70.7,,34.0,34.0,36.7,,34.0,34.0,36.6,,34.0,34.0,75.0,,34.0,34.0,71.6,,34.0,0.5,
