Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
1/02/2025 4:31:39 PM,594357,34.0,52.9,,34.0,3.0,99.2,31.2,34.0,34.0,58.1,,34.0,3.0,99.2,31.2,34.0,34.0,34.3,,34.0,3.0,99.2,31.2,34.0,34.0,47.6,,34.0,34.0,45.4,,34.0,34.0,65.1,,34.0,34.0,64.1,,34.0,34.0,56.4,,34.0,34.0,62.2,,34.0,34.0,68.7,,34.0,34.0,70.8,,34.0,34.0,34.3,,34.0,34.0,53.7,,34.0,34.0,17.9,,34.0,34.0,49.0,,34.0,34.0,97.4,,34.0,34.0,91.5,,34.0,34.0,59.4,,34.0,34.0,73.6,,34.0,34.0,44.8,,34.0,34.0,53.0,,34.0,34.0,27.0,,34.0,34.0,30.9,,34.0,34.0,36.0,,34.0,34.0,39.7,,34.0,0.1,
1/02/2025 4:31:44 PM,594362,34.0,52.7,,34.0,3.0,99.2,31.2,34.0,34.0,58.2,,34.0,3.0,99.2,31.2,34.0,34.0,34.8,,34.0,3.0,99.2,31.2,34.0,34.0,47.0,,34.0,34.0,45.3,,34.0,34.0,65.1,,34.0,34.0,64.9,,34.0,34.0,56.4,,34.0,34.0,61.6,,34.0,34.0,68.2,,34.0,34.0,72.3,,34.0,34.0,34.8,,34.0,34.0,53.5,,34.0,34.0,18.4,,34.0,34.0,43.9,,34.0,34.0,101.1,,34.0,34.0,87.5,,34.0,34.0,62.7,,34.0,34.0,71.8,,34.0,34.0,43.1,,34.0,34.0,52.3,,34.0,34.0,26.5,,34.0,34.0,30.8,,34.0,34.0,35.5,,34.0,34.0,38.5,,34.0,0.1,
1/02/2025 4:32:44 PM,594422,34.0,53.9,,34.0,3.0,99.2,31.2,34.0,34.0,58.6,,34.0,3.0,99.2,31.2,34.0,34.0,34.3,,34.0,3.0,99.2,31.2,34.0,34.0,48.2,,34.0,34.0,45.8,,34.0,34.0,66.2,,34.0,34.0,64.5,,34.0,34.0,56.5,,34.0,34.0,64.3,,34.0,34.0,66.7,,34.0,34.0,68.4,,34.0,34.0,34.3,,34.0,34.0,56.8,,34.0,34.0,18.2,,34.0,34.0,50.1,,34.0,34.0,101.3,,34.0,34.0,94.5,,34.0,34.0,61.2,,34.0,34.0,79.5,,34.0,34.0,45.7,,34.0,34.0,54.1,,34.0,34.0,29.9,,34.0,34.0,31.5,,34.0,34.0,36.6,,34.0,34.0,40.8,,34.0,0.1,
1/02/2025 4:33:44 PM,594482,34.0,52.7,,34.0,3.0,99.2,31.2,34.0,34.0,58.6,,34.0,3.0,99.2,31.2,34.0,34.0,34.4,,34.0,3.0,99.2,31.2,34.0,34.0,49.5,,34.0,34.0,46.2,,34.0,34.0,64.5,,34.0,34.0,65.4,,34.0,34.0,56.5,,34.0,34.0,58.7,,34.0,34.0,67.8,,34.0,34.0,69.1,,34.0,34.0,34.4,,34.0,34.0,54.8,,34.0,34.0,17.1,,34.0,34.0,50.3,,34.0,34.0,95.6,,34.0,34.0,91.4,,34.0,34.0,60.7,,34.0,34.0,71.7,,34.0,34.0,45.2,,34.0,34.0,50.4,,34.0,34.0,29.7,,34.0,34.0,31.2,,34.0,34.0,35.9,,34.0,34.0,39.5,,34.0,0.3,
1/02/2025 4:34:45 PM,594542,34.0,53.7,,34.0,3.0,99.2,31.2,34.0,34.0,60.2,,34.0,3.0,99.2,31.2,34.0,34.0,32.4,,34.0,3.0,99.2,31.2,34.0,34.0,36.4,,34.0,34.0,71.8,,34.0,34.0,64.9,,34.0,34.0,65.2,,34.0,34.0,56.0,,34.0,34.0,62.8,,34.0,34.0,68.0,,34.0,34.0,71.1,,34.0,34.0,32.4,,34.0,34.0,56.0,,34.0,34.0,19.8,,34.0,34.0,59.7,,34.0,34.0,96.1,,34.0,34.0,83.5,,34.0,34.0,58.6,,34.0,34.0,71.0,,34.0,34.0,44.7,,34.0,34.0,51.9,,34.0,34.0,27.4,,34.0,34.0,29.6,,34.0,34.0,38.4,,34.0,34.0,41.3,,34.0,0.0,
1/02/2025 4:35:44 PM,594602,34.0,53.8,,34.0,3.0,99.2,31.2,34.0,34.0,58.3,,34.0,3.0,99.2,31.2,34.0,34.0,33.2,,34.0,3.0,99.2,31.2,34.0,34.0,46.9,,34.0,34.0,44.1,,34.0,34.0,63.9,,34.0,34.0,67.6,,34.0,34.0,56.0,,34.0,34.0,64.8,,34.0,34.0,66.2,,34.0,34.0,68.8,,34.0,34.0,33.2,,34.0,34.0,55.5,,34.0,34.0,19.5,,34.0,34.0,65.9,,34.0,34.0,109.6,,34.0,34.0,84.9,,34.0,34.0,66.2,,34.0,34.0,70.8,,34.0,34.0,44.2,,34.0,34.0,51.3,,34.0,34.0,27.5,,34.0,34.0,32.2,,34.0,34.0,35.0,,34.0,34.0,40.3,,34.0,0.2,
1/02/2025 4:36:44 PM,594662,34.0,54.4,,34.0,3.0,99.2,31.2,34.0,34.0,57.9,,34.0,3.0,99.2,31.2,34.0,34.0,33.8,,34.0,3.0,99.2,31.2,34.0,34.0,45.4,,34.0,34.0,44.8,,34.0,34.0,65.2,,34.0,34.0,65.0,,34.0,34.0,55.9,,34.0,34.0,63.5,,34.0,34.0,67.2,,34.0,34.0,70.7,,34.0,34.0,33.8,,34.0,34.0,53.3,,34.0,34.0,20.5,,34.0,34.0,66.7,,34.0,34.0,104.1,,34.0,34.0,95.3,,34.0,34.0,65.2,,34.0,34.0,78.1,,34.0,34.0,45.5,,34.0,34.0,54.4,,34.0,34.0,29.1,,34.0,34.0,32.1,,34.0,34.0,34.6,,34.0,34.0,42.3,,34.0,0.4,
1/02/2025 4:37:44 PM,594722,34.0,54.8,,34.0,3.0,99.2,31.2,34.0,34.0,57.1,,34.0,3.0,99.2,31.2,34.0,34.0,35.3,,34.0,3.0,99.2,31.2,34.0,34.0,46.9,,34.0,34.0,44.1,,34.0,34.0,62.5,,34.0,34.0,64.5,,34.0,34.0,55.5,,34.0,34.0,63.7,,34.0,34.0,67.4,,34.0,34.0,70.0,,34.0,34.0,35.3,,34.0,34.0,57.7,,34.0,34.0,20.5,,34.0,34.0,68.9,,34.0,34.0,114.8,,34.0,34.0,86.4,,34.0,34.0,68.6,,34.0,34.0,77.7,,34.0,34.0,46.3,,34.0,34.0,54.6,,34.0,34.0,29.2,,34.0,34.0,32.3,,34.0,34.0,36.6,,34.0,34.0,41.0,,34.0,0.7,
1/02/2025 4:38:44 PM,594782,34.0,55.0,,34.0,3.0,99.2,31.2,34.0,34.0,57.4,,34.0,3.0,99.2,31.2,34.0,34.0,34.7,,34.0,3.0,99.2,31.2,34.0,34.0,45.7,,34.0,34.0,44.5,,34.0,34.0,62.8,,34.0,34.0,65.1,,34.0,34.0,56.2,,34.0,34.0,61.7,,34.0,34.0,67.3,,34.0,34.0,70.9,,34.0,34.0,34.7,,34.0,34.0,57.2,,34.0,34.0,20.9,,34.0,34.0,72.6,,34.0,34.0,118.8,,34.0,34.0,91.7,,34.0,34.0,66.4,,34.0,34.0,75.6,,34.0,34.0,42.4,,34.0,34.0,54.7,,34.0,34.0,30.8,,34.0,34.0,33.8,,34.0,34.0,35.7,,34.0,34.0,41.7,,34.0,0.7,
