Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
4/02/2025 2:26:34 PM,846047,34.0,56.3,,34.0,3.0,99.2,31.2,34.0,34.0,60.0,,34.0,3.0,99.2,31.2,34.0,34.0,35.5,,34.0,3.0,99.2,31.2,34.0,34.0,47.9,,34.0,34.0,46.1,,34.0,34.0,66.4,,34.0,34.0,68.9,,34.0,34.0,57.5,,34.0,34.0,62.9,,34.0,34.0,70.6,,34.0,34.0,69.8,,34.0,34.0,35.5,,34.0,34.0,59.5,,34.0,34.0,16.3,,34.0,34.0,112.9,,34.0,34.0,94.6,,34.0,34.0,88.5,,34.0,34.0,60.1,,34.0,34.0,72.9,,34.0,34.0,47.1,,34.0,34.0,53.3,,34.0,34.0,31.9,,34.0,34.0,33.4,,34.0,34.0,36.7,,34.0,34.0,41.4,,34.0,0.6,
4/02/2025 2:26:49 PM,846062,34.0,56.7,,34.0,3.0,99.2,31.2,34.0,34.0,60.3,,34.0,3.0,99.2,31.2,34.0,34.0,36.0,,34.0,3.0,99.2,31.2,34.0,34.0,47.5,,34.0,34.0,46.6,,34.0,34.0,67.3,,34.0,34.0,69.0,,34.0,34.0,57.5,,34.0,34.0,64.5,,34.0,34.0,71.4,,34.0,34.0,69.7,,34.0,34.0,36.0,,34.0,34.0,59.0,,34.0,34.0,17.1,,34.0,34.0,113.9,,34.0,34.0,95.0,,34.0,34.0,87.5,,34.0,34.0,60.2,,34.0,34.0,74.8,,34.0,34.0,46.8,,34.0,34.0,54.7,,34.0,34.0,31.2,,34.0,34.0,34.2,,34.0,34.0,37.2,,34.0,34.0,41.2,,34.0,0.7,
4/02/2025 2:27:49 PM,846122,34.0,57.3,,34.0,3.0,99.2,31.2,34.0,34.0,59.4,,34.0,3.0,99.2,31.2,34.0,34.0,38.6,,34.0,3.0,99.2,31.2,34.0,34.0,48.5,,34.0,34.0,47.1,,34.0,34.0,66.2,,34.0,34.0,65.7,,34.0,34.0,57.5,,34.0,34.0,62.4,,34.0,34.0,70.3,,34.0,34.0,69.5,,34.0,34.0,38.6,,34.0,34.0,57.5,,34.0,34.0,19.8,,34.0,34.0,139.3,,34.0,34.0,89.6,,34.0,34.0,86.8,,34.0,34.0,59.1,,34.0,34.0,69.8,,34.0,34.0,46.7,,34.0,34.0,53.7,,34.0,34.0,32.1,,34.0,34.0,43.1,,34.0,34.0,38.8,,34.0,34.0,41.2,,34.0,0.9,
4/02/2025 2:28:49 PM,846182,34.0,56.7,,34.0,3.0,99.2,31.2,34.0,34.0,59.3,,34.0,3.0,99.2,31.2,34.0,34.0,36.9,,34.0,3.0,99.2,31.2,34.0,34.0,46.5,,34.0,34.0,46.3,,34.0,34.0,66.0,,34.0,34.0,66.9,,34.0,34.0,57.5,,34.0,34.0,64.6,,34.0,34.0,67.9,,34.0,34.0,68.8,,34.0,34.0,36.9,,34.0,34.0,56.7,,34.0,34.0,19.0,,34.0,34.0,138.1,,34.0,34.0,93.5,,34.0,34.0,84.6,,34.0,34.0,61.4,,34.0,34.0,70.7,,34.0,34.0,47.3,,34.0,34.0,53.9,,34.0,34.0,32.2,,34.0,34.0,33.8,,34.0,34.0,35.8,,34.0,34.0,42.1,,34.0,0.5,
4/02/2025 2:29:49 PM,846242,34.0,57.1,,34.0,3.0,99.2,31.2,34.0,34.0,59.9,,34.0,3.0,99.2,31.2,34.0,34.0,37.1,,34.0,3.0,99.2,31.2,34.0,34.0,47.0,,34.0,34.0,45.8,,34.0,34.0,67.2,,34.0,34.0,68.0,,34.0,34.0,57.5,,34.0,34.0,61.0,,34.0,34.0,71.1,,34.0,34.0,69.1,,34.0,34.0,37.1,,34.0,34.0,58.1,,34.0,34.0,20.2,,34.0,34.0,134.2,,34.0,34.0,96.3,,34.0,34.0,88.3,,34.0,34.0,61.6,,34.0,34.0,69.0,,34.0,34.0,46.5,,34.0,34.0,54.3,,34.0,34.0,31.9,,34.0,34.0,34.9,,34.0,34.0,37.8,,34.0,34.0,41.6,,34.0,0.1,
4/02/2025 2:30:49 PM,846302,34.0,56.9,,34.0,3.0,99.2,31.2,34.0,34.0,60.0,,34.0,3.0,99.2,31.2,34.0,34.0,34.4,,34.0,3.0,99.2,31.2,34.0,34.0,47.8,,34.0,34.0,47.0,,34.0,34.0,67.4,,34.0,34.0,67.2,,34.0,34.0,57.5,,34.0,34.0,64.3,,34.0,34.0,70.8,,34.0,34.0,66.9,,34.0,34.0,34.4,,34.0,34.0,56.9,,34.0,34.0,20.6,,34.0,34.0,137.9,,34.0,34.0,91.0,,34.0,34.0,86.6,,34.0,34.0,59.7,,34.0,34.0,72.0,,34.0,34.0,46.6,,34.0,34.0,53.7,,34.0,34.0,32.4,,34.0,34.0,35.2,,34.0,34.0,34.8,,34.0,34.0,43.1,,34.0,0.3,
4/02/2025 2:31:49 PM,846362,34.0,56.7,,34.0,3.0,99.2,31.2,34.0,34.0,60.0,,34.0,3.0,99.2,31.2,34.0,34.0,36.8,,34.0,3.0,99.2,31.2,34.0,34.0,46.6,,34.0,34.0,45.8,,34.0,34.0,67.2,,34.0,34.0,68.7,,34.0,34.0,57.5,,34.0,34.0,64.3,,34.0,34.0,70.1,,34.0,34.0,67.0,,34.0,34.0,36.8,,34.0,34.0,54.7,,34.0,34.0,19.5,,34.0,34.0,137.0,,34.0,34.0,97.5,,34.0,34.0,87.0,,34.0,34.0,61.8,,34.0,34.0,69.9,,34.0,34.0,46.2,,34.0,34.0,52.8,,34.0,34.0,32.9,,34.0,34.0,34.0,,34.0,34.0,37.9,,34.0,34.0,38.8,,34.0,0.1,
4/02/2025 2:32:49 PM,846422,34.0,56.3,,34.0,3.0,99.2,31.2,34.0,34.0,59.2,,34.0,3.0,99.2,31.2,34.0,34.0,33.4,,34.0,3.0,99.2,31.2,34.0,34.0,45.9,,34.0,34.0,46.5,,34.0,34.0,65.6,,34.0,34.0,67.0,,34.0,34.0,57.5,,34.0,34.0,63.6,,34.0,34.0,68.4,,34.0,34.0,67.7,,34.0,34.0,33.4,,34.0,34.0,57.8,,34.0,34.0,19.5,,34.0,34.0,136.0,,34.0,34.0,87.3,,34.0,34.0,82.7,,34.0,34.0,58.5,,34.0,34.0,71.5,,34.0,34.0,46.2,,34.0,34.0,52.9,,34.0,34.0,32.5,,34.0,34.0,35.1,,34.0,34.0,38.5,,34.0,34.0,41.8,,34.0,0.2,
4/02/2025 2:33:49 PM,846482,34.0,57.3,,34.0,3.0,99.2,31.2,34.0,34.0,59.3,,34.0,3.0,99.2,31.2,34.0,34.0,35.7,,34.0,3.0,99.2,31.2,34.0,34.0,47.6,,34.0,34.0,45.9,,34.0,34.0,66.3,,34.0,34.0,66.2,,34.0,34.0,57.5,,34.0,34.0,63.2,,34.0,34.0,69.6,,34.0,34.0,68.8,,34.0,34.0,35.7,,34.0,34.0,58.2,,34.0,34.0,19.4,,34.0,34.0,139.6,,34.0,34.0,100.9,,34.0,34.0,88.6,,34.0,34.0,64.3,,34.0,34.0,73.8,,34.0,34.0,46.6,,34.0,34.0,54.3,,34.0,34.0,33.3,,34.0,34.0,33.4,,34.0,34.0,36.8,,34.0,34.0,41.4,,34.0,0.5,
4/02/2025 2:34:49 PM,846542,34.0,56.4,,34.0,3.0,99.2,31.2,34.0,34.0,60.1,,34.0,3.0,99.2,31.2,34.0,34.0,34.6,,34.0,3.0,99.2,31.2,34.0,34.0,47.5,,34.0,34.0,47.5,,34.0,34.0,67.0,,34.0,34.0,68.1,,34.0,34.0,57.5,,34.0,34.0,62.7,,34.0,34.0,69.6,,34.0,34.0,67.7,,34.0,34.0,34.6,,34.0,34.0,57.4,,34.0,34.0,13.2,,34.0,34.0,135.7,,34.0,34.0,93.2,,34.0,34.0,82.5,,34.0,34.0,60.9,,34.0,34.0,69.9,,34.0,34.0,48.0,,34.0,34.0,54.2,,34.0,34.0,33.1,,34.0,34.0,32.8,,34.0,34.0,38.1,,34.0,34.0,41.8,,34.0,2.1,
4/02/2025 2:35:49 PM,846602,34.0,57.3,,34.0,3.0,99.2,31.2,34.0,34.0,59.7,,34.0,3.0,99.2,31.2,34.0,34.0,34.4,,34.0,3.0,99.2,31.2,34.0,34.0,48.4,,34.0,34.0,46.1,,34.0,34.0,65.1,,34.0,34.0,68.8,,34.0,34.0,57.5,,34.0,34.0,62.1,,34.0,34.0,70.3,,34.0,34.0,69.8,,34.0,34.0,34.4,,34.0,34.0,59.3,,34.0,34.0,18.3,,34.0,34.0,137.2,,34.0,34.0,97.1,,34.0,34.0,85.5,,34.0,34.0,64.1,,34.0,34.0,74.2,,34.0,34.0,47.6,,34.0,34.0,54.4,,34.0,34.0,33.1,,34.0,34.0,33.8,,34.0,34.0,35.7,,34.0,34.0,42.9,,34.0,0.5,
4/02/2025 2:36:49 PM,846662,34.0,56.8,,34.0,3.0,99.2,31.2,34.0,34.0,58.1,,34.0,3.0,99.2,31.2,34.0,34.0,34.5,,34.0,3.0,99.2,31.2,34.0,34.0,48.5,,34.0,34.0,48.1,,34.0,34.0,67.6,,34.0,34.0,58.9,,34.0,34.0,57.5,,34.0,34.0,60.8,,34.0,34.0,71.4,,34.0,34.0,70.9,,34.0,34.0,34.5,,34.0,34.0,57.3,,34.0,34.0,19.3,,34.0,34.0,137.0,,34.0,34.0,94.4,,34.0,34.0,92.0,,34.0,34.0,62.6,,34.0,34.0,73.9,,34.0,34.0,46.4,,34.0,34.0,55.3,,34.0,34.0,32.3,,34.0,34.0,35.4,,34.0,34.0,37.6,,34.0,34.0,38.3,,34.0,0.2,
4/02/2025 2:37:49 PM,846722,34.0,56.9,,34.0,3.0,99.2,31.2,34.0,34.0,59.6,,34.0,3.0,99.2,31.2,34.0,34.0,34.9,,34.0,3.0,99.2,31.2,34.0,34.0,46.6,,34.0,34.0,45.5,,34.0,34.0,65.3,,34.0,34.0,69.2,,34.0,34.0,57.5,,34.0,34.0,64.6,,34.0,34.0,68.6,,34.0,34.0,67.3,,34.0,34.0,34.9,,34.0,34.0,57.6,,34.0,34.0,19.5,,34.0,34.0,137.2,,34.0,34.0,100.0,,34.0,34.0,83.5,,34.0,34.0,63.8,,34.0,34.0,70.7,,34.0,34.0,47.7,,34.0,34.0,53.5,,34.0,34.0,31.7,,34.0,34.0,34.3,,34.0,34.0,36.6,,34.0,34.0,41.9,,34.0,0.1,
4/02/2025 2:38:49 PM,846782,34.0,57.0,,34.0,3.0,99.2,31.2,34.0,34.0,59.7,,34.0,3.0,99.2,31.2,34.0,34.0,34.7,,34.0,3.0,99.2,31.2,34.0,34.0,48.2,,34.0,34.0,45.8,,34.0,34.0,66.4,,34.0,34.0,67.4,,34.0,34.0,57.5,,34.0,34.0,63.5,,34.0,34.0,70.5,,34.0,34.0,67.2,,34.0,34.0,34.7,,34.0,34.0,57.0,,34.0,34.0,18.6,,34.0,34.0,137.5,,34.0,34.0,100.5,,34.0,34.0,85.5,,34.0,34.0,62.3,,34.0,34.0,73.1,,34.0,34.0,48.1,,34.0,34.0,54.9,,34.0,34.0,31.8,,34.0,34.0,33.5,,34.0,34.0,35.8,,34.0,34.0,42.1,,34.0,0.2,
4/02/2025 2:39:49 PM,846842,34.0,56.2,,34.0,3.0,99.2,31.2,34.0,34.0,59.6,,34.0,3.0,99.2,31.2,34.0,34.0,33.9,,34.0,3.0,99.2,31.2,34.0,34.0,47.0,,34.0,34.0,46.4,,34.0,34.0,65.8,,34.0,34.0,67.9,,34.0,34.0,57.5,,34.0,34.0,62.9,,34.0,34.0,67.7,,34.0,34.0,67.0,,34.0,34.0,33.9,,34.0,34.0,57.7,,34.0,34.0,19.4,,34.0,34.0,136.1,,34.0,34.0,86.4,,34.0,34.0,83.6,,34.0,34.0,60.5,,34.0,34.0,71.1,,34.0,34.0,46.0,,34.0,34.0,54.3,,34.0,34.0,32.1,,34.0,34.0,34.5,,34.0,34.0,35.0,,34.0,34.0,41.9,,34.0,0.1,
