Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
4/02/2025 12:58:49 PM,840782,34.0,60.1,,34.0,3.0,99.2,31.2,34.0,34.0,65.0,,34.0,3.0,99.2,31.2,34.0,34.0,34.5,,34.0,3.0,99.2,31.2,34.0,34.0,47.8,,34.0,34.0,46.6,,34.0,34.0,75.5,,34.0,34.0,72.3,,34.0,34.0,64.6,,34.0,34.0,67.2,,34.0,34.0,78.1,,34.0,34.0,79.9,,34.0,34.0,34.5,,34.0,34.0,79.1,,34.0,34.0,20.3,,34.0,34.0,61.1,,34.0,34.0,87.2,,34.0,34.0,85.3,,34.0,34.0,61.0,,34.0,34.0,70.3,,34.0,34.0,52.8,,34.0,34.0,56.7,,34.0,34.0,29.7,,34.0,34.0,31.0,,34.0,34.0,57.9,,34.0,34.0,52.8,,34.0,0.1,
4/02/2025 12:59:49 PM,840842,34.0,63.9,,34.0,3.0,99.2,31.2,34.0,34.0,67.0,,34.0,3.0,99.2,31.2,34.0,34.0,34.7,,34.0,3.0,99.2,31.2,34.0,34.0,48.4,,34.0,34.0,45.2,,34.0,34.0,78.3,,34.0,34.0,75.4,,34.0,34.0,67.2,,34.0,34.0,71.3,,34.0,34.0,79.5,,34.0,34.0,84.4,,34.0,34.0,34.7,,34.0,34.0,84.0,,34.0,34.0,23.4,,34.0,34.0,69.8,,34.0,34.0,101.9,,34.0,34.0,92.5,,34.0,34.0,65.5,,34.0,34.0,75.3,,34.0,34.0,57.9,,34.0,34.0,63.0,,34.0,34.0,31.4,,34.0,34.0,31.9,,34.0,34.0,61.7,,34.0,34.0,58.2,,34.0,1.3,
4/02/2025 1:00:49 PM,840902,34.0,66.1,,34.0,3.0,99.2,31.2,34.0,34.0,70.5,,34.0,3.0,99.2,31.2,34.0,34.0,36.3,,34.0,3.0,99.2,31.2,34.0,34.0,49.5,,34.0,34.0,47.7,,34.0,34.0,83.0,,34.0,34.0,80.4,,34.0,34.0,69.3,,34.0,34.0,71.8,,34.0,34.0,81.7,,34.0,34.0,85.6,,34.0,34.0,36.3,,34.0,34.0,89.6,,34.0,34.0,24.5,,34.0,34.0,75.2,,34.0,34.0,102.3,,34.0,34.0,94.0,,34.0,34.0,64.8,,34.0,34.0,75.4,,34.0,34.0,60.3,,34.0,34.0,61.7,,34.0,34.0,35.0,,34.0,34.0,35.0,,34.0,34.0,62.5,,34.0,34.0,60.2,,34.0,1.0,
4/02/2025 1:01:49 PM,840962,34.0,66.8,,34.0,3.0,99.2,31.2,34.0,34.0,71.5,,34.0,3.0,99.2,31.2,34.0,34.0,37.5,,34.0,3.0,99.2,31.2,34.0,34.0,51.6,,34.0,34.0,48.2,,34.0,34.0,83.6,,34.0,34.0,81.6,,34.0,34.0,70.4,,34.0,34.0,71.6,,34.0,34.0,88.5,,34.0,34.0,87.8,,34.0,34.0,37.5,,34.0,34.0,89.9,,34.0,34.0,24.3,,34.0,34.0,75.3,,34.0,34.0,95.6,,34.0,34.0,86.7,,34.0,34.0,64.9,,34.0,34.0,77.7,,34.0,34.0,59.3,,34.0,34.0,63.8,,34.0,34.0,33.6,,34.0,34.0,35.9,,34.0,34.0,62.5,,34.0,34.0,61.9,,34.0,0.1,
4/02/2025 1:02:49 PM,841022,34.0,66.7,,34.0,3.0,99.2,31.2,34.0,34.0,69.9,,34.0,3.0,99.2,31.2,34.0,34.0,36.5,,34.0,3.0,99.2,31.2,34.0,34.0,51.0,,34.0,34.0,46.3,,34.0,34.0,80.1,,34.0,34.0,79.4,,34.0,34.0,71.1,,34.0,34.0,72.3,,34.0,34.0,83.2,,34.0,34.0,85.3,,34.0,34.0,36.5,,34.0,34.0,90.9,,34.0,34.0,27.4,,34.0,34.0,76.0,,34.0,34.0,102.1,,34.0,34.0,95.0,,34.0,34.0,65.8,,34.0,34.0,77.4,,34.0,34.0,58.9,,34.0,34.0,65.3,,34.0,34.0,34.6,,34.0,34.0,34.8,,34.0,34.0,63.3,,34.0,34.0,62.0,,34.0,0.1,
4/02/2025 1:03:49 PM,841082,34.0,67.6,,34.0,3.0,99.2,31.2,34.0,34.0,72.1,,34.0,3.0,99.2,31.2,34.0,34.0,37.6,,34.0,3.0,99.2,31.2,34.0,34.0,50.4,,34.0,34.0,47.6,,34.0,34.0,85.2,,34.0,34.0,82.7,,34.0,34.0,71.1,,34.0,34.0,72.0,,34.0,34.0,85.8,,34.0,34.0,86.2,,34.0,34.0,37.6,,34.0,34.0,91.4,,34.0,34.0,26.3,,34.0,34.0,76.0,,34.0,34.0,103.2,,34.0,34.0,90.2,,34.0,34.0,68.1,,34.0,34.0,78.7,,34.0,34.0,59.8,,34.0,34.0,63.9,,34.0,34.0,33.7,,34.0,34.0,35.6,,34.0,34.0,64.6,,34.0,34.0,63.7,,34.0,0.1,
4/02/2025 1:04:49 PM,841142,34.0,67.3,,34.0,3.0,99.2,31.2,34.0,34.0,72.7,,34.0,3.0,99.2,31.2,34.0,34.0,38.2,,34.0,3.0,99.2,31.2,34.0,34.0,52.5,,34.0,34.0,49.6,,34.0,34.0,84.1,,34.0,34.0,84.2,,34.0,34.0,71.1,,34.0,34.0,72.0,,34.0,34.0,87.1,,34.0,34.0,88.2,,34.0,34.0,38.2,,34.0,34.0,89.8,,34.0,34.0,25.4,,34.0,34.0,75.2,,34.0,34.0,89.5,,34.0,34.0,86.9,,34.0,34.0,65.1,,34.0,34.0,78.7,,34.0,34.0,61.3,,34.0,34.0,62.6,,34.0,34.0,35.4,,34.0,34.0,35.1,,34.0,34.0,65.9,,34.0,34.0,63.3,,34.0,0.2,
4/02/2025 1:05:49 PM,841202,34.0,67.2,,34.0,3.0,99.2,31.2,34.0,34.0,71.7,,34.0,3.0,99.2,31.2,34.0,34.0,38.5,,34.0,3.0,99.2,31.2,34.0,34.0,51.6,,34.0,34.0,49.4,,34.0,34.0,83.7,,34.0,34.0,81.2,,34.0,34.0,71.1,,34.0,34.0,71.5,,34.0,34.0,85.5,,34.0,34.0,86.1,,34.0,34.0,38.5,,34.0,34.0,93.1,,34.0,34.0,24.3,,34.0,34.0,75.5,,34.0,34.0,103.4,,34.0,34.0,92.2,,34.0,34.0,67.3,,34.0,34.0,80.0,,34.0,34.0,50.4,,34.0,34.0,64.3,,34.0,34.0,34.5,,34.0,34.0,36.2,,34.0,34.0,67.0,,34.0,34.0,63.1,,34.0,0.4,
4/02/2025 1:06:49 PM,841262,34.0,67.9,,34.0,3.0,99.2,31.2,34.0,34.0,71.6,,34.0,3.0,99.2,31.2,34.0,34.0,37.5,,34.0,3.0,99.2,31.2,34.0,34.0,51.2,,34.0,34.0,49.3,,34.0,34.0,82.2,,34.0,34.0,82.5,,34.0,34.0,71.1,,34.0,34.0,71.9,,34.0,34.0,85.8,,34.0,34.0,87.7,,34.0,34.0,37.5,,34.0,34.0,91.1,,34.0,34.0,25.6,,34.0,34.0,77.6,,34.0,34.0,108.6,,34.0,34.0,93.5,,34.0,34.0,67.3,,34.0,34.0,77.4,,34.0,34.0,60.7,,34.0,34.0,65.2,,34.0,34.0,35.5,,34.0,34.0,36.0,,34.0,34.0,63.8,,34.0,34.0,65.3,,34.0,0.5,
