Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
5/02/2025 10:35:46 AM,918597,34.0,60.1,,34.0,3.0,99.2,31.2,34.0,34.0,62.4,,34.0,3.0,99.2,31.2,34.0,34.0,40.2,,34.0,3.0,99.2,31.2,34.0,34.0,46.9,,34.0,34.0,47.7,,34.0,34.0,70.7,,34.0,34.0,72.4,,34.0,34.0,58.9,,34.0,34.0,70.0,,34.0,34.0,72.3,,34.0,34.0,77.2,,34.0,34.0,40.2,,34.0,34.0,58.8,,34.0,34.0,27.3,,34.0,34.0,141.8,,34.0,34.0,91.8,,34.0,34.0,87.1,,34.0,34.0,66.6,,34.0,34.0,72.7,,34.0,34.0,48.0,,34.0,34.0,56.9,,34.0,34.0,31.3,,34.0,34.0,37.7,,34.0,34.0,37.9,,34.0,34.0,42.8,,34.0,0.0,
5/02/2025 10:35:51 AM,918602,34.0,60.0,,34.0,3.0,99.2,31.2,34.0,34.0,62.3,,34.0,3.0,99.2,31.2,34.0,34.0,39.5,,34.0,3.0,99.2,31.2,34.0,34.0,48.2,,34.0,34.0,49.0,,34.0,34.0,68.8,,34.0,34.0,72.3,,34.0,34.0,58.9,,34.0,34.0,70.0,,34.0,34.0,71.9,,34.0,34.0,77.4,,34.0,34.0,39.5,,34.0,34.0,58.9,,34.0,34.0,27.4,,34.0,34.0,142.6,,34.0,34.0,97.5,,34.0,34.0,86.6,,34.0,34.0,63.2,,34.0,34.0,71.8,,34.0,34.0,48.1,,34.0,34.0,56.8,,34.0,34.0,31.6,,34.0,34.0,36.9,,34.0,34.0,37.9,,34.0,34.0,42.7,,34.0,0.0,
5/02/2025 10:36:51 AM,918662,34.0,58.5,,34.0,3.0,99.2,31.2,34.0,34.0,60.0,,34.0,3.0,99.2,31.2,34.0,34.0,38.8,,34.0,3.0,99.2,31.2,34.0,34.0,49.6,,34.0,34.0,47.9,,34.0,34.0,70.2,,34.0,34.0,61.9,,34.0,34.0,58.9,,34.0,34.0,67.7,,34.0,34.0,72.4,,34.0,34.0,74.1,,34.0,34.0,38.8,,34.0,34.0,56.8,,34.0,34.0,29.7,,34.0,34.0,142.3,,34.0,34.0,95.8,,34.0,34.0,86.1,,34.0,34.0,61.6,,34.0,34.0,69.0,,34.0,34.0,47.7,,34.0,34.0,52.5,,34.0,34.0,31.7,,34.0,34.0,34.3,,34.0,34.0,39.2,,34.0,34.0,40.9,,34.0,0.2,
5/02/2025 10:37:51 AM,918722,34.0,60.9,,34.0,3.0,99.2,31.2,34.0,34.0,64.1,,34.0,3.0,99.2,31.2,34.0,34.0,40.2,,34.0,3.0,99.2,31.2,34.0,34.0,49.0,,34.0,34.0,48.0,,34.0,34.0,72.6,,34.0,34.0,75.6,,34.0,34.0,58.9,,34.0,34.0,69.9,,34.0,34.0,71.4,,34.0,34.0,71.3,,34.0,34.0,40.2,,34.0,34.0,58.9,,34.0,34.0,30.2,,34.0,34.0,150.1,,34.0,34.0,100.6,,34.0,34.0,89.4,,34.0,34.0,62.1,,34.0,34.0,74.1,,34.0,34.0,49.7,,34.0,34.0,55.5,,34.0,34.0,33.1,,34.0,34.0,36.1,,34.0,34.0,40.1,,34.0,34.0,44.7,,34.0,0.4,
5/02/2025 10:38:51 AM,918782,34.0,60.7,,34.0,3.0,99.2,31.2,34.0,34.0,62.7,,34.0,3.0,99.2,31.2,34.0,34.0,41.1,,34.0,3.0,99.2,31.2,34.0,34.0,48.5,,34.0,34.0,47.9,,34.0,34.0,69.9,,34.0,34.0,73.4,,34.0,34.0,58.9,,34.0,34.0,70.0,,34.0,34.0,73.1,,34.0,34.0,75.6,,34.0,34.0,41.1,,34.0,34.0,58.6,,34.0,34.0,30.9,,34.0,34.0,146.9,,34.0,34.0,93.1,,34.0,34.0,87.1,,34.0,34.0,63.3,,34.0,34.0,73.1,,34.0,34.0,49.0,,34.0,34.0,57.9,,34.0,34.0,34.5,,34.0,34.0,36.6,,34.0,34.0,40.0,,34.0,34.0,42.0,,34.0,0.2,
5/02/2025 10:39:51 AM,918842,34.0,61.2,,34.0,3.0,99.2,31.2,34.0,34.0,62.8,,34.0,3.0,99.2,31.2,34.0,34.0,39.6,,34.0,3.0,99.2,31.2,34.0,34.0,49.1,,34.0,34.0,49.1,,34.0,34.0,69.4,,34.0,34.0,73.4,,34.0,34.0,58.9,,34.0,34.0,70.8,,34.0,34.0,72.3,,34.0,34.0,77.5,,34.0,34.0,39.6,,34.0,34.0,59.1,,34.0,34.0,31.3,,34.0,34.0,146.9,,34.0,34.0,105.6,,34.0,34.0,97.5,,34.0,34.0,65.7,,34.0,34.0,76.0,,34.0,34.0,48.0,,34.0,34.0,55.7,,34.0,34.0,32.3,,34.0,34.0,36.1,,34.0,34.0,38.6,,34.0,34.0,43.1,,34.0,0.4,
5/02/2025 10:40:51 AM,918902,34.0,60.1,,34.0,3.0,99.2,31.2,34.0,34.0,62.4,,34.0,3.0,99.2,31.2,34.0,34.0,40.2,,34.0,3.0,99.2,31.2,34.0,34.0,48.2,,34.0,34.0,51.8,,34.0,34.0,69.0,,34.0,34.0,71.2,,34.0,34.0,58.9,,34.0,34.0,68.7,,34.0,34.0,72.2,,34.0,34.0,78.2,,34.0,34.0,40.2,,34.0,34.0,59.9,,34.0,34.0,31.8,,34.0,34.0,143.0,,34.0,34.0,91.5,,34.0,34.0,88.1,,34.0,34.0,59.8,,34.0,34.0,71.8,,34.0,34.0,48.9,,34.0,34.0,55.8,,34.0,34.0,31.0,,34.0,34.0,35.3,,34.0,34.0,39.5,,34.0,34.0,42.6,,34.0,1.3,
5/02/2025 10:41:51 AM,918962,34.0,59.8,,34.0,3.0,99.2,31.2,34.0,34.0,61.3,,34.0,3.0,99.2,31.2,34.0,34.0,38.3,,34.0,3.0,99.2,31.2,34.0,34.0,47.4,,34.0,34.0,46.8,,34.0,34.0,67.3,,34.0,34.0,71.6,,34.0,34.0,58.9,,34.0,34.0,69.8,,34.0,34.0,70.1,,34.0,34.0,75.4,,34.0,34.0,38.3,,34.0,34.0,58.4,,34.0,34.0,32.2,,34.0,34.0,144.1,,34.0,34.0,95.9,,34.0,34.0,91.4,,34.0,34.0,65.5,,34.0,34.0,73.9,,34.0,34.0,48.2,,34.0,34.0,56.6,,34.0,34.0,30.7,,34.0,34.0,36.0,,34.0,34.0,37.6,,34.0,34.0,40.9,,34.0,0.0,
5/02/2025 10:42:51 AM,919022,34.0,59.4,,34.0,3.0,99.2,31.2,34.0,34.0,61.9,,34.0,3.0,99.2,31.2,34.0,34.0,38.5,,34.0,3.0,99.2,31.2,34.0,34.0,48.3,,34.0,34.0,47.3,,34.0,34.0,68.9,,34.0,34.0,71.5,,34.0,34.0,58.9,,34.0,34.0,66.0,,34.0,34.0,72.3,,34.0,34.0,74.1,,34.0,34.0,38.5,,34.0,34.0,58.1,,34.0,34.0,31.5,,34.0,34.0,138.6,,34.0,34.0,95.4,,34.0,34.0,88.5,,34.0,34.0,61.8,,34.0,34.0,69.2,,34.0,34.0,48.2,,34.0,34.0,58.2,,34.0,34.0,33.2,,34.0,34.0,34.1,,34.0,34.0,38.9,,34.0,34.0,42.2,,34.0,0.0,
5/02/2025 10:43:51 AM,919082,34.0,60.0,,34.0,3.0,99.2,31.2,34.0,34.0,62.7,,34.0,3.0,99.2,31.2,34.0,34.0,37.8,,34.0,3.0,99.2,31.2,34.0,34.0,47.4,,34.0,34.0,46.8,,34.0,34.0,71.3,,34.0,34.0,73.2,,34.0,34.0,58.9,,34.0,34.0,69.9,,34.0,34.0,69.1,,34.0,34.0,74.0,,34.0,34.0,37.8,,34.0,34.0,58.7,,34.0,34.0,32.0,,34.0,34.0,146.0,,34.0,34.0,96.2,,34.0,34.0,90.0,,34.0,34.0,63.5,,34.0,34.0,74.3,,34.0,34.0,49.2,,34.0,34.0,53.7,,34.0,34.0,31.5,,34.0,34.0,34.5,,34.0,34.0,39.5,,34.0,34.0,42.9,,34.0,0.2,
5/02/2025 10:44:51 AM,919142,34.0,59.5,,34.0,3.0,99.2,31.2,34.0,34.0,61.3,,34.0,3.0,99.2,31.2,34.0,34.0,37.9,,34.0,3.0,99.2,31.2,34.0,34.0,47.7,,34.0,34.0,47.7,,34.0,34.0,68.9,,34.0,34.0,69.3,,34.0,34.0,58.8,,34.0,34.0,69.0,,34.0,34.0,71.2,,34.0,34.0,76.0,,34.0,34.0,37.9,,34.0,34.0,58.2,,34.0,34.0,29.4,,34.0,34.0,144.5,,34.0,34.0,102.5,,34.0,34.0,88.2,,34.0,34.0,60.6,,34.0,34.0,71.2,,34.0,34.0,47.6,,34.0,34.0,53.6,,34.0,34.0,32.2,,34.0,34.0,35.7,,34.0,34.0,37.7,,34.0,34.0,42.4,,34.0,0.6,
5/02/2025 10:45:51 AM,919202,34.0,60.3,,34.0,3.0,99.2,31.2,34.0,34.0,62.6,,34.0,3.0,99.2,31.2,34.0,34.0,38.2,,34.0,3.0,99.2,31.2,34.0,34.0,49.3,,34.0,34.0,47.3,,34.0,34.0,69.8,,34.0,34.0,72.8,,34.0,34.0,58.9,,34.0,34.0,69.4,,34.0,34.0,74.0,,34.0,34.0,77.7,,34.0,34.0,38.2,,34.0,34.0,56.7,,34.0,34.0,31.7,,34.0,34.0,145.7,,34.0,34.0,101.3,,34.0,34.0,87.6,,34.0,34.0,61.7,,34.0,34.0,69.2,,34.0,34.0,48.3,,34.0,34.0,56.3,,34.0,34.0,33.2,,34.0,34.0,35.8,,34.0,34.0,38.8,,34.0,34.0,41.7,,34.0,0.2,
5/02/2025 10:46:51 AM,919262,34.0,60.2,,34.0,3.0,99.2,31.2,34.0,34.0,62.0,,34.0,3.0,99.2,31.2,34.0,34.0,40.1,,34.0,3.0,99.2,31.2,34.0,34.0,47.4,,34.0,34.0,47.5,,34.0,34.0,69.5,,34.0,34.0,71.4,,34.0,34.0,59.1,,34.0,34.0,69.5,,34.0,34.0,74.8,,34.0,34.0,76.1,,34.0,34.0,40.1,,34.0,34.0,59.0,,34.0,34.0,31.8,,34.0,34.0,141.4,,34.0,34.0,98.8,,34.0,34.0,93.9,,34.0,34.0,63.3,,34.0,34.0,72.2,,34.0,34.0,45.9,,34.0,34.0,57.0,,34.0,34.0,30.4,,34.0,34.0,36.0,,34.0,34.0,37.9,,34.0,34.0,42.5,,34.0,0.1,
5/02/2025 10:47:51 AM,919322,34.0,60.0,,34.0,3.0,99.2,31.2,34.0,34.0,61.2,,34.0,3.0,99.2,31.2,34.0,34.0,38.1,,34.0,3.0,99.2,31.2,34.0,34.0,48.3,,34.0,34.0,47.4,,34.0,34.0,67.2,,34.0,34.0,70.3,,34.0,34.0,59.1,,34.0,34.0,68.2,,34.0,34.0,73.5,,34.0,34.0,77.9,,34.0,34.0,38.1,,34.0,34.0,57.9,,34.0,34.0,31.3,,34.0,34.0,146.6,,34.0,34.0,104.5,,34.0,34.0,90.8,,34.0,34.0,64.4,,34.0,34.0,72.4,,34.0,34.0,47.7,,34.0,34.0,55.0,,34.0,34.0,30.5,,34.0,34.0,34.5,,34.0,34.0,39.4,,34.0,34.0,41.3,,34.0,0.8,
5/02/2025 10:48:51 AM,919382,34.0,60.3,,34.0,3.0,99.2,31.2,34.0,34.0,62.2,,34.0,3.0,99.2,31.2,34.0,34.0,38.7,,34.0,3.0,99.2,31.2,34.0,34.0,46.7,,34.0,34.0,48.3,,34.0,34.0,70.2,,34.0,34.0,71.3,,34.0,34.0,59.2,,34.0,34.0,67.7,,34.0,34.0,72.5,,34.0,34.0,77.3,,34.0,34.0,38.7,,34.0,34.0,59.4,,34.0,34.0,32.0,,34.0,34.0,142.9,,34.0,34.0,95.8,,34.0,34.0,97.0,,34.0,34.0,60.3,,34.0,34.0,76.0,,34.0,34.0,48.5,,34.0,34.0,56.4,,34.0,34.0,30.9,,34.0,34.0,35.5,,34.0,34.0,37.7,,34.0,34.0,42.5,,34.0,0.1,
