Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
5/02/2025 4:35:16 PM,940167,34.0,63.4,,34.0,3.0,99.2,31.2,34.0,34.0,64.4,,34.0,3.0,99.2,31.2,34.0,34.0,35.2,,34.0,3.0,99.2,31.2,34.0,34.0,47.8,,34.0,34.0,47.3,,34.0,34.0,70.6,,34.0,34.0,74.1,,34.0,34.0,65.1,,34.0,34.0,64.6,,34.0,34.0,72.2,,34.0,34.0,71.1,,34.0,34.0,35.2,,34.0,34.0,71.3,,34.0,34.0,29.9,,34.0,34.0,82.5,,34.0,34.0,108.4,,34.0,34.0,98.8,,34.0,34.0,73.1,,34.0,34.0,83.5,,34.0,34.0,65.0,,34.0,34.0,62.4,,34.0,34.0,31.2,,34.0,34.0,35.0,,34.0,34.0,70.7,,34.0,34.0,62.6,,34.0,0.3,
5/02/2025 4:35:51 PM,940202,34.0,66.8,,34.0,3.0,99.2,31.2,34.0,34.0,64.4,,34.0,3.0,99.2,31.2,34.0,34.0,37.5,,34.0,3.0,99.2,31.2,34.0,34.0,46.7,,34.0,34.0,48.3,,34.0,34.0,69.9,,34.0,34.0,72.7,,34.0,34.0,67.7,,34.0,34.0,69.5,,34.0,34.0,74.5,,34.0,34.0,71.3,,34.0,34.0,37.5,,34.0,34.0,74.5,,34.0,34.0,34.8,,34.0,34.0,92.8,,34.0,34.0,115.6,,34.0,34.0,113.3,,34.0,34.0,76.8,,34.0,34.0,94.0,,34.0,34.0,69.1,,34.0,34.0,66.5,,34.0,34.0,33.4,,34.0,34.0,35.8,,34.0,34.0,76.5,,34.0,34.0,69.5,,34.0,0.6,
5/02/2025 4:36:51 PM,940262,34.0,67.3,,34.0,3.0,99.2,31.2,34.0,34.0,64.4,,34.0,3.0,99.2,31.2,34.0,34.0,36.7,,34.0,3.0,99.2,31.2,34.0,34.0,47.8,,34.0,34.0,46.9,,34.0,34.0,69.3,,34.0,34.0,70.8,,34.0,34.0,70.4,,34.0,34.0,69.8,,34.0,34.0,77.3,,34.0,34.0,74.4,,34.0,34.0,36.7,,34.0,34.0,76.3,,34.0,34.0,36.8,,34.0,34.0,95.1,,34.0,34.0,116.2,,34.0,34.0,105.8,,34.0,34.0,77.1,,34.0,34.0,89.6,,34.0,34.0,69.9,,34.0,34.0,65.6,,34.0,34.0,34.0,,34.0,34.0,34.9,,34.0,34.0,79.5,,34.0,34.0,69.7,,34.0,0.6,
5/02/2025 4:37:51 PM,940322,34.0,67.3,,34.0,3.0,99.2,31.2,34.0,34.0,64.5,,34.0,3.0,99.2,31.2,34.0,34.0,37.8,,34.0,3.0,99.2,31.2,34.0,34.0,46.7,,34.0,34.0,46.8,,34.0,34.0,68.6,,34.0,34.0,72.7,,34.0,34.0,70.0,,34.0,34.0,70.4,,34.0,34.0,79.0,,34.0,34.0,75.1,,34.0,34.0,37.8,,34.0,34.0,77.1,,34.0,34.0,35.9,,34.0,34.0,93.8,,34.0,34.0,117.1,,34.0,34.0,100.2,,34.0,34.0,77.7,,34.0,34.0,92.5,,34.0,34.0,70.1,,34.0,34.0,65.1,,34.0,34.0,33.8,,34.0,34.0,34.5,,34.0,34.0,76.1,,34.0,34.0,69.5,,34.0,0.5,
5/02/2025 4:38:51 PM,940382,34.0,66.8,,34.0,3.0,99.2,31.2,34.0,34.0,64.0,,34.0,3.0,99.2,31.2,34.0,34.0,38.8,,34.0,3.0,99.2,31.2,34.0,34.0,47.2,,34.0,34.0,46.5,,34.0,34.0,68.3,,34.0,34.0,69.6,,34.0,34.0,71.5,,34.0,34.0,70.3,,34.0,34.0,78.2,,34.0,34.0,75.2,,34.0,34.0,38.8,,34.0,34.0,76.8,,34.0,34.0,33.7,,34.0,34.0,93.2,,34.0,34.0,116.3,,34.0,34.0,100.4,,34.0,34.0,78.8,,34.0,34.0,84.5,,34.0,34.0,70.7,,34.0,34.0,64.1,,34.0,34.0,33.9,,34.0,34.0,35.7,,34.0,34.0,75.8,,34.0,34.0,69.6,,34.0,0.4,
5/02/2025 4:39:51 PM,940442,34.0,67.8,,34.0,3.0,99.2,31.2,34.0,34.0,64.9,,34.0,3.0,99.2,31.2,34.0,34.0,37.3,,34.0,3.0,99.2,31.2,34.0,34.0,46.6,,34.0,34.0,46.8,,34.0,34.0,69.0,,34.0,34.0,72.6,,34.0,34.0,71.6,,34.0,34.0,68.0,,34.0,34.0,79.8,,34.0,34.0,76.6,,34.0,34.0,37.3,,34.0,34.0,77.4,,34.0,34.0,35.6,,34.0,34.0,94.3,,34.0,34.0,125.2,,34.0,34.0,101.8,,34.0,34.0,81.2,,34.0,34.0,86.2,,34.0,34.0,72.5,,34.0,34.0,64.8,,34.0,34.0,34.6,,34.0,34.0,33.2,,34.0,34.0,78.4,,34.0,34.0,71.0,,34.0,1.0,
5/02/2025 4:40:51 PM,940502,34.0,67.4,,34.0,3.0,99.2,31.2,34.0,34.0,63.9,,34.0,3.0,99.2,31.2,34.0,34.0,38.4,,34.0,3.0,99.2,31.2,34.0,34.0,46.0,,34.0,34.0,46.3,,34.0,34.0,68.6,,34.0,34.0,70.1,,34.0,34.0,70.9,,34.0,34.0,70.4,,34.0,34.0,79.3,,34.0,34.0,74.9,,34.0,34.0,38.4,,34.0,34.0,76.9,,34.0,34.0,35.3,,34.0,34.0,94.0,,34.0,34.0,123.1,,34.0,34.0,102.4,,34.0,34.0,84.4,,34.0,34.0,80.9,,34.0,34.0,71.0,,34.0,34.0,65.3,,34.0,34.0,34.5,,34.0,34.0,36.1,,34.0,34.0,77.5,,34.0,34.0,69.9,,34.0,0.2,
5/02/2025 4:41:51 PM,940562,34.0,68.0,,34.0,3.0,99.2,31.2,34.0,34.0,65.3,,34.0,3.0,99.2,31.2,34.0,34.0,38.4,,34.0,3.0,99.2,31.2,34.0,34.0,46.8,,34.0,34.0,47.1,,34.0,34.0,70.6,,34.0,34.0,73.3,,34.0,34.0,70.3,,34.0,34.0,70.1,,34.0,34.0,75.0,,34.0,34.0,75.2,,34.0,34.0,38.4,,34.0,34.0,77.3,,34.0,34.0,36.7,,34.0,34.0,96.3,,34.0,34.0,120.3,,34.0,34.0,103.6,,34.0,34.0,82.8,,34.0,34.0,86.5,,34.0,34.0,71.1,,34.0,34.0,66.8,,34.0,34.0,34.2,,34.0,34.0,37.0,,34.0,34.0,79.0,,34.0,34.0,70.6,,34.0,0.3,
5/02/2025 4:42:51 PM,940622,34.0,67.8,,34.0,3.0,99.2,31.2,34.0,34.0,64.4,,34.0,3.0,99.2,31.2,34.0,34.0,38.0,,34.0,3.0,99.2,31.2,34.0,34.0,48.7,,34.0,34.0,46.6,,34.0,34.0,69.8,,34.0,34.0,70.3,,34.0,34.0,70.1,,34.0,34.0,67.8,,34.0,34.0,78.9,,34.0,34.0,75.9,,34.0,34.0,38.0,,34.0,34.0,78.7,,34.0,34.0,34.7,,34.0,34.0,93.5,,34.0,34.0,126.9,,34.0,34.0,102.3,,34.0,34.0,88.7,,34.0,34.0,83.3,,34.0,34.0,70.6,,34.0,34.0,64.8,,34.0,34.0,34.7,,34.0,34.0,36.2,,34.0,34.0,79.2,,34.0,34.0,68.6,,34.0,0.4,
