Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
5/02/2025 11:04:31 AM,920322,34.0,55.3,,34.0,3.0,99.2,31.2,34.0,34.0,62.2,,34.0,3.0,99.2,31.2,34.0,34.0,36.2,,34.0,3.0,99.2,31.2,34.0,34.0,48.7,,34.0,34.0,48.3,,34.0,34.0,69.1,,34.0,34.0,72.1,,34.0,34.0,58.8,,34.0,34.0,68.5,,34.0,34.0,70.1,,34.0,34.0,73.3,,34.0,34.0,36.2,,34.0,34.0,56.9,,34.0,34.0,17.7,,34.0,34.0,51.7,,34.0,34.0,96.2,,34.0,34.0,81.9,,34.0,34.0,62.6,,34.0,34.0,71.6,,34.0,34.0,46.5,,34.0,34.0,55.4,,34.0,34.0,31.4,,34.0,34.0,33.9,,34.0,34.0,38.2,,34.0,34.0,40.3,,34.0,0.0,
5/02/2025 11:04:51 AM,920342,34.0,55.4,,34.0,3.0,99.2,31.2,34.0,34.0,63.4,,34.0,3.0,99.2,31.2,34.0,34.0,35.6,,34.0,3.0,99.2,31.2,34.0,34.0,48.1,,34.0,34.0,47.8,,34.0,34.0,71.9,,34.0,34.0,74.5,,34.0,34.0,58.8,,34.0,34.0,68.3,,34.0,34.0,70.3,,34.0,34.0,74.9,,34.0,34.0,35.6,,34.0,34.0,56.8,,34.0,34.0,17.8,,34.0,34.0,54.5,,34.0,34.0,90.2,,34.0,34.0,81.4,,34.0,34.0,61.6,,34.0,34.0,72.4,,34.0,34.0,47.7,,34.0,34.0,54.3,,34.0,34.0,28.6,,34.0,34.0,33.3,,34.0,34.0,36.8,,34.0,34.0,40.5,,34.0,0.1,
5/02/2025 11:05:51 AM,920402,34.0,54.8,,34.0,3.0,99.2,31.2,34.0,34.0,60.9,,34.0,3.0,99.2,31.2,34.0,34.0,35.2,,34.0,3.0,99.2,31.2,34.0,34.0,47.3,,34.0,34.0,46.6,,34.0,34.0,66.8,,34.0,34.0,70.8,,34.0,34.0,58.8,,34.0,34.0,66.7,,34.0,34.0,69.4,,34.0,34.0,72.9,,34.0,34.0,35.2,,34.0,34.0,56.9,,34.0,34.0,17.9,,34.0,34.0,51.3,,34.0,34.0,98.2,,34.0,34.0,88.2,,34.0,34.0,61.7,,34.0,34.0,69.7,,34.0,34.0,48.2,,34.0,34.0,53.8,,34.0,34.0,32.3,,34.0,34.0,32.1,,34.0,34.0,36.9,,34.0,34.0,39.3,,34.0,0.2,
5/02/2025 11:06:51 AM,920462,34.0,54.9,,34.0,3.0,99.2,31.2,34.0,34.0,61.4,,34.0,3.0,99.2,31.2,34.0,34.0,35.9,,34.0,3.0,99.2,31.2,34.0,34.0,46.8,,34.0,34.0,47.8,,34.0,34.0,68.3,,34.0,34.0,70.8,,34.0,34.0,58.8,,34.0,34.0,68.2,,34.0,34.0,70.9,,34.0,34.0,73.3,,34.0,34.0,35.9,,34.0,34.0,57.3,,34.0,34.0,18.3,,34.0,34.0,52.9,,34.0,34.0,94.9,,34.0,34.0,84.5,,34.0,34.0,59.7,,34.0,34.0,71.0,,34.0,34.0,46.3,,34.0,34.0,54.7,,34.0,34.0,28.4,,34.0,34.0,34.3,,34.0,34.0,36.2,,34.0,34.0,39.9,,34.0,0.1,
5/02/2025 11:07:51 AM,920522,34.0,55.6,,34.0,3.0,99.2,31.2,34.0,34.0,62.6,,34.0,3.0,99.2,31.2,34.0,34.0,35.0,,34.0,3.0,99.2,31.2,34.0,34.0,47.7,,34.0,34.0,47.9,,34.0,34.0,71.4,,34.0,34.0,74.2,,34.0,34.0,56.4,,34.0,34.0,68.9,,34.0,34.0,70.2,,34.0,34.0,76.5,,34.0,34.0,35.0,,34.0,34.0,57.2,,34.0,34.0,16.8,,34.0,34.0,55.0,,34.0,34.0,92.1,,34.0,34.0,85.0,,34.0,34.0,60.5,,34.0,34.0,73.9,,34.0,34.0,47.1,,34.0,34.0,56.6,,34.0,34.0,29.1,,34.0,34.0,33.7,,34.0,34.0,37.6,,34.0,34.0,41.2,,34.0,0.3,
5/02/2025 11:08:51 AM,920582,34.0,53.7,,34.0,3.0,99.2,31.2,34.0,34.0,60.6,,34.0,3.0,99.2,31.2,34.0,34.0,35.0,,34.0,3.0,99.2,31.2,34.0,34.0,47.2,,34.0,34.0,47.3,,34.0,34.0,67.9,,34.0,34.0,70.2,,34.0,34.0,56.4,,34.0,34.0,63.4,,34.0,34.0,69.3,,34.0,34.0,72.2,,34.0,34.0,35.0,,34.0,34.0,55.3,,34.0,34.0,17.0,,34.0,34.0,54.2,,34.0,34.0,90.6,,34.0,34.0,82.2,,34.0,34.0,59.3,,34.0,34.0,69.0,,34.0,34.0,46.8,,34.0,34.0,52.2,,34.0,34.0,30.5,,34.0,34.0,32.3,,34.0,34.0,35.8,,34.0,34.0,39.9,,34.0,0.7,
5/02/2025 11:09:51 AM,920642,34.0,61.2,,34.0,3.0,99.2,31.2,34.0,34.0,63.4,,34.0,3.0,99.2,31.2,34.0,34.0,37.4,,34.0,3.0,99.2,31.2,34.0,34.0,47.0,,34.0,34.0,47.3,,34.0,34.0,69.3,,34.0,34.0,73.4,,34.0,34.0,63.7,,34.0,34.0,66.2,,34.0,34.0,68.5,,34.0,34.0,72.1,,34.0,34.0,37.4,,34.0,34.0,60.8,,34.0,34.0,38.0,,34.0,34.0,73.6,,34.0,34.0,115.0,,34.0,34.0,97.6,,34.0,34.0,73.9,,34.0,34.0,81.2,,34.0,34.0,60.6,,34.0,34.0,62.0,,34.0,34.0,30.8,,34.0,34.0,33.7,,34.0,34.0,54.4,,34.0,34.0,52.8,,34.0,4.4,
5/02/2025 11:10:51 AM,920702,34.0,62.0,,34.0,3.0,99.2,31.2,34.0,34.0,63.3,,34.0,3.0,99.2,31.2,34.0,34.0,36.2,,34.0,3.0,99.2,31.2,34.0,34.0,47.2,,34.0,34.0,47.0,,34.0,34.0,68.9,,34.0,34.0,73.6,,34.0,34.0,63.5,,34.0,34.0,67.5,,34.0,34.0,68.8,,34.0,34.0,70.6,,34.0,34.0,36.2,,34.0,34.0,60.7,,34.0,34.0,42.8,,34.0,34.0,76.9,,34.0,34.0,115.7,,34.0,34.0,94.0,,34.0,34.0,73.6,,34.0,34.0,79.6,,34.0,34.0,62.0,,34.0,34.0,63.8,,34.0,34.0,32.0,,34.0,34.0,35.3,,34.0,34.0,59.0,,34.0,34.0,54.9,,34.0,1.1,
5/02/2025 11:11:51 AM,920762,34.0,63.2,,34.0,3.0,99.2,31.2,34.0,34.0,64.0,,34.0,3.0,99.2,31.2,34.0,34.0,37.8,,34.0,3.0,99.2,31.2,34.0,34.0,46.4,,34.0,34.0,48.3,,34.0,34.0,69.6,,34.0,34.0,75.1,,34.0,34.0,63.5,,34.0,34.0,70.8,,34.0,34.0,69.5,,34.0,34.0,75.3,,34.0,34.0,37.8,,34.0,34.0,65.6,,34.0,34.0,41.1,,34.0,34.0,75.3,,34.0,34.0,115.1,,34.0,34.0,95.9,,34.0,34.0,73.4,,34.0,34.0,83.8,,34.0,34.0,62.6,,34.0,34.0,63.7,,34.0,34.0,30.9,,34.0,34.0,34.6,,34.0,34.0,60.8,,34.0,34.0,57.0,,34.0,0.2,
5/02/2025 11:12:51 AM,920822,34.0,63.0,,34.0,3.0,99.2,31.2,34.0,34.0,62.7,,34.0,3.0,99.2,31.2,34.0,34.0,38.2,,34.0,3.0,99.2,31.2,34.0,34.0,45.8,,34.0,34.0,46.5,,34.0,34.0,66.9,,34.0,34.0,71.6,,34.0,34.0,66.0,,34.0,34.0,69.9,,34.0,34.0,71.3,,34.0,34.0,72.9,,34.0,34.0,38.2,,34.0,34.0,64.4,,34.0,34.0,43.0,,34.0,34.0,78.6,,34.0,34.0,116.9,,34.0,34.0,95.8,,34.0,34.0,75.2,,34.0,34.0,79.9,,34.0,34.0,64.2,,34.0,34.0,61.7,,34.0,34.0,31.5,,34.0,34.0,34.6,,34.0,34.0,63.3,,34.0,34.0,57.4,,34.0,0.5,
5/02/2025 11:13:51 AM,920882,34.0,63.9,,34.0,3.0,99.2,31.2,34.0,34.0,65.1,,34.0,3.0,99.2,31.2,34.0,34.0,38.5,,34.0,3.0,99.2,31.2,34.0,34.0,47.2,,34.0,34.0,48.1,,34.0,34.0,70.1,,34.0,34.0,76.1,,34.0,34.0,66.3,,34.0,34.0,70.4,,34.0,34.0,72.2,,34.0,34.0,75.8,,34.0,34.0,38.5,,34.0,34.0,63.3,,34.0,34.0,44.1,,34.0,34.0,79.3,,34.0,34.0,107.0,,34.0,34.0,100.2,,34.0,34.0,69.8,,34.0,34.0,87.6,,34.0,34.0,61.0,,34.0,34.0,64.6,,34.0,34.0,33.5,,34.0,34.0,35.5,,34.0,34.0,61.3,,34.0,34.0,57.9,,34.0,0.6,
5/02/2025 11:14:51 AM,920942,34.0,64.0,,34.0,3.0,99.2,31.2,34.0,34.0,63.4,,34.0,3.0,99.2,31.2,34.0,34.0,37.9,,34.0,3.0,99.2,31.2,34.0,34.0,48.3,,34.0,34.0,47.9,,34.0,34.0,67.6,,34.0,34.0,71.6,,34.0,34.0,66.3,,34.0,34.0,71.1,,34.0,34.0,70.7,,34.0,34.0,72.8,,34.0,34.0,37.9,,34.0,34.0,64.9,,34.0,34.0,44.0,,34.0,34.0,81.2,,34.0,34.0,116.1,,34.0,34.0,98.1,,34.0,34.0,76.9,,34.0,34.0,85.0,,34.0,34.0,64.1,,34.0,34.0,65.0,,34.0,34.0,33.3,,34.0,34.0,35.1,,34.0,34.0,63.8,,34.0,34.0,58.8,,34.0,0.2,
5/02/2025 11:15:51 AM,921002,34.0,64.6,,34.0,3.0,99.2,31.2,34.0,34.0,63.5,,34.0,3.0,99.2,31.2,34.0,34.0,37.8,,34.0,3.0,99.2,31.2,34.0,34.0,46.6,,34.0,34.0,48.1,,34.0,34.0,68.3,,34.0,34.0,72.0,,34.0,34.0,66.3,,34.0,34.0,71.6,,34.0,34.0,70.3,,34.0,34.0,72.8,,34.0,34.0,37.8,,34.0,34.0,65.9,,34.0,34.0,44.4,,34.0,34.0,79.6,,34.0,34.0,123.1,,34.0,34.0,105.2,,34.0,34.0,78.3,,34.0,34.0,88.2,,34.0,34.0,64.1,,34.0,34.0,65.0,,34.0,34.0,32.4,,34.0,34.0,36.1,,34.0,34.0,64.6,,34.0,34.0,59.2,,34.0,0.1,
5/02/2025 11:16:51 AM,921062,34.0,64.8,,34.0,3.0,99.2,31.2,34.0,34.0,64.1,,34.0,3.0,99.2,31.2,34.0,34.0,39.1,,34.0,3.0,99.2,31.2,34.0,34.0,47.1,,34.0,34.0,48.0,,34.0,34.0,69.4,,34.0,34.0,72.8,,34.0,34.0,66.6,,34.0,34.0,71.0,,34.0,34.0,72.8,,34.0,34.0,72.8,,34.0,34.0,39.1,,34.0,34.0,67.6,,34.0,34.0,44.5,,34.0,34.0,82.0,,34.0,34.0,120.7,,34.0,34.0,97.8,,34.0,34.0,77.5,,34.0,34.0,87.6,,34.0,34.0,64.7,,34.0,34.0,64.6,,34.0,34.0,33.4,,34.0,34.0,35.3,,34.0,34.0,64.4,,34.0,34.0,58.8,,34.0,0.3,
5/02/2025 11:17:51 AM,921122,34.0,64.9,,34.0,3.0,99.2,31.2,34.0,34.0,63.9,,34.0,3.0,99.2,31.2,34.0,34.0,40.0,,34.0,3.0,99.2,31.2,34.0,34.0,47.1,,34.0,34.0,48.2,,34.0,34.0,68.3,,34.0,34.0,72.9,,34.0,34.0,66.8,,34.0,34.0,70.4,,34.0,34.0,71.7,,34.0,34.0,72.0,,34.0,34.0,40.0,,34.0,34.0,64.5,,34.0,34.0,44.9,,34.0,34.0,82.9,,34.0,34.0,127.9,,34.0,34.0,96.4,,34.0,34.0,82.0,,34.0,34.0,86.2,,34.0,34.0,64.8,,34.0,34.0,65.8,,34.0,34.0,31.8,,34.0,34.0,36.2,,34.0,34.0,65.8,,34.0,34.0,58.9,,34.0,0.1,
