Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
7/02/2025 5:27:19 PM,1116087,34.0,61.6,,34.0,3.0,99.2,31.2,34.0,34.0,60.7,,34.0,3.0,99.2,31.2,34.0,34.0,33.6,,34.0,3.0,99.2,31.2,34.0,34.0,47.0,,34.0,34.0,47.3,,34.0,34.0,70.6,,34.0,34.0,70.3,,34.0,34.0,53.9,,34.0,34.0,63.2,,34.0,34.0,69.1,,34.0,34.0,72.6,,34.0,34.0,33.6,,34.0,34.0,50.9,,34.0,34.0,36.0,,34.0,34.0,106.3,,34.0,34.0,101.9,,34.0,34.0,112.9,,34.0,34.0,65.8,,34.0,34.0,87.2,,34.0,34.0,69.9,,34.0,34.0,58.9,,34.0,34.0,36.3,,34.0,34.0,35.4,,34.0,34.0,63.5,,34.0,34.0,53.4,,34.0,0.1,
7/02/2025 5:27:54 PM,1116122,34.0,57.8,,34.0,3.0,99.2,31.2,34.0,34.0,60.1,,34.0,3.0,99.2,31.2,34.0,34.0,32.3,,34.0,3.0,99.2,31.2,34.0,34.0,48.0,,34.0,34.0,46.8,,34.0,34.0,67.2,,34.0,34.0,71.3,,34.0,34.0,53.9,,34.0,34.0,61.8,,34.0,34.0,65.8,,34.0,34.0,70.0,,34.0,34.0,32.3,,34.0,34.0,53.9,,34.0,34.0,27.7,,34.0,34.0,94.8,,34.0,34.0,90.9,,34.0,34.0,94.1,,34.0,34.0,63.2,,34.0,34.0,73.5,,34.0,34.0,60.7,,34.0,34.0,57.7,,34.0,34.0,35.3,,34.0,34.0,35.1,,34.0,34.0,52.6,,34.0,34.0,48.1,,34.0,0.9,
7/02/2025 5:28:54 PM,1116182,34.0,57.2,,34.0,3.0,99.2,31.2,34.0,34.0,57.6,,34.0,3.0,99.2,31.2,34.0,34.0,35.6,,34.0,3.0,99.2,31.2,34.0,34.0,45.9,,34.0,34.0,46.0,,34.0,34.0,63.2,,34.0,34.0,63.8,,34.0,34.0,57.1,,34.0,34.0,63.4,,34.0,34.0,65.4,,34.0,34.0,67.2,,34.0,34.0,35.6,,34.0,34.0,53.4,,34.0,34.0,24.8,,34.0,34.0,89.8,,34.0,34.0,98.4,,34.0,34.0,89.3,,34.0,34.0,70.8,,34.0,34.0,74.9,,34.0,34.0,66.3,,34.0,34.0,53.8,,34.0,34.0,35.0,,34.0,34.0,34.6,,34.0,34.0,51.9,,34.0,34.0,46.4,,34.0,1.2,
7/02/2025 5:29:54 PM,1116242,34.0,57.5,,34.0,3.0,99.2,31.2,34.0,34.0,57.6,,34.0,3.0,99.2,31.2,34.0,34.0,34.6,,34.0,3.0,99.2,31.2,34.0,34.0,45.7,,34.0,34.0,44.5,,34.0,34.0,62.7,,34.0,34.0,62.3,,34.0,34.0,60.3,,34.0,34.0,61.0,,34.0,34.0,65.3,,34.0,34.0,65.2,,34.0,34.0,34.6,,34.0,34.0,54.8,,34.0,34.0,23.0,,34.0,34.0,88.6,,34.0,34.0,101.1,,34.0,34.0,93.9,,34.0,34.0,83.8,,34.0,34.0,73.8,,34.0,34.0,69.5,,34.0,34.0,54.1,,34.0,34.0,37.5,,34.0,34.0,35.7,,34.0,34.0,50.4,,34.0,34.0,44.7,,34.0,0.3,
7/02/2025 5:30:54 PM,1116302,34.0,58.0,,34.0,3.0,99.2,31.2,34.0,34.0,57.6,,34.0,3.0,99.2,31.2,34.0,34.0,36.0,,34.0,3.0,99.2,31.2,34.0,34.0,46.7,,34.0,34.0,44.6,,34.0,34.0,61.1,,34.0,34.0,60.3,,34.0,34.0,63.4,,34.0,34.0,62.1,,34.0,34.0,65.7,,34.0,34.0,64.9,,34.0,34.0,36.0,,34.0,34.0,55.9,,34.0,34.0,21.6,,34.0,34.0,92.9,,34.0,34.0,103.9,,34.0,34.0,95.6,,34.0,34.0,77.9,,34.0,34.0,76.8,,34.0,34.0,70.7,,34.0,34.0,52.7,,34.0,34.0,38.2,,34.0,34.0,35.6,,34.0,34.0,54.9,,34.0,34.0,44.6,,34.0,1.1,
7/02/2025 5:31:55 PM,1116362,34.0,58.3,,34.0,3.0,99.2,31.2,34.0,34.0,59.9,,34.0,3.0,99.2,31.2,34.0,34.0,35.4,,34.0,3.0,99.2,31.2,34.0,34.0,46.5,,34.0,34.0,45.3,,34.0,34.0,65.2,,34.0,34.0,63.6,,34.0,34.0,65.2,,34.0,34.0,63.3,,34.0,34.0,66.5,,34.0,34.0,66.7,,34.0,34.0,35.4,,34.0,34.0,55.1,,34.0,34.0,22.2,,34.0,34.0,90.4,,34.0,34.0,96.5,,34.0,34.0,94.9,,34.0,34.0,77.8,,34.0,34.0,76.0,,34.0,34.0,69.1,,34.0,34.0,52.6,,34.0,34.0,38.3,,34.0,34.0,35.8,,34.0,34.0,53.3,,34.0,34.0,44.7,,34.0,0.4,
7/02/2025 5:32:54 PM,1116422,34.0,57.8,,34.0,3.0,99.2,31.2,34.0,34.0,59.1,,34.0,3.0,99.2,31.2,34.0,34.0,35.0,,34.0,3.0,99.2,31.2,34.0,34.0,46.5,,34.0,34.0,45.3,,34.0,34.0,63.6,,34.0,34.0,62.3,,34.0,34.0,64.9,,34.0,34.0,61.2,,34.0,34.0,65.3,,34.0,34.0,66.4,,34.0,34.0,35.0,,34.0,34.0,55.8,,34.0,34.0,22.1,,34.0,34.0,90.4,,34.0,34.0,100.0,,34.0,34.0,89.6,,34.0,34.0,73.1,,34.0,34.0,73.9,,34.0,34.0,70.9,,34.0,34.0,53.4,,34.0,34.0,38.6,,34.0,34.0,34.9,,34.0,34.0,53.1,,34.0,34.0,44.7,,34.0,0.8,
7/02/2025 5:33:54 PM,1116482,34.0,57.8,,34.0,3.0,99.2,31.2,34.0,34.0,58.2,,34.0,3.0,99.2,31.2,34.0,34.0,31.6,,34.0,3.0,99.2,31.2,34.0,34.0,45.7,,34.0,34.0,44.5,,34.0,34.0,61.7,,34.0,34.0,61.6,,34.0,34.0,64.9,,34.0,34.0,62.2,,34.0,34.0,65.6,,34.0,34.0,67.0,,34.0,34.0,31.6,,34.0,34.0,53.1,,34.0,34.0,22.0,,34.0,34.0,92.2,,34.0,34.0,99.8,,34.0,34.0,94.4,,34.0,34.0,77.1,,34.0,34.0,80.0,,34.0,34.0,70.2,,34.0,34.0,53.6,,34.0,34.0,38.2,,34.0,34.0,34.4,,34.0,34.0,53.2,,34.0,34.0,45.4,,34.0,0.0,
7/02/2025 5:34:54 PM,1116542,34.0,59.2,,34.0,3.0,99.2,31.2,34.0,34.0,59.0,,34.0,3.0,99.2,31.2,34.0,34.0,35.0,,34.0,3.0,99.2,31.2,34.0,34.0,46.5,,34.0,34.0,44.9,,34.0,34.0,64.8,,34.0,34.0,61.2,,34.0,34.0,64.6,,34.0,34.0,64.0,,34.0,34.0,65.9,,34.0,34.0,68.5,,34.0,34.0,35.0,,34.0,34.0,58.4,,34.0,34.0,21.5,,34.0,34.0,90.9,,34.0,34.0,108.5,,34.0,34.0,99.2,,34.0,34.0,78.2,,34.0,34.0,80.9,,34.0,34.0,71.0,,34.0,34.0,54.5,,34.0,34.0,38.4,,34.0,34.0,35.8,,34.0,34.0,53.2,,34.0,34.0,46.2,,34.0,1.0,
