Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
7/02/2025 5:44:09 PM,1117097,34.0,60.7,,34.0,3.0,99.2,31.2,34.0,34.0,60.2,,34.0,3.0,99.2,31.2,34.0,34.0,36.3,,34.0,3.0,99.2,31.2,34.0,34.0,47.5,,34.0,34.0,43.9,,34.0,34.0,65.6,,34.0,34.0,62.8,,34.0,34.0,67.2,,34.0,34.0,62.0,,34.0,34.0,66.2,,34.0,34.0,67.5,,34.0,34.0,36.3,,34.0,34.0,55.9,,34.0,34.0,21.5,,34.0,34.0,86.2,,34.0,34.0,123.5,,34.0,34.0,109.6,,34.0,34.0,95.6,,34.0,34.0,89.6,,34.0,34.0,73.6,,34.0,34.0,54.3,,34.0,34.0,39.4,,34.0,34.0,34.9,,34.0,34.0,53.7,,34.0,34.0,45.0,,34.0,0.3,
7/02/2025 5:44:55 PM,1117142,34.0,62.2,,34.0,3.0,99.2,31.2,34.0,34.0,59.2,,34.0,3.0,99.2,31.2,34.0,34.0,38.5,,34.0,3.0,99.2,31.2,34.0,34.0,44.8,,34.0,34.0,45.1,,34.0,34.0,62.3,,34.0,34.0,62.7,,34.0,34.0,67.2,,34.0,34.0,63.4,,34.0,34.0,67.2,,34.0,34.0,67.2,,34.0,34.0,38.5,,34.0,34.0,58.5,,34.0,34.0,21.9,,34.0,34.0,94.0,,34.0,34.0,128.2,,34.0,34.0,123.7,,34.0,34.0,103.2,,34.0,34.0,97.9,,34.0,34.0,76.1,,34.0,34.0,54.3,,34.0,34.0,39.7,,34.0,34.0,34.7,,34.0,34.0,53.6,,34.0,34.0,47.0,,34.0,0.3,
7/02/2025 5:45:55 PM,1117202,34.0,63.5,,34.0,3.0,99.2,31.2,34.0,34.0,60.4,,34.0,3.0,99.2,31.2,34.0,34.0,37.5,,34.0,3.0,99.2,31.2,34.0,34.0,47.3,,34.0,34.0,44.8,,34.0,34.0,63.7,,34.0,34.0,63.4,,34.0,34.0,68.6,,34.0,34.0,64.6,,34.0,34.0,69.0,,34.0,34.0,68.7,,34.0,34.0,37.5,,34.0,34.0,55.6,,34.0,34.0,22.2,,34.0,34.0,93.2,,34.0,34.0,142.6,,34.0,34.0,122.9,,34.0,34.0,110.5,,34.0,34.0,99.6,,34.0,34.0,76.8,,34.0,34.0,55.7,,34.0,34.0,41.1,,34.0,34.0,36.2,,34.0,34.0,56.1,,34.0,34.0,47.5,,34.0,0.7,
7/02/2025 5:46:54 PM,1117262,34.0,63.1,,34.0,3.0,99.2,31.2,34.0,34.0,60.6,,34.0,3.0,99.2,31.2,34.0,34.0,38.7,,34.0,3.0,99.2,31.2,34.0,34.0,46.4,,34.0,34.0,43.4,,34.0,34.0,64.0,,34.0,34.0,62.3,,34.0,34.0,71.8,,34.0,34.0,65.7,,34.0,34.0,67.9,,34.0,34.0,67.9,,34.0,34.0,38.7,,34.0,34.0,58.5,,34.0,34.0,22.2,,34.0,34.0,93.8,,34.0,34.0,127.4,,34.0,34.0,116.0,,34.0,34.0,106.3,,34.0,34.0,91.0,,34.0,34.0,79.0,,34.0,34.0,54.8,,34.0,34.0,41.7,,34.0,34.0,37.5,,34.0,34.0,57.6,,34.0,34.0,48.4,,34.0,0.2,
7/02/2025 5:47:54 PM,1117322,34.0,62.5,,34.0,3.0,99.2,31.2,34.0,34.0,61.3,,34.0,3.0,99.2,31.2,34.0,34.0,37.9,,34.0,3.0,99.2,31.2,34.0,34.0,46.8,,34.0,34.0,42.7,,34.0,34.0,64.2,,34.0,34.0,64.3,,34.0,34.0,72.7,,34.0,34.0,66.0,,34.0,34.0,68.2,,34.0,34.0,67.6,,34.0,34.0,37.9,,34.0,34.0,57.3,,34.0,34.0,22.4,,34.0,34.0,92.3,,34.0,34.0,119.8,,34.0,34.0,112.7,,34.0,34.0,100.3,,34.0,34.0,87.1,,34.0,34.0,78.2,,34.0,34.0,54.3,,34.0,34.0,42.1,,34.0,34.0,36.6,,34.0,34.0,59.4,,34.0,34.0,48.5,,34.0,0.1,
7/02/2025 5:48:54 PM,1117382,34.0,63.0,,34.0,3.0,99.2,31.2,34.0,34.0,62.0,,34.0,3.0,99.2,31.2,34.0,34.0,39.4,,34.0,3.0,99.2,31.2,34.0,34.0,47.9,,34.0,34.0,44.7,,34.0,34.0,64.9,,34.0,34.0,64.3,,34.0,34.0,73.1,,34.0,34.0,66.9,,34.0,34.0,69.7,,34.0,34.0,68.8,,34.0,34.0,39.4,,34.0,34.0,59.8,,34.0,34.0,23.5,,34.0,34.0,96.2,,34.0,34.0,115.7,,34.0,34.0,110.4,,34.0,34.0,94.9,,34.0,34.0,82.4,,34.0,34.0,77.8,,34.0,34.0,55.0,,34.0,34.0,42.6,,34.0,34.0,37.9,,34.0,34.0,58.7,,34.0,34.0,50.3,,34.0,0.1,
7/02/2025 5:49:54 PM,1117442,34.0,61.8,,34.0,3.0,99.2,31.2,34.0,34.0,61.5,,34.0,3.0,99.2,31.2,34.0,34.0,40.3,,34.0,3.0,99.2,31.2,34.0,34.0,47.0,,34.0,34.0,44.2,,34.0,34.0,65.7,,34.0,34.0,61.6,,34.0,34.0,73.8,,34.0,34.0,66.5,,34.0,34.0,68.4,,34.0,34.0,67.8,,34.0,34.0,40.3,,34.0,34.0,55.9,,34.0,34.0,23.0,,34.0,34.0,96.6,,34.0,34.0,108.0,,34.0,34.0,106.3,,34.0,34.0,89.2,,34.0,34.0,80.5,,34.0,34.0,77.7,,34.0,34.0,55.1,,34.0,34.0,42.0,,34.0,34.0,37.1,,34.0,34.0,59.0,,34.0,34.0,48.5,,34.0,0.1,
7/02/2025 5:50:55 PM,1117502,34.0,61.3,,34.0,3.0,99.2,31.2,34.0,34.0,60.6,,34.0,3.0,99.2,31.2,34.0,34.0,39.7,,34.0,3.0,99.2,31.2,34.0,34.0,46.9,,34.0,34.0,44.4,,34.0,34.0,62.9,,34.0,34.0,60.9,,34.0,34.0,73.8,,34.0,34.0,65.6,,34.0,34.0,67.8,,34.0,34.0,66.0,,34.0,34.0,39.7,,34.0,34.0,57.4,,34.0,34.0,22.8,,34.0,34.0,99.4,,34.0,34.0,102.5,,34.0,34.0,106.5,,34.0,34.0,85.4,,34.0,34.0,82.3,,34.0,34.0,77.3,,34.0,34.0,55.3,,34.0,34.0,41.7,,34.0,34.0,36.3,,34.0,34.0,60.1,,34.0,34.0,47.2,,34.0,0.0,
7/02/2025 5:51:54 PM,1117562,34.0,62.1,,34.0,3.0,99.2,31.2,34.0,34.0,62.0,,34.0,3.0,99.2,31.2,34.0,34.0,38.0,,34.0,3.0,99.2,31.2,34.0,34.0,46.9,,34.0,34.0,43.0,,34.0,34.0,66.8,,34.0,34.0,63.3,,34.0,34.0,73.8,,34.0,34.0,67.1,,34.0,34.0,69.4,,34.0,34.0,69.3,,34.0,34.0,38.0,,34.0,34.0,59.5,,34.0,34.0,23.5,,34.0,34.0,98.6,,34.0,34.0,101.5,,34.0,34.0,96.0,,34.0,34.0,91.4,,34.0,34.0,80.0,,34.0,34.0,78.8,,34.0,34.0,55.1,,34.0,34.0,42.3,,34.0,34.0,38.1,,34.0,34.0,58.5,,34.0,34.0,49.1,,34.0,0.1,
