Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
7/02/2025 3:46:04 PM,1110012,34.0,44.4,,34.0,3.0,99.2,31.2,34.0,34.0,57.0,,34.0,3.0,99.2,31.2,34.0,34.0,29.3,,34.0,3.0,99.2,31.2,34.0,34.0,46.0,,34.0,34.0,46.2,,34.0,34.0,65.6,,34.0,34.0,68.6,,34.0,34.0,46.8,,34.0,34.0,53.1,,34.0,34.0,68.9,,34.0,34.0,71.9,,34.0,34.0,29.3,,34.0,34.0,54.2,,34.0,34.0,18.3,,34.0,34.0,47.5,,34.0,34.0,0.0,,34.0,34.0,2.9,,34.0,34.0,35.2,,34.0,34.2,0.0,,34.2,34.0,45.9,,34.0,34.0,55.5,,34.0,34.0,26.2,,34.0,34.0,30.9,,34.0,34.0,34.6,,34.0,34.0,39.1,,34.0,0.0,
7/02/2025 3:46:54 PM,1110062,34.0,44.1,,34.0,3.0,99.2,31.2,34.0,34.0,55.7,,34.0,3.0,99.2,31.2,34.0,34.0,29.5,,34.0,3.0,99.2,31.2,34.0,34.0,45.7,,34.0,34.0,46.2,,34.0,34.0,63.9,,34.0,34.0,65.9,,34.0,34.0,46.2,,34.0,34.0,52.1,,34.0,34.0,68.6,,34.0,34.0,71.1,,34.0,34.0,29.5,,34.0,34.0,54.3,,34.0,34.0,17.6,,34.0,34.0,48.5,,34.0,34.1,0.0,,34.1,34.0,6.9,,34.0,34.0,31.7,,34.0,34.3,0.0,,34.3,34.0,46.8,,34.0,34.0,56.7,,34.0,34.0,24.9,,34.0,34.0,31.1,,34.0,34.0,35.1,,34.0,34.0,38.8,,34.0,0.2,
7/02/2025 3:47:54 PM,1110122,34.0,43.9,,34.0,3.0,99.2,31.2,34.0,34.0,56.4,,34.0,3.0,99.2,31.2,34.0,34.0,29.6,,34.0,3.0,99.2,31.2,34.0,34.0,46.9,,34.0,34.0,44.8,,34.0,34.0,63.7,,34.0,34.0,68.4,,34.0,34.0,46.7,,34.0,34.0,51.0,,34.0,34.0,70.7,,34.0,34.0,70.0,,34.0,34.0,29.6,,34.0,34.0,56.4,,34.0,34.0,17.6,,34.0,34.0,46.7,,34.0,34.2,0.0,,34.2,34.0,3.6,,34.0,34.0,29.5,,34.0,34.3,0.0,,34.3,34.0,47.6,,34.0,34.0,57.2,,34.0,34.0,24.9,,34.0,34.0,29.8,,34.0,34.0,32.4,,34.0,34.0,36.4,,34.0,0.2,
7/02/2025 3:48:54 PM,1110182,34.0,44.4,,34.0,3.0,99.2,31.2,34.0,34.0,57.5,,34.0,3.0,99.2,31.2,34.0,34.0,30.2,,34.0,3.0,99.2,31.2,34.0,34.0,46.6,,34.0,34.0,45.7,,34.0,34.0,65.3,,34.0,34.0,70.8,,34.0,34.0,46.7,,34.0,34.0,54.4,,34.0,34.0,69.9,,34.0,34.0,73.2,,34.0,34.0,30.2,,34.0,34.0,55.7,,34.0,34.0,17.1,,34.0,34.0,46.5,,34.0,34.3,0.0,,34.3,34.0,6.6,,34.0,34.0,21.5,,34.0,34.3,0.0,,34.3,34.0,47.8,,34.0,34.0,55.6,,34.0,34.0,26.0,,34.0,34.0,31.0,,34.0,34.0,34.5,,34.0,34.0,36.8,,34.0,0.3,
7/02/2025 3:49:54 PM,1110242,34.0,44.2,,34.0,3.0,99.2,31.2,34.0,34.0,57.8,,34.0,3.0,99.2,31.2,34.0,34.0,29.8,,34.0,3.0,99.2,31.2,34.0,34.0,46.4,,34.0,34.0,47.7,,34.0,34.0,65.8,,34.0,34.0,70.6,,34.0,34.0,46.7,,34.0,34.0,52.9,,34.0,34.0,67.8,,34.0,34.0,71.5,,34.0,34.0,29.8,,34.0,34.0,54.3,,34.0,34.0,17.8,,34.0,34.0,46.7,,34.0,34.3,0.0,,34.3,34.0,3.6,,34.0,34.0,23.6,,34.0,34.3,0.0,,34.3,34.0,46.0,,34.0,34.0,56.3,,34.0,34.0,25.8,,34.0,34.0,30.8,,34.0,34.0,35.5,,34.0,34.0,38.8,,34.0,0.2,
7/02/2025 3:50:54 PM,1110302,34.0,43.8,,34.0,3.0,99.2,31.2,34.0,34.0,56.4,,34.0,3.0,99.2,31.2,34.0,34.0,28.2,,34.0,3.0,99.2,31.2,34.0,34.0,47.4,,34.0,34.0,46.6,,34.0,34.0,64.3,,34.0,34.0,67.9,,34.0,34.0,45.5,,34.0,34.0,51.7,,34.0,34.0,68.0,,34.0,34.0,71.0,,34.0,34.0,28.2,,34.0,34.0,53.4,,34.0,34.0,18.3,,34.0,34.0,48.4,,34.0,34.3,0.0,,34.3,34.0,0.0,,34.0,34.0,29.1,,34.0,34.4,0.0,,34.4,34.0,46.9,,34.0,34.0,54.7,,34.0,34.0,24.7,,34.0,34.0,32.0,,34.0,34.0,34.9,,34.0,34.0,38.5,,34.0,0.2,
7/02/2025 3:51:54 PM,1110362,34.0,43.6,,34.0,3.0,99.2,31.2,34.0,34.0,56.4,,34.0,3.0,99.2,31.2,34.0,34.0,29.2,,34.0,3.0,99.2,31.2,34.0,34.0,46.2,,34.0,34.0,45.8,,34.0,34.0,64.5,,34.0,34.0,68.3,,34.0,34.0,45.8,,34.0,34.0,50.6,,34.0,34.0,69.5,,34.0,34.0,69.5,,34.0,34.0,29.2,,34.0,34.0,54.9,,34.0,34.0,17.9,,34.0,34.0,46.2,,34.0,34.3,0.0,,34.3,33.9,3.7,,34.0,34.0,25.6,,34.0,34.4,0.0,,34.4,34.0,46.4,,34.0,34.0,54.5,,34.0,34.0,25.9,,34.0,34.0,30.8,,34.0,34.0,34.5,,34.0,34.0,37.8,,34.0,0.1,
7/02/2025 3:52:54 PM,1110422,34.0,44.0,,34.0,3.0,99.2,31.2,34.0,34.0,56.3,,34.0,3.0,99.2,31.2,34.0,34.0,29.7,,34.0,3.0,99.2,31.2,34.0,34.0,44.2,,34.0,34.0,44.4,,34.0,34.0,65.2,,34.0,34.0,68.9,,34.0,34.0,45.8,,34.0,34.0,52.1,,34.0,34.0,70.4,,34.0,34.0,72.2,,34.0,34.0,29.7,,34.0,34.0,55.1,,34.0,34.0,18.4,,34.0,34.0,47.7,,34.0,34.3,0.0,,34.3,34.0,4.8,,34.0,34.0,27.0,,34.0,34.4,0.0,,34.4,34.0,46.3,,34.0,34.0,56.6,,34.0,34.0,25.5,,34.0,34.0,29.4,,34.0,34.0,34.0,,34.0,34.0,36.9,,34.0,0.0,
7/02/2025 3:53:54 PM,1110482,34.0,44.2,,34.0,3.0,99.3,31.2,34.0,34.0,56.6,,34.0,3.0,99.2,31.2,34.0,34.0,27.8,,34.0,3.0,99.2,31.2,34.0,34.0,45.2,,34.0,34.0,45.7,,34.0,34.0,64.9,,34.0,34.0,69.4,,34.0,34.0,45.8,,34.0,34.0,52.8,,34.0,34.0,69.7,,34.0,34.0,73.9,,34.0,34.0,27.8,,34.0,34.0,55.5,,34.0,34.0,17.9,,34.0,34.0,45.3,,34.0,34.3,0.0,,34.3,34.0,1.1,,34.0,34.0,34.2,,34.0,34.5,0.0,,34.4,34.0,46.2,,34.0,34.0,55.7,,34.0,34.0,24.5,,34.0,34.0,30.3,,34.0,34.0,34.1,,34.0,34.0,38.4,,34.0,0.1,
