Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
10/02/2025 3:33:04 PM,1368427,34.5,37.8,,34.5,3.3,99.9,31.8,34.5,34.0,57.8,,34.0,3.0,99.2,31.2,34.0,34.0,10.0,,34.0,3.0,99.2,31.2,34.0,34.0,44.0,,34.0,34.0,41.9,,34.0,34.0,64.8,,34.0,34.0,64.6,,34.0,34.0,58.6,,34.0,34.0,61.1,,34.0,34.0,21.6,,34.0,34.0,14.9,,34.0,34.0,10.0,,34.0,37.9,0.0,,37.9,34.0,16.0,,34.0,34.0,55.3,,34.0,34.0,99.4,,34.0,34.0,86.5,,34.0,34.0,69.9,,34.0,34.0,70.8,,34.0,34.0,47.7,,34.0,34.0,45.6,,34.0,34.0,17.2,,34.0,34.0,17.7,,34.0,36.2,0.0,,36.2,37.7,0.0,,37.7,0.2,
10/02/2025 3:33:59 PM,1368482,34.5,37.5,,34.5,3.3,99.9,31.8,34.5,34.0,58.1,,34.0,3.0,99.2,31.2,34.0,34.0,10.0,,34.0,3.0,99.2,31.2,34.0,34.0,44.1,,34.0,34.0,42.6,,34.0,34.0,64.5,,34.0,34.0,65.7,,34.0,34.0,58.6,,34.0,34.0,58.9,,34.0,34.0,21.4,,34.0,34.0,14.4,,34.0,34.0,10.0,,34.0,37.9,0.0,,37.9,34.0,15.5,,34.0,34.0,55.2,,34.0,34.0,100.3,,34.0,34.0,87.1,,34.0,34.0,68.8,,34.0,34.0,67.0,,34.0,34.0,46.9,,34.0,34.0,46.4,,34.0,34.0,17.2,,34.0,34.0,16.5,,34.0,36.2,0.0,,36.2,37.7,0.0,,37.7,0.1,
10/02/2025 3:34:59 PM,1368542,34.5,37.5,,34.5,3.3,99.9,31.8,34.5,34.0,57.4,,34.0,3.0,99.2,31.2,34.0,34.0,9.7,,34.0,3.0,99.2,31.2,34.0,34.0,45.2,,34.0,34.0,41.8,,34.0,34.0,63.0,,34.0,34.0,64.2,,34.0,34.0,58.6,,34.0,34.0,59.4,,34.0,34.0,20.5,,34.0,34.0,14.4,,34.0,34.0,9.7,,34.0,37.9,0.0,,37.9,34.0,16.1,,34.0,34.0,53.3,,34.0,34.0,100.0,,34.0,34.0,86.3,,34.0,34.0,68.4,,34.0,34.0,72.8,,34.0,34.0,47.0,,34.0,34.0,46.5,,34.0,34.0,17.3,,34.0,34.0,17.1,,34.0,36.2,0.0,,36.2,37.7,0.0,,37.7,0.0,
10/02/2025 3:35:59 PM,1368602,34.5,37.5,,34.5,3.3,99.9,31.8,34.5,34.0,57.8,,34.0,3.0,99.2,31.2,34.0,34.0,8.8,,34.0,3.0,99.2,31.2,34.0,34.0,45.3,,34.0,34.0,41.9,,34.0,34.0,63.9,,34.0,34.0,64.8,,34.0,34.0,58.6,,34.0,34.0,59.6,,34.0,34.0,19.9,,34.0,34.0,13.8,,34.0,34.0,8.8,,34.0,38.0,0.0,,38.0,34.0,15.2,,34.0,34.0,53.6,,34.0,34.0,101.0,,34.0,34.0,80.6,,34.0,34.0,71.2,,34.0,34.0,72.5,,34.0,34.0,46.5,,34.0,34.0,47.4,,34.0,34.0,17.4,,34.0,34.0,19.2,,34.0,36.3,0.0,,36.3,37.8,0.0,,37.8,0.3,
10/02/2025 3:36:59 PM,1368662,34.5,37.4,,34.5,3.3,99.9,31.8,34.5,34.0,57.2,,34.0,3.0,99.2,31.2,34.0,34.0,9.2,,34.0,3.0,99.2,31.2,34.0,34.0,44.6,,34.0,34.0,41.7,,34.0,34.0,62.7,,34.0,34.0,64.6,,34.0,34.0,58.0,,34.0,34.0,59.4,,34.0,34.0,18.6,,34.0,34.0,13.4,,34.0,34.0,9.2,,34.0,38.0,0.0,,38.0,34.0,15.5,,34.0,34.0,54.7,,34.0,34.0,101.5,,34.0,34.0,86.7,,34.0,34.0,70.9,,34.0,34.0,71.7,,34.0,34.0,47.4,,34.0,34.0,47.3,,34.0,34.0,16.7,,34.0,34.0,17.4,,34.0,36.3,0.0,,36.3,37.8,0.0,,37.8,0.0,
10/02/2025 3:37:59 PM,1368722,34.6,37.5,,34.6,3.4,99.9,31.9,34.6,34.0,57.9,,34.0,3.0,99.2,31.2,34.0,34.0,9.2,,34.0,3.0,99.2,31.2,34.0,34.0,47.0,,34.0,34.0,41.2,,34.0,34.0,64.1,,34.0,34.0,65.4,,34.0,34.0,57.8,,34.0,34.0,59.6,,34.0,34.0,20.3,,34.0,34.0,12.3,,34.0,34.0,9.2,,34.0,38.0,0.0,,38.0,34.0,15.1,,34.0,34.0,55.2,,34.0,34.0,98.3,,34.0,34.0,85.9,,34.0,34.0,67.2,,34.0,34.0,72.8,,34.0,34.0,46.8,,34.0,34.0,46.2,,34.0,34.0,18.2,,34.0,34.0,18.8,,34.0,36.3,0.0,,36.3,37.8,0.0,,37.8,0.0,
10/02/2025 3:38:59 PM,1368782,34.6,37.2,,34.6,3.4,99.9,31.9,34.6,34.0,58.0,,34.0,3.0,99.2,31.2,34.0,34.0,8.6,,34.0,3.0,99.2,31.2,34.0,34.0,46.0,,34.0,34.0,43.8,,34.0,34.0,64.2,,34.0,34.0,65.0,,34.0,34.0,57.6,,34.0,34.0,59.1,,34.0,34.0,19.3,,34.0,34.0,12.8,,34.0,34.0,8.6,,34.0,38.1,0.0,,38.1,34.0,15.0,,34.0,34.0,54.9,,34.0,34.0,100.9,,34.0,34.0,82.1,,34.0,34.0,69.8,,34.0,34.0,70.8,,34.0,34.0,47.5,,34.0,34.0,45.0,,34.0,34.0,16.4,,34.0,34.0,17.9,,34.0,36.3,0.0,,36.3,37.8,0.0,,37.8,0.0,
10/02/2025 3:39:59 PM,1368842,34.6,37.9,,34.6,3.4,99.9,31.9,34.6,34.0,58.1,,34.0,3.0,99.2,31.2,34.0,34.0,9.9,,34.0,3.0,99.2,31.2,34.0,34.0,46.0,,34.0,34.0,42.7,,34.0,34.0,65.6,,34.0,34.0,64.8,,34.0,34.0,57.5,,34.0,34.0,59.2,,34.0,34.0,20.7,,34.0,34.0,13.8,,34.0,34.0,9.9,,34.0,38.1,0.0,,38.1,34.0,16.1,,34.0,34.0,54.1,,34.0,34.0,100.4,,34.0,34.0,90.6,,34.0,34.0,69.8,,34.0,34.0,72.5,,34.0,34.0,47.4,,34.0,34.0,47.8,,34.0,34.0,15.8,,34.0,34.0,17.9,,34.0,36.4,0.0,,36.3,37.9,0.0,,37.9,0.1,
10/02/2025 3:40:59 PM,1368902,34.6,37.5,,34.6,3.4,99.9,31.9,34.6,34.0,58.0,,34.0,3.0,99.2,31.2,34.0,34.0,9.2,,34.0,3.0,99.2,31.2,34.0,34.0,46.3,,34.0,34.0,42.7,,34.0,34.0,63.6,,34.0,34.0,66.3,,34.0,34.0,57.5,,34.0,34.0,59.6,,34.0,34.0,19.9,,34.0,34.0,14.7,,34.0,34.0,9.2,,34.0,38.1,0.0,,38.1,34.0,15.8,,34.0,34.0,53.8,,34.0,34.0,101.5,,34.0,34.0,82.8,,34.0,34.0,68.7,,34.0,34.0,70.7,,34.0,34.0,46.3,,34.0,34.0,47.2,,34.0,34.0,16.6,,34.0,34.0,17.6,,34.0,36.4,0.0,,36.4,37.9,0.0,,37.9,0.2,
