Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
10/02/2025 1:25:19 PM,1360762,34.0,47.4,,34.0,3.0,99.2,31.2,34.0,34.0,36.9,,34.0,3.0,99.2,31.2,34.0,34.0,28.9,,34.0,3.0,99.2,31.2,34.0,34.0,26.9,,34.0,34.0,24.0,,34.0,34.0,35.4,,34.0,34.0,32.0,,34.0,34.0,56.1,,34.0,34.0,55.5,,34.0,34.0,65.1,,34.0,34.0,64.0,,34.0,34.0,28.9,,34.0,34.0,53.8,,34.0,34.0,18.6,,34.0,34.0,49.9,,34.0,34.0,108.8,,34.0,34.0,85.9,,34.0,34.0,68.3,,34.0,34.0,70.1,,34.0,34.0,51.0,,34.0,34.0,52.6,,34.0,34.0,28.9,,34.0,34.0,30.0,,34.0,34.0,38.7,,34.0,34.0,39.0,,34.0,0.0,
10/02/2025 1:25:59 PM,1360802,34.0,47.1,,34.0,3.0,99.2,31.2,34.0,34.0,35.4,,34.0,3.0,99.2,31.2,34.0,34.0,30.8,,34.0,3.0,99.2,31.2,34.0,34.0,25.8,,34.0,34.0,22.5,,34.0,34.0,32.1,,34.0,34.0,30.6,,34.0,34.0,56.1,,34.0,34.0,54.9,,34.0,34.0,65.4,,34.0,34.0,64.0,,34.0,34.0,30.8,,34.0,34.0,54.6,,34.0,34.0,18.0,,34.0,34.0,51.7,,34.0,34.0,99.6,,34.0,34.0,85.5,,34.0,34.0,67.3,,34.0,34.0,73.6,,34.0,34.0,51.4,,34.0,34.0,54.2,,34.0,34.0,29.4,,34.0,34.0,30.4,,34.0,34.0,38.2,,34.0,34.0,38.5,,34.0,0.3,
10/02/2025 1:26:59 PM,1360862,34.0,44.7,,34.0,3.0,99.2,31.2,34.0,34.0,25.0,,34.0,3.0,99.2,31.2,34.0,34.0,28.0,,34.0,3.0,99.2,31.2,34.0,34.0,22.4,,34.0,34.0,19.0,,34.0,34.0,14.2,,34.0,34.0,12.5,,34.0,34.0,54.9,,34.0,34.0,53.2,,34.0,34.0,65.0,,34.0,34.0,62.6,,34.0,34.0,28.0,,34.0,34.0,57.0,,34.0,34.0,18.7,,34.0,34.0,52.4,,34.0,34.0,106.2,,34.0,34.0,85.8,,34.0,34.0,69.4,,34.0,34.0,70.8,,34.0,34.0,50.5,,34.0,34.0,54.6,,34.0,34.0,27.6,,34.0,34.0,31.1,,34.0,34.0,39.8,,34.0,34.0,39.9,,34.0,1.0,
10/02/2025 1:27:59 PM,1360922,34.0,42.4,,34.0,3.0,99.2,31.2,34.0,34.0,18.7,,34.0,3.0,99.2,31.2,34.0,34.0,28.2,,34.0,3.0,99.2,31.2,34.0,34.0,17.5,,34.0,34.0,15.4,,34.0,34.0,4.0,,34.0,34.0,2.9,,34.0,34.0,54.3,,34.0,34.0,53.8,,34.0,34.0,60.0,,34.0,34.0,64.1,,34.0,34.0,28.2,,34.0,34.0,54.4,,34.0,34.0,17.4,,34.0,34.0,51.2,,34.0,34.0,106.9,,34.0,34.0,83.2,,34.0,34.0,70.4,,34.0,34.0,70.5,,34.0,34.0,51.5,,34.0,34.0,52.0,,34.0,34.0,27.5,,34.0,34.0,29.8,,34.0,34.0,37.9,,34.0,34.0,38.8,,34.0,1.1,
10/02/2025 1:28:59 PM,1360982,34.0,41.1,,34.0,3.0,99.2,31.2,34.0,34.0,15.9,,34.0,3.0,99.2,31.2,34.0,34.0,27.8,,34.0,3.0,99.2,31.2,34.0,34.0,15.6,,34.0,34.0,12.9,,34.0,34.0,0.0,,34.0,34.0,0.0,,34.0,34.0,52.1,,34.0,34.0,52.3,,34.0,34.0,56.3,,34.0,34.0,62.5,,34.0,34.0,27.8,,34.0,34.0,52.3,,34.0,34.0,17.4,,34.0,34.0,50.0,,34.0,34.0,105.5,,34.0,34.0,90.3,,34.0,34.0,66.7,,34.0,34.0,75.9,,34.0,34.0,50.0,,34.0,34.0,52.1,,34.0,34.0,27.9,,34.0,34.0,30.4,,34.0,34.0,36.4,,34.0,34.0,37.6,,34.0,0.8,
10/02/2025 1:29:59 PM,1361042,34.0,40.8,,34.0,3.0,99.2,31.2,34.0,34.0,15.3,,34.0,3.0,99.3,31.2,34.0,34.0,25.2,,34.0,3.0,99.2,31.2,34.0,34.0,14.7,,34.0,34.0,11.1,,34.0,34.0,0.0,,34.0,34.1,0.0,,34.1,34.0,51.0,,34.0,34.0,50.9,,34.0,34.0,55.6,,34.0,34.0,63.9,,34.0,34.0,25.2,,34.0,34.0,56.8,,34.0,34.0,17.8,,34.0,34.0,48.5,,34.0,34.0,99.9,,34.0,34.0,83.9,,34.0,34.0,65.6,,34.0,34.0,73.9,,34.0,34.0,50.2,,34.0,34.0,51.6,,34.0,34.0,27.9,,34.0,34.0,30.0,,34.0,34.0,37.1,,34.0,34.0,37.1,,34.0,0.4,
10/02/2025 1:30:59 PM,1361102,34.0,40.5,,34.0,3.0,99.2,31.2,34.0,34.0,15.4,,34.0,3.0,99.3,31.2,34.0,34.0,25.7,,34.0,3.0,99.2,31.2,34.0,34.0,14.2,,34.0,34.0,11.7,,34.0,34.0,0.0,,34.0,34.1,0.0,,34.1,34.0,51.5,,34.0,34.0,51.0,,34.0,34.0,55.1,,34.0,34.0,60.3,,34.0,34.0,25.7,,34.0,34.0,53.1,,34.0,34.0,18.4,,34.0,34.0,51.8,,34.0,34.0,100.1,,34.0,34.0,83.1,,34.0,34.0,65.2,,34.0,34.0,75.6,,34.0,34.0,50.0,,34.0,34.0,51.6,,34.0,34.0,28.6,,34.0,34.0,29.6,,34.0,34.0,38.4,,34.0,34.0,37.2,,34.0,0.5,
10/02/2025 1:31:59 PM,1361162,34.0,41.0,,34.0,3.0,99.2,31.2,34.0,34.1,15.4,,34.1,3.1,99.3,31.2,34.1,34.0,28.1,,34.0,3.0,99.2,31.2,34.0,34.0,13.6,,34.0,34.0,11.9,,34.0,34.0,0.0,,34.0,34.2,0.0,,34.2,34.0,51.5,,34.0,34.0,50.6,,34.0,34.0,57.9,,34.0,34.0,64.0,,34.0,34.0,28.1,,34.0,34.0,54.8,,34.0,34.0,18.4,,34.0,34.0,49.9,,34.0,34.0,90.9,,34.0,34.0,89.3,,34.0,34.0,63.5,,34.0,34.0,74.8,,34.0,34.0,49.0,,34.0,34.0,52.6,,34.0,34.0,28.0,,34.0,34.0,29.5,,34.0,34.0,40.1,,34.0,34.0,38.6,,34.0,0.0,
10/02/2025 1:32:59 PM,1361222,34.0,40.0,,34.0,3.0,99.2,31.2,34.0,34.1,15.0,,34.1,3.1,99.4,31.2,34.1,34.0,26.7,,34.0,3.0,99.2,31.2,34.0,34.0,12.3,,34.0,34.0,10.4,,34.0,34.1,0.0,,34.1,34.2,0.0,,34.2,34.0,51.5,,34.0,34.0,50.7,,34.0,34.0,55.9,,34.0,34.0,61.5,,34.0,34.0,26.7,,34.0,34.0,52.7,,34.0,34.0,17.8,,34.0,34.0,48.7,,34.0,34.0,99.3,,34.0,34.0,83.1,,34.0,34.0,64.4,,34.0,34.0,75.0,,34.0,34.0,49.2,,34.0,34.0,49.6,,34.0,34.0,26.9,,34.0,34.0,28.4,,34.0,34.0,37.1,,34.0,34.0,37.2,,34.0,0.5,
