Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
11/02/2025 1:02:06 PM,1445767,34.0,64.8,,34.0,3.0,99.2,31.2,34.0,34.0,64.4,,34.0,3.0,99.2,31.2,34.0,34.0,32.8,,34.0,3.0,99.2,31.2,34.0,34.0,49.0,,34.0,34.0,47.0,,34.0,34.0,72.3,,34.0,34.0,71.8,,34.0,34.0,65.2,,34.0,34.0,71.2,,34.0,34.0,75.7,,34.0,34.0,75.0,,34.0,34.0,32.8,,34.0,34.0,73.8,,34.0,34.0,28.6,,34.0,34.0,96.2,,34.0,34.0,110.3,,34.0,34.0,95.0,,34.0,34.0,73.8,,34.0,34.0,80.6,,34.0,34.0,63.5,,34.0,34.0,64.5,,34.0,34.0,31.8,,34.0,34.0,34.8,,34.0,34.0,72.1,,34.0,34.0,65.2,,34.0,0.1,
11/02/2025 1:03:01 PM,1445822,34.0,65.6,,34.0,3.0,99.2,31.2,34.0,34.0,64.8,,34.0,3.0,99.2,31.2,34.0,34.0,41.4,,34.0,3.0,99.2,31.2,34.0,34.0,47.8,,34.0,34.0,47.7,,34.0,34.0,69.5,,34.0,34.0,69.1,,34.0,34.0,73.1,,34.0,34.0,75.4,,34.0,34.0,72.5,,34.0,34.0,73.4,,34.0,34.0,41.4,,34.0,34.0,66.1,,34.0,34.0,23.1,,34.0,34.0,93.8,,34.0,34.0,126.5,,34.0,34.0,117.5,,34.0,34.0,90.2,,34.0,34.0,83.6,,34.0,34.0,74.7,,34.0,34.0,57.4,,34.0,34.0,38.4,,34.0,34.0,34.1,,34.0,34.0,66.7,,34.0,34.0,57.5,,34.0,0.3,
11/02/2025 1:04:01 PM,1445882,34.0,67.8,,34.0,3.0,99.2,31.2,34.0,34.0,67.5,,34.0,3.0,99.2,31.2,34.0,34.0,42.6,,34.0,3.0,99.2,31.2,34.0,34.0,50.0,,34.0,34.0,45.9,,34.0,34.0,72.3,,34.0,34.0,70.8,,34.0,34.0,79.4,,34.0,34.0,76.0,,34.0,34.0,74.3,,34.0,34.0,71.8,,34.0,34.0,42.6,,34.0,34.0,64.1,,34.0,34.0,22.7,,34.0,34.0,92.9,,34.0,34.0,140.7,,34.0,34.0,118.6,,34.0,34.0,102.4,,34.0,34.0,92.3,,34.0,34.0,82.7,,34.0,34.0,58.1,,34.0,34.0,41.7,,34.0,34.0,35.4,,34.0,34.0,69.7,,34.0,34.0,54.3,,34.0,0.5,
11/02/2025 1:05:01 PM,1445942,34.0,69.6,,34.0,3.0,99.2,31.2,34.0,34.0,68.1,,34.0,3.0,99.2,31.2,34.0,34.0,42.4,,34.0,3.0,99.2,31.2,34.0,34.0,49.2,,34.0,34.0,48.1,,34.0,34.0,71.9,,34.0,34.0,70.0,,34.0,34.0,82.7,,34.0,34.0,80.7,,34.0,34.0,74.7,,34.0,34.0,73.0,,34.0,34.0,42.4,,34.0,34.0,67.9,,34.0,34.0,21.6,,34.0,34.0,94.0,,34.0,34.0,149.8,,34.0,34.0,134.0,,34.0,34.0,106.6,,34.0,34.0,97.5,,34.0,34.0,83.8,,34.0,34.0,57.6,,34.0,34.0,43.9,,34.0,34.0,34.6,,34.0,34.0,68.3,,34.0,34.0,55.7,,34.0,0.5,
11/02/2025 1:06:01 PM,1446002,34.0,68.9,,34.0,3.0,99.2,31.2,34.0,34.0,66.9,,34.0,3.0,99.2,31.2,34.0,34.0,42.9,,34.0,3.0,99.2,31.2,34.0,34.0,48.7,,34.0,34.0,44.3,,34.0,34.0,71.7,,34.0,34.0,67.4,,34.0,34.0,82.8,,34.0,34.0,78.4,,34.0,34.0,75.9,,34.0,34.0,72.6,,34.0,34.0,42.9,,34.0,34.0,66.5,,34.0,34.0,21.3,,34.0,34.0,87.4,,34.0,34.0,158.6,,34.0,34.0,127.2,,34.0,34.0,111.9,,34.0,34.0,96.4,,34.0,34.0,82.8,,34.0,34.0,55.8,,34.0,34.0,43.4,,34.0,34.0,35.8,,34.0,34.0,69.7,,34.0,34.0,53.3,,34.0,0.1,
11/02/2025 1:07:01 PM,1446062,34.0,68.8,,34.0,3.0,99.2,31.2,34.0,34.0,67.6,,34.0,3.0,99.2,31.2,34.0,34.0,42.1,,34.0,3.0,99.2,31.2,34.0,34.0,47.8,,34.0,34.0,46.0,,34.0,34.0,71.0,,34.0,34.0,69.3,,34.0,34.0,84.1,,34.0,34.0,80.0,,34.0,34.0,74.9,,34.0,34.0,72.0,,34.0,34.0,42.1,,34.0,34.0,65.6,,34.0,34.0,20.6,,34.0,34.0,86.2,,34.0,34.0,167.0,,34.0,34.0,125.2,,34.0,34.0,111.6,,34.0,34.0,91.5,,34.0,34.0,83.0,,34.0,34.0,57.2,,34.0,34.0,43.2,,34.0,34.0,34.7,,34.0,34.0,68.1,,34.0,34.0,52.4,,34.0,0.1,
11/02/2025 1:08:01 PM,1446122,34.0,69.2,,34.0,3.0,99.2,31.2,34.0,34.0,67.6,,34.0,3.0,99.2,31.2,34.0,34.0,43.4,,34.0,3.0,99.2,31.2,34.0,34.0,49.4,,34.0,34.0,46.0,,34.0,34.0,72.6,,34.0,34.0,67.0,,34.0,34.0,84.3,,34.0,34.0,81.8,,34.0,34.0,74.5,,34.0,34.0,72.5,,34.0,34.0,43.4,,34.0,34.0,65.4,,34.0,34.0,20.4,,34.0,34.0,87.1,,34.0,34.0,160.8,,34.0,34.0,127.2,,34.0,34.0,115.5,,34.0,34.0,93.1,,34.0,34.0,82.2,,34.0,34.0,58.4,,34.0,34.0,44.8,,34.0,34.0,34.5,,34.0,34.0,69.0,,34.0,34.0,52.9,,34.0,0.0,
11/02/2025 1:09:01 PM,1446182,34.0,68.6,,34.0,3.0,99.2,31.2,34.0,34.0,67.3,,34.0,3.0,99.2,31.2,34.0,34.0,43.1,,34.0,3.0,99.2,31.2,34.0,34.0,47.3,,34.0,34.0,46.7,,34.0,34.0,70.9,,34.0,34.0,68.0,,34.0,34.0,84.3,,34.0,34.0,78.7,,34.0,34.0,68.1,,34.0,34.0,71.2,,34.0,34.0,43.1,,34.0,34.0,64.1,,34.0,34.0,20.3,,34.0,34.0,88.7,,34.0,34.0,171.2,,34.0,34.0,127.6,,34.0,34.0,116.5,,34.0,34.0,90.9,,34.0,34.0,81.8,,34.0,34.0,57.3,,34.0,34.0,43.6,,34.0,34.0,36.1,,34.0,34.0,70.1,,34.0,34.0,51.6,,34.0,0.4,
11/02/2025 1:10:01 PM,1446242,34.0,69.0,,34.0,3.0,99.2,31.2,34.0,34.0,67.1,,34.0,3.0,99.2,31.2,34.0,34.0,44.5,,34.0,3.0,99.2,31.2,34.0,34.0,48.5,,34.0,34.0,46.1,,34.0,34.0,71.0,,34.0,34.0,66.7,,34.0,34.0,84.3,,34.0,34.0,79.7,,34.0,34.0,73.0,,34.0,34.0,71.5,,34.0,34.0,44.5,,34.0,34.0,66.1,,34.0,34.0,20.6,,34.0,34.0,84.6,,34.0,34.0,166.4,,34.0,34.0,127.5,,34.0,34.0,116.1,,34.0,34.0,94.5,,34.0,34.0,84.1,,34.0,34.0,56.6,,34.0,34.0,45.5,,34.0,34.0,36.3,,34.0,34.0,67.4,,34.0,34.0,50.5,,34.0,1.0,
