Manikin #3.4.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interval (sec),60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),
11/02/2025 12:26,1443627,34,71.9,,34,3,99.2,31.2,34,34,67.8,,34,3,99.2,31.2,34,34,44.2,,34,3,99.2,31.2,34,34,49.4,,34,34,47.3,,34,34,75.8,,34,34,70.9,,34,34,76.4,,34,34,76.2,,34,34,80.8,,34,34,76.8,,34,34,44.2,,34,34,78.5,,34,34,36.5,,34,34,113.2,,34,34,135.1,,34,34,108.9,,34,34,92.6,,34,34,89.3,,34,34,74.6,,34,34,70.9,,34,34,36.7,,34,34,37.6,,34,34,83.4,,34,34,73.6,,34,0.1
11/02/2025 12:27,1443662,34,71.9,,34,3,99.2,31.2,34,34,67.6,,34,3,99.2,31.2,34,34,43.6,,34,3,99.2,31.2,34,34,49.3,,34,34,47.7,,34,34,75.1,,34,34,70.8,,34,34,76.4,,34,34,77.2,,34,34,78.7,,34,34,80.2,,34,34,43.6,,34,34,78.3,,34,34,35,,34,34,114.2,,34,34,139.4,,34,34,110.9,,34,34,88.5,,34,34,92.5,,34,34,75.5,,34,34,70.4,,34,34,36.6,,34,34,37,,34,34,82.6,,34,34,72.8,,34,0.6
11/02/2025 12:28,1443722,34,70.2,,34,3,99.2,31.2,34,34,72.3,,34,3,99.2,31.2,34,34,43.7,,34,3,99.2,31.2,34,34,48.4,,34,34,48.4,,34,34,91.9,,34,34,72.4,,34,34,76.4,,34,34,73.7,,34,34,80.2,,34,34,77,,34,34,43.7,,34,34,75.2,,34,34,31.4,,34,34,102.3,,34,34,127.4,,34,34,99.2,,34,34,85.6,,34,34,83.9,,34,34,72.8,,34,34,64.6,,34,34,34.8,,34,34,35.9,,34,34,80.3,,34,34,68.9,,34,1.9
11/02/2025 12:29,1443782,34,69.5,,34,3,99.2,31.2,34,34,66.9,,34,3,99.2,31.2,34,34,42.2,,34,3,99.2,31.2,34,34,48.9,,34,34,47.7,,34,34,71.4,,34,34,72.8,,34,34,75.6,,34,34,75.1,,34,34,79.8,,34,34,75.9,,34,34,42.2,,34,34,76.4,,34,34,31.6,,34,34,104,,34,34,126.2,,34,34,98.6,,34,34,89.4,,34,34,84.8,,34,34,71.8,,34,34,67.7,,34,34,35.2,,34,34,40.6,,34,34,80.1,,34,34,70.3,,34,0.3
11/02/2025 12:30,1443842,34,69.4,,34,3,99.2,31.2,34,34,66.4,,34,3,99.2,31.2,34,34,43.1,,34,3,99.2,31.2,34,34,48.2,,34,34,49,,34,34,74,,34,34,70,,34,34,73.4,,34,34,75.6,,34,34,79.6,,34,34,76,,34,34,43.1,,34,34,75.6,,34,34,30.2,,34,34,106.2,,34,34,128.1,,34,34,102.2,,34,34,100,,34,34,81.5,,34,34,70.9,,34,34,66.2,,34,34,34.5,,34,34,35.7,,34,34,80.9,,34,34,70.5,,34,0.1
11/02/2025 12:31,1443902,34,69.1,,34,3,99.2,31.2,34,34,66.8,,34,3,99.2,31.2,34,34,42.2,,34,3,99.2,31.2,34,34,48.5,,34,34,48.4,,34,34,71.8,,34,34,73.7,,34,34,73.4,,34,34,76.3,,34,34,74.8,,34,34,75.2,,34,34,42.2,,34,34,76.6,,34,34,31.9,,34,34,105.4,,34,34,129.3,,34,34,106.8,,34,34,89.2,,34,34,83.4,,34,34,71.4,,34,34,65.6,,34,34,35.1,,34,34,36.6,,34,34,79.5,,34,34,69.5,,34,0.4
11/02/2025 12:32,1443962,34,68.7,,34,3,99.2,31.2,34,34,66.7,,34,3,99.2,31.2,34,34,45.6,,34,3,99.2,31.2,34,34,50,,34,34,46.8,,34,34,73.2,,34,34,72.8,,34,34,72.5,,34,34,74.1,,34,34,78.3,,34,34,75.8,,34,34,45.6,,34,34,75.4,,34,34,31,,34,34,103.5,,34,34,123.4,,34,34,102.1,,34,34,85.4,,34,34,81.5,,34,34,70.5,,34,34,67.2,,34,34,34.4,,34,34,37,,34,34,78.6,,34,34,70.3,,34,0.8
11/02/2025 12:33,1444022,34,68.9,,34,3,99.2,31.2,34,34,65.8,,34,3,99.2,31.2,34,34,42.6,,34,3,99.2,31.2,34,34,48.1,,34,34,47.9,,34,34,72.5,,34,34,70.6,,34,34,72.1,,34,34,71.7,,34,34,76.5,,34,34,77.1,,34,34,42.6,,34,34,76.2,,34,34,33.7,,34,34,104.8,,34,34,130.7,,34,34,106.8,,34,34,88.5,,34,34,80.2,,34,34,71.3,,34,34,67.3,,34,34,34.3,,34,34,36.7,,34,34,79.9,,34,34,71.1,,34,0.7
11/02/2025 12:34,1444082,34,69.5,,34,3,99.2,31.2,34,34,66.9,,34,3,99.2,31.2,34,34,42.2,,34,3,99.2,31.2,34,34,49,,34,34,48.3,,34,34,75.5,,34,34,71.5,,34,34,72.2,,34,34,77.6,,34,34,76.7,,34,34,76,,34,34,42.2,,34,34,76.5,,34,34,32.4,,34,34,107.4,,34,34,127.4,,34,34,101.4,,34,34,87.3,,34,34,81.9,,34,34,69.8,,34,34,68.3,,34,34,35.7,,34,34,35.9,,34,34,80.9,,34,34,74.9,,34,0.2
