Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
20/02/2025 12:42:14 PM,0,34.0,74.6,,34.0,3.0,99.2,31.2,34.0,34.0,81.4,,34.0,3.0,99.2,31.2,34.0,34.0,45.5,,34.0,3.0,99.2,31.2,34.0,34.0,64.7,,34.0,34.0,64.8,,34.0,34.0,88.6,,34.0,34.0,96.3,,34.0,34.0,75.3,,34.0,34.0,90.1,,34.0,34.0,94.1,,34.0,34.0,89.8,,34.0,34.0,45.5,,34.0,34.0,68.3,,34.0,34.0,23.4,,34.0,34.0,125.0,,34.0,34.0,134.5,,34.0,34.0,118.4,,34.0,34.0,89.8,,34.0,34.0,98.9,,34.0,34.0,65.3,,34.0,34.0,69.7,,34.0,34.0,43.3,,34.0,34.0,46.4,,34.0,34.0,49.8,,34.0,34.0,50.9,,34.0,0.3,
20/02/2025 12:43:14 PM,60,34.0,74.2,,34.0,3.0,99.2,31.2,34.0,34.0,82.4,,34.0,3.0,99.2,31.2,34.0,34.0,44.9,,34.0,3.0,99.2,31.2,34.0,34.0,64.6,,34.0,34.0,63.5,,34.0,34.0,88.7,,34.0,34.0,97.0,,34.0,34.0,79.5,,34.0,34.0,89.5,,34.0,34.0,94.3,,34.0,34.0,88.2,,34.0,34.0,44.9,,34.0,34.0,69.1,,34.0,34.0,11.5,,34.0,34.0,126.4,,34.0,34.0,134.5,,34.0,34.0,122.0,,34.0,34.0,88.2,,34.0,34.0,98.0,,34.0,34.0,67.5,,34.0,34.0,68.9,,34.0,34.0,43.0,,34.0,34.0,45.6,,34.0,34.0,50.0,,34.0,34.0,52.0,,34.0,0.2,
20/02/2025 12:44:14 PM,120,34.0,75.8,,34.0,3.0,99.2,31.2,34.0,34.0,82.0,,34.0,3.0,99.2,31.2,34.0,34.0,45.6,,34.0,3.0,99.2,31.2,34.0,34.0,62.9,,34.0,34.0,65.5,,34.0,34.0,88.7,,34.0,34.0,96.0,,34.0,34.0,78.6,,34.0,34.0,88.2,,34.0,34.0,92.7,,34.0,34.0,89.1,,34.0,34.0,45.6,,34.0,34.0,69.1,,34.0,34.0,23.9,,34.0,34.0,140.5,,34.0,34.0,130.1,,34.0,34.0,128.8,,34.0,34.0,85.2,,34.0,34.0,103.1,,34.0,34.0,67.7,,34.0,34.0,73.2,,34.0,34.0,45.9,,34.0,34.0,47.6,,34.0,34.0,52.2,,34.0,34.0,52.2,,34.0,1.3,
20/02/2025 12:45:14 PM,180,34.0,75.3,,34.0,3.0,99.2,31.2,34.0,34.0,81.1,,34.0,3.0,99.2,31.2,34.0,34.0,43.6,,34.0,3.0,99.2,31.2,34.0,34.0,65.3,,34.0,34.0,62.7,,34.0,34.0,88.7,,34.0,34.0,93.1,,34.0,34.0,78.0,,34.0,34.0,83.6,,34.0,34.0,96.5,,34.0,34.0,92.5,,34.0,34.0,43.6,,34.0,34.0,69.2,,34.0,34.0,24.6,,34.0,34.0,140.5,,34.0,34.0,133.2,,34.0,34.0,123.8,,34.0,34.0,86.8,,34.0,34.0,99.4,,34.0,34.0,65.6,,34.0,34.0,70.2,,34.0,34.0,45.5,,34.0,34.0,47.7,,34.0,34.0,49.8,,34.0,34.0,53.0,,34.0,0.3,
20/02/2025 12:46:14 PM,240,34.0,75.8,,34.0,3.0,99.2,31.2,34.0,34.0,81.6,,34.0,3.0,99.2,31.2,34.0,34.0,44.7,,34.0,3.0,99.2,31.2,34.0,34.0,63.8,,34.0,34.0,64.7,,34.0,34.0,88.0,,34.0,34.0,96.3,,34.0,34.0,77.3,,34.0,34.0,86.5,,34.0,34.0,95.0,,34.0,34.0,89.6,,34.0,34.0,44.7,,34.0,34.0,69.9,,34.0,34.0,25.3,,34.0,34.0,144.3,,34.0,34.0,137.0,,34.0,34.0,123.4,,34.0,34.0,85.9,,34.0,34.0,98.3,,34.0,34.0,68.5,,34.0,34.0,70.0,,34.0,34.0,44.7,,34.0,34.0,47.7,,34.0,34.0,52.7,,34.0,34.0,52.6,,34.0,0.3,
20/02/2025 12:47:14 PM,300,34.0,76.4,,34.0,3.0,99.2,31.2,34.0,34.0,81.8,,34.0,3.0,99.2,31.2,34.0,34.0,44.5,,34.0,3.0,99.2,31.2,34.0,34.0,64.9,,34.0,34.0,65.1,,34.0,34.0,87.5,,34.0,34.0,96.6,,34.0,34.0,77.7,,34.0,34.0,89.0,,34.0,34.0,90.8,,34.0,34.0,88.4,,34.0,34.0,44.5,,34.0,34.0,70.8,,34.0,34.0,27.5,,34.0,34.0,142.6,,34.0,34.0,133.3,,34.0,34.0,127.3,,34.0,34.0,91.5,,34.0,34.0,101.0,,34.0,34.0,71.0,,34.0,34.0,71.9,,34.0,34.0,47.0,,34.0,34.0,48.2,,34.0,34.0,52.2,,34.0,34.0,51.5,,34.0,0.0,
20/02/2025 12:48:14 PM,360,34.0,76.1,,34.0,3.0,99.2,31.2,34.0,34.0,81.5,,34.0,3.0,99.2,31.2,34.0,34.0,45.0,,34.0,3.0,99.2,31.2,34.0,34.0,63.7,,34.0,34.0,65.6,,34.0,34.0,87.7,,34.0,34.0,95.5,,34.0,34.0,77.7,,34.0,34.0,90.3,,34.0,34.0,93.9,,34.0,34.0,88.9,,34.0,34.0,45.0,,34.0,34.0,69.0,,34.0,34.0,24.4,,34.0,34.0,142.1,,34.0,34.0,139.8,,34.0,34.0,124.6,,34.0,34.0,91.2,,34.0,34.0,97.6,,34.0,34.0,72.0,,34.0,34.0,69.5,,34.0,34.0,46.8,,34.0,34.0,48.8,,34.0,34.0,52.7,,34.0,34.0,50.2,,34.0,0.4,
20/02/2025 12:49:14 PM,420,34.0,75.7,,34.0,3.0,99.2,31.2,34.0,34.0,82.0,,34.0,3.0,99.2,31.2,34.0,34.0,44.4,,34.0,3.0,99.2,31.2,34.0,34.0,63.7,,34.0,34.0,65.1,,34.0,34.0,88.5,,34.0,34.0,96.7,,34.0,34.0,77.7,,34.0,34.0,89.9,,34.0,34.0,96.0,,34.0,34.0,89.2,,34.0,34.0,44.4,,34.0,34.0,66.9,,34.0,34.0,25.3,,34.0,34.0,141.2,,34.0,34.0,134.9,,34.0,34.0,120.0,,34.0,34.0,88.3,,34.0,34.0,97.2,,34.0,34.0,68.2,,34.0,34.0,70.0,,34.0,34.0,45.9,,34.0,34.0,49.7,,34.0,34.0,51.6,,34.0,34.0,50.0,,34.0,0.2,
20/02/2025 12:50:14 PM,480,34.0,76.0,,34.0,3.0,99.2,31.2,34.0,34.0,81.3,,34.0,3.0,99.2,31.2,34.0,34.0,45.3,,34.0,3.0,99.2,31.2,34.0,34.0,65.6,,34.0,34.0,64.6,,34.0,34.0,87.9,,34.0,34.0,94.8,,34.0,34.0,76.7,,34.0,34.0,87.6,,34.0,34.0,96.1,,34.0,34.0,88.9,,34.0,34.0,45.3,,34.0,34.0,68.2,,34.0,34.0,25.0,,34.0,34.0,143.8,,34.0,34.0,134.3,,34.0,34.0,123.8,,34.0,34.0,100.6,,34.0,34.0,99.7,,34.0,34.0,68.4,,34.0,34.0,68.6,,34.0,34.0,45.6,,34.0,34.0,48.3,,34.0,34.0,51.7,,34.0,34.0,51.5,,34.0,0.5,
20/02/2025 12:51:14 PM,540,34.0,75.7,,34.0,3.0,99.2,31.2,34.0,34.0,80.9,,34.0,3.0,99.2,31.2,34.0,34.0,45.0,,34.0,3.0,99.2,31.2,34.0,34.0,64.3,,34.0,34.0,65.7,,34.0,34.0,87.0,,34.0,34.0,94.4,,34.0,34.0,76.6,,34.0,34.0,87.4,,34.0,34.0,94.0,,34.0,34.0,87.0,,34.0,34.0,45.0,,34.0,34.0,70.3,,34.0,34.0,24.8,,34.0,34.0,144.3,,34.0,34.0,136.3,,34.0,34.0,122.4,,34.0,34.0,89.3,,34.0,34.0,101.0,,34.0,34.0,69.9,,34.0,34.0,69.3,,34.0,34.0,47.4,,34.0,34.0,49.0,,34.0,34.0,51.7,,34.0,34.0,51.6,,34.0,0.1,
20/02/2025 12:52:14 PM,600,34.0,75.7,,34.0,3.0,99.2,31.2,34.0,34.0,80.5,,34.0,3.0,99.2,31.2,34.0,34.0,43.3,,34.0,3.0,99.2,31.2,34.0,34.0,63.5,,34.0,34.0,64.2,,34.0,34.0,87.5,,34.0,34.0,93.4,,34.0,34.0,76.6,,34.0,34.0,89.8,,34.0,34.0,96.1,,34.0,34.0,89.6,,34.0,34.0,43.3,,34.0,34.0,71.1,,34.0,34.0,24.9,,34.0,34.0,142.7,,34.0,34.0,137.0,,34.0,34.0,120.7,,34.0,34.0,89.4,,34.0,34.0,101.2,,34.0,34.0,67.4,,34.0,34.0,68.0,,34.0,34.0,45.6,,34.0,34.0,47.8,,34.0,34.0,53.3,,34.0,34.0,49.9,,34.0,0.2,
20/02/2025 12:53:14 PM,660,34.0,76.5,,34.0,3.0,99.2,31.2,34.0,34.0,83.2,,34.0,3.0,99.2,31.2,34.0,34.0,44.1,,34.0,3.0,99.2,31.2,34.0,34.0,63.4,,34.0,34.0,64.9,,34.0,34.0,90.6,,34.0,34.0,98.4,,34.0,34.0,79.1,,34.0,34.0,91.3,,34.0,34.0,94.4,,34.0,34.0,89.0,,34.0,34.0,44.1,,34.0,34.0,71.1,,34.0,34.0,24.9,,34.0,34.0,143.5,,34.0,34.0,134.4,,34.0,34.0,121.1,,34.0,34.0,88.0,,34.0,34.0,99.5,,34.0,34.0,70.1,,34.0,34.0,69.9,,34.0,34.0,46.3,,34.0,34.0,48.2,,34.0,34.0,53.2,,34.0,34.0,51.7,,34.0,0.7,
