Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
21/02/2025 11:40:53 AM,0,34.0,81.9,,34.0,3.0,99.2,31.2,34.0,34.0,87.4,,34.0,3.0,99.2,31.2,34.0,34.0,56.7,,34.0,3.0,99.2,31.2,34.0,34.0,66.0,,34.0,34.0,63.8,,34.0,34.0,90.9,,34.0,34.0,94.6,,34.0,34.0,99.8,,34.0,34.0,88.9,,34.0,34.0,99.5,,34.0,34.0,102.7,,34.0,34.0,56.7,,34.0,34.0,93.6,,34.0,34.0,21.7,,34.0,34.0,92.6,,34.0,34.0,143.3,,34.0,34.0,125.9,,34.0,34.0,104.5,,34.0,34.0,104.9,,34.0,34.0,82.2,,34.0,34.0,70.9,,34.0,34.0,49.6,,34.0,34.0,44.6,,34.0,34.0,77.5,,34.0,34.0,60.3,,34.0,0.6,
21/02/2025 11:41:53 AM,60,34.0,91.4,,34.0,3.0,99.2,31.2,34.0,34.0,97.2,,34.0,3.0,99.2,31.1,34.0,34.0,60.6,,34.0,3.0,99.2,31.2,34.0,34.0,66.9,,34.0,34.0,62.2,,34.0,34.0,102.9,,34.0,34.0,100.0,,34.0,34.0,122.6,,34.0,34.0,99.1,,34.0,34.0,120.0,,34.0,34.0,115.7,,34.0,34.0,60.6,,34.0,34.0,105.8,,34.0,34.0,21.3,,34.0,34.0,94.7,,34.0,34.0,178.9,,34.0,34.0,161.6,,34.0,34.0,120.5,,34.0,34.0,118.9,,34.0,34.0,88.3,,34.0,34.0,72.8,,34.0,34.0,52.0,,34.0,34.0,43.7,,34.0,34.0,83.0,,34.0,34.0,64.3,,34.0,4.9,
21/02/2025 11:42:53 AM,120,34.0,93.4,,34.0,3.0,99.2,31.2,34.0,34.0,97.2,,34.0,3.0,99.2,31.2,34.0,34.0,61.2,,34.0,3.0,99.2,31.2,34.0,34.0,66.9,,34.0,34.0,62.2,,34.0,34.0,99.7,,34.0,34.0,99.2,,34.0,34.0,127.3,,34.0,34.0,97.9,,34.0,34.0,123.4,,34.0,34.0,117.4,,34.0,34.0,61.2,,34.0,34.0,107.1,,34.0,34.0,22.1,,34.0,34.0,100.7,,34.0,34.0,186.6,,34.0,34.0,164.5,,34.0,34.0,125.7,,34.0,34.0,135.0,,34.0,34.0,92.1,,34.0,34.0,74.7,,34.0,34.0,54.3,,34.0,34.0,44.8,,34.0,34.0,84.2,,34.0,34.0,64.5,,34.0,0.4,
21/02/2025 11:43:53 AM,180,34.0,93.9,,34.0,3.0,99.2,31.2,34.0,34.0,96.6,,34.0,3.0,99.2,31.2,34.0,34.0,61.3,,34.0,3.0,99.2,31.2,34.0,34.0,65.7,,34.0,34.0,63.4,,34.0,34.0,101.3,,34.0,34.0,98.4,,34.0,34.0,123.6,,34.0,34.0,100.6,,34.0,34.0,125.2,,34.0,34.0,118.7,,34.0,34.0,61.3,,34.0,34.0,106.8,,34.0,34.0,22.8,,34.0,34.0,97.6,,34.0,34.0,188.9,,34.0,34.0,172.7,,34.0,34.0,123.3,,34.0,34.0,134.1,,34.0,34.0,94.5,,34.0,34.0,76.7,,34.0,34.0,54.3,,34.0,34.0,45.7,,34.0,34.0,84.7,,34.0,34.0,63.5,,34.0,0.1,
21/02/2025 11:44:53 AM,240,34.0,93.6,,34.0,3.0,99.2,31.2,34.0,34.0,96.8,,34.0,3.0,99.2,31.2,34.0,34.0,62.4,,34.0,3.0,99.2,31.2,34.0,34.0,65.9,,34.0,34.0,62.8,,34.0,34.0,101.4,,34.0,34.0,100.7,,34.0,34.0,122.3,,34.0,34.0,99.8,,34.0,34.0,126.6,,34.0,34.0,116.9,,34.0,34.0,62.4,,34.0,34.0,106.4,,34.0,34.0,21.8,,34.0,34.0,94.5,,34.0,34.0,189.4,,34.0,34.0,163.7,,34.0,34.0,125.5,,34.0,34.0,133.6,,34.0,34.0,92.5,,34.0,34.0,73.9,,34.0,34.0,54.3,,34.0,34.0,46.9,,34.0,34.0,86.5,,34.0,34.0,65.2,,34.0,1.1,
21/02/2025 11:45:53 AM,300,34.0,91.4,,34.0,3.0,99.2,31.2,34.0,34.0,95.2,,34.0,3.0,99.2,31.2,34.0,34.0,60.9,,34.0,3.0,99.2,31.2,34.0,34.0,66.1,,34.0,34.0,61.9,,34.0,34.0,99.8,,34.0,34.0,96.5,,34.0,34.0,122.0,,34.0,34.0,95.1,,34.0,34.0,125.3,,34.0,34.0,116.9,,34.0,34.0,60.9,,34.0,34.0,107.4,,34.0,34.0,21.5,,34.0,34.0,97.2,,34.0,34.0,182.4,,34.0,34.0,148.0,,34.0,34.0,122.5,,34.0,34.0,120.7,,34.0,34.0,91.2,,34.0,34.0,71.2,,34.0,34.0,52.6,,34.0,34.0,43.9,,34.0,34.0,85.2,,34.0,34.0,66.2,,34.0,0.9,
21/02/2025 11:46:53 AM,360,34.0,91.9,,34.0,3.0,99.2,31.2,34.0,34.0,94.5,,34.0,3.0,99.2,31.2,34.0,34.0,60.8,,34.0,3.0,99.2,31.2,34.0,34.0,50.6,,34.0,34.0,62.4,,34.0,34.0,100.5,,34.0,34.0,98.6,,34.0,34.0,124.3,,34.0,34.0,98.3,,34.0,34.0,124.5,,34.0,34.0,119.9,,34.0,34.0,60.8,,34.0,34.0,109.3,,34.0,34.0,22.6,,34.0,34.0,94.0,,34.0,34.0,177.7,,34.0,34.0,165.9,,34.0,34.0,116.9,,34.0,34.0,124.4,,34.0,34.0,88.8,,34.0,34.0,73.1,,34.0,34.0,53.4,,34.0,34.0,46.1,,34.0,34.0,84.8,,34.0,34.0,64.3,,34.0,0.9,
21/02/2025 11:47:53 AM,420,34.0,91.9,,34.0,3.0,99.2,31.2,34.0,34.0,95.7,,34.0,3.0,99.2,31.2,34.0,34.0,59.3,,34.0,3.0,99.2,31.2,34.0,34.0,68.8,,34.0,34.0,62.1,,34.0,34.0,99.9,,34.0,34.0,95.7,,34.0,34.0,123.3,,34.0,34.0,97.6,,34.0,34.0,126.7,,34.0,34.0,117.6,,34.0,34.0,59.3,,34.0,34.0,107.8,,34.0,34.0,7.4,,34.0,34.0,94.1,,34.0,34.0,194.9,,34.0,34.0,160.2,,34.0,34.0,123.0,,34.0,34.0,128.3,,34.0,34.0,91.9,,34.0,34.0,74.4,,34.0,34.0,53.3,,34.0,34.0,44.0,,34.0,34.0,84.4,,34.0,34.0,65.2,,34.0,0.9,
21/02/2025 11:48:53 AM,480,34.0,94.4,,34.0,3.0,99.2,31.2,34.0,34.0,96.7,,34.0,3.0,99.2,31.2,34.0,34.0,60.4,,34.0,3.0,99.2,31.2,34.0,34.0,66.3,,34.0,34.0,60.9,,34.0,34.0,102.5,,34.0,34.0,96.9,,34.0,34.0,125.7,,34.0,34.0,99.1,,34.0,34.0,128.3,,34.0,34.0,118.9,,34.0,34.0,60.4,,34.0,34.0,107.2,,34.0,34.0,22.9,,34.0,34.0,98.9,,34.0,34.0,192.7,,34.0,34.0,169.6,,34.0,34.0,123.8,,34.0,34.0,136.5,,34.0,34.0,94.1,,34.0,34.0,78.4,,34.0,34.0,54.0,,34.0,34.0,46.2,,34.0,34.0,84.6,,34.0,34.0,66.6,,34.0,0.7,
