Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
24/02/2025 10:39:51 AM,0,34.0,77.9,,34.0,3.0,99.2,31.2,34.0,34.0,85.6,,34.0,3.0,99.2,31.2,34.0,34.0,60.8,,34.0,3.0,99.2,31.2,34.0,34.0,67.1,,34.0,34.0,65.7,,34.0,34.0,93.8,,34.0,34.0,96.4,,34.0,34.0,85.4,,34.0,34.0,88.6,,34.0,34.0,108.6,,34.0,34.0,108.6,,34.0,34.0,60.8,,34.0,34.0,81.5,,34.0,34.0,21.5,,34.0,34.0,77.5,,34.0,34.0,120.2,,34.0,34.0,116.3,,34.0,34.0,82.8,,34.0,34.0,104.0,,34.0,34.0,67.3,,34.0,34.0,77.7,,34.0,34.0,42.7,,34.0,34.0,47.2,,34.0,34.0,52.5,,34.0,34.0,60.6,,34.0,0.1,
24/02/2025 10:40:51 AM,60,34.0,77.9,,34.0,3.0,99.2,31.2,34.0,34.0,85.4,,34.0,3.0,99.2,31.2,34.0,34.0,60.1,,34.0,3.0,99.2,31.2,34.0,34.0,65.5,,34.0,34.0,65.3,,34.0,34.0,94.6,,34.0,34.0,95.8,,34.0,34.0,85.4,,34.0,34.0,87.3,,34.0,34.0,107.0,,34.0,34.0,106.3,,34.0,34.0,60.1,,34.0,34.0,81.7,,34.0,34.0,19.6,,34.0,34.0,77.7,,34.0,34.0,127.1,,34.0,34.0,128.5,,34.0,34.0,85.0,,34.0,34.0,112.0,,34.0,34.0,66.1,,34.0,34.0,74.4,,34.0,34.0,44.1,,34.0,34.0,46.7,,34.0,34.0,50.8,,34.0,34.0,59.5,,34.0,0.0,
24/02/2025 10:41:51 AM,120,34.0,77.3,,34.0,3.0,99.2,31.2,34.0,34.0,85.1,,34.0,3.0,99.2,31.2,34.0,34.0,59.7,,34.0,3.0,99.2,31.2,34.0,34.0,65.0,,34.0,34.0,65.3,,34.0,34.0,91.5,,34.0,34.0,97.9,,34.0,34.0,85.4,,34.0,34.0,86.7,,34.0,34.0,106.1,,34.0,34.0,108.3,,34.0,34.0,59.7,,34.0,34.0,80.5,,34.0,34.0,22.0,,34.0,34.0,76.8,,34.0,34.0,124.8,,34.0,34.0,117.6,,34.0,34.0,83.2,,34.0,34.0,102.0,,34.0,34.0,66.8,,34.0,34.0,76.7,,34.0,34.0,44.3,,34.0,34.0,45.2,,34.0,34.0,53.1,,34.0,34.0,57.6,,34.0,0.7,
24/02/2025 10:42:51 AM,180,34.0,77.9,,34.0,3.0,99.2,31.2,34.0,34.0,85.5,,34.0,3.0,99.2,31.2,34.0,34.0,58.8,,34.0,3.0,99.2,31.2,34.0,34.0,66.6,,34.0,34.0,65.9,,34.0,34.0,93.5,,34.0,34.0,96.9,,34.0,34.0,85.0,,34.0,34.0,88.0,,34.0,34.0,106.0,,34.0,34.0,105.9,,34.0,34.0,58.8,,34.0,34.0,79.3,,34.0,34.0,22.5,,34.0,34.0,77.6,,34.0,34.0,135.6,,34.0,34.0,128.4,,34.0,34.0,84.2,,34.0,34.0,106.4,,34.0,34.0,63.5,,34.0,34.0,76.5,,34.0,34.0,42.9,,34.0,34.0,45.2,,34.0,34.0,56.0,,34.0,34.0,59.3,,34.0,0.7,
24/02/2025 10:43:51 AM,240,34.0,77.4,,34.0,3.0,99.2,31.2,34.0,34.0,84.4,,34.0,3.0,99.2,31.2,34.0,34.0,60.3,,34.0,3.0,99.2,31.2,34.0,34.0,65.7,,34.0,34.0,66.4,,34.0,34.0,92.1,,34.0,34.0,95.2,,34.0,34.0,83.9,,34.0,34.0,88.6,,34.0,34.0,106.2,,34.0,34.0,105.4,,34.0,34.0,60.3,,34.0,34.0,79.2,,34.0,34.0,21.5,,34.0,34.0,76.8,,34.0,34.0,123.8,,34.0,34.0,125.7,,34.0,34.0,82.7,,34.0,34.0,108.9,,34.0,34.0,64.8,,34.0,34.0,77.0,,34.0,34.0,43.5,,34.0,34.0,47.3,,34.0,34.0,53.2,,34.0,34.0,59.2,,34.0,0.5,
24/02/2025 10:44:51 AM,300,34.0,77.4,,34.0,3.0,99.2,31.2,34.0,34.0,85.3,,34.0,3.0,99.2,31.2,34.0,34.0,60.1,,34.0,3.0,99.2,31.2,34.0,34.0,64.6,,34.0,34.0,65.9,,34.0,34.0,93.6,,34.0,34.0,97.6,,34.0,34.0,84.3,,34.0,34.0,87.8,,34.0,34.0,105.7,,34.0,34.0,108.0,,34.0,34.0,60.1,,34.0,34.0,78.8,,34.0,34.0,22.3,,34.0,34.0,78.0,,34.0,34.0,122.5,,34.0,34.0,130.8,,34.0,34.0,84.7,,34.0,34.0,113.4,,34.0,34.0,54.0,,34.0,34.0,75.6,,34.0,34.0,42.3,,34.0,34.0,47.2,,34.0,34.0,53.4,,34.0,34.0,59.3,,34.0,0.2,
24/02/2025 10:45:51 AM,360,34.0,77.2,,34.0,3.0,99.2,31.2,34.0,34.0,84.7,,34.0,3.0,99.2,31.2,34.0,34.0,58.4,,34.0,3.0,99.2,31.2,34.0,34.0,65.2,,34.0,34.0,64.5,,34.0,34.0,93.1,,34.0,34.0,96.4,,34.0,34.0,84.3,,34.0,34.0,86.0,,34.0,34.0,106.0,,34.0,34.0,107.1,,34.0,34.0,58.4,,34.0,34.0,79.4,,34.0,34.0,22.0,,34.0,34.0,79.7,,34.0,34.0,136.2,,34.0,34.0,115.4,,34.0,34.0,86.7,,34.0,34.0,100.0,,34.0,34.0,65.1,,34.0,34.0,76.2,,34.0,34.0,42.6,,34.0,34.0,45.1,,34.0,34.0,54.4,,34.0,34.0,57.8,,34.0,0.1,
24/02/2025 10:46:51 AM,420,34.0,77.3,,34.0,3.0,99.2,31.2,34.0,34.0,84.2,,34.0,3.0,99.2,31.2,34.0,34.0,58.5,,34.0,3.0,99.2,31.2,34.0,34.0,64.8,,34.0,34.0,66.5,,34.0,34.0,91.7,,34.0,34.0,94.8,,34.0,34.0,84.3,,34.0,34.0,88.1,,34.0,34.0,105.9,,34.0,34.0,106.0,,34.0,34.0,58.5,,34.0,34.0,78.1,,34.0,34.0,24.4,,34.0,34.0,77.3,,34.0,34.0,126.0,,34.0,34.0,127.0,,34.0,34.0,84.5,,34.0,34.0,109.8,,34.0,34.0,65.8,,34.0,34.0,74.4,,34.0,34.0,42.1,,34.0,34.0,44.9,,34.0,34.0,53.6,,34.0,34.0,58.5,,34.0,0.3,
24/02/2025 10:47:51 AM,480,34.0,77.1,,34.0,3.0,99.2,31.2,34.0,34.0,85.1,,34.0,3.0,99.2,31.2,34.0,34.0,56.5,,34.0,3.0,99.2,31.2,34.0,34.0,65.6,,34.0,34.0,67.9,,34.0,34.0,91.9,,34.0,34.0,97.2,,34.0,34.0,84.3,,34.0,34.0,86.9,,34.0,34.0,106.2,,34.0,34.0,105.5,,34.0,34.0,56.5,,34.0,34.0,78.3,,34.0,34.0,22.5,,34.0,34.0,79.0,,34.0,34.0,122.7,,34.0,34.0,125.5,,34.0,34.0,84.3,,34.0,34.0,107.4,,34.0,34.0,64.9,,34.0,34.0,75.4,,34.0,34.0,41.6,,34.0,34.0,46.0,,34.0,34.0,54.8,,34.0,34.0,56.4,,34.0,0.1,
