Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
25/02/2025 10:41:33 AM,0,34.0,63.3,,34.0,3.0,99.2,31.2,34.0,34.0,79.5,,34.0,3.0,99.2,31.2,34.0,34.0,43.6,,34.0,3.0,99.2,31.2,34.0,34.0,66.8,,34.0,34.0,65.6,,34.0,34.0,95.0,,34.0,34.0,97.1,,34.0,34.0,58.0,,34.0,34.0,68.3,,34.0,34.0,100.1,,34.0,34.0,105.8,,34.0,34.0,43.6,,34.0,34.0,56.6,,34.0,34.0,23.9,,34.0,34.0,71.8,,34.0,34.0,105.8,,34.0,34.0,108.9,,34.0,34.0,46.2,,34.0,34.0,49.0,,34.0,34.0,41.9,,34.0,34.0,43.2,,34.0,34.0,29.2,,34.0,34.0,30.9,,34.0,34.0,42.1,,34.0,34.0,44.2,,34.0,0.3,
25/02/2025 10:42:33 AM,60,34.0,63.4,,34.0,3.0,99.2,31.2,34.0,34.0,79.6,,34.0,3.0,99.2,31.2,34.0,34.0,46.0,,34.0,3.0,99.2,31.2,34.0,34.0,65.7,,34.0,34.0,65.4,,34.0,34.0,95.9,,34.0,34.0,96.9,,34.0,34.0,58.4,,34.0,34.0,69.3,,34.0,34.0,100.2,,34.0,34.0,108.9,,34.0,34.0,46.0,,34.0,34.0,54.9,,34.0,34.0,22.9,,34.0,34.0,72.1,,34.0,34.0,105.7,,34.0,34.0,109.3,,34.0,34.0,45.3,,34.0,34.0,48.9,,34.0,34.0,41.4,,34.0,34.0,43.8,,34.0,34.0,28.0,,34.0,34.0,30.6,,34.0,34.0,42.0,,34.0,34.0,43.2,,34.0,0.1,
25/02/2025 10:43:33 AM,120,34.0,62.4,,34.0,3.0,99.2,31.2,34.0,34.0,79.2,,34.0,3.0,99.2,31.2,34.0,34.0,43.4,,34.0,3.0,99.2,31.2,34.0,34.0,65.0,,34.0,34.0,65.6,,34.0,34.0,95.0,,34.0,34.0,96.3,,34.0,34.0,58.3,,34.0,34.0,67.4,,34.0,34.0,99.6,,34.0,34.0,107.5,,34.0,34.0,43.4,,34.0,34.0,53.5,,34.0,34.0,22.9,,34.0,34.0,73.2,,34.0,34.0,101.8,,34.0,34.0,107.3,,34.0,34.0,48.5,,34.0,34.0,49.2,,34.0,34.0,42.3,,34.0,34.0,42.8,,34.0,34.0,28.7,,34.0,34.0,29.9,,34.0,34.0,31.7,,34.0,34.0,42.9,,34.0,0.6,
25/02/2025 10:44:33 AM,180,34.0,62.6,,34.0,3.0,99.2,31.2,34.0,34.0,79.1,,34.0,3.0,99.2,31.2,34.0,34.0,42.7,,34.0,3.0,99.2,31.2,34.0,34.0,66.7,,34.0,34.0,65.0,,34.0,34.0,94.0,,34.0,34.0,96.8,,34.0,34.0,57.8,,34.0,34.0,68.2,,34.0,34.0,99.2,,34.0,34.0,106.3,,34.0,34.0,42.7,,34.0,34.0,55.0,,34.0,34.0,23.3,,34.0,34.0,72.2,,34.0,34.0,105.7,,34.0,34.0,108.1,,34.0,34.0,48.5,,34.0,34.0,42.1,,34.0,34.0,42.5,,34.0,34.0,42.5,,34.0,34.0,28.6,,34.0,34.0,29.7,,34.0,34.0,41.7,,34.0,34.0,40.9,,34.0,0.5,
25/02/2025 10:45:33 AM,240,34.0,61.9,,34.0,3.0,99.2,31.2,34.0,34.0,77.9,,34.0,3.0,99.2,31.2,34.0,34.0,41.2,,34.0,3.0,99.2,31.2,34.0,34.0,66.5,,34.0,34.0,63.7,,34.0,34.0,94.6,,34.0,34.0,95.1,,34.0,34.0,54.9,,34.0,34.0,66.4,,34.0,34.0,97.5,,34.0,34.0,104.3,,34.0,34.0,41.2,,34.0,34.0,54.6,,34.0,34.0,21.9,,34.0,34.0,73.1,,34.0,34.0,102.3,,34.0,34.0,103.5,,34.0,34.0,47.1,,34.0,34.0,50.3,,34.0,34.0,41.6,,34.0,34.0,44.3,,34.0,34.0,28.8,,34.0,34.0,29.9,,34.0,34.0,41.2,,34.0,34.0,41.4,,34.0,0.4,
25/02/2025 10:46:33 AM,300,34.0,62.1,,34.0,3.0,99.2,31.2,34.0,34.0,78.9,,34.0,3.0,99.2,31.2,34.0,34.0,43.0,,34.0,3.0,99.2,31.2,34.0,34.0,66.3,,34.0,34.0,64.4,,34.0,34.0,95.1,,34.0,34.0,96.5,,34.0,34.0,56.7,,34.0,34.0,67.5,,34.0,34.0,99.1,,34.0,34.0,103.6,,34.0,34.0,43.0,,34.0,34.0,54.4,,34.0,34.0,22.3,,34.0,34.0,73.2,,34.0,34.0,100.8,,34.0,34.0,104.6,,34.0,34.0,45.9,,34.0,34.0,48.4,,34.0,34.0,41.5,,34.0,34.0,43.1,,34.0,34.0,28.5,,34.0,34.0,30.7,,34.0,34.0,39.2,,34.0,34.0,40.6,,34.0,0.3,
25/02/2025 10:47:33 AM,360,34.0,62.3,,34.0,3.0,99.2,31.2,34.0,34.0,78.3,,34.0,3.0,99.2,31.2,34.0,34.0,43.0,,34.0,3.0,99.2,31.2,34.0,34.0,65.8,,34.0,34.0,65.1,,34.0,34.0,92.7,,34.0,34.0,96.2,,34.0,34.0,57.0,,34.0,34.0,67.0,,34.0,34.0,98.9,,34.0,34.0,104.0,,34.0,34.0,43.0,,34.0,34.0,54.8,,34.0,34.0,22.1,,34.0,34.0,72.6,,34.0,34.0,106.2,,34.0,34.0,113.0,,34.0,34.0,47.7,,34.0,34.0,49.9,,34.0,34.0,41.2,,34.0,34.0,41.9,,34.0,34.0,27.5,,34.0,34.0,30.0,,34.0,34.0,38.8,,34.0,34.0,41.8,,34.0,0.5,
25/02/2025 10:48:33 AM,420,34.0,61.7,,34.0,3.0,99.2,31.2,34.0,34.0,77.6,,34.0,3.0,99.2,31.2,34.0,34.0,42.2,,34.0,3.0,99.2,31.2,34.0,34.0,65.7,,34.0,34.0,64.2,,34.0,34.0,92.5,,34.0,34.0,94.4,,34.0,34.0,56.8,,34.0,34.0,66.9,,34.0,34.0,98.5,,34.0,34.0,105.0,,34.0,34.0,42.2,,34.0,34.0,53.5,,34.0,34.0,23.1,,34.0,34.0,71.8,,34.0,34.0,102.1,,34.0,34.0,106.7,,34.0,34.0,47.6,,34.0,34.0,49.0,,34.0,34.0,41.2,,34.0,34.0,42.0,,34.0,34.0,28.2,,34.0,34.0,28.4,,34.0,34.0,39.8,,34.0,34.0,41.8,,34.0,0.1,
25/02/2025 10:49:33 AM,480,34.0,61.2,,34.0,3.0,99.2,31.2,34.0,34.0,77.2,,34.0,3.0,99.2,31.2,34.0,34.0,39.3,,34.0,3.0,99.2,31.2,34.0,34.0,66.2,,34.0,34.0,62.7,,34.0,34.0,92.0,,34.0,34.0,94.0,,34.0,34.0,56.4,,34.0,34.0,67.3,,34.0,34.0,97.3,,34.0,34.0,104.9,,34.0,34.0,39.3,,34.0,34.0,52.2,,34.0,34.0,22.6,,34.0,34.0,71.3,,34.0,34.0,102.9,,34.0,34.0,107.5,,34.0,34.0,47.6,,34.0,34.0,48.0,,34.0,34.0,42.6,,34.0,34.0,42.8,,34.0,34.0,27.6,,34.0,34.0,27.5,,34.0,34.0,38.4,,34.0,34.0,39.5,,34.0,0.0,
