Manikin #3.4.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interval (sec),60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),
25/02/2025 14:33,0,34.3,48.6,,34.3,3.2,99.7,31.5,34.3,34,75.1,,34,3,99.2,31.2,34,34,11.9,,34,3,99.2,31.2,34,34,64.3,,34,34,63.9,,34,34,92.8,,34,34,92.2,,34,34,49.2,,34,34,59.1,,34,34,89.3,,34,34,91.8,,34,34,11.9,,34,34,28.1,,34,34,25.2,,34,34,65.1,,34,43,0,,43,37,0,,36.9,34,39.7,,34,34,41.7,,34,34,37.2,,34,34,38.5,,34,34,17,,34,34,19.9,,34,34,28.2,,34,34,29.2,,34,0.4
25/02/2025 14:34,60,34.3,48.8,,34.3,3.2,99.7,31.5,34.3,34,74.4,,34,3,99.2,31.2,34,34,11.5,,34,3,99.2,31.2,34,34,63.1,,34,34,62.8,,34,34,92.9,,34,34,90.5,,34,34,49.2,,34,34,59.3,,34,34,90.9,,34,34,93.4,,34,34,11.5,,34,34,29.6,,34,34,27.2,,34,34,68.3,,34,43.2,0,,43.2,37.2,0,,37.1,34,39.1,,34,34,42.1,,34,34,37.5,,34,34,38,,34,34,17.3,,34,34,19.4,,34,34,28.3,,34,34,28,,34,0.4
25/02/2025 14:35,120,34.3,49.2,,34.3,3.2,99.7,31.6,34.3,34,75,,34,3,99.2,31.2,34,34,12.5,,34,3,99.2,31.2,34,34,63.4,,34,34,63.9,,34,34,93.3,,34,34,91.9,,34,34,49.2,,34,34,58.6,,34,34,90,,34,34,94.7,,34,34,12.5,,34,34,31.4,,34,34,25.1,,34,34,66.1,,34,43.6,0,,43.6,37.6,0,,37.5,34,38.8,,34,34,40.6,,34,34,37.8,,34,34,41.5,,34,34,16.8,,34,34,19.9,,34,34,30.5,,34,34,28.4,,34,0.5
25/02/2025 14:36,180,34.3,48.8,,34.3,3.2,99.7,31.6,34.3,34,74.5,,34,3,99.2,31.2,34,34,14.6,,34,3,99.2,31.2,34,34,63.8,,34,34,63.4,,34,34,92,,34,34,91.1,,34,34,49.2,,34,34,60.5,,34,34,90.9,,34,34,92.7,,34,34,14.6,,34,34,29.9,,34,34,26.7,,34,34,65.8,,34,44,0,,43.9,37.9,0,,37.9,34,37.9,,34,34,40.2,,34,34,37.3,,34,34,38.8,,34,34,17.9,,34,34,19.6,,34,34,27.1,,34,34,28.2,,34,0.5
25/02/2025 14:37,240,34.3,48.8,,34.3,3.2,99.7,31.6,34.3,34,74,,34,3,99.2,31.2,34,34,14,,34,3,99.2,31.2,34,34,62.5,,34,34,64.3,,34,34,90.7,,34,34,90.7,,34,34,49.2,,34,34,59.6,,34,34,92.2,,34,34,96.8,,34,34,14,,34,34,32.3,,34,34,22.7,,34,34,64.2,,34,44.3,0,,44.3,38.2,0,,38.1,34,36.9,,34,34,39.5,,34,34,36.9,,34,34,38.5,,34,34,19,,34,34,20,,34,34,29.7,,34,34,26.9,,34,0.7
25/02/2025 14:38,300,34.4,49.1,,34.4,3.2,99.8,31.6,34.4,34,75.3,,34,3,99.2,31.2,34,34,13.7,,34,3,99.2,31.2,34,34,64.3,,34,34,62.3,,34,34,92.7,,34,34,93.3,,34,34,49.6,,34,34,59.1,,34,34,91.4,,34,34,92.3,,34,34,13.7,,34,34,31.3,,34,34,24.2,,34,34,67.3,,34,44.7,0,,44.7,38.4,0,,38.4,34,37.5,,34,34,40.9,,34,34,38.3,,34,34,39.7,,34,34,17.4,,34,34,20.1,,34,34,28.8,,34,34,28.1,,34,0.1
25/02/2025 14:39,360,34.4,49,,34.4,3.2,99.8,31.6,34.4,34,74.6,,34,3,99.2,31.2,34,34,14.1,,34,3,99.2,31.2,34,34,63.3,,34,34,62.3,,34,34,91.4,,34,34,92,,34,34,50.1,,34,34,60.7,,34,34,91.7,,34,34,94.1,,34,34,14.1,,34,34,31.4,,34,34,24.4,,34,34,67.4,,34,44.7,0,,44.7,38.7,0,,38.6,34,37.9,,34,34,41,,34,34,36.9,,34,34,39.4,,34,34,17.5,,34,34,19.9,,34,34,28.4,,34,34,27.7,,34,0.3
25/02/2025 14:40,420,34.4,48.6,,34.4,3.2,99.8,31.6,34.4,34,74.4,,34,3,99.2,31.2,34,34,13.7,,34,3,99.2,31.2,34,34,63.8,,34,34,61.6,,34,34,91.4,,34,34,90.9,,34,34,50.7,,34,34,59.5,,34,34,89.3,,34,34,89.9,,34,34,13.7,,34,34,31.6,,34,34,26.1,,34,34,69.1,,34,44.7,0,,44.7,38.8,0,,38.8,34,36.3,,34,34,39.2,,34,34,37.5,,34,34,39.6,,34,34,17.7,,34,34,19.4,,34,34,28.9,,34,34,27.9,,34,0.2
25/02/2025 14:41,480,34.4,49,,34.4,3.2,99.8,31.6,34.4,34,74.7,,34,3,99.2,31.2,34,34,14.3,,34,3,99.2,31.2,34,34,63.4,,34,34,62.9,,34,34,90.9,,34,34,91.9,,34,34,50.7,,34,34,60.2,,34,34,91.8,,34,34,91.4,,34,34,14.3,,34,34,32.5,,34,34,25,,34,34,66.9,,34,44.7,0,,44.7,39,0,,39,34,38.7,,34,34,41.4,,34,34,38.2,,34,34,39.8,,34,34,16.7,,34,34,19,,34,34,28,,34,34,27.5,,34,0.1
