Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
25/02/2025 3:22:23 PM,0,34.5,50.6,,34.5,3.3,99.8,31.8,34.5,34.0,75.3,,34.0,3.0,99.2,31.2,34.0,34.0,15.2,,34.0,3.0,99.2,31.2,34.0,34.0,63.7,,34.0,34.0,62.4,,34.0,34.0,91.9,,34.0,34.0,93.3,,34.0,34.0,50.9,,34.0,34.0,60.6,,34.0,34.0,91.8,,34.0,34.0,97.1,,34.0,34.0,15.2,,34.0,34.0,35.9,,34.0,34.0,26.4,,34.0,34.0,67.8,,34.0,44.7,0.0,,44.7,43.6,0.0,,43.6,34.0,34.5,,34.0,34.0,36.2,,34.0,34.0,36.3,,34.0,34.0,40.6,,34.0,34.0,22.4,,34.0,34.0,33.1,,34.0,34.0,30.1,,34.0,34.0,29.8,,34.0,0.1,
25/02/2025 3:23:23 PM,60,34.5,50.0,,34.5,3.3,99.8,31.8,34.5,34.0,75.9,,34.0,3.0,99.2,31.2,34.0,34.0,16.6,,34.0,3.0,99.2,31.2,34.0,34.0,64.3,,34.0,34.0,63.8,,34.0,34.0,93.5,,34.0,34.0,93.2,,34.0,34.0,50.9,,34.0,34.0,59.9,,34.0,34.0,93.3,,34.0,34.0,94.4,,34.0,34.0,16.6,,34.0,34.0,36.7,,34.0,34.0,26.2,,34.0,34.0,68.0,,34.0,44.7,0.0,,44.7,43.6,0.0,,43.6,34.0,33.7,,34.0,34.0,35.9,,34.0,34.0,39.3,,34.0,34.0,39.2,,34.0,34.0,18.9,,34.0,34.0,19.5,,34.0,34.0,30.1,,34.0,34.0,29.6,,34.0,0.1,
25/02/2025 3:24:23 PM,120,34.5,50.4,,34.5,3.3,99.9,31.8,34.5,34.0,75.2,,34.0,3.0,99.2,31.2,34.0,34.0,17.4,,34.0,3.0,99.2,31.2,34.0,34.0,64.4,,34.0,34.0,63.6,,34.0,34.0,91.7,,34.0,34.0,92.2,,34.0,34.0,50.9,,34.0,34.0,60.8,,34.0,34.0,91.4,,34.0,34.0,91.3,,34.0,34.0,17.4,,34.0,34.0,36.2,,34.0,34.0,26.2,,34.0,34.0,74.3,,34.0,44.7,0.0,,44.7,43.8,0.0,,43.8,34.0,34.3,,34.0,34.0,37.0,,34.0,34.0,36.6,,34.0,34.0,51.3,,34.0,34.0,17.8,,34.0,34.0,20.6,,34.0,34.0,31.2,,34.0,34.0,29.3,,34.0,0.2,
25/02/2025 3:25:23 PM,180,34.5,49.6,,34.5,3.3,99.9,31.8,34.5,34.0,74.7,,34.0,3.0,99.2,31.2,34.0,34.0,18.7,,34.0,3.0,99.2,31.2,34.0,34.0,64.0,,34.0,34.0,61.9,,34.0,34.0,92.6,,34.0,34.0,90.6,,34.0,34.0,50.9,,34.0,34.0,59.7,,34.0,34.0,90.8,,34.0,34.0,96.0,,34.0,34.0,18.7,,34.0,34.0,36.0,,34.0,34.0,25.7,,34.0,34.0,68.7,,34.0,44.7,0.0,,44.7,44.0,0.0,,44.0,34.0,33.0,,34.0,34.0,35.2,,34.0,34.0,37.6,,34.0,34.0,39.5,,34.0,34.0,19.2,,34.0,34.0,19.6,,34.0,34.0,29.1,,34.0,34.0,29.8,,34.0,0.1,
25/02/2025 3:26:24 PM,240,34.5,49.5,,34.5,3.3,99.9,31.8,34.5,34.0,74.9,,34.0,3.0,99.2,31.2,34.0,34.0,18.3,,34.0,3.0,99.2,31.2,34.0,34.0,63.8,,34.0,34.0,63.2,,34.0,34.0,91.3,,34.0,34.0,91.9,,34.0,34.0,50.9,,34.0,34.0,58.0,,34.0,34.0,91.6,,34.0,34.0,95.3,,34.0,34.0,18.3,,34.0,34.0,35.4,,34.0,34.0,25.7,,34.0,34.0,68.6,,34.0,44.7,0.0,,44.7,44.8,0.0,,44.7,34.0,33.5,,34.0,34.0,34.8,,34.0,34.0,37.3,,34.0,34.0,38.8,,34.0,34.0,17.5,,34.0,34.0,20.0,,34.0,34.0,31.7,,34.0,34.0,29.5,,34.0,0.1,
25/02/2025 3:27:23 PM,300,34.5,49.4,,34.5,3.3,99.9,31.8,34.5,34.0,74.7,,34.0,3.0,99.2,31.2,34.0,34.0,17.8,,34.0,3.0,99.2,31.2,34.0,34.0,64.6,,34.0,34.0,66.3,,34.0,34.0,89.5,,34.0,34.0,91.2,,34.0,34.0,50.9,,34.0,34.0,58.8,,34.0,34.0,92.6,,34.0,34.0,95.8,,34.0,34.0,17.8,,34.0,34.0,35.2,,34.0,34.0,25.0,,34.0,34.0,67.5,,34.0,44.7,0.0,,44.7,44.8,0.0,,44.8,34.0,33.0,,34.0,34.0,34.6,,34.0,34.0,38.8,,34.0,34.0,39.1,,34.0,34.0,19.2,,34.0,34.0,20.1,,34.0,34.0,30.4,,34.0,34.0,27.3,,34.0,0.2,
25/02/2025 3:28:23 PM,360,34.5,49.7,,34.5,3.3,99.9,31.8,34.5,34.0,74.7,,34.0,3.0,99.2,31.2,34.0,34.0,18.5,,34.0,3.0,99.2,31.2,34.0,34.0,64.9,,34.0,34.0,62.2,,34.0,34.0,91.6,,34.0,34.0,90.8,,34.0,34.0,50.9,,34.0,34.0,59.6,,34.0,34.0,91.8,,34.0,34.0,95.9,,34.0,34.0,18.5,,34.0,34.0,37.2,,34.0,34.0,26.3,,34.0,34.0,69.2,,34.0,44.7,0.0,,44.7,44.8,0.0,,44.8,34.0,33.9,,34.0,34.0,34.7,,34.0,34.0,38.3,,34.0,34.0,39.3,,34.0,34.0,18.2,,34.0,34.0,19.4,,34.0,34.0,29.0,,34.0,34.0,30.0,,34.0,0.1,
25/02/2025 3:29:23 PM,420,34.5,49.7,,34.5,3.3,99.9,31.8,34.5,34.0,75.4,,34.0,3.0,99.2,31.2,34.0,34.0,18.1,,34.0,3.0,99.2,31.2,34.0,34.0,63.9,,34.0,34.0,62.4,,34.0,34.0,92.6,,34.0,34.0,93.0,,34.0,34.0,50.9,,34.0,34.0,59.0,,34.0,34.0,91.3,,34.0,34.0,93.6,,34.0,34.0,18.1,,34.0,34.0,35.5,,34.0,34.0,28.5,,34.0,34.0,66.4,,34.0,44.7,0.0,,44.7,44.8,0.0,,44.8,34.0,35.0,,34.0,34.0,34.8,,34.0,34.0,38.8,,34.0,34.0,40.0,,34.0,34.0,17.7,,34.0,34.0,20.6,,34.0,34.0,30.0,,34.0,34.0,29.3,,34.0,0.1,
25/02/2025 3:30:23 PM,480,34.5,49.2,,34.5,3.3,99.9,31.8,34.5,34.0,74.8,,34.0,3.0,99.2,31.2,34.0,34.0,16.4,,34.0,3.0,99.2,31.2,34.0,34.0,64.7,,34.0,34.0,61.9,,34.0,34.0,92.3,,34.0,34.0,90.7,,34.0,34.0,50.9,,34.0,34.0,60.9,,34.0,34.0,91.4,,34.0,34.0,92.7,,34.0,34.0,16.4,,34.0,34.0,36.9,,34.0,34.0,25.2,,34.0,34.0,70.2,,34.0,44.7,0.0,,44.7,44.8,0.0,,44.8,34.0,25.0,,34.0,34.0,35.9,,34.0,34.0,37.8,,34.0,34.0,38.5,,34.0,34.0,17.7,,34.0,34.0,20.7,,34.0,34.0,30.0,,34.0,34.0,29.3,,34.0,0.3,
