Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
26/02/2025 12:01:39 PM,0,34.5,48.7,,34.5,3.3,99.8,31.7,34.5,35.9,43.8,,35.9,4.2,100.0,33.5,35.9,34.0,24.4,,34.0,3.0,99.2,31.2,34.0,40.5,0.0,,40.5,42.7,0.0,,42.7,34.0,60.5,,34.0,34.0,60.2,,34.0,34.0,54.8,,34.0,34.0,64.3,,34.0,34.0,89.8,,34.0,34.0,96.6,,34.0,34.0,24.4,,34.0,34.0,37.8,,34.0,34.0,17.0,,34.0,34.0,66.5,,34.0,34.0,95.7,,34.0,34.0,123.2,,34.0,34.0,50.7,,34.0,34.0,49.0,,34.0,34.0,39.0,,34.0,34.0,39.8,,34.0,34.0,17.7,,34.0,34.0,22.6,,34.0,34.0,32.1,,34.0,34.0,30.4,,34.0,0.2,
26/02/2025 12:02:40 PM,60,34.5,49.4,,34.5,3.3,99.8,31.7,34.5,35.9,42.9,,35.9,4.2,100.0,33.5,35.9,34.0,23.4,,34.0,3.0,99.2,31.2,34.0,40.4,0.0,,40.4,42.7,0.0,,42.7,34.0,59.3,,34.0,34.0,57.9,,34.0,34.0,54.8,,34.0,34.0,65.1,,34.0,34.0,86.9,,34.0,34.0,95.4,,34.0,34.0,23.4,,34.0,34.0,39.6,,34.0,34.0,27.0,,34.0,34.0,71.4,,34.0,34.0,101.1,,34.0,34.0,126.1,,34.0,34.0,50.6,,34.0,34.0,50.0,,34.0,34.0,39.2,,34.0,34.0,38.9,,34.0,34.0,21.2,,34.0,34.0,23.0,,34.0,34.0,31.4,,34.0,34.0,30.5,,34.0,0.0,
26/02/2025 12:03:39 PM,120,34.5,48.7,,34.5,3.3,99.8,31.7,34.5,35.9,43.0,,35.9,4.2,100.0,33.5,35.9,34.0,21.8,,34.0,3.0,99.2,31.2,34.0,40.4,0.0,,40.4,42.8,0.0,,42.8,34.0,58.7,,34.0,34.0,58.8,,34.0,34.0,54.8,,34.0,34.0,64.0,,34.0,34.0,76.3,,34.0,34.0,93.7,,34.0,34.0,21.8,,34.0,34.0,38.8,,34.0,34.0,25.8,,34.0,34.0,68.7,,34.0,34.0,105.4,,34.0,34.0,134.3,,34.0,34.0,50.6,,34.0,34.0,47.8,,34.0,34.0,38.4,,34.0,34.0,41.4,,34.0,34.0,21.0,,34.0,34.0,22.0,,34.0,34.0,32.7,,34.0,34.0,30.8,,34.0,0.1,
26/02/2025 12:04:39 PM,180,34.5,48.8,,34.5,3.3,99.8,31.7,34.5,35.9,43.5,,35.9,4.2,100.0,33.6,35.9,34.0,23.4,,34.0,3.0,99.2,31.2,34.0,40.4,0.0,,40.4,42.8,0.0,,42.8,34.0,60.3,,34.0,34.0,59.0,,34.0,34.0,54.8,,34.0,34.0,64.6,,34.0,34.0,92.4,,34.0,34.0,96.7,,34.0,34.0,23.4,,34.0,34.0,37.6,,34.0,34.0,25.8,,34.0,34.0,66.2,,34.0,34.0,94.4,,34.0,34.0,124.8,,34.0,34.0,50.1,,34.0,34.0,48.9,,34.0,34.0,39.4,,34.0,34.0,30.0,,34.0,34.0,20.1,,34.0,34.0,22.5,,34.0,34.0,31.5,,34.0,34.0,30.2,,34.0,0.1,
26/02/2025 12:05:39 PM,240,34.5,49.0,,34.5,3.3,99.8,31.7,34.5,35.9,42.4,,35.9,4.2,100.0,33.6,35.9,34.0,22.9,,34.0,3.0,99.2,31.2,34.0,40.4,0.0,,40.4,42.9,0.0,,42.9,34.0,58.1,,34.0,34.0,57.0,,34.0,34.0,54.8,,34.0,34.0,64.1,,34.0,34.0,94.6,,34.0,34.0,96.4,,34.0,34.0,22.9,,34.0,34.0,37.5,,34.0,34.0,26.3,,34.0,34.0,67.4,,34.0,34.0,96.2,,34.0,34.0,123.2,,34.0,34.0,50.1,,34.0,34.0,48.8,,34.0,34.0,38.7,,34.0,34.0,36.0,,34.0,34.0,21.0,,34.0,34.0,20.4,,34.0,34.0,33.3,,34.0,34.0,31.6,,34.0,0.0,
26/02/2025 12:06:40 PM,300,34.5,48.8,,34.5,3.3,99.8,31.7,34.5,35.9,43.1,,35.9,4.2,100.0,33.6,35.9,34.0,23.0,,34.0,3.0,99.2,31.2,34.0,40.4,0.0,,40.4,42.9,0.0,,42.9,34.0,59.4,,34.0,34.0,58.5,,34.0,34.0,54.8,,34.0,34.0,65.2,,34.0,34.0,88.9,,34.0,34.0,95.6,,34.0,34.0,23.0,,34.0,34.0,39.4,,34.0,34.0,22.4,,34.0,34.0,66.6,,34.0,34.0,94.1,,34.0,34.0,120.3,,34.0,34.0,51.1,,34.0,34.0,47.7,,34.0,34.0,38.8,,34.0,34.0,39.1,,34.0,34.0,21.5,,34.0,34.0,22.7,,34.0,34.0,32.4,,34.0,34.0,30.1,,34.0,0.2,
26/02/2025 12:07:39 PM,360,34.5,48.9,,34.5,3.3,99.8,31.7,34.5,35.9,43.2,,35.9,4.2,100.0,33.6,35.9,34.0,23.1,,34.0,3.0,99.2,31.2,34.0,40.4,0.0,,40.4,43.0,0.0,,43.0,34.0,59.9,,34.0,34.0,58.2,,34.0,34.0,54.8,,34.0,34.0,63.6,,34.0,34.0,90.1,,34.0,34.0,96.2,,34.0,34.0,23.1,,34.0,34.0,40.1,,34.0,34.0,24.8,,34.0,34.0,68.7,,34.0,34.0,91.9,,34.0,34.0,115.7,,34.0,34.0,49.9,,34.0,34.0,50.5,,34.0,34.0,38.3,,34.0,34.0,38.7,,34.0,34.0,21.4,,34.0,34.0,22.0,,34.0,34.0,32.4,,34.0,34.0,30.8,,34.0,0.5,
26/02/2025 12:08:40 PM,420,34.5,49.1,,34.5,3.3,99.8,31.7,34.5,35.9,42.5,,35.9,4.2,100.0,33.6,35.9,34.0,24.8,,34.0,3.0,99.2,31.2,34.0,40.4,0.0,,40.4,43.0,0.0,,43.0,34.0,56.2,,34.0,34.0,59.2,,34.0,34.0,54.8,,34.0,34.0,64.4,,34.0,34.0,90.4,,34.0,34.0,97.5,,34.0,34.0,24.8,,34.0,34.0,37.0,,34.0,34.0,26.8,,34.0,34.0,68.2,,34.0,34.0,94.2,,34.0,34.0,127.1,,34.0,34.0,50.5,,34.0,34.0,47.4,,34.0,34.0,39.5,,34.0,34.0,39.3,,34.0,34.0,20.9,,34.0,34.0,21.7,,34.0,34.0,32.5,,34.0,34.0,31.0,,34.0,0.1,
26/02/2025 12:09:39 PM,480,34.5,49.0,,34.5,3.3,99.8,31.7,34.5,36.0,43.1,,36.0,4.2,100.0,33.6,36.0,34.0,24.2,,34.0,3.0,99.2,31.2,34.0,40.5,0.0,,40.5,43.1,0.0,,43.1,34.0,58.3,,34.0,34.0,59.5,,34.0,34.0,54.8,,34.0,34.0,64.3,,34.0,34.0,89.6,,34.0,34.0,95.9,,34.0,34.0,24.2,,34.0,34.0,37.8,,34.0,34.0,25.2,,34.0,34.0,67.2,,34.0,34.0,99.1,,34.0,34.0,123.2,,34.0,34.0,50.6,,34.0,34.0,47.3,,34.0,34.0,38.5,,34.0,34.0,39.6,,34.0,34.0,21.4,,34.0,34.0,21.3,,34.0,34.0,31.5,,34.0,34.0,30.9,,34.0,0.2,
