Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
28/02/2025 11:52:39 AM,0,34.0,52.4,,34.0,3.0,99.2,31.2,34.0,34.0,63.6,,34.0,3.0,99.2,31.2,34.0,34.0,23.5,,34.0,3.0,99.2,31.2,34.0,34.0,51.0,,34.0,34.0,51.8,,34.0,34.0,73.2,,34.0,34.0,78.2,,34.0,34.0,50.4,,34.0,34.0,57.9,,34.0,34.0,80.1,,34.0,34.0,91.6,,34.0,34.0,23.5,,34.0,34.0,38.4,,34.0,34.0,25.2,,34.0,34.0,64.9,,34.0,34.0,95.2,,34.0,34.0,112.0,,34.0,34.0,49.1,,34.0,34.0,48.0,,34.0,34.0,37.6,,34.0,34.0,39.7,,34.0,34.0,20.7,,34.0,34.0,21.9,,34.0,34.0,31.8,,34.0,34.0,31.7,,34.0,0.2,
28/02/2025 11:53:39 AM,60,34.0,51.4,,34.0,3.0,99.2,31.2,34.0,34.0,60.8,,34.0,3.0,99.2,31.2,34.0,34.0,24.3,,34.0,3.0,99.2,31.2,34.0,34.0,52.5,,34.0,34.0,48.5,,34.0,34.0,70.6,,34.0,34.0,70.7,,34.0,34.0,50.4,,34.0,34.0,57.5,,34.0,34.0,79.7,,34.0,34.0,89.2,,34.0,34.0,24.3,,34.0,34.0,40.6,,34.0,34.0,26.2,,34.0,34.0,66.9,,34.0,34.0,99.8,,34.0,34.0,107.8,,34.0,34.0,51.3,,34.0,34.0,46.7,,34.0,34.0,37.7,,34.0,34.0,40.2,,34.0,34.0,21.5,,34.0,34.0,21.5,,34.0,34.0,19.2,,34.0,34.0,32.2,,34.0,0.4,
28/02/2025 11:54:39 AM,120,34.0,50.8,,34.0,3.0,99.2,31.2,34.0,34.0,58.7,,34.0,3.0,99.2,31.2,34.0,34.0,25.9,,34.0,3.0,99.2,31.2,34.0,34.0,50.5,,34.0,34.0,45.6,,34.0,34.0,70.3,,34.0,34.0,65.3,,34.0,34.0,50.5,,34.0,34.0,58.6,,34.0,34.0,77.4,,34.0,34.0,87.0,,34.0,34.0,25.9,,34.0,34.0,38.8,,34.0,34.0,25.2,,34.0,34.0,66.4,,34.0,34.0,99.7,,34.0,34.0,101.9,,34.0,34.0,48.7,,34.0,34.0,46.1,,34.0,34.0,38.3,,34.0,34.0,39.2,,34.0,34.0,21.1,,34.0,34.0,21.1,,34.0,34.0,31.8,,34.0,34.0,32.1,,34.0,1.1,
28/02/2025 11:55:39 AM,180,34.0,49.8,,34.0,3.0,99.2,31.2,34.0,34.0,57.5,,34.0,3.0,99.2,31.2,34.0,34.0,24.3,,34.0,3.0,99.2,31.2,34.0,34.0,50.8,,34.0,34.0,45.8,,34.0,34.0,68.2,,34.0,34.0,62.5,,34.0,34.0,50.5,,34.0,34.0,57.8,,34.0,34.0,75.8,,34.0,34.0,84.1,,34.0,34.0,24.3,,34.0,34.0,38.8,,34.0,34.0,25.6,,34.0,34.0,65.9,,34.0,34.0,94.3,,34.0,34.0,104.8,,34.0,34.0,49.0,,34.0,34.0,46.4,,34.0,34.0,37.5,,34.0,34.0,34.9,,34.0,34.0,20.6,,34.0,34.0,21.4,,34.0,34.0,31.2,,34.0,34.0,31.7,,34.0,0.0,
28/02/2025 11:56:39 AM,240,34.0,49.9,,34.0,3.0,99.2,31.2,34.0,34.0,56.7,,34.0,3.0,99.2,31.2,34.0,34.0,24.3,,34.0,3.0,99.2,31.2,34.0,34.0,49.4,,34.0,34.0,43.9,,34.0,34.0,67.1,,34.0,34.0,62.2,,34.0,34.0,50.5,,34.0,34.0,56.1,,34.0,34.0,78.0,,34.0,34.0,88.2,,34.0,34.0,24.3,,34.0,34.0,39.2,,34.0,34.0,25.1,,34.0,34.0,65.3,,34.0,34.0,94.5,,34.0,34.0,101.8,,34.0,34.0,48.3,,34.0,34.0,45.5,,34.0,34.0,37.4,,34.0,34.0,38.8,,34.0,34.0,20.4,,34.0,34.0,22.6,,34.0,34.0,30.6,,34.0,34.0,31.2,,34.0,0.2,
28/02/2025 11:57:39 AM,300,34.0,49.9,,34.0,3.0,99.2,31.2,34.0,34.0,57.0,,34.0,3.0,99.2,31.2,34.0,34.0,24.7,,34.0,3.0,99.2,31.2,34.0,34.0,49.5,,34.0,34.0,43.7,,34.0,34.0,68.0,,34.0,34.0,62.6,,34.0,34.0,50.2,,34.0,34.0,56.6,,34.0,34.0,78.3,,34.0,34.0,85.1,,34.0,34.0,24.7,,34.0,34.0,39.5,,34.0,34.0,26.5,,34.0,34.0,63.9,,34.0,34.0,96.9,,34.0,34.0,100.2,,34.0,34.0,48.8,,34.0,34.0,44.7,,34.0,34.0,36.1,,34.0,34.0,37.8,,34.0,34.0,22.4,,34.0,34.0,21.9,,34.0,34.0,31.7,,34.0,34.0,31.0,,34.0,0.1,
28/02/2025 11:58:39 AM,360,34.0,49.0,,34.0,3.0,99.2,31.2,34.0,34.0,57.1,,34.0,3.0,99.2,31.2,34.0,34.0,23.4,,34.0,3.0,99.2,31.2,34.0,34.0,48.3,,34.0,34.0,44.4,,34.0,34.0,67.6,,34.0,34.0,64.3,,34.0,34.0,49.3,,34.0,34.0,55.8,,34.0,34.0,75.1,,34.0,34.0,83.8,,34.0,34.0,23.4,,34.0,34.0,39.0,,34.0,34.0,24.9,,34.0,34.0,58.5,,34.0,34.0,93.8,,34.0,34.0,99.6,,34.0,34.0,49.3,,34.0,34.0,45.0,,34.0,34.0,38.0,,34.0,34.0,36.7,,34.0,34.0,19.6,,34.0,34.0,20.8,,34.0,34.0,29.9,,34.0,34.0,31.0,,34.0,0.3,
28/02/2025 11:59:39 AM,420,34.0,49.1,,34.0,3.0,99.2,31.2,34.0,34.0,54.7,,34.0,3.0,99.2,31.2,34.0,34.0,24.4,,34.0,3.0,99.2,31.2,34.0,34.0,49.8,,34.0,34.0,41.5,,34.0,34.0,63.6,,34.0,34.0,60.0,,34.0,34.0,49.1,,34.0,34.0,55.1,,34.0,34.0,75.9,,34.0,34.0,84.5,,34.0,34.0,24.4,,34.0,34.0,40.4,,34.0,34.0,24.1,,34.0,34.0,66.9,,34.0,34.0,98.3,,34.0,34.0,108.0,,34.0,34.0,47.6,,34.0,34.0,45.0,,34.0,34.0,37.7,,34.0,34.0,38.9,,34.0,34.0,19.5,,34.0,34.0,19.6,,34.0,34.0,30.4,,34.0,34.0,30.8,,34.0,0.1,
28/02/2025 12:00:39 PM,480,34.0,49.5,,34.0,3.0,99.2,31.2,34.0,34.0,56.4,,34.0,3.0,99.2,31.2,34.0,34.0,23.0,,34.0,3.0,99.2,31.2,34.0,34.0,49.6,,34.0,34.0,42.8,,34.0,34.0,66.9,,34.0,34.0,64.1,,34.0,34.0,47.5,,34.0,34.0,55.4,,34.0,34.0,78.4,,34.0,34.0,85.5,,34.0,34.0,23.0,,34.0,34.0,38.2,,34.0,34.0,22.8,,34.0,34.0,66.5,,34.0,34.0,97.1,,34.0,34.0,104.4,,34.0,34.0,47.4,,34.0,34.0,45.9,,34.0,34.0,38.0,,34.0,34.0,37.8,,34.0,34.0,20.0,,34.0,34.0,21.3,,34.0,34.0,31.6,,34.0,34.0,30.9,,34.0,0.1,
