Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
1/03/2025 4:55:48 PM,0,34.0,46.1,,34.0,3.0,99.2,31.2,34.0,34.0,59.2,,34.0,3.0,99.2,31.2,34.0,34.0,29.0,,34.0,3.0,99.2,31.2,34.0,34.0,49.8,,34.0,34.0,46.9,,34.0,34.0,70.8,,34.0,34.0,72.1,,34.0,34.0,44.3,,34.0,34.0,54.6,,34.0,34.0,69.0,,34.0,34.0,74.6,,34.0,34.0,29.0,,34.0,34.0,35.7,,34.0,34.0,20.2,,34.0,34.0,51.1,,34.0,34.0,72.3,,34.0,34.0,82.1,,34.0,34.0,38.5,,34.0,34.0,38.5,,34.0,34.0,30.9,,34.0,34.0,33.8,,34.0,34.0,20.8,,34.0,34.0,22.3,,34.0,34.0,29.4,,34.0,34.0,30.2,,34.0,0.2,
1/03/2025 4:56:48 PM,60,34.0,46.3,,34.0,3.0,99.2,31.2,34.0,34.0,59.6,,34.0,3.0,99.2,31.2,34.0,34.0,28.1,,34.0,3.0,99.2,31.2,34.0,34.0,48.2,,34.0,34.0,47.1,,34.0,34.0,72.2,,34.0,34.0,72.9,,34.0,34.0,44.1,,34.0,34.0,54.5,,34.0,34.0,68.8,,34.0,34.0,75.0,,34.0,34.0,28.1,,34.0,34.0,36.2,,34.0,34.0,19.7,,34.0,34.0,51.5,,34.0,34.0,77.0,,34.0,34.0,77.3,,34.0,34.0,38.4,,34.0,34.0,40.2,,34.0,34.0,31.6,,34.0,34.0,32.1,,34.0,34.0,20.7,,34.0,34.0,22.6,,34.0,34.0,30.2,,34.0,34.0,30.1,,34.0,0.2,
1/03/2025 4:57:48 PM,120,34.0,45.9,,34.0,3.0,99.2,31.2,34.0,34.0,58.5,,34.0,3.0,99.2,31.2,34.0,34.0,28.5,,34.0,3.0,99.2,31.2,34.0,34.0,49.8,,34.0,34.0,46.9,,34.0,34.0,69.8,,34.0,34.0,71.1,,34.0,34.0,43.6,,34.0,34.0,53.0,,34.0,34.0,68.6,,34.0,34.0,73.6,,34.0,34.0,28.5,,34.0,34.0,35.8,,34.0,34.0,20.0,,34.0,34.0,50.7,,34.0,34.0,81.7,,34.0,34.0,87.2,,34.0,34.0,39.4,,34.0,34.0,39.0,,34.0,34.0,32.4,,34.0,34.0,32.8,,34.0,34.0,20.5,,34.0,34.0,20.7,,34.0,34.0,27.3,,34.0,34.0,27.3,,34.0,0.1,
1/03/2025 4:58:48 PM,180,34.0,45.5,,34.0,3.0,99.2,31.2,34.0,34.0,58.0,,34.0,3.0,99.2,31.2,34.0,34.0,28.0,,34.0,3.0,99.2,31.2,34.0,34.0,48.6,,34.0,34.0,48.0,,34.0,34.0,67.7,,34.0,34.0,71.1,,34.0,34.0,43.6,,34.0,34.0,52.6,,34.0,34.0,67.0,,34.0,34.0,74.1,,34.0,34.0,28.0,,34.0,34.0,36.7,,34.0,34.0,20.1,,34.0,34.0,51.1,,34.0,34.0,72.3,,34.0,34.0,80.8,,34.0,34.0,39.1,,34.0,34.0,39.5,,34.0,34.0,31.6,,34.0,34.0,35.0,,34.0,34.0,21.0,,34.0,34.0,21.5,,34.0,34.0,27.7,,34.0,34.0,28.0,,34.0,0.1,
1/03/2025 4:59:48 PM,240,34.0,45.9,,34.0,3.0,99.2,31.2,34.0,34.0,58.8,,34.0,3.0,99.2,31.2,34.0,34.0,27.2,,34.0,3.0,99.2,31.2,34.0,34.0,48.8,,34.0,34.0,46.3,,34.0,34.0,69.8,,34.0,34.0,73.0,,34.0,34.0,43.6,,34.0,34.0,52.2,,34.0,34.0,69.2,,34.0,34.0,74.3,,34.0,34.0,27.2,,34.0,34.0,35.8,,34.0,34.0,20.3,,34.0,34.0,49.3,,34.0,34.0,78.8,,34.0,34.0,82.7,,34.0,34.0,40.0,,34.0,34.0,37.3,,34.0,34.0,32.0,,34.0,34.0,32.8,,34.0,34.0,20.3,,34.0,34.0,22.8,,34.0,34.0,29.6,,34.0,34.0,28.3,,34.0,0.3,
1/03/2025 5:00:48 PM,300,34.0,50.1,,34.0,3.0,99.2,31.2,34.0,34.0,59.3,,34.0,3.0,99.2,31.2,34.0,34.0,28.0,,34.0,3.0,99.2,31.2,34.0,34.0,50.3,,34.0,34.0,48.1,,34.0,34.0,70.7,,34.0,34.0,72.1,,34.0,34.0,43.6,,34.0,34.0,55.0,,34.0,34.0,69.7,,34.0,34.0,75.5,,34.0,34.0,28.0,,34.0,34.0,42.5,,34.0,34.0,67.9,,34.0,34.0,72.4,,34.0,34.0,71.8,,34.0,34.0,82.9,,34.0,34.0,38.9,,34.0,34.0,38.3,,34.0,34.0,31.1,,34.0,34.0,33.1,,34.0,34.0,19.4,,34.0,34.0,21.7,,34.0,34.0,29.5,,34.0,34.0,31.1,,34.0,0.5,
1/03/2025 5:01:48 PM,360,34.0,45.9,,34.0,3.0,99.2,31.2,34.0,34.0,59.4,,34.0,3.0,99.2,31.2,34.0,34.0,28.3,,34.0,3.0,99.2,31.2,34.0,34.0,49.3,,34.0,34.0,47.5,,34.0,34.0,72.3,,34.0,34.0,72.1,,34.0,34.0,43.6,,34.0,34.0,55.7,,34.0,34.0,63.7,,34.0,34.0,72.2,,34.0,34.0,28.3,,34.0,34.0,33.8,,34.0,34.0,25.1,,34.0,34.0,56.5,,34.0,34.0,78.2,,34.0,34.0,86.9,,34.0,34.0,38.6,,34.0,34.0,37.4,,34.0,34.0,30.7,,34.0,34.0,32.0,,34.0,34.0,20.4,,34.0,34.0,21.1,,34.0,34.0,26.9,,34.0,34.0,26.1,,34.0,1.5,
1/03/2025 5:02:48 PM,420,34.0,41.5,,34.0,3.0,99.2,31.2,34.0,34.0,58.6,,34.0,3.0,99.2,31.2,34.0,34.0,26.3,,34.0,3.0,99.2,31.2,34.0,34.0,50.5,,34.0,34.0,47.7,,34.0,34.0,69.6,,34.0,34.0,70.9,,34.0,34.0,43.6,,34.0,34.0,57.1,,34.0,34.0,47.3,,34.0,34.0,60.6,,34.0,34.0,26.3,,34.0,34.0,15.4,,34.0,34.0,21.4,,34.0,34.0,54.0,,34.0,34.0,72.8,,34.0,34.0,78.6,,34.0,34.0,38.6,,34.0,34.0,38.3,,34.0,34.0,30.3,,34.0,34.0,34.5,,34.0,34.0,19.1,,34.0,34.0,21.4,,34.0,34.0,17.2,,34.0,34.0,20.2,,34.0,1.3,
1/03/2025 5:03:48 PM,480,34.0,40.0,,34.0,3.0,99.2,31.2,34.0,34.0,58.7,,34.0,3.0,99.2,31.2,34.0,34.0,28.1,,34.0,3.0,99.2,31.2,34.0,34.0,50.9,,34.0,34.0,47.0,,34.0,34.0,68.7,,34.0,34.0,72.3,,34.0,34.0,43.6,,34.0,34.0,58.7,,34.0,34.0,42.1,,34.0,34.0,57.9,,34.0,34.0,28.1,,34.0,34.0,2.5,,34.0,34.0,20.3,,34.0,34.0,56.0,,34.0,34.0,77.6,,34.0,34.0,82.6,,34.0,34.0,39.1,,34.0,34.0,38.5,,34.0,34.0,31.3,,34.0,34.0,32.8,,34.0,34.0,20.1,,34.0,34.0,22.4,,34.0,34.0,10.4,,34.0,34.0,13.2,,34.0,1.6,
1/03/2025 5:04:48 PM,540,34.0,39.1,,34.0,3.0,99.2,31.2,34.0,34.0,59.7,,34.0,3.0,99.2,31.2,34.0,34.0,26.5,,34.0,3.0,99.2,31.2,34.0,34.0,50.4,,34.0,34.0,48.1,,34.0,34.0,71.0,,34.0,34.0,73.4,,34.0,34.0,43.6,,34.0,34.0,57.2,,34.0,34.0,41.9,,34.0,34.0,54.8,,34.0,34.0,26.5,,34.0,34.0,0.0,,34.0,34.0,19.4,,34.0,34.0,56.2,,34.0,34.0,75.9,,34.0,34.0,78.8,,34.0,34.0,37.8,,34.0,34.0,37.3,,34.0,34.0,31.4,,34.0,34.0,32.8,,34.0,34.0,18.4,,34.0,34.0,21.6,,34.0,34.0,6.3,,34.0,34.0,10.6,,34.0,0.6,
