Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
3/03/2025 12:49:40 PM,0,34.0,41.6,,34.0,3.0,99.2,31.2,34.0,34.0,51.0,,34.0,3.0,99.2,31.2,34.0,34.0,18.2,,34.0,3.0,99.2,31.2,34.0,34.0,41.6,,34.0,34.0,42.1,,34.0,34.0,59.5,,34.0,34.0,62.0,,34.0,34.0,39.7,,34.0,34.0,51.6,,34.0,34.0,66.0,,34.0,34.0,71.0,,34.0,34.0,18.2,,34.0,34.0,30.3,,34.0,34.0,19.3,,34.0,34.0,51.5,,34.0,34.0,69.7,,34.0,34.0,89.9,,34.0,34.0,36.4,,34.0,34.0,37.5,,34.0,34.0,27.9,,34.0,34.0,30.9,,34.0,34.0,17.1,,34.0,34.0,16.6,,34.0,34.0,24.9,,34.0,34.0,23.0,,34.0,0.2,
3/03/2025 12:50:40 PM,60,34.0,41.1,,34.0,3.0,99.2,31.2,34.0,34.0,50.5,,34.0,3.0,99.2,31.2,34.0,34.0,17.7,,34.0,3.0,99.2,31.2,34.0,34.0,41.5,,34.0,34.0,41.4,,34.0,34.0,58.3,,34.0,34.0,61.5,,34.0,34.0,39.7,,34.0,34.0,51.1,,34.0,34.0,63.1,,34.0,34.0,71.8,,34.0,34.0,17.7,,34.0,34.0,30.0,,34.0,34.0,19.9,,34.0,34.0,53.8,,34.0,34.0,68.2,,34.0,34.0,85.0,,34.0,34.0,38.6,,34.0,34.0,36.8,,34.0,34.0,27.6,,34.0,34.0,31.0,,34.0,34.0,16.1,,34.0,34.0,17.7,,34.0,34.0,22.0,,34.0,34.0,23.3,,34.0,0.1,
3/03/2025 12:51:40 PM,120,34.0,41.5,,34.0,3.0,99.2,31.2,34.0,34.0,51.5,,34.0,3.0,99.2,31.2,34.0,34.0,14.9,,34.0,3.0,99.2,31.2,34.0,34.0,41.5,,34.0,34.0,41.1,,34.0,34.0,60.2,,34.0,34.0,63.6,,34.0,34.0,39.7,,34.0,34.0,54.9,,34.0,34.0,64.1,,34.0,34.0,72.6,,34.0,34.0,14.9,,34.0,34.0,31.2,,34.0,34.0,19.3,,34.0,34.0,51.5,,34.0,34.0,67.4,,34.0,34.0,85.7,,34.0,34.0,38.1,,34.0,34.0,37.9,,34.0,34.0,28.6,,34.0,34.0,31.1,,34.0,34.0,15.7,,34.0,34.0,16.3,,34.0,34.0,22.0,,34.0,34.0,22.8,,34.0,0.6,
3/03/2025 12:52:40 PM,180,34.0,41.7,,34.0,3.0,99.2,31.2,34.0,34.0,51.1,,34.0,3.0,99.2,31.2,34.0,34.0,19.3,,34.0,3.0,99.2,31.2,34.0,34.0,41.9,,34.0,34.0,41.1,,34.0,34.0,61.1,,34.0,34.0,61.2,,34.0,34.0,39.7,,34.0,34.0,52.8,,34.0,34.0,63.9,,34.0,34.0,74.4,,34.0,34.0,19.3,,34.0,34.0,32.7,,34.0,34.0,19.9,,34.0,34.0,51.8,,34.0,34.0,67.4,,34.0,34.0,84.9,,34.0,34.0,36.1,,34.0,34.0,37.4,,34.0,34.0,28.0,,34.0,34.0,30.6,,34.0,34.0,15.1,,34.0,34.0,17.1,,34.0,34.0,24.1,,34.0,34.0,23.2,,34.0,0.5,
3/03/2025 12:53:40 PM,240,34.0,41.0,,34.0,3.0,99.2,31.2,34.0,34.0,50.0,,34.0,3.0,99.2,31.2,34.0,34.0,18.1,,34.0,3.0,99.2,31.2,34.0,34.0,41.6,,34.0,34.0,41.0,,34.0,34.0,57.7,,34.0,34.0,60.4,,34.0,34.0,39.7,,34.0,34.0,52.9,,34.0,34.0,61.1,,34.0,34.0,71.3,,34.0,34.0,18.1,,34.0,34.0,30.8,,34.0,34.0,19.5,,34.0,34.0,55.0,,34.0,34.0,71.3,,34.0,34.0,85.8,,34.0,34.0,38.5,,34.0,34.0,36.6,,34.0,34.0,28.4,,34.0,34.0,30.4,,34.0,34.0,14.6,,34.0,34.0,17.0,,34.0,34.0,22.7,,34.0,34.0,22.5,,34.0,0.4,
3/03/2025 12:54:40 PM,300,34.0,41.8,,34.0,3.0,99.2,31.2,34.0,34.0,50.7,,34.0,3.0,99.2,31.2,34.0,34.0,17.1,,34.0,3.0,99.2,31.2,34.0,34.0,42.3,,34.0,34.0,40.2,,34.0,34.0,59.2,,34.0,34.0,61.6,,34.0,34.0,39.7,,34.0,34.0,54.5,,34.0,34.0,62.3,,34.0,34.0,70.4,,34.0,34.0,17.1,,34.0,34.0,31.5,,34.0,34.0,19.3,,34.0,34.0,51.3,,34.0,34.0,72.8,,34.0,34.0,80.2,,34.0,34.0,36.8,,34.0,34.0,35.1,,34.0,34.0,27.7,,34.0,34.0,30.7,,34.0,34.0,14.7,,34.0,34.0,17.7,,34.0,34.0,21.9,,34.0,34.0,39.9,,34.0,0.1,
3/03/2025 12:55:40 PM,360,34.0,40.5,,34.0,3.0,99.2,31.2,34.0,34.0,50.8,,34.0,3.0,99.2,31.2,34.0,34.0,18.4,,34.0,3.0,99.2,31.2,34.0,34.0,42.6,,34.0,34.0,39.1,,34.0,34.0,58.7,,34.0,34.0,62.9,,34.0,34.0,39.7,,34.0,34.0,51.8,,34.0,34.0,62.9,,34.0,34.0,69.5,,34.0,34.0,18.4,,34.0,34.0,30.0,,34.0,34.0,19.6,,34.0,34.0,51.3,,34.0,34.0,64.8,,34.0,34.0,74.6,,34.0,34.0,37.5,,34.0,34.0,36.0,,34.0,34.0,27.5,,34.0,34.0,30.4,,34.0,34.0,15.3,,34.0,34.0,17.8,,34.0,34.0,21.1,,34.0,34.0,22.5,,34.0,0.9,
3/03/2025 12:56:40 PM,420,34.0,41.7,,34.0,3.0,99.2,31.2,34.0,34.0,51.2,,34.0,3.0,99.2,31.2,34.0,34.0,17.9,,34.0,3.0,99.2,31.2,34.0,34.0,41.7,,34.0,34.0,40.3,,34.0,34.0,60.6,,34.0,34.0,62.3,,34.0,34.0,39.7,,34.0,34.0,53.4,,34.0,34.0,63.3,,34.0,34.0,73.5,,34.0,34.0,17.9,,34.0,34.0,29.6,,34.0,34.0,19.2,,34.0,34.0,53.5,,34.0,34.0,75.7,,34.0,34.0,97.0,,34.0,34.0,36.5,,34.0,34.0,37.4,,34.0,34.0,26.6,,34.0,34.0,30.4,,34.0,34.0,14.3,,34.0,34.0,16.4,,34.0,34.0,21.4,,34.0,34.0,23.4,,34.0,0.6,
3/03/2025 12:57:40 PM,480,34.0,41.9,,34.0,3.0,99.2,31.2,34.0,34.0,51.7,,34.0,3.0,99.2,31.2,34.0,34.0,18.4,,34.0,3.0,99.2,31.2,34.0,34.0,42.7,,34.0,34.0,40.2,,34.0,34.0,61.5,,34.0,34.0,63.0,,34.0,34.0,39.6,,34.0,34.0,53.6,,34.0,34.0,65.0,,34.0,34.0,74.6,,34.0,34.0,18.4,,34.0,34.0,30.4,,34.0,34.0,19.8,,34.0,34.0,52.4,,34.0,34.0,68.7,,34.0,34.0,90.0,,34.0,34.0,36.8,,34.0,34.0,36.6,,34.0,34.0,28.8,,34.0,34.0,29.6,,34.0,34.0,15.7,,34.0,34.0,15.8,,34.0,34.0,24.0,,34.0,34.0,22.8,,34.0,0.2,
