Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
3/03/2025 2:59:10 PM,0,34.0,36.0,,34.0,3.0,99.2,31.2,34.0,34.0,49.9,,34.0,3.0,99.2,31.2,34.0,34.0,15.0,,34.0,3.0,99.2,31.2,34.0,34.0,41.8,,34.0,34.0,33.8,,34.0,34.0,61.0,,34.0,34.0,62.5,,34.0,34.0,37.1,,34.0,34.0,50.4,,34.0,34.0,58.3,,34.0,34.0,65.7,,34.0,34.0,15.0,,34.0,34.0,27.5,,34.0,34.0,19.2,,34.0,34.0,50.3,,34.0,34.0,9.5,,34.0,34.0,39.1,,34.0,34.0,27.8,,34.0,34.0,22.0,,34.0,34.0,26.1,,34.0,34.0,28.3,,34.0,34.0,13.8,,34.0,34.0,14.0,,34.0,34.0,20.6,,34.0,34.0,22.3,,34.0,0.2,
3/03/2025 3:00:10 PM,60,34.0,36.4,,34.0,3.0,99.2,31.2,34.0,34.0,49.9,,34.0,3.0,99.2,31.2,34.0,34.0,15.1,,34.0,3.0,99.2,31.2,34.0,34.0,38.9,,34.0,34.0,34.9,,34.0,34.0,60.4,,34.0,34.0,61.8,,34.0,34.0,39.6,,34.0,34.0,50.6,,34.0,34.0,60.5,,34.0,34.0,69.0,,34.0,34.0,15.1,,34.0,34.0,28.1,,34.0,34.0,18.8,,34.0,34.0,50.0,,34.0,34.0,13.6,,34.0,34.0,37.9,,34.0,34.0,27.8,,34.0,34.0,23.5,,34.0,34.0,25.7,,34.0,34.0,28.9,,34.0,34.0,13.9,,34.0,34.0,14.4,,34.0,34.0,20.6,,34.0,34.0,21.5,,34.0,0.4,
3/03/2025 3:01:10 PM,120,34.0,35.9,,34.0,3.0,99.2,31.2,34.0,34.0,48.1,,34.0,3.0,99.2,31.2,34.0,34.0,14.0,,34.0,3.0,99.2,31.2,34.0,34.0,39.5,,34.0,34.0,35.1,,34.0,34.0,62.4,,34.0,34.0,62.2,,34.0,34.0,28.6,,34.0,34.0,52.0,,34.0,34.0,60.0,,34.0,34.0,69.3,,34.0,34.0,14.0,,34.0,34.0,29.1,,34.0,34.0,19.5,,34.0,34.0,50.4,,34.0,34.0,7.6,,34.0,34.0,36.4,,34.0,34.0,27.5,,34.0,34.0,20.2,,34.0,34.0,27.2,,34.0,34.0,29.0,,34.0,34.0,14.0,,34.0,34.0,16.0,,34.0,34.0,20.2,,34.0,34.0,21.3,,34.0,0.3,
3/03/2025 3:02:10 PM,180,34.0,36.2,,34.0,3.0,99.2,31.2,34.0,34.0,51.2,,34.0,3.0,99.2,31.2,34.0,34.0,15.9,,34.0,3.0,99.2,31.2,34.0,34.0,39.1,,34.0,34.0,36.1,,34.0,34.0,61.3,,34.0,34.0,63.8,,34.0,34.0,41.0,,34.0,34.0,50.8,,34.0,34.0,61.5,,34.0,34.0,67.0,,34.0,34.0,15.9,,34.0,34.0,27.8,,34.0,34.0,18.5,,34.0,34.0,49.2,,34.0,34.0,3.7,,34.0,34.0,32.0,,34.0,34.0,27.1,,34.0,34.0,19.3,,34.0,34.0,26.6,,34.0,34.0,29.2,,34.0,34.0,15.7,,34.0,34.0,14.6,,34.0,34.0,20.1,,34.0,34.0,21.2,,34.0,0.3,
3/03/2025 3:03:10 PM,240,34.0,36.0,,34.0,3.0,99.2,31.2,34.0,34.0,51.1,,34.0,3.0,99.2,31.2,34.0,34.0,13.4,,34.0,3.0,99.2,31.2,34.0,34.0,39.5,,34.0,34.0,36.8,,34.0,34.0,62.6,,34.0,34.0,63.1,,34.0,34.0,39.5,,34.0,34.0,50.7,,34.0,34.0,61.9,,34.0,34.0,66.7,,34.0,34.0,13.4,,34.0,34.0,29.2,,34.0,34.0,19.5,,34.0,34.0,48.9,,34.0,34.0,1.2,,34.0,34.0,27.3,,34.0,34.0,27.2,,34.0,34.0,19.4,,34.0,34.0,26.9,,34.0,34.0,28.6,,34.0,34.0,13.9,,34.0,34.0,14.0,,34.0,34.0,20.1,,34.0,34.0,21.4,,34.0,0.2,
3/03/2025 3:04:10 PM,300,34.0,37.6,,34.0,3.0,99.2,31.2,34.0,34.0,50.8,,34.0,3.0,99.2,31.2,34.0,34.0,16.3,,34.0,3.0,99.2,31.2,34.0,34.0,39.8,,34.0,34.0,35.6,,34.0,34.0,62.4,,34.0,34.0,62.5,,34.0,34.0,39.5,,34.0,34.0,52.6,,34.0,34.0,88.7,,34.0,34.0,67.6,,34.0,34.0,16.3,,34.0,34.0,27.7,,34.0,34.0,19.6,,34.0,34.0,49.9,,34.0,34.0,0.0,,34.0,34.0,25.9,,34.0,34.0,28.4,,34.0,34.0,17.6,,34.0,34.0,25.9,,34.0,34.0,29.4,,34.0,34.0,13.4,,34.0,34.0,13.9,,34.0,34.0,20.9,,34.0,34.0,21.5,,34.0,0.5,
3/03/2025 3:05:10 PM,360,34.0,35.7,,34.0,3.0,99.2,31.2,34.0,34.0,50.5,,34.0,3.0,99.2,31.2,34.0,34.0,10.6,,34.0,3.0,99.2,31.2,34.0,34.0,40.3,,34.0,34.0,36.3,,34.0,34.0,63.6,,34.0,34.0,59.5,,34.0,34.0,39.5,,34.0,34.0,50.6,,34.0,34.0,62.2,,34.0,34.0,69.4,,34.0,34.0,10.6,,34.0,34.0,30.3,,34.0,34.0,19.4,,34.0,34.0,48.0,,34.0,34.0,0.0,,34.0,34.0,21.8,,34.0,34.0,27.2,,34.0,34.0,18.1,,34.0,34.0,26.5,,34.0,34.0,28.6,,34.0,34.0,12.6,,34.0,34.0,14.3,,34.0,34.0,21.7,,34.0,34.0,20.7,,34.0,0.0,
3/03/2025 3:06:10 PM,420,34.0,37.1,,34.0,3.0,99.2,31.2,34.0,34.0,51.7,,34.0,3.0,99.2,31.2,34.0,34.0,14.7,,34.0,3.0,99.2,31.2,34.0,34.0,39.0,,34.0,34.0,37.4,,34.0,34.0,62.6,,34.0,34.0,65.2,,34.0,34.0,39.5,,34.0,34.0,50.7,,34.0,34.0,61.7,,34.0,34.0,69.0,,34.0,34.0,14.7,,34.0,34.0,29.4,,34.0,34.0,18.8,,34.0,34.0,80.3,,34.0,34.1,0.0,,34.1,34.0,24.6,,34.0,34.0,27.7,,34.0,34.0,17.9,,34.0,34.0,28.0,,34.0,34.0,29.1,,34.0,34.0,12.8,,34.0,34.0,14.4,,34.0,34.0,19.5,,34.0,34.0,21.0,,34.0,0.2,
3/03/2025 3:07:10 PM,480,34.0,36.2,,34.0,3.0,99.2,31.2,34.0,34.0,50.9,,34.0,3.0,99.2,31.2,34.0,34.0,16.4,,34.0,3.0,99.2,31.2,34.0,34.0,40.4,,34.0,34.0,36.9,,34.0,34.0,63.7,,34.0,34.0,62.6,,34.0,34.0,37.5,,34.0,34.0,50.2,,34.0,34.0,61.6,,34.0,34.0,69.8,,34.0,34.0,16.4,,34.0,34.0,28.8,,34.0,34.0,24.0,,34.0,34.0,47.7,,34.0,34.1,0.0,,34.1,34.0,24.1,,34.0,34.0,27.0,,34.0,34.0,16.1,,34.0,34.0,26.9,,34.0,34.0,29.2,,34.0,34.0,12.7,,34.0,34.0,15.4,,34.0,34.0,21.3,,34.0,34.0,21.1,,34.0,0.6,
