Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
3/03/2025 3:52:45 PM,0,34.0,36.1,,34.0,3.0,99.2,31.2,34.0,34.0,46.8,,34.0,3.0,99.2,31.2,34.0,34.0,14.8,,34.0,3.0,99.2,31.2,34.0,34.0,35.4,,34.0,34.0,38.0,,34.0,34.0,58.1,,34.0,34.0,59.0,,34.0,34.0,32.2,,34.0,34.0,40.8,,34.0,34.0,58.9,,34.0,34.0,65.7,,34.0,34.0,14.8,,34.0,34.0,27.5,,34.0,34.0,17.3,,34.0,34.0,48.7,,34.0,34.0,44.7,,34.0,34.0,67.7,,34.0,34.0,28.7,,34.0,34.0,30.8,,34.0,34.0,24.8,,34.0,34.0,28.2,,34.0,34.0,11.7,,34.0,34.0,13.8,,34.0,34.0,20.1,,34.0,34.0,21.4,,34.0,0.5,
3/03/2025 3:53:45 PM,60,34.0,36.8,,34.0,3.0,99.2,31.2,34.0,34.0,48.7,,34.0,3.0,99.2,31.2,34.0,34.0,14.4,,34.0,3.0,99.2,31.2,34.0,34.0,44.5,,34.0,34.0,37.7,,34.0,34.0,60.3,,34.0,34.0,58.4,,34.0,34.0,33.7,,34.0,34.0,41.5,,34.0,34.0,60.1,,34.0,34.0,66.1,,34.0,34.0,14.4,,34.0,34.0,28.1,,34.0,34.0,17.6,,34.0,34.0,47.3,,34.0,34.0,48.0,,34.0,34.0,72.8,,34.0,34.0,29.0,,34.0,34.0,27.0,,34.0,34.0,25.3,,34.0,34.0,27.7,,34.0,34.0,12.0,,34.0,34.0,13.7,,34.0,34.0,18.4,,34.0,34.0,21.5,,34.0,0.2,
3/03/2025 3:54:45 PM,120,34.0,36.9,,34.0,3.0,99.2,31.2,34.0,34.0,49.6,,34.0,3.0,99.2,31.2,34.0,34.0,15.0,,34.0,3.0,99.2,31.2,34.0,34.0,45.1,,34.0,34.0,37.3,,34.0,34.0,60.4,,34.0,34.0,60.1,,34.0,34.0,35.4,,34.0,34.0,42.3,,34.0,34.0,59.1,,34.0,34.0,65.7,,34.0,34.0,15.0,,34.0,34.0,30.1,,34.0,34.0,17.8,,34.0,34.0,47.4,,34.0,34.0,47.4,,34.0,34.0,62.7,,34.0,34.0,30.5,,34.0,34.0,27.5,,34.0,34.0,23.9,,34.0,34.0,28.3,,34.0,34.0,11.6,,34.0,34.0,13.6,,34.0,34.0,19.3,,34.0,34.0,21.1,,34.0,1.0,
3/03/2025 3:55:45 PM,180,34.0,36.8,,34.0,3.0,99.2,31.2,34.0,34.0,48.3,,34.0,3.0,99.2,31.2,34.0,34.0,14.2,,34.0,3.0,99.2,31.2,34.0,34.0,41.5,,34.0,34.0,37.3,,34.0,34.0,59.6,,34.0,34.0,60.1,,34.0,34.0,32.7,,34.0,34.0,43.4,,34.0,34.0,58.6,,34.0,34.0,65.6,,34.0,34.0,14.2,,34.0,34.0,29.0,,34.0,34.0,17.9,,34.0,34.0,48.9,,34.0,34.0,50.8,,34.0,34.0,65.0,,34.0,34.0,29.7,,34.0,34.0,27.3,,34.0,34.0,24.6,,34.0,34.0,28.4,,34.0,34.0,12.3,,34.0,34.0,13.7,,34.0,34.0,20.2,,34.0,34.0,20.5,,34.0,0.3,
3/03/2025 3:56:45 PM,240,34.0,37.0,,34.0,3.0,99.2,31.2,34.0,34.0,48.9,,34.0,3.0,99.2,31.2,34.0,34.0,14.3,,34.0,3.0,99.2,31.2,34.0,34.0,41.5,,34.0,34.0,38.3,,34.0,34.0,60.6,,34.0,34.0,60.3,,34.0,34.0,33.4,,34.0,34.0,43.9,,34.0,34.0,58.3,,34.0,34.0,64.1,,34.0,34.0,14.3,,34.0,34.0,27.8,,34.0,34.0,18.1,,34.0,34.0,48.9,,34.0,34.0,52.0,,34.0,34.0,70.3,,34.0,34.0,29.4,,34.0,34.0,27.6,,34.0,34.0,25.5,,34.0,34.0,29.1,,34.0,34.0,12.5,,34.0,34.0,13.7,,34.0,34.0,19.7,,34.0,34.0,21.9,,34.0,0.1,
3/03/2025 3:57:45 PM,300,34.0,37.3,,34.0,3.0,99.2,31.2,34.0,34.0,50.1,,34.0,3.0,99.2,31.2,34.0,34.0,13.7,,34.0,3.0,99.2,31.2,34.0,34.0,42.8,,34.0,34.0,37.6,,34.0,34.0,63.7,,34.0,34.0,62.0,,34.0,34.0,32.9,,34.0,34.0,45.5,,34.0,34.0,59.1,,34.0,34.0,66.3,,34.0,34.0,13.7,,34.0,34.0,26.7,,34.0,34.0,17.8,,34.0,34.0,49.2,,34.0,34.0,48.4,,34.0,34.0,64.2,,34.0,34.0,30.1,,34.0,34.0,28.1,,34.0,34.0,25.9,,34.0,34.0,28.1,,34.0,34.0,12.4,,34.0,34.0,14.0,,34.0,34.0,21.3,,34.0,34.0,22.3,,34.0,0.1,
3/03/2025 3:58:45 PM,360,34.0,36.7,,34.0,3.0,99.2,31.2,34.0,34.0,48.9,,34.0,3.0,99.2,31.2,34.0,34.0,14.3,,34.0,3.0,99.2,31.2,34.0,34.0,39.2,,34.0,34.0,38.5,,34.0,34.0,61.6,,34.0,34.0,60.4,,34.0,34.0,33.4,,34.0,34.0,43.4,,34.0,34.0,56.3,,34.0,34.0,64.6,,34.0,34.0,14.3,,34.0,34.0,27.3,,34.0,34.0,18.4,,34.0,34.0,48.7,,34.0,34.0,49.4,,34.0,34.0,64.4,,34.0,34.0,29.5,,34.0,34.0,27.6,,34.0,34.0,26.0,,34.0,34.0,28.2,,34.0,34.0,11.7,,34.0,34.0,14.5,,34.0,34.0,20.4,,34.0,34.0,22.3,,34.0,0.3,
3/03/2025 3:59:45 PM,420,34.0,37.5,,34.0,3.0,99.2,31.2,34.0,34.0,50.7,,34.0,3.0,99.2,31.2,34.0,34.0,13.7,,34.0,3.0,99.2,31.2,34.0,34.0,42.6,,34.0,34.0,38.5,,34.0,34.0,64.2,,34.0,34.0,62.2,,34.0,34.0,34.5,,34.0,34.0,45.5,,34.0,34.0,59.3,,34.0,34.0,66.4,,34.0,34.0,13.7,,34.0,34.0,27.3,,34.0,34.0,17.9,,34.0,34.0,49.5,,34.0,34.0,48.3,,34.0,34.0,58.8,,34.0,34.0,30.6,,34.0,34.0,28.8,,34.0,34.0,24.7,,34.0,34.0,29.0,,34.0,34.0,13.5,,34.0,34.0,13.9,,34.0,34.0,19.9,,34.0,34.0,22.9,,34.0,0.0,
3/03/2025 4:00:45 PM,480,34.0,35.7,,34.0,3.0,99.2,31.2,34.0,34.0,49.9,,34.0,3.0,99.2,31.2,34.0,34.0,14.4,,34.0,3.0,99.2,31.2,34.0,34.0,42.1,,34.0,34.0,38.8,,34.0,34.0,61.2,,34.0,34.0,61.2,,34.0,34.0,35.4,,34.0,34.0,45.3,,34.0,34.0,40.2,,34.0,34.0,65.8,,34.0,34.0,14.4,,34.0,34.0,25.0,,34.0,34.0,10.9,,34.0,34.0,50.8,,34.0,34.0,52.1,,34.0,34.0,60.2,,34.0,34.0,31.1,,34.0,34.0,27.7,,34.0,34.0,25.4,,34.0,34.0,29.5,,34.0,34.0,13.2,,34.0,34.0,14.0,,34.0,34.0,19.2,,34.0,34.0,22.4,,34.0,1.2,
3/03/2025 4:01:45 PM,540,34.0,37.7,,34.0,3.0,99.2,31.2,34.0,34.0,50.2,,34.0,3.0,99.2,31.2,34.0,34.0,15.3,,34.0,3.0,99.2,31.2,34.0,34.0,41.4,,34.0,34.0,39.1,,34.0,34.0,62.6,,34.0,34.0,62.1,,34.0,34.0,34.5,,34.0,34.0,45.9,,34.0,34.0,59.7,,34.0,34.0,68.9,,34.0,34.0,15.3,,34.0,34.0,28.1,,34.0,34.0,17.2,,34.0,34.0,49.8,,34.0,34.0,52.2,,34.0,34.0,61.7,,34.0,34.0,32.2,,34.0,34.0,27.5,,34.0,34.0,24.9,,34.0,34.0,28.1,,34.0,34.0,13.2,,34.0,34.0,14.5,,34.0,34.0,19.4,,34.0,34.0,21.3,,34.0,0.0,
3/03/2025 4:02:45 PM,600,34.0,37.5,,34.0,3.0,99.2,31.2,34.0,34.0,50.1,,34.0,3.0,99.2,31.2,34.0,34.0,14.7,,34.0,3.0,99.2,31.2,34.0,34.0,42.6,,34.0,34.0,38.4,,34.0,34.0,61.6,,34.0,34.0,62.3,,34.0,34.0,34.5,,34.0,34.0,45.7,,34.0,34.0,56.9,,34.0,34.0,65.4,,34.0,34.0,14.7,,34.0,34.0,28.1,,34.0,34.0,14.3,,34.0,34.0,49.7,,34.0,34.0,51.5,,34.0,34.0,61.0,,34.0,34.0,45.1,,34.0,34.0,28.5,,34.0,34.0,25.8,,34.0,34.0,27.9,,34.0,34.0,12.4,,34.0,34.0,13.7,,34.0,34.0,19.2,,34.0,34.0,21.5,,34.0,1.1,
3/03/2025 4:03:45 PM,660,34.0,36.9,,34.0,3.0,99.2,31.2,34.0,34.0,49.9,,34.0,3.0,99.2,31.2,34.0,34.0,14.7,,34.0,3.0,99.2,31.2,34.0,34.0,42.3,,34.0,34.0,40.7,,34.0,34.0,60.9,,34.0,34.0,61.5,,34.0,34.0,34.5,,34.0,34.0,43.1,,34.0,34.0,59.7,,34.0,34.0,64.4,,34.0,34.0,14.7,,34.0,34.0,28.4,,34.0,34.0,9.6,,34.0,34.0,49.5,,34.0,34.0,59.1,,34.0,34.0,61.7,,34.0,34.0,31.9,,34.0,34.0,28.4,,34.0,34.0,26.3,,34.0,34.0,25.5,,34.0,34.0,12.0,,34.0,34.0,14.2,,34.0,34.0,20.0,,34.0,34.0,21.9,,34.0,1.2,
3/03/2025 4:04:45 PM,720,34.0,38.2,,34.0,3.0,99.2,31.2,34.0,34.0,51.1,,34.0,3.0,99.2,31.2,34.0,34.0,14.9,,34.0,3.0,99.2,31.2,34.0,34.0,42.4,,34.0,34.0,40.7,,34.0,34.0,62.9,,34.0,34.0,63.9,,34.0,34.0,34.5,,34.0,34.0,47.4,,34.0,34.0,60.5,,34.0,34.0,69.9,,34.0,34.0,14.9,,34.0,34.0,28.5,,34.0,34.0,19.2,,34.0,34.0,52.6,,34.0,34.0,52.4,,34.0,34.0,66.0,,34.0,34.0,33.9,,34.0,34.0,28.7,,34.0,34.0,25.1,,34.0,34.0,28.0,,34.0,34.0,12.1,,34.0,34.0,14.4,,34.0,34.0,22.7,,34.0,34.0,12.9,,34.0,0.7,
3/03/2025 4:05:45 PM,780,34.0,38.5,,34.0,3.0,99.2,31.2,34.0,34.0,51.0,,34.0,3.0,99.2,31.2,34.0,34.0,15.3,,34.0,3.0,99.2,31.2,34.0,34.0,44.0,,34.0,34.0,39.8,,34.0,34.0,64.0,,34.0,34.0,62.4,,34.0,34.0,34.5,,34.0,34.0,44.2,,34.0,34.0,60.0,,34.0,34.0,68.4,,34.0,34.0,15.3,,34.0,34.0,27.9,,34.0,34.0,19.0,,34.0,34.0,51.9,,34.0,34.0,53.6,,34.0,34.0,75.9,,34.0,34.0,31.7,,34.0,34.0,29.2,,34.0,34.0,26.2,,34.0,34.0,28.1,,34.0,34.0,12.3,,34.0,34.0,15.4,,34.0,34.0,19.5,,34.0,34.0,22.8,,34.0,0.1,
3/03/2025 4:06:45 PM,840,34.0,38.5,,34.0,3.0,99.2,31.2,34.0,34.0,51.5,,34.0,3.0,99.2,31.2,34.0,34.0,14.1,,34.0,3.0,99.2,31.2,34.0,34.0,43.0,,34.0,34.0,38.6,,34.0,34.0,65.6,,34.0,34.0,63.2,,34.0,34.0,34.8,,34.0,34.0,44.7,,34.0,34.0,61.6,,34.0,34.0,68.2,,34.0,34.0,14.1,,34.0,34.0,28.9,,34.0,34.0,18.6,,34.0,34.0,50.3,,34.0,34.0,56.4,,34.0,34.0,64.3,,34.0,34.0,31.9,,34.0,34.0,29.1,,34.0,34.0,26.3,,34.0,34.0,27.9,,34.0,34.0,12.0,,34.0,34.0,14.7,,34.0,34.0,21.8,,34.0,34.0,22.4,,34.0,0.2,
3/03/2025 4:07:45 PM,900,34.0,38.8,,34.0,3.0,99.2,31.2,34.0,34.0,52.0,,34.0,3.0,99.2,31.2,34.0,34.0,14.2,,34.0,3.0,99.2,31.2,34.0,34.0,41.9,,34.0,34.0,39.3,,34.0,34.0,65.3,,34.0,34.0,63.1,,34.0,34.0,37.6,,34.0,34.0,45.2,,34.0,34.0,60.0,,34.0,34.0,65.9,,34.0,34.0,14.2,,34.0,34.0,28.4,,34.0,34.0,17.6,,34.0,34.0,52.9,,34.0,34.0,57.5,,34.0,34.0,69.4,,34.0,34.0,33.2,,34.0,34.0,28.8,,34.0,34.0,26.8,,34.0,34.0,28.8,,34.0,34.0,13.5,,34.0,34.0,16.0,,34.0,34.0,22.0,,34.0,34.0,22.0,,34.0,0.7,
