Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
3/03/2025 3:30:35 PM,0,34.0,36.9,,34.0,3.0,99.2,31.2,34.0,34.0,51.9,,34.0,3.0,99.2,31.2,34.0,34.0,15.7,,34.0,3.0,99.2,31.2,34.0,34.0,42.5,,34.0,34.0,39.2,,34.0,34.0,64.5,,34.0,34.0,64.6,,34.0,34.0,36.4,,34.0,34.0,47.3,,34.0,34.0,61.4,,34.0,34.0,69.9,,34.0,34.0,15.7,,34.0,34.0,29.3,,34.0,34.0,18.9,,34.0,34.0,50.6,,34.0,34.0,0.0,,34.0,34.0,41.8,,34.0,34.0,28.6,,34.0,34.0,19.1,,34.0,34.0,27.6,,34.0,34.0,29.6,,34.0,34.0,13.6,,34.0,34.0,14.9,,34.0,34.0,20.1,,34.0,34.0,25.9,,34.0,0.6,
3/03/2025 3:31:35 PM,60,34.0,37.4,,34.0,3.0,99.2,31.1,34.0,34.0,52.0,,34.0,3.0,99.2,31.2,34.0,34.0,15.3,,34.0,3.0,99.2,31.2,34.0,34.0,42.0,,34.0,34.0,36.5,,34.0,34.0,68.0,,34.0,34.0,65.5,,34.0,34.0,33.5,,34.0,34.0,46.7,,34.0,34.0,62.2,,34.0,34.0,68.7,,34.0,34.0,15.3,,34.0,34.0,28.9,,34.0,34.0,20.9,,34.0,34.0,52.3,,34.0,33.7,0.0,,33.8,34.0,56.4,,34.0,34.0,27.4,,34.0,34.0,20.7,,34.0,34.0,26.0,,34.0,34.0,31.6,,34.0,34.0,13.7,,34.0,34.0,15.6,,34.0,34.0,22.4,,34.0,34.0,22.8,,34.0,0.1,
3/03/2025 3:32:35 PM,120,34.0,38.6,,34.0,3.0,99.2,31.1,34.0,34.0,51.4,,34.0,3.0,99.2,31.2,34.0,34.0,15.0,,34.0,3.0,99.2,31.2,34.0,34.0,41.8,,34.0,34.0,40.4,,34.0,34.0,63.6,,34.0,34.0,64.3,,34.0,34.0,35.0,,34.0,34.0,48.8,,34.0,34.0,60.0,,34.0,34.0,70.4,,34.0,34.0,15.0,,34.0,34.0,30.8,,34.0,34.0,19.6,,34.0,34.0,52.8,,34.0,33.8,42.9,,33.7,34.0,63.6,,34.0,34.0,30.3,,34.0,34.0,21.1,,34.0,34.0,26.9,,34.0,34.0,29.9,,34.0,34.0,13.6,,34.0,34.0,14.9,,34.0,34.0,21.2,,34.0,34.0,23.2,,34.0,0.2,
3/03/2025 3:33:35 PM,180,34.0,38.6,,34.0,3.0,99.2,31.2,34.0,34.0,51.6,,34.0,3.0,99.2,31.2,34.0,34.0,15.2,,34.0,3.0,99.2,31.2,34.0,34.0,42.2,,34.0,34.0,39.6,,34.0,34.0,63.8,,34.0,34.0,65.9,,34.0,34.0,34.3,,34.0,34.0,45.8,,34.0,34.0,62.4,,34.0,34.0,71.6,,34.0,34.0,15.2,,34.0,34.0,28.6,,34.0,34.0,20.0,,34.0,34.0,50.2,,34.0,34.0,52.7,,34.0,34.0,52.2,,34.0,34.0,28.4,,34.0,34.0,23.8,,34.0,34.0,28.5,,34.0,34.0,31.0,,34.0,34.0,14.6,,34.0,34.0,14.0,,34.0,34.0,20.7,,34.0,34.0,22.5,,34.0,0.0,
3/03/2025 3:34:35 PM,240,34.0,37.7,,34.0,3.0,99.2,31.2,34.0,34.0,50.2,,34.0,3.0,99.2,31.2,34.0,34.0,17.0,,34.0,3.0,99.2,31.2,34.0,34.0,41.5,,34.0,34.0,38.1,,34.0,34.0,61.9,,34.0,34.0,62.7,,34.0,34.0,35.3,,34.0,34.0,44.3,,34.0,34.0,56.5,,34.0,34.0,69.1,,34.0,34.0,17.0,,34.0,34.0,29.3,,34.0,34.0,18.9,,34.0,34.0,49.8,,34.0,34.0,43.8,,34.0,34.0,63.6,,34.0,34.0,29.8,,34.0,34.0,23.5,,34.0,34.0,26.1,,34.0,34.0,31.1,,34.0,34.0,14.3,,34.0,34.0,14.9,,34.0,34.0,21.7,,34.0,34.0,21.4,,34.0,0.4,
3/03/2025 3:35:35 PM,300,34.0,36.9,,34.0,3.0,99.2,31.2,34.0,34.0,50.3,,34.0,3.0,99.2,31.2,34.0,34.0,16.4,,34.0,3.0,99.2,31.2,34.0,34.0,42.0,,34.0,34.0,43.1,,34.0,34.0,61.3,,34.0,34.0,62.5,,34.0,34.0,33.4,,34.0,34.0,43.4,,34.0,34.0,40.4,,34.0,34.0,66.3,,34.0,34.0,16.4,,34.0,34.0,29.7,,34.0,34.0,19.9,,34.0,34.0,52.9,,34.0,34.0,47.2,,34.0,34.0,63.5,,34.0,34.0,30.7,,34.0,34.0,23.2,,34.0,34.0,26.9,,34.0,34.0,31.9,,34.0,34.0,13.3,,34.0,34.0,13.9,,34.0,34.0,22.4,,34.0,34.0,22.6,,34.0,0.4,
3/03/2025 3:36:35 PM,360,34.0,37.1,,34.0,3.0,99.2,31.2,34.0,34.0,48.9,,34.0,3.0,99.2,31.2,34.0,34.0,14.8,,34.0,3.0,99.2,31.2,34.0,34.0,40.3,,34.0,34.0,33.6,,34.0,34.0,62.1,,34.0,34.0,63.2,,34.0,34.0,31.6,,34.0,34.0,45.2,,34.0,34.0,58.1,,34.0,34.0,63.7,,34.0,34.0,14.8,,34.0,34.0,27.8,,34.0,34.0,19.2,,34.0,34.0,48.2,,34.0,34.0,46.3,,34.0,34.0,69.4,,34.0,34.0,27.9,,34.0,34.0,24.6,,34.0,34.0,25.4,,34.0,34.0,30.6,,34.0,34.0,13.7,,34.0,34.0,14.4,,34.0,34.0,20.9,,34.0,34.0,23.6,,34.0,0.2,
3/03/2025 3:37:35 PM,420,34.0,36.2,,34.0,3.0,99.2,31.2,34.0,34.0,49.8,,34.0,3.0,99.2,31.2,34.0,34.0,13.7,,34.0,3.0,99.2,31.2,34.0,34.0,41.5,,34.0,34.0,37.9,,34.0,34.0,62.8,,34.0,34.0,62.5,,34.0,34.0,32.6,,34.0,34.0,42.1,,34.0,34.0,57.1,,34.0,34.0,66.8,,34.0,34.0,13.7,,34.0,34.0,27.7,,34.0,34.1,0.0,,34.0,34.0,52.9,,34.0,34.0,47.9,,34.0,34.0,65.5,,34.0,34.0,28.3,,34.0,34.0,24.3,,34.0,34.0,26.8,,34.0,34.0,29.3,,34.0,34.0,13.7,,34.0,34.0,14.3,,34.0,34.0,21.5,,34.0,34.0,23.0,,34.0,1.3,
3/03/2025 3:38:35 PM,480,34.0,36.8,,34.0,3.0,99.2,31.2,34.0,34.0,49.1,,34.0,3.0,99.2,31.2,34.0,34.0,14.1,,34.0,3.0,99.2,31.2,34.0,34.0,41.0,,34.0,34.0,39.7,,34.0,34.0,60.3,,34.0,34.0,61.7,,34.0,34.0,32.6,,34.0,34.0,41.5,,34.0,34.0,59.0,,34.0,34.0,67.9,,34.0,34.0,14.1,,34.0,34.0,28.0,,34.0,34.0,14.2,,34.0,34.0,50.6,,34.0,34.0,42.6,,34.0,34.0,66.3,,34.0,34.0,29.5,,34.0,34.0,22.4,,34.0,34.0,26.6,,34.0,34.0,29.9,,34.0,34.0,13.6,,34.0,34.0,14.4,,34.0,34.0,21.3,,34.0,34.0,21.6,,34.0,0.9,
