Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
4/03/2025 10:14:36 AM,0,34.0,55.5,,34.0,3.0,99.2,31.2,34.0,34.0,69.7,,34.0,3.0,99.2,31.2,34.0,34.0,50.2,,34.0,3.0,99.2,31.2,34.0,34.0,73.1,,34.0,34.0,70.9,,34.0,34.0,75.4,,34.0,34.0,75.2,,34.0,34.0,55.3,,34.0,34.0,68.9,,34.0,34.0,80.6,,34.0,34.0,86.5,,34.0,34.0,50.2,,34.0,34.0,53.5,,34.0,34.0,21.2,,34.0,34.0,57.9,,34.0,34.0,83.1,,34.0,34.0,82.7,,34.0,34.0,41.9,,34.0,34.0,40.2,,34.0,34.0,36.7,,34.0,34.0,38.3,,34.0,34.0,28.7,,34.0,34.0,30.3,,34.0,34.0,38.0,,34.0,34.0,37.9,,34.0,0.5,
4/03/2025 10:15:36 AM,60,34.0,55.0,,34.0,3.0,99.2,31.2,34.0,34.0,69.6,,34.0,3.0,99.2,31.2,34.0,34.0,48.4,,34.0,3.0,99.2,31.2,34.0,34.0,75.1,,34.0,34.0,68.3,,34.0,34.0,75.1,,34.0,34.0,75.4,,34.0,34.0,55.3,,34.0,34.0,67.6,,34.0,34.0,80.5,,34.0,34.0,87.3,,34.0,34.0,48.4,,34.0,34.0,52.3,,34.0,34.0,20.3,,34.0,34.0,56.8,,34.0,34.0,81.1,,34.0,34.0,80.8,,34.0,34.0,41.0,,34.0,34.0,39.2,,34.0,34.0,37.4,,34.0,34.0,39.6,,34.0,34.0,26.9,,34.0,34.0,28.3,,34.0,34.0,38.1,,34.0,34.0,37.8,,34.0,0.4,
4/03/2025 10:16:36 AM,120,34.0,54.0,,34.0,3.0,99.2,31.2,34.0,34.0,68.3,,34.0,3.0,99.2,31.2,34.0,34.0,47.4,,34.0,3.0,99.2,31.2,34.0,34.0,72.8,,34.0,34.0,70.5,,34.0,34.0,75.5,,34.0,34.0,73.4,,34.0,34.0,51.4,,34.0,34.0,67.6,,34.0,34.0,79.1,,34.0,34.0,85.9,,34.0,34.0,47.4,,34.0,34.0,50.2,,34.0,34.0,19.8,,34.0,34.0,57.0,,34.0,34.0,78.0,,34.0,34.0,80.1,,34.0,34.0,40.3,,34.0,34.0,40.8,,34.0,34.0,36.2,,34.0,34.0,37.8,,34.0,34.0,26.9,,34.0,34.0,28.9,,34.0,34.0,35.2,,34.0,34.0,38.1,,34.0,0.7,
4/03/2025 10:17:36 AM,180,34.0,54.0,,34.0,3.0,99.2,31.2,34.0,34.0,67.9,,34.0,3.0,99.2,31.2,34.0,34.0,45.7,,34.0,3.0,99.2,31.2,34.0,34.0,75.1,,34.0,34.0,66.9,,34.0,34.0,74.7,,34.0,34.0,73.1,,34.0,34.0,51.5,,34.0,34.0,66.5,,34.0,34.0,78.6,,34.0,34.0,84.4,,34.0,34.0,45.7,,34.0,34.0,49.8,,34.0,34.0,20.8,,34.0,34.0,56.1,,34.0,34.0,81.4,,34.0,34.0,87.9,,34.0,34.0,42.0,,34.0,34.0,40.6,,34.0,34.0,36.0,,34.0,34.0,37.4,,34.0,34.0,28.0,,34.0,34.0,29.7,,34.0,34.0,35.6,,34.0,34.0,37.4,,34.0,0.3,
4/03/2025 10:18:36 AM,240,34.0,53.8,,34.0,3.0,99.2,31.2,34.0,34.0,68.1,,34.0,3.0,99.2,31.2,34.0,34.0,46.1,,34.0,3.0,99.2,31.2,34.0,34.0,71.6,,34.0,34.0,68.6,,34.0,34.0,74.4,,34.0,34.0,74.6,,34.0,34.0,52.1,,34.0,34.0,63.8,,34.0,34.0,77.0,,34.0,34.0,85.2,,34.0,34.0,46.1,,34.0,34.0,50.2,,34.0,34.0,20.2,,34.0,34.0,58.1,,34.0,34.0,80.6,,34.0,34.0,84.1,,34.0,34.0,41.4,,34.0,34.0,39.8,,34.0,34.0,36.1,,34.0,34.0,38.3,,34.0,34.0,26.9,,34.0,34.0,27.8,,34.0,34.0,37.5,,34.0,34.0,37.3,,34.0,0.5,
4/03/2025 10:19:36 AM,300,34.0,53.6,,34.0,3.0,99.2,31.2,34.0,34.0,68.5,,34.0,3.0,99.2,31.2,34.0,34.0,45.7,,34.0,3.0,99.2,31.2,34.0,34.0,74.1,,34.0,34.0,69.2,,34.0,34.0,75.2,,34.0,34.0,73.2,,34.0,34.0,52.8,,34.0,34.0,68.0,,34.0,34.0,76.9,,34.0,34.0,83.3,,34.0,34.0,45.7,,34.0,34.0,51.1,,34.0,34.0,17.1,,34.0,34.0,55.5,,34.0,34.0,79.2,,34.0,34.0,84.0,,34.0,34.0,41.3,,34.0,34.0,39.4,,34.0,34.0,40.3,,34.0,34.0,36.7,,34.0,34.0,28.2,,34.0,34.0,28.9,,34.0,34.0,31.0,,34.0,34.0,36.0,,34.0,0.2,
4/03/2025 10:20:36 AM,360,34.0,54.1,,34.0,3.0,99.2,31.2,34.0,34.0,68.5,,34.0,3.0,99.2,31.2,34.0,34.0,44.8,,34.0,3.0,99.2,31.2,34.0,34.0,74.1,,34.0,34.0,69.8,,34.0,34.0,75.2,,34.0,34.0,73.0,,34.0,34.0,52.8,,34.0,34.0,65.4,,34.0,34.0,76.8,,34.0,34.0,82.5,,34.0,34.0,44.8,,34.0,34.0,48.8,,34.0,34.0,20.5,,34.0,34.0,55.9,,34.0,34.0,76.9,,34.0,34.0,90.9,,34.0,34.0,40.6,,34.0,34.0,41.2,,34.0,34.0,35.3,,34.0,34.0,48.6,,34.0,34.0,27.1,,34.0,34.0,28.3,,34.0,34.0,37.0,,34.0,34.0,35.0,,34.0,0.2,
4/03/2025 10:21:36 AM,420,34.0,53.2,,34.0,3.0,99.2,31.2,34.0,34.0,68.5,,34.0,3.0,99.2,31.2,34.0,34.0,43.1,,34.0,3.0,99.2,31.2,34.0,34.0,74.2,,34.0,34.0,68.9,,34.0,34.0,73.9,,34.0,34.0,74.5,,34.0,34.0,52.8,,34.0,34.0,66.0,,34.0,34.0,75.9,,34.0,34.0,82.8,,34.0,34.0,43.1,,34.0,34.0,48.4,,34.0,34.0,20.0,,34.0,34.0,55.4,,34.0,34.0,72.7,,34.0,34.0,89.3,,34.0,34.0,41.3,,34.0,34.0,39.9,,34.0,34.0,35.4,,34.0,34.0,37.7,,34.0,34.0,25.1,,34.0,34.0,29.8,,34.0,34.0,34.3,,34.0,34.0,36.2,,34.0,0.2,
4/03/2025 10:22:36 AM,480,34.0,52.7,,34.0,3.0,99.2,31.2,34.0,34.0,68.2,,34.0,3.0,99.2,31.2,34.0,34.0,41.8,,34.0,3.0,99.2,31.2,34.0,34.0,74.1,,34.0,34.0,71.0,,34.0,34.0,73.5,,34.0,34.0,74.3,,34.0,34.0,51.3,,34.0,34.0,65.8,,34.0,34.0,76.9,,34.0,34.0,82.3,,34.0,34.0,41.8,,34.0,34.0,48.8,,34.0,34.0,19.4,,34.0,34.0,55.4,,34.0,34.0,77.0,,34.0,34.0,82.0,,34.0,34.0,39.4,,34.0,34.0,39.0,,34.0,34.0,36.2,,34.0,34.0,37.4,,34.0,34.0,24.9,,34.0,34.0,26.8,,34.0,34.0,35.0,,34.0,34.0,33.9,,34.0,0.2,
4/03/2025 10:23:36 AM,540,34.0,52.1,,34.0,3.0,99.2,31.2,34.0,34.0,66.8,,34.0,3.0,99.2,31.2,34.0,34.0,41.1,,34.0,3.0,99.2,31.2,34.0,34.0,67.7,,34.0,34.0,70.2,,34.0,34.0,72.8,,34.0,34.0,73.2,,34.0,34.0,51.0,,34.0,34.0,64.5,,34.0,34.0,75.6,,34.0,34.0,82.1,,34.0,34.0,41.1,,34.0,34.0,46.9,,34.0,34.0,19.5,,34.0,34.0,55.7,,34.0,34.0,77.0,,34.0,34.0,82.2,,34.0,34.0,39.6,,34.0,34.0,40.9,,34.0,34.0,34.9,,34.0,34.0,36.7,,34.0,34.0,26.4,,34.0,34.0,28.0,,34.0,34.0,33.0,,34.0,34.0,34.5,,34.0,0.2,
