Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
5/03/2025 11:59:03 AM,87042,34.0,46.0,,34.0,3.0,99.2,31.2,34.0,34.0,64.3,,34.0,3.0,99.2,31.2,34.0,34.0,24.2,,34.0,3.0,99.2,31.2,34.0,34.0,72.0,,34.0,34.0,74.1,,34.0,34.0,69.1,,34.0,34.0,70.4,,34.0,34.0,43.3,,34.0,34.0,58.9,,34.0,34.0,66.0,,34.0,34.0,72.1,,34.0,34.0,24.2,,34.0,34.0,33.3,,34.0,34.0,18.8,,34.0,34.0,51.8,,34.0,34.0,69.1,,34.0,34.0,79.2,,34.0,34.0,36.9,,34.0,34.0,39.1,,34.0,34.0,29.8,,34.0,34.0,32.8,,34.0,34.0,17.5,,34.0,34.0,19.6,,34.0,34.0,26.0,,34.0,34.0,25.4,,34.0,0.3,
5/03/2025 11:59:23 AM,87062,34.0,46.4,,34.0,3.0,99.2,31.2,34.0,34.0,64.3,,34.0,3.0,99.2,31.2,34.0,34.0,24.2,,34.0,3.0,99.2,31.2,34.0,34.0,71.7,,34.0,34.0,74.2,,34.0,34.0,69.8,,34.0,34.0,69.8,,34.0,34.0,43.3,,34.0,34.0,60.3,,34.0,34.0,67.5,,34.0,34.0,73.9,,34.0,34.0,24.2,,34.0,34.0,32.1,,34.0,34.0,16.4,,34.0,34.0,51.9,,34.0,34.0,73.2,,34.0,34.0,85.4,,34.0,34.0,38.1,,34.0,34.0,37.9,,34.0,34.0,29.9,,34.0,34.0,31.9,,34.0,34.0,19.0,,34.0,34.0,25.0,,34.0,34.0,22.9,,34.0,34.0,26.0,,34.0,0.3,
5/03/2025 12:00:23 PM,87122,34.0,45.7,,34.0,3.0,99.2,31.2,34.0,34.0,63.2,,34.0,3.0,99.2,31.2,34.0,34.0,23.1,,34.0,3.0,99.2,31.2,34.0,34.0,76.3,,34.0,34.0,72.6,,34.0,34.0,65.8,,34.0,34.0,67.8,,34.0,34.0,43.3,,34.0,34.0,57.7,,34.0,34.0,64.1,,34.0,34.0,72.2,,34.0,34.0,23.1,,34.0,34.0,33.9,,34.0,34.0,19.9,,34.0,34.0,53.0,,34.0,34.0,70.5,,34.0,34.0,83.2,,34.0,34.0,38.1,,34.0,34.0,36.8,,34.0,34.0,30.8,,34.0,34.0,32.3,,34.0,34.0,17.0,,34.0,34.0,18.9,,34.0,34.0,25.0,,34.0,34.0,25.7,,34.0,0.1,
5/03/2025 12:01:23 PM,87182,34.0,46.2,,34.0,3.0,99.2,31.2,34.0,34.0,63.5,,34.0,3.0,99.2,31.2,34.0,34.0,24.0,,34.0,3.0,99.2,31.2,34.0,34.0,77.9,,34.0,34.0,74.9,,34.0,34.0,66.7,,34.0,34.0,66.9,,34.0,34.0,42.5,,34.0,34.0,58.4,,34.0,34.0,66.1,,34.0,34.0,73.1,,34.0,34.0,24.0,,34.0,34.0,32.8,,34.0,34.0,19.9,,34.0,34.0,50.0,,34.0,34.0,74.1,,34.0,34.0,84.4,,34.0,34.0,37.9,,34.0,34.0,38.9,,34.0,34.0,30.4,,34.0,34.0,32.0,,34.0,34.0,28.8,,34.0,34.0,18.6,,34.0,34.0,21.8,,34.0,34.0,23.1,,34.0,0.1,
5/03/2025 12:02:23 PM,87242,34.0,45.9,,34.0,3.0,99.2,31.2,34.0,34.0,63.7,,34.0,3.0,99.2,31.2,34.0,34.0,22.4,,34.0,3.0,99.2,31.2,34.0,34.0,74.8,,34.0,34.0,74.6,,34.0,34.0,67.7,,34.0,34.0,68.4,,34.0,34.0,42.4,,34.0,34.0,57.4,,34.0,34.0,63.9,,34.0,34.0,74.5,,34.0,34.0,22.4,,34.0,34.0,33.7,,34.0,34.0,18.8,,34.0,34.0,51.0,,34.0,34.0,68.7,,34.0,34.0,77.6,,34.0,34.0,39.5,,34.0,34.0,38.5,,34.0,34.0,29.4,,34.0,34.0,32.1,,34.0,34.0,17.0,,34.0,34.0,27.6,,34.0,34.0,25.5,,34.0,34.0,24.4,,34.0,0.3,
5/03/2025 12:03:23 PM,87302,34.0,45.2,,34.0,3.0,99.2,31.2,34.0,34.0,64.3,,34.0,3.0,99.2,31.2,34.0,34.0,21.9,,34.0,3.0,99.2,31.2,34.0,34.0,71.9,,34.0,34.0,88.7,,34.0,34.0,66.7,,34.0,34.0,66.2,,34.0,34.0,42.4,,34.0,34.0,56.4,,34.0,34.0,64.2,,34.0,34.0,71.4,,34.0,34.0,21.9,,34.0,34.0,33.6,,34.0,34.0,14.2,,34.0,34.0,51.7,,34.0,34.0,74.5,,34.0,34.0,75.8,,34.0,34.0,38.0,,34.0,34.0,37.8,,34.0,34.0,29.8,,34.0,34.0,31.7,,34.0,34.0,14.4,,34.0,34.0,18.5,,34.0,34.0,25.6,,34.0,34.0,26.6,,34.0,1.2,
5/03/2025 12:04:23 PM,87362,34.0,44.3,,34.0,3.0,99.2,31.2,34.0,34.0,58.2,,34.0,3.0,99.2,31.2,34.0,34.0,22.8,,34.0,3.0,99.2,31.2,34.0,34.0,70.8,,34.0,34.0,69.0,,34.0,34.0,66.6,,34.0,34.0,67.8,,34.0,34.0,26.4,,34.0,34.0,57.9,,34.0,34.0,65.3,,34.0,34.0,70.6,,34.0,34.0,22.8,,34.0,34.0,32.3,,34.0,34.0,19.5,,34.0,34.0,50.5,,34.0,34.0,73.9,,34.0,34.0,84.4,,34.0,34.0,37.7,,34.0,34.0,37.2,,34.0,34.0,29.8,,34.0,34.0,33.8,,34.0,34.0,16.7,,34.0,34.0,18.9,,34.0,34.0,25.1,,34.0,34.0,25.1,,34.0,0.2,
5/03/2025 12:05:23 PM,87422,34.0,45.9,,34.0,3.0,99.2,31.2,34.0,34.0,63.5,,34.0,3.0,99.2,31.2,34.0,34.0,21.2,,34.0,3.0,99.2,31.2,34.0,34.0,69.5,,34.0,34.0,69.5,,34.0,34.0,67.3,,34.0,34.0,67.4,,34.0,34.0,48.8,,34.0,34.0,56.8,,34.0,34.0,65.9,,34.0,34.0,73.8,,34.0,34.0,21.2,,34.0,34.0,32.2,,34.0,34.0,19.8,,34.0,34.0,52.6,,34.0,34.0,72.1,,34.0,34.0,81.5,,34.0,34.0,37.6,,34.0,34.0,37.8,,34.0,34.0,29.8,,34.0,34.0,32.2,,34.0,34.0,18.0,,34.0,34.0,19.6,,34.0,34.0,27.0,,34.0,34.0,27.3,,34.0,0.4,
5/03/2025 12:06:23 PM,87482,34.0,45.5,,34.0,3.0,99.2,31.2,34.0,34.0,62.0,,34.0,3.0,99.2,31.2,34.0,34.0,23.8,,34.0,3.0,99.2,31.2,34.0,34.0,69.8,,34.0,34.0,69.7,,34.0,34.0,66.6,,34.0,34.0,68.7,,34.0,34.0,41.4,,34.0,34.0,58.6,,34.0,34.0,65.9,,34.0,34.0,72.4,,34.0,34.0,23.8,,34.0,34.0,33.3,,34.0,34.0,18.3,,34.0,34.0,49.6,,34.0,34.0,72.0,,34.0,34.0,82.7,,34.0,34.0,37.6,,34.0,34.0,39.0,,34.0,34.0,31.3,,34.0,34.0,32.7,,34.0,34.0,18.1,,34.0,34.0,19.5,,34.0,34.0,25.9,,34.0,34.0,25.4,,34.0,0.1,
5/03/2025 12:07:23 PM,87542,34.0,45.4,,34.0,3.0,99.2,31.2,34.0,34.0,61.6,,34.0,3.0,99.2,31.2,34.0,34.0,22.4,,34.0,3.0,99.2,31.2,34.0,34.0,67.3,,34.0,34.0,69.1,,34.0,34.0,67.3,,34.0,34.0,67.6,,34.0,34.0,41.9,,34.0,34.0,59.1,,34.0,34.0,64.9,,34.0,34.0,71.8,,34.0,34.0,22.4,,34.0,34.0,32.2,,34.0,34.0,19.0,,34.0,34.0,50.0,,34.0,34.0,75.0,,34.0,34.0,85.3,,34.0,34.0,38.7,,34.0,34.0,39.0,,34.0,34.0,29.6,,34.0,34.0,32.3,,34.0,34.0,17.6,,34.0,34.0,18.3,,34.0,34.0,27.5,,34.0,34.0,24.6,,34.0,0.2,
5/03/2025 12:08:23 PM,87602,34.0,47.0,,34.0,3.0,99.2,31.2,34.0,34.0,61.8,,34.0,3.0,99.2,31.2,34.0,34.0,22.4,,34.0,3.0,99.2,31.2,34.0,34.0,68.6,,34.0,34.0,68.2,,34.0,34.0,68.2,,34.0,34.0,66.9,,34.0,34.0,42.4,,34.0,34.0,58.5,,34.0,34.0,64.9,,34.0,34.0,71.2,,34.0,34.0,22.4,,34.0,34.0,32.5,,34.0,34.0,52.3,,34.0,34.0,52.1,,34.0,34.0,72.2,,34.0,34.0,78.8,,34.0,34.0,37.7,,34.0,34.0,37.1,,34.0,34.0,28.7,,34.0,34.0,32.2,,34.0,34.0,17.6,,34.0,34.0,19.2,,34.0,34.0,25.4,,34.0,34.0,25.6,,34.0,0.1,
5/03/2025 12:09:23 PM,87662,34.0,44.7,,34.0,3.0,99.2,31.2,34.0,34.0,61.6,,34.0,3.0,99.2,31.2,34.0,34.0,21.0,,34.0,3.0,99.2,31.2,34.0,34.0,67.7,,34.0,34.0,67.7,,34.0,34.0,66.0,,34.0,34.0,68.6,,34.0,34.0,42.5,,34.0,34.0,58.2,,34.0,34.0,63.1,,34.0,34.0,71.5,,34.0,34.0,21.0,,34.0,34.0,30.8,,34.0,34.0,18.1,,34.0,34.0,52.1,,34.0,34.0,75.1,,34.0,34.0,84.7,,34.0,34.0,37.3,,34.0,34.0,37.3,,34.0,34.0,29.4,,34.0,34.0,31.6,,34.0,34.0,16.4,,34.0,34.0,17.4,,34.0,34.0,24.4,,34.0,34.0,24.6,,34.0,0.6,
5/03/2025 12:10:23 PM,87722,34.0,44.7,,34.0,3.0,99.2,31.2,34.0,34.0,60.9,,34.0,3.0,99.2,31.2,34.0,34.0,21.7,,34.0,3.0,99.2,31.2,34.0,34.0,66.2,,34.0,34.0,65.5,,34.0,34.0,66.0,,34.0,34.0,67.9,,34.0,34.0,42.5,,34.0,34.0,56.4,,34.0,34.0,64.5,,34.0,34.0,72.9,,34.0,34.0,21.7,,34.0,34.0,30.0,,34.0,34.0,19.4,,34.0,34.0,51.4,,34.0,34.0,72.9,,34.0,34.0,81.2,,34.0,34.0,37.5,,34.0,34.0,37.8,,34.0,34.0,29.6,,34.0,34.0,32.6,,34.0,34.0,16.4,,34.0,34.0,19.4,,34.0,34.0,26.3,,34.0,34.0,24.3,,34.0,0.3,
