Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
16/05/2025 5:18:14 PM,1361072,34.0,38.9,,34.0,3.0,99.2,31.2,34.0,34.0,40.4,,34.0,3.0,99.2,31.2,34.0,34.0,19.2,,34.0,3.0,99.2,31.2,34.0,34.0,38.8,,34.0,34.0,31.0,,34.0,34.0,44.0,,34.0,34.0,44.2,,34.0,34.0,38.0,,34.0,34.0,39.4,,34.0,34.0,46.7,,34.0,34.0,48.1,,34.0,34.0,19.2,,34.0,34.0,38.6,,34.0,34.0,16.2,,34.0,34.0,78.7,,34.0,34.0,63.8,,34.0,34.0,56.9,,34.0,34.0,65.5,,34.0,34.0,44.2,,34.0,34.0,35.6,,34.0,34.0,34.1,,34.0,34.0,24.3,,34.0,34.0,22.7,,34.0,34.0,28.5,,34.0,34.0,29.0,,34.0,5.3,
16/05/2025 5:18:44 PM,1361102,34.0,38.0,,34.0,3.0,99.2,31.2,34.0,34.0,39.5,,34.0,3.0,99.2,31.2,34.0,34.0,20.1,,34.0,3.0,99.2,31.2,34.0,34.0,35.5,,34.0,34.0,31.0,,34.0,34.0,43.9,,34.0,34.0,43.1,,34.0,34.0,37.5,,34.0,34.0,39.2,,34.0,34.0,48.1,,34.0,34.0,47.9,,34.0,34.0,20.1,,34.0,34.0,38.8,,34.0,34.0,15.1,,34.0,34.0,75.5,,34.0,34.0,61.7,,34.0,34.0,52.5,,34.0,34.0,60.0,,34.0,34.0,45.1,,34.0,34.0,34.5,,34.0,34.0,34.6,,34.0,34.0,23.3,,34.0,34.0,22.4,,34.0,34.0,26.9,,34.0,34.0,26.3,,34.0,0.9,
16/05/2025 5:19:44 PM,1361162,34.0,38.9,,34.0,3.0,99.2,31.2,34.0,34.0,40.6,,34.0,3.0,99.2,31.2,34.0,34.0,19.8,,34.0,3.0,99.2,31.2,34.0,34.0,33.3,,34.0,34.0,31.2,,34.0,34.0,47.0,,34.0,34.0,45.2,,34.0,34.0,37.5,,34.0,34.0,39.4,,34.0,34.0,48.5,,34.0,34.0,48.1,,34.0,34.0,19.8,,34.0,34.0,38.7,,34.0,34.0,11.8,,34.0,34.0,45.1,,34.0,34.0,105.0,,34.0,34.0,62.4,,34.0,34.0,61.5,,34.0,34.0,63.9,,34.0,34.0,31.6,,34.0,34.0,36.0,,34.0,34.0,20.2,,34.0,34.0,21.8,,34.0,34.0,25.1,,34.0,34.0,27.7,,34.0,2.1,
16/05/2025 5:20:44 PM,1361222,34.0,37.2,,34.0,3.0,99.2,31.2,34.0,34.0,39.5,,34.0,3.0,99.2,31.2,34.0,34.0,23.2,,34.0,3.0,99.2,31.2,34.0,34.0,33.4,,34.0,34.0,30.5,,34.0,34.0,44.2,,34.0,34.0,44.2,,34.0,34.0,37.5,,34.0,34.0,39.0,,34.0,34.0,47.6,,34.0,34.0,46.0,,34.0,34.0,23.2,,34.0,34.0,35.6,,34.0,34.0,12.5,,34.0,34.0,53.1,,34.0,34.0,64.8,,34.0,34.0,52.1,,34.0,34.0,53.2,,34.0,34.0,52.6,,34.0,34.0,35.3,,34.0,34.0,37.1,,34.0,34.0,21.9,,34.0,34.0,22.7,,34.0,34.0,26.8,,34.0,34.0,27.5,,34.0,1.2,
16/05/2025 5:21:44 PM,1361282,34.0,37.3,,34.0,3.0,99.2,31.2,34.0,34.0,40.6,,34.0,3.0,99.2,31.2,34.0,34.0,22.1,,34.0,3.0,99.2,31.2,34.0,34.0,34.0,,34.0,34.0,30.1,,34.0,34.0,46.7,,34.0,34.0,45.2,,34.0,34.0,38.0,,34.0,34.0,39.2,,34.0,34.0,45.3,,34.0,34.0,47.6,,34.0,34.0,22.1,,34.0,34.0,36.3,,34.0,34.0,11.6,,34.0,34.0,50.5,,34.0,34.0,67.5,,34.0,34.0,46.5,,34.0,34.0,57.2,,34.0,34.0,49.9,,34.0,34.0,35.0,,34.0,34.0,38.1,,34.0,34.0,22.4,,34.0,34.0,22.1,,34.0,34.0,28.1,,34.0,34.0,26.8,,34.0,0.2,
16/05/2025 5:22:44 PM,1361342,34.0,37.7,,34.0,3.0,99.2,31.2,34.0,34.0,40.5,,34.0,3.0,99.2,31.2,34.0,34.0,22.4,,34.0,3.0,99.2,31.2,34.0,34.0,34.0,,34.0,34.0,30.1,,34.0,34.0,46.6,,34.0,34.0,45.0,,34.0,34.0,38.2,,34.0,34.0,39.1,,34.0,34.0,47.3,,34.0,34.0,48.0,,34.0,34.0,22.4,,34.0,34.0,36.8,,34.0,34.0,11.8,,34.0,34.0,50.8,,34.0,34.0,66.6,,34.0,34.0,47.0,,34.0,34.0,57.0,,34.0,34.0,56.0,,34.0,34.0,36.5,,34.0,34.0,37.6,,34.0,34.0,23.2,,34.0,34.0,21.5,,34.0,34.0,27.2,,34.0,34.0,26.4,,34.0,0.3,
16/05/2025 5:23:44 PM,1361402,34.0,37.4,,34.0,3.0,99.2,31.2,34.0,34.0,41.4,,34.0,3.0,99.2,31.2,34.0,34.0,21.1,,34.0,3.0,99.2,31.2,34.0,34.0,34.1,,34.0,34.0,31.5,,34.0,34.0,48.3,,34.0,34.0,46.0,,34.0,34.0,37.9,,34.0,34.0,38.4,,34.0,34.0,46.8,,34.0,34.0,48.2,,34.0,34.0,21.1,,34.0,34.0,36.0,,34.0,34.0,11.3,,34.0,34.0,50.8,,34.0,34.0,64.9,,34.0,34.0,46.2,,34.0,34.0,56.1,,34.0,34.0,52.5,,34.0,34.0,35.4,,34.0,34.0,38.3,,34.0,34.0,22.2,,34.0,34.0,23.1,,34.0,34.0,25.2,,34.0,34.0,26.8,,34.0,0.3,
16/05/2025 5:24:44 PM,1361462,34.0,37.7,,34.0,3.0,99.2,31.2,34.0,34.0,41.6,,34.0,3.0,99.2,31.2,34.0,34.0,21.8,,34.0,3.0,99.2,31.2,34.0,34.0,33.4,,34.0,34.0,30.9,,34.0,34.0,48.4,,34.0,34.0,47.5,,34.0,34.0,38.0,,34.0,34.0,38.4,,34.0,34.0,47.9,,34.0,34.0,48.5,,34.0,34.0,21.8,,34.0,34.0,37.0,,34.0,34.0,11.1,,34.0,34.0,49.4,,34.0,34.0,67.4,,34.0,34.0,49.0,,34.0,34.0,55.5,,34.0,34.0,51.3,,34.0,34.0,36.7,,34.0,34.0,37.7,,34.0,34.0,22.6,,34.0,34.0,24.1,,34.0,34.0,25.7,,34.0,34.0,26.3,,34.0,0.2,
16/05/2025 5:25:44 PM,1361522,34.0,38.1,1.499,34.0,3.0,99.2,31.2,34.0,34.0,42.1,1.306,34.0,3.0,99.2,31.2,34.0,34.0,21.6,3.114,34.0,3.0,99.2,31.2,34.0,34.0,33.6,1.791,34.0,34.0,31.5,2.008,34.0,34.0,49.7,0.999,34.0,34.0,47.5,1.086,34.0,34.0,38.0,1.495,34.0,34.0,39.4,1.397,34.0,34.0,46.6,1.048,34.0,34.0,48.9,1.009,34.0,34.0,21.6,3.114,34.0,34.0,39.8,1.476,34.0,34.0,11.5,6.538,34.0,34.0,49.7,0.993,34.0,34.0,65.3,0.552,34.0,34.0,49.1,1.024,34.0,34.0,54.8,0.842,34.0,34.0,53.6,0.839,34.0,34.0,35.1,1.666,34.0,34.0,37.2,1.507,34.0,34.0,22.3,3.041,34.0,34.0,24.5,2.844,34.0,34.0,26.2,2.470,34.0,34.0,27.4,2.321,34.0,0.0,
