Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
16/05/2025 5:50:14 PM,1362992,34.0,34.3,1.762,34.0,3.0,99.2,31.2,34.0,34.0,38.9,1.439,34.0,3.0,99.2,31.2,34.0,34.0,19.1,3.626,34.0,3.0,99.2,31.2,34.0,34.0,31.6,1.831,34.0,34.0,30.6,2.079,34.0,34.0,43.5,1.203,34.0,34.0,43.9,1.209,34.0,34.0,36.8,1.571,34.0,34.0,39.7,1.426,34.0,34.0,46.4,1.091,34.0,34.0,46.3,1.111,34.0,34.0,19.1,3.626,34.0,34.0,37.8,1.607,34.0,34.0,13.7,5.446,34.0,34.0,36.5,1.580,34.0,34.0,46.9,1.099,34.0,34.0,48.4,1.093,34.0,34.0,41.2,1.374,34.0,34.0,42.2,1.366,34.0,34.0,29.9,2.126,34.0,34.0,31.9,1.968,34.0,34.0,16.0,4.532,34.0,34.0,17.2,4.158,34.0,34.0,26.1,2.589,34.0,34.0,27.4,2.369,34.0,0.1,
16/05/2025 5:50:44 PM,1363022,34.0,34.7,,34.0,3.0,99.2,31.2,34.0,34.0,39.3,,34.0,3.0,99.2,31.2,34.0,34.0,17.4,,34.0,3.0,99.2,31.2,34.0,34.0,33.0,,34.0,34.0,28.9,,34.0,34.0,45.7,,34.0,34.0,43.4,,34.0,34.0,36.8,,34.0,34.0,38.9,,34.0,34.0,45.8,,34.0,34.0,47.6,,34.0,34.0,17.4,,34.0,34.0,36.3,,34.0,34.0,15.0,,34.0,34.0,43.9,,34.0,34.0,52.8,,34.0,34.0,49.0,,34.0,34.0,44.6,,34.0,34.0,42.0,,34.0,34.0,29.0,,34.0,34.0,31.6,,34.0,34.0,16.5,,34.0,34.0,19.1,,34.0,34.0,24.5,,34.0,34.0,27.0,,34.0,0.3,
16/05/2025 5:51:44 PM,1363082,34.0,34.8,,34.0,3.0,99.2,31.2,34.0,34.0,39.9,,34.0,3.0,99.2,31.2,34.0,34.0,20.6,,34.0,3.0,99.2,31.2,34.0,34.0,33.1,,34.0,34.0,30.5,,34.0,34.0,44.9,,34.0,34.0,45.5,,34.0,34.0,37.1,,34.0,34.0,39.6,,34.0,34.0,44.1,,34.0,34.0,48.1,,34.0,34.0,20.6,,34.0,34.0,36.8,,34.0,34.0,15.4,,34.0,34.0,48.5,,34.0,34.0,48.8,,34.0,34.0,48.9,,34.0,34.0,43.2,,34.0,34.0,40.5,,34.0,34.0,30.4,,34.0,34.0,30.7,,34.0,34.0,16.8,,34.0,34.0,15.8,,34.0,34.0,24.6,,34.0,34.0,26.8,,34.0,0.4,
16/05/2025 5:52:44 PM,1363142,34.0,34.7,,34.0,3.0,99.2,31.2,34.0,34.0,39.4,,34.0,3.0,99.2,31.2,34.0,34.0,18.7,,34.0,3.0,99.2,31.2,34.0,34.0,34.4,,34.0,34.0,30.3,,34.0,34.0,44.4,,34.0,34.0,43.6,,34.0,34.0,37.1,,34.0,34.0,38.9,,34.0,34.0,45.6,,34.0,34.0,47.2,,34.0,34.0,18.7,,34.0,34.0,35.3,,34.0,34.0,15.6,,34.0,34.0,46.5,,34.0,34.0,49.4,,34.0,34.0,43.1,,34.0,34.0,41.6,,34.0,34.0,43.5,,34.0,34.0,30.8,,34.0,34.0,31.9,,34.0,34.0,16.6,,34.0,34.0,17.7,,34.0,34.0,26.5,,34.0,34.0,27.7,,34.0,0.4,
16/05/2025 5:53:44 PM,1363202,34.0,35.2,,34.0,3.0,99.2,31.2,34.0,34.0,39.5,,34.0,3.0,99.2,31.2,34.0,34.0,19.1,,34.0,3.0,99.2,31.2,34.0,34.0,33.0,,34.0,34.0,29.6,,34.0,34.0,44.7,,34.0,34.0,44.4,,34.0,34.0,37.1,,34.0,34.0,38.3,,34.0,34.0,46.4,,34.0,34.0,46.4,,34.0,34.0,19.1,,34.0,34.0,36.9,,34.0,34.0,15.9,,34.0,34.0,48.4,,34.0,34.0,54.2,,34.0,34.0,46.0,,34.0,34.0,44.1,,34.0,34.0,41.5,,34.0,34.0,31.2,,34.0,34.0,32.9,,34.0,34.0,17.4,,34.0,34.0,17.9,,34.0,34.0,27.7,,34.0,34.0,26.5,,34.0,0.1,
16/05/2025 5:54:44 PM,1363262,34.0,34.9,,34.0,3.0,99.2,31.2,34.0,34.0,40.3,,34.0,3.0,99.2,31.2,34.0,34.0,19.8,,34.0,3.0,99.2,31.2,34.0,34.0,33.8,,34.0,34.0,30.4,,34.0,34.0,46.7,,34.0,34.0,45.0,,34.0,34.0,37.1,,34.0,34.0,38.5,,34.0,34.0,46.5,,34.0,34.0,46.5,,34.0,34.0,19.8,,34.0,34.0,35.4,,34.0,34.0,15.4,,34.0,34.0,50.7,,34.0,34.0,48.8,,34.0,34.0,45.0,,34.0,34.0,42.1,,34.0,34.0,41.7,,34.0,34.0,31.2,,34.0,34.0,32.3,,34.0,34.0,16.4,,34.0,34.0,17.5,,34.0,34.0,23.7,,34.0,34.0,25.9,,34.0,0.1,
16/05/2025 5:55:44 PM,1363322,34.0,35.0,1.687,34.0,3.0,99.2,31.2,34.0,34.0,39.3,1.429,34.0,3.0,99.2,31.2,34.0,34.0,20.6,3.623,34.0,3.0,99.2,31.2,34.0,34.0,34.2,1.841,34.0,34.0,30.3,2.060,34.0,34.0,44.6,1.175,34.0,34.0,43.0,1.222,34.0,34.0,37.1,1.552,34.0,34.0,39.1,1.448,34.0,34.0,44.3,1.153,34.0,34.0,46.0,1.082,34.0,34.0,20.6,3.623,34.0,34.0,35.8,1.597,34.0,34.0,15.7,4.574,34.0,34.0,50.3,1.002,34.0,34.0,48.9,0.970,34.0,34.0,46.8,1.079,34.0,34.0,43.7,1.242,34.0,34.0,43.7,1.241,34.0,34.0,31.1,1.928,34.0,34.0,33.8,1.789,34.0,34.0,17.4,4.217,34.0,34.0,17.2,4.132,34.0,34.0,27.3,2.483,34.0,34.0,26.4,2.358,34.0,0.0,
16/05/2025 5:56:44 PM,1363382,34.0,34.5,,34.0,3.0,99.2,31.2,34.0,34.0,38.2,,34.0,3.0,99.2,31.2,34.0,34.0,17.6,,34.0,3.0,99.2,31.2,34.0,34.0,32.2,,34.0,34.0,30.7,,34.0,34.0,42.9,,34.0,34.0,41.2,,34.0,34.0,37.1,,34.0,34.0,39.6,,34.0,34.0,46.4,,34.0,34.0,47.0,,34.0,34.0,17.6,,34.0,34.0,35.8,,34.0,34.0,15.1,,34.0,34.0,49.7,,34.0,34.0,50.2,,34.0,34.0,44.0,,34.0,34.0,41.7,,34.0,34.0,41.9,,34.0,34.0,31.2,,34.0,34.0,32.1,,34.0,34.0,17.7,,34.0,34.0,17.3,,34.0,34.0,26.7,,34.0,34.0,26.3,,34.0,0.3,
16/05/2025 5:57:44 PM,1363442,34.0,34.2,,34.0,3.0,99.2,31.2,34.0,34.0,38.5,,34.0,3.0,99.2,31.2,34.0,34.0,18.8,,34.0,3.0,99.2,31.2,34.0,34.0,33.4,,34.0,34.0,29.5,,34.0,34.0,43.3,,34.0,34.0,42.1,,34.0,34.0,37.1,,34.0,34.0,38.2,,34.0,34.0,45.8,,34.0,34.0,46.1,,34.0,34.0,18.8,,34.0,34.0,36.3,,34.0,34.0,15.4,,34.0,34.0,46.3,,34.0,34.0,49.8,,34.0,34.0,43.5,,34.0,34.0,43.1,,34.0,34.0,40.6,,34.0,34.0,29.9,,34.0,34.0,32.4,,34.0,34.0,16.6,,34.0,34.0,17.3,,34.0,34.0,23.7,,34.0,34.0,26.8,,34.0,0.2,
16/05/2025 5:58:44 PM,1363502,34.0,34.4,,34.0,3.0,99.2,31.2,34.0,34.0,39.0,,34.0,3.0,99.2,31.2,34.0,34.0,19.5,,34.0,3.0,99.2,31.2,34.0,34.0,32.7,,34.0,34.0,29.3,,34.0,34.0,44.4,,34.0,34.0,43.3,,34.0,34.0,37.1,,34.0,34.0,37.6,,34.0,34.0,44.4,,34.0,34.0,46.7,,34.0,34.0,19.5,,34.0,34.0,35.4,,34.0,34.0,14.4,,34.0,34.0,47.8,,34.0,34.0,51.7,,34.0,34.0,46.3,,34.0,34.0,40.3,,34.0,34.0,41.7,,34.0,34.0,30.9,,34.0,34.0,33.0,,34.0,34.0,15.9,,34.0,34.0,17.4,,34.0,34.0,27.6,,34.0,34.0,26.1,,34.0,0.3,
16/05/2025 5:59:44 PM,1363562,34.0,34.3,1.730,34.0,3.0,99.2,31.2,34.0,34.0,38.3,1.475,34.0,3.0,99.2,31.2,34.0,34.0,18.0,3.862,34.0,3.0,99.2,31.2,34.0,34.0,32.2,1.866,34.0,34.0,28.8,2.104,34.0,34.0,43.7,1.261,34.0,34.0,41.5,1.264,34.0,34.0,37.1,1.552,34.0,34.0,38.5,1.492,34.0,34.0,44.7,1.169,34.0,34.0,46.3,1.112,34.0,34.0,18.0,3.862,34.0,34.0,37.7,1.564,34.0,34.0,14.4,5.073,34.0,34.0,48.3,1.002,34.0,34.0,47.0,1.017,34.0,34.0,46.6,1.103,34.0,34.0,43.5,1.228,34.0,34.0,41.6,1.288,34.0,34.0,30.0,2.025,34.0,34.0,32.6,1.906,34.0,34.0,16.8,4.341,34.0,34.0,17.3,4.140,34.0,34.0,26.3,2.483,34.0,34.0,26.2,2.411,34.0,0.0,
16/05/2025 6:00:44 PM,1363622,34.0,34.7,,34.0,3.0,99.2,31.2,34.0,34.0,38.8,,34.0,3.0,99.2,31.2,34.0,34.0,18.8,,34.0,3.0,99.2,31.2,34.0,34.0,32.8,,34.0,34.0,28.7,,34.0,34.0,43.8,,34.0,34.0,43.4,,34.0,34.0,37.1,,34.0,34.0,38.5,,34.0,34.0,46.0,,34.0,34.0,46.1,,34.0,34.0,18.8,,34.0,34.0,36.9,,34.0,34.0,14.2,,34.0,34.0,47.5,,34.0,34.0,50.6,,34.0,34.0,48.6,,34.0,34.0,42.4,,34.0,34.0,41.8,,34.0,34.0,32.0,,34.0,34.0,33.6,,34.0,34.0,16.7,,34.0,34.0,15.8,,34.0,34.0,25.5,,34.0,34.0,27.2,,34.0,0.1,
16/05/2025 6:01:44 PM,1363682,34.0,34.7,1.701,34.0,3.0,99.2,31.2,34.0,34.0,39.4,1.427,34.0,3.0,99.2,31.2,34.0,34.0,17.4,3.735,34.0,3.0,99.2,31.2,34.0,34.0,33.3,1.805,34.0,34.0,29.5,2.135,34.0,34.0,45.2,1.164,34.0,34.0,43.6,1.220,34.0,34.0,37.1,1.552,34.0,34.0,38.7,1.464,34.0,34.0,46.0,1.111,34.0,34.0,46.8,1.063,34.0,34.0,17.4,3.735,34.0,34.0,35.5,1.666,34.0,34.0,14.5,4.891,34.0,34.0,48.4,1.031,34.0,34.0,48.3,0.983,34.0,34.0,46.2,1.047,34.0,34.0,43.7,1.240,34.0,34.0,42.6,1.275,34.0,34.0,32.0,1.947,34.0,34.0,32.4,1.848,34.0,34.0,16.9,4.320,34.0,34.0,17.8,4.096,34.0,34.0,25.2,2.542,34.0,34.0,26.8,2.458,34.0,0.1,
16/05/2025 6:02:44 PM,1363742,34.0,34.9,,34.0,3.0,99.2,31.2,34.0,34.0,40.3,,34.0,3.0,99.2,31.2,34.0,34.0,19.6,,34.0,3.0,99.2,31.2,34.0,34.0,33.3,,34.0,34.0,30.6,,34.0,34.0,46.4,,34.0,34.0,45.4,,34.0,34.0,37.1,,34.0,34.0,37.8,,34.0,34.0,46.1,,34.0,34.0,46.9,,34.0,34.0,19.6,,34.0,34.0,35.3,,34.0,34.0,14.6,,34.0,34.0,44.8,,34.0,34.0,50.3,,34.0,34.0,44.8,,34.0,34.0,42.1,,34.0,34.0,41.1,,34.0,34.0,31.0,,34.0,34.0,33.5,,34.0,34.0,16.4,,34.0,34.0,17.8,,34.0,34.0,26.8,,34.0,34.0,27.9,,34.0,0.2,
16/05/2025 6:03:44 PM,1363802,34.0,34.6,,34.0,3.0,99.2,31.2,34.0,34.0,39.7,,34.0,3.0,99.2,31.2,34.0,34.0,20.0,,34.0,3.0,99.2,31.2,34.0,34.0,32.9,,34.0,34.0,29.6,,34.0,34.0,46.5,,34.0,34.0,43.8,,34.0,34.0,37.1,,34.0,34.0,38.3,,34.0,34.0,45.9,,34.0,34.0,47.3,,34.0,34.0,20.0,,34.0,34.0,35.4,,34.0,34.0,13.5,,34.0,34.0,48.3,,34.0,34.0,47.8,,34.0,34.0,45.4,,34.0,34.0,40.6,,34.0,34.0,40.5,,34.0,34.0,31.0,,34.0,34.0,33.5,,34.0,34.0,17.1,,34.0,34.0,17.6,,34.0,34.0,25.1,,34.0,34.0,27.3,,34.0,0.3,
16/05/2025 6:04:44 PM,1363862,34.0,35.3,1.685,34.0,3.0,99.2,31.2,34.0,34.0,40.8,1.376,34.0,3.0,99.2,31.2,34.0,34.0,19.7,3.710,34.0,3.0,99.2,31.2,34.0,34.0,34.1,1.813,34.0,34.0,29.5,2.061,34.0,34.0,48.3,1.102,34.0,34.0,45.5,1.140,34.0,34.0,37.1,1.552,34.0,34.0,37.8,1.470,34.0,34.0,47.5,1.083,34.0,34.0,46.9,1.058,34.0,34.0,19.7,3.710,34.0,34.0,37.1,1.619,34.0,34.0,14.9,5.049,34.0,34.0,47.4,1.013,34.0,34.0,50.1,1.028,34.0,34.0,46.0,1.099,34.0,34.0,42.2,1.324,34.0,34.0,42.7,1.265,34.0,34.0,31.6,1.976,34.0,34.0,32.8,1.849,34.0,34.0,16.6,4.223,34.0,34.0,17.1,4.164,34.0,34.0,24.7,2.586,34.0,34.0,28.0,2.325,34.0,0.0,
