Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
19/05/2025 4:04:04 PM,1615817,34.0,32.9,,34.0,3.0,99.2,31.2,34.0,34.0,38.7,,34.0,3.0,99.2,31.2,34.0,34.0,17.4,,34.0,3.0,99.2,31.2,34.0,34.0,34.9,,34.0,34.0,32.1,,34.0,34.0,42.4,,34.0,34.0,42.0,,34.0,34.0,36.7,,34.0,34.0,39.0,,34.0,34.0,44.1,,34.0,34.0,46.1,,34.0,34.0,17.4,,34.0,34.0,36.7,,34.0,34.0,12.7,,34.0,34.0,28.2,,34.0,34.0,45.0,,34.0,34.0,43.7,,34.0,34.0,38.9,,34.0,34.0,38.8,,34.0,34.0,29.0,,34.0,34.0,29.1,,34.0,34.0,13.9,,34.0,34.0,16.6,,34.0,34.0,26.4,,34.0,34.0,25.6,,34.0,0.1,
19/05/2025 4:04:49 PM,1615862,34.0,36.7,,34.0,3.0,99.2,31.2,34.0,34.0,39.1,,34.0,3.0,99.2,31.2,34.0,34.0,19.4,,34.0,3.0,99.2,31.2,34.0,34.0,35.6,,34.0,34.0,31.8,,34.0,34.0,44.2,,34.0,34.0,41.6,,34.0,34.0,36.7,,34.0,34.0,38.2,,34.0,34.0,44.2,,34.0,34.0,45.6,,34.0,34.0,19.4,,34.0,34.0,35.6,,34.0,34.0,13.5,,34.0,34.0,50.3,,34.0,34.0,78.0,,34.0,34.0,48.8,,34.0,34.0,58.6,,34.0,34.0,45.4,,34.0,34.0,36.1,,34.0,34.0,39.2,,34.0,34.0,21.3,,34.0,34.0,22.4,,34.0,34.0,25.6,,34.0,34.0,24.6,,34.0,2.9,
19/05/2025 4:05:49 PM,1615922,34.0,38.0,,34.0,3.0,99.2,31.2,34.0,34.0,40.5,,34.0,3.0,99.2,31.2,34.0,34.0,22.0,,34.0,3.0,99.2,31.2,34.0,34.0,34.6,,34.0,34.0,31.6,,34.0,34.0,45.8,,34.0,34.0,46.0,,34.0,34.0,36.7,,34.0,34.0,38.0,,34.0,34.0,47.2,,34.0,34.0,49.4,,34.0,34.0,22.0,,34.0,34.0,37.2,,34.0,34.0,17.9,,34.0,34.0,78.0,,34.0,34.0,63.4,,34.0,34.0,49.5,,34.0,34.0,52.4,,34.0,34.0,44.0,,34.0,34.0,34.8,,34.0,34.0,33.7,,34.0,34.0,22.2,,34.0,34.0,23.3,,34.0,34.0,25.4,,34.0,34.0,26.1,,34.0,1.1,
19/05/2025 4:06:49 PM,1615982,34.0,37.2,,34.0,3.0,99.2,31.2,34.0,34.0,39.2,,34.0,3.0,99.2,31.2,34.0,34.0,19.3,,34.0,3.0,99.2,31.2,34.0,34.0,35.6,,34.0,34.0,30.9,,34.0,34.0,43.2,,34.0,34.0,43.4,,34.0,34.0,36.7,,34.0,34.0,38.8,,34.0,34.0,46.4,,34.0,34.0,48.0,,34.0,34.0,19.3,,34.0,34.0,37.0,,34.0,34.0,19.7,,34.0,34.0,83.7,,34.0,34.0,58.7,,34.0,34.0,45.4,,34.0,34.0,46.6,,34.0,34.0,39.9,,34.0,34.0,32.2,,34.0,34.0,34.3,,34.0,34.0,22.4,,34.0,34.0,22.9,,34.0,34.0,25.9,,34.0,34.0,26.6,,34.0,0.7,
19/05/2025 4:07:49 PM,1616042,34.0,37.1,,34.0,3.0,99.2,31.2,34.0,34.0,39.1,,34.0,3.0,99.2,31.2,34.0,34.0,17.5,,34.0,3.0,99.2,31.2,34.0,34.0,34.2,,34.0,34.0,32.5,,34.0,34.0,43.3,,34.0,34.0,42.8,,34.0,34.0,36.7,,34.0,34.0,38.5,,34.0,34.0,45.2,,34.0,34.0,47.1,,34.0,34.0,17.5,,34.0,34.0,37.8,,34.0,34.0,19.4,,34.0,34.0,82.8,,34.0,34.0,57.4,,34.0,34.0,45.9,,34.0,34.0,45.9,,34.0,34.0,41.5,,34.0,34.0,35.6,,34.0,34.0,32.2,,34.0,34.0,22.8,,34.0,34.0,24.1,,34.0,34.0,26.8,,34.0,34.0,26.5,,34.0,0.2,
19/05/2025 4:08:49 PM,1616102,34.0,36.5,1.577,34.0,3.0,99.2,31.2,34.0,34.0,38.6,1.447,34.0,3.0,99.2,31.2,34.0,34.0,17.6,3.815,34.0,3.0,99.2,31.2,34.0,34.0,33.0,1.773,34.0,34.0,31.0,2.008,34.0,34.0,43.5,1.190,34.0,34.0,42.0,1.279,34.0,34.0,36.7,1.578,34.0,34.0,37.6,1.494,34.0,34.0,45.0,1.133,34.0,34.0,46.6,1.097,34.0,34.0,17.6,3.815,34.0,34.0,35.6,1.617,34.0,34.0,19.6,3.731,34.0,34.0,84.0,0.295,34.0,34.0,56.4,0.759,34.0,34.0,44.2,1.149,34.0,34.0,44.9,1.139,34.0,34.0,39.7,1.383,34.0,34.0,32.0,1.924,34.0,34.0,32.5,1.791,34.0,34.0,23.2,2.984,34.0,34.0,23.5,2.922,34.0,34.0,25.5,2.493,34.0,34.0,27.4,2.439,34.0,0.0,
19/05/2025 4:09:49 PM,1616162,34.0,36.9,1.563,34.0,3.0,99.2,31.2,34.0,34.0,39.7,1.414,34.0,3.0,99.2,31.2,34.0,34.0,17.4,3.577,34.0,3.0,99.2,31.2,34.0,34.0,35.4,1.685,34.0,34.0,32.3,1.899,34.0,34.0,43.3,1.202,34.0,34.0,44.7,1.217,34.0,34.0,36.7,1.578,34.0,34.0,38.0,1.470,34.0,34.0,46.2,1.114,34.0,34.0,47.0,1.078,34.0,34.0,17.4,3.577,34.0,34.0,37.0,1.566,34.0,34.0,18.0,3.849,34.0,34.0,82.6,0.308,34.0,34.0,53.6,0.825,34.0,34.0,47.1,1.137,34.0,34.0,43.0,1.203,34.0,34.0,41.3,1.369,34.0,34.0,33.0,1.798,34.0,34.0,31.8,1.882,34.0,34.0,22.9,2.979,34.0,34.0,23.5,2.895,34.0,34.0,26.8,2.514,34.0,34.0,27.9,2.356,34.0,0.0,
19/05/2025 4:10:49 PM,1616222,34.0,36.6,,34.0,3.0,99.2,31.2,34.0,34.0,38.6,,34.0,3.0,99.2,31.2,34.0,34.0,17.6,,34.0,3.0,99.2,31.2,34.0,34.0,34.7,,34.0,34.0,31.2,,34.0,34.0,43.0,,34.0,34.0,41.6,,34.0,34.0,36.7,,34.0,34.0,38.2,,34.0,34.0,45.7,,34.0,34.0,46.7,,34.0,34.0,17.6,,34.0,34.0,38.2,,34.0,34.0,18.5,,34.0,34.0,83.1,,34.0,34.0,55.2,,34.0,34.0,43.5,,34.0,34.0,44.0,,34.0,34.0,39.6,,34.0,34.0,34.4,,34.0,34.0,32.0,,34.0,34.0,22.6,,34.0,34.0,22.9,,34.0,34.0,25.5,,34.0,34.0,27.4,,34.0,0.1,
19/05/2025 4:11:49 PM,1616282,34.0,36.9,,34.0,3.0,99.2,31.2,34.0,34.0,38.6,,34.0,3.0,99.2,31.2,34.0,34.0,19.0,,34.0,3.0,99.2,31.2,34.0,34.0,34.6,,34.0,34.0,32.3,,34.0,34.0,42.3,,34.0,34.0,41.8,,34.0,34.0,36.7,,34.0,34.0,38.8,,34.0,34.0,46.5,,34.0,34.0,47.7,,34.0,34.0,19.0,,34.0,34.0,38.1,,34.0,34.0,17.1,,34.0,34.0,82.8,,34.0,34.0,57.3,,34.0,34.0,45.7,,34.0,34.0,45.7,,34.0,34.0,40.3,,34.0,34.0,33.1,,34.0,34.0,31.9,,34.0,34.0,22.9,,34.0,34.0,23.6,,34.0,34.0,26.8,,34.0,34.0,27.8,,34.0,0.4,
