Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
21/05/2025 5:34:51 PM,0,34.0,35.5,,34.0,3.0,99.2,31.2,34.0,34.0,38.2,,34.0,3.0,99.2,31.2,34.0,34.0,27.3,,34.0,3.0,99.2,31.2,34.0,34.0,31.4,,34.0,34.0,28.0,,34.0,34.0,42.4,,34.0,34.0,41.4,,34.0,34.0,39.4,,34.0,34.0,39.6,,34.0,34.0,41.6,,34.0,34.0,42.0,,34.0,34.0,27.3,,34.0,34.0,33.1,,34.0,34.0,11.1,,34.0,34.0,38.1,,34.0,34.0,65.8,,34.0,34.0,39.4,,34.0,34.0,75.0,,34.0,34.0,42.7,,34.0,34.0,33.6,,34.0,34.0,36.8,,34.0,34.0,22.9,,34.0,34.0,24.3,,34.0,34.0,22.5,,34.0,34.0,24.4,,34.0,0.2,
21/05/2025 5:35:51 PM,60,34.0,33.4,,34.0,3.0,99.2,31.2,34.0,34.0,37.6,,34.0,3.0,99.2,31.2,34.0,34.0,25.1,,34.0,3.0,99.2,31.2,34.0,34.0,31.3,,34.0,34.0,27.7,,34.0,34.0,41.9,,34.0,34.0,39.6,,34.0,34.0,39.4,,34.0,34.0,37.5,,34.0,34.0,41.6,,34.0,34.0,43.8,,34.0,34.0,25.1,,34.0,34.0,33.1,,34.0,34.0,12.3,,34.0,34.0,43.1,,34.0,34.0,46.9,,34.0,34.0,48.9,,34.0,34.0,42.7,,34.0,34.0,44.2,,34.0,34.0,26.9,,34.0,34.0,32.4,,34.0,34.0,20.5,,34.0,34.0,20.3,,34.0,34.0,22.5,,34.0,34.0,23.5,,34.0,2.1,
21/05/2025 5:36:51 PM,120,34.0,32.7,,34.0,3.0,99.2,31.2,34.0,34.0,37.8,,34.0,3.0,99.2,31.2,34.0,34.0,21.0,,34.0,3.0,99.2,31.2,34.0,34.0,30.8,,34.0,34.0,29.6,,34.0,34.0,41.6,,34.0,34.0,42.7,,34.0,34.0,36.5,,34.0,34.0,35.9,,34.0,34.0,41.3,,34.0,34.0,44.2,,34.0,34.0,21.0,,34.0,34.0,33.9,,34.0,34.0,12.9,,34.0,34.0,41.6,,34.0,34.0,46.2,,34.0,34.0,44.1,,34.0,34.0,40.5,,34.0,34.0,42.0,,34.0,34.0,26.8,,34.0,34.0,29.7,,34.0,34.0,17.7,,34.0,34.0,16.8,,34.0,34.0,25.1,,34.0,34.0,23.7,,34.0,0.5,
21/05/2025 5:37:51 PM,180,34.0,31.9,1.904,34.0,3.0,99.2,31.2,34.0,34.0,37.3,1.545,34.0,3.0,99.2,31.2,34.0,34.0,19.9,3.333,34.0,3.0,99.2,31.2,34.0,34.0,30.8,1.992,34.0,34.0,27.4,2.288,34.0,34.0,42.7,1.291,34.0,34.0,41.2,1.310,34.0,34.0,35.7,1.648,34.0,34.0,36.5,1.588,34.0,34.0,42.4,1.283,34.0,34.0,44.5,1.194,34.0,34.0,19.9,3.333,34.0,34.0,31.9,1.845,34.0,34.0,14.1,5.445,34.0,34.0,39.6,1.358,34.0,34.0,43.7,1.215,34.0,34.0,40.0,1.298,34.0,34.0,37.6,1.454,34.0,34.0,38.7,1.406,34.0,34.0,27.6,2.387,34.0,34.0,28.5,2.172,34.0,34.0,14.9,4.844,34.0,34.0,16.8,4.447,34.0,34.0,23.8,2.774,34.0,34.0,22.6,2.845,34.0,0.0,
21/05/2025 5:38:51 PM,240,34.0,31.6,,34.0,3.0,99.2,31.2,34.0,34.0,36.4,,34.0,3.0,99.2,31.2,34.0,34.0,20.6,,34.0,3.0,99.2,31.2,34.0,34.0,30.8,,34.0,34.0,29.0,,34.0,34.0,42.1,,34.0,34.0,38.9,,34.0,34.0,34.6,,34.0,34.0,36.0,,34.0,34.0,40.2,,34.0,34.0,42.9,,34.0,34.0,20.6,,34.0,34.0,34.3,,34.0,34.0,14.6,,34.0,34.0,36.2,,34.0,34.0,41.4,,34.0,34.0,43.7,,34.0,34.0,39.7,,34.0,34.0,37.8,,34.0,34.0,26.2,,34.0,34.0,28.9,,34.0,34.0,15.0,,34.0,34.0,16.2,,34.0,34.0,24.8,,34.0,34.0,23.3,,34.0,0.2,
21/05/2025 5:39:51 PM,300,34.0,31.5,1.975,34.0,3.0,99.2,31.2,34.0,34.0,36.7,1.613,34.0,3.0,99.2,31.2,34.0,34.0,19.2,3.608,34.0,3.0,99.2,31.2,34.0,34.0,30.7,2.043,34.0,34.0,29.5,2.232,34.0,34.0,40.3,1.406,34.0,34.0,41.3,1.376,34.0,34.0,34.9,1.695,34.0,34.0,35.9,1.626,34.0,34.0,41.6,1.297,34.0,34.0,43.3,1.260,34.0,34.0,19.2,3.608,34.0,34.0,31.1,1.915,34.0,34.0,14.2,5.294,34.0,34.0,40.7,1.398,34.0,34.0,40.3,1.307,34.0,34.0,39.4,1.430,34.0,34.0,38.9,1.441,34.0,34.0,38.5,1.514,34.0,34.0,27.4,2.429,34.0,34.0,27.8,2.253,34.0,34.0,15.4,4.847,34.0,34.0,15.4,4.767,34.0,34.0,23.9,3.044,34.0,34.0,24.3,2.808,34.0,0.1,
21/05/2025 5:40:51 PM,360,34.0,31.2,,34.0,3.0,99.2,31.2,34.0,34.0,36.2,,34.0,3.0,99.2,31.2,34.0,34.0,19.1,,34.0,3.0,99.2,31.2,34.0,34.0,32.4,,34.0,34.0,28.1,,34.0,34.0,40.6,,34.0,34.0,39.5,,34.0,34.0,34.2,,34.0,34.0,36.0,,34.0,34.0,42.4,,34.0,34.0,43.8,,34.0,34.0,19.1,,34.0,34.0,31.8,,34.0,34.0,12.8,,34.0,34.0,35.3,,34.0,34.0,44.7,,34.0,34.0,41.2,,34.0,34.0,37.8,,34.0,34.0,38.0,,34.0,34.0,26.9,,34.0,34.0,27.5,,34.0,34.0,14.9,,34.0,34.0,16.8,,34.0,34.0,21.6,,34.0,34.0,22.9,,34.0,0.2,
21/05/2025 5:41:51 PM,420,34.0,31.4,,34.0,3.0,99.2,31.2,34.0,34.0,36.0,,34.0,3.0,99.2,31.2,34.0,34.0,19.4,,34.0,3.0,99.2,31.2,34.0,34.0,31.3,,34.0,34.0,28.8,,34.0,34.0,40.0,,34.0,34.0,39.2,,34.0,34.0,34.7,,34.0,34.0,34.7,,34.0,34.0,41.5,,34.0,34.0,41.9,,34.0,34.0,19.4,,34.0,34.0,32.5,,34.0,34.0,13.9,,34.0,34.0,42.2,,34.0,34.0,43.0,,34.0,34.0,40.9,,34.0,34.0,39.3,,34.0,34.0,37.4,,34.0,34.0,27.0,,34.0,34.0,29.5,,34.0,34.0,15.5,,34.0,34.0,15.4,,34.0,34.0,24.0,,34.0,34.0,23.9,,34.0,0.3,
21/05/2025 5:42:51 PM,480,34.0,31.9,,34.0,3.0,99.2,31.2,34.0,34.0,37.2,,34.0,3.0,99.2,31.2,34.0,34.0,20.1,,34.0,3.0,99.2,31.2,34.0,34.0,30.6,,34.0,34.0,27.6,,34.0,34.0,42.9,,34.0,34.0,42.0,,34.0,34.0,34.5,,34.0,34.0,34.9,,34.0,34.0,42.1,,34.0,34.0,43.7,,34.0,34.0,20.1,,34.0,34.0,33.0,,34.0,34.0,13.2,,34.0,34.0,36.7,,34.0,34.0,48.4,,34.0,34.0,43.7,,34.0,34.0,37.8,,34.0,34.0,38.3,,34.0,34.0,25.4,,34.0,34.0,29.9,,34.0,34.0,15.1,,34.0,34.0,16.1,,34.0,34.0,25.7,,34.0,34.0,22.6,,34.0,0.6,
21/05/2025 5:43:51 PM,540,34.0,32.2,,34.0,3.0,99.2,31.2,34.0,34.0,37.8,,34.0,3.0,99.2,31.2,34.0,34.0,19.1,,34.0,3.0,99.2,31.2,34.0,34.0,31.2,,34.0,34.0,28.1,,34.0,34.0,45.4,,34.0,34.0,41.2,,34.0,34.0,34.5,,34.0,34.0,37.7,,34.0,34.0,41.0,,34.0,34.0,43.7,,34.0,34.0,19.1,,34.0,34.0,35.1,,34.0,34.0,13.7,,34.0,34.0,38.9,,34.0,34.0,45.5,,34.0,34.0,41.0,,34.0,34.0,38.1,,34.0,34.0,37.4,,34.0,34.0,27.9,,34.0,34.0,28.2,,34.0,34.0,15.8,,34.0,34.0,16.0,,34.0,34.0,23.3,,34.0,34.0,23.4,,34.0,0.3,
21/05/2025 5:44:51 PM,600,34.0,32.4,1.879,34.0,3.0,99.2,31.2,34.0,34.0,38.5,1.475,34.0,3.0,99.2,31.2,34.0,34.0,18.8,3.845,34.0,3.0,99.2,31.2,34.0,34.0,31.3,1.970,34.0,34.0,29.4,2.204,34.0,34.0,44.2,1.160,34.0,34.0,44.4,1.210,34.0,34.0,34.5,1.719,34.0,34.0,36.0,1.609,34.0,34.0,41.2,1.294,34.0,34.0,44.2,1.189,34.0,34.0,18.8,3.845,34.0,34.0,34.0,1.749,34.0,34.0,13.4,5.447,34.0,34.0,35.9,1.610,34.0,34.0,48.5,1.023,34.0,34.0,43.0,1.229,34.0,34.0,40.5,1.416,34.0,34.0,39.4,1.423,34.0,34.0,28.7,2.298,34.0,34.0,28.7,2.202,34.0,34.0,15.3,4.679,34.0,34.0,16.1,4.474,34.0,34.0,24.5,2.941,34.0,34.0,23.5,2.763,34.0,0.1,
21/05/2025 5:45:51 PM,660,34.0,32.4,1.873,34.0,3.0,99.2,31.2,34.0,34.0,38.1,1.490,34.0,3.0,99.2,31.2,34.0,34.0,18.7,3.548,34.0,3.0,99.2,31.2,34.0,34.0,32.0,1.927,34.0,34.0,29.0,2.161,34.0,34.0,43.9,1.200,34.0,34.0,43.0,1.233,34.0,34.0,34.5,1.719,34.0,34.0,36.2,1.590,34.0,34.0,43.2,1.265,34.0,34.0,44.4,1.164,34.0,34.0,18.7,3.548,34.0,34.0,34.7,1.743,34.0,34.0,14.3,5.245,34.0,34.0,35.7,1.618,34.0,34.0,48.0,1.055,34.0,34.0,41.8,1.298,34.0,34.0,37.5,1.480,34.0,34.0,40.4,1.412,34.0,34.0,27.5,2.270,34.0,34.0,29.4,2.126,34.0,34.0,15.4,4.845,34.0,34.0,15.7,4.522,34.0,34.0,23.2,2.850,34.0,34.0,24.6,2.736,34.0,0.1,
21/05/2025 5:46:51 PM,720,34.0,32.9,1.869,34.0,3.0,99.2,31.2,34.0,34.0,37.7,1.521,34.0,3.0,99.2,31.2,34.0,34.0,20.7,3.370,34.0,3.0,99.2,31.2,34.0,34.0,32.7,1.921,34.0,34.0,29.0,2.151,34.0,34.0,42.4,1.255,34.0,34.0,42.7,1.277,34.0,34.0,34.5,1.719,34.0,34.0,36.4,1.609,34.0,34.0,42.8,1.266,34.0,34.0,44.4,1.163,34.0,34.0,20.7,3.370,34.0,34.0,36.0,1.736,34.0,34.0,14.1,5.283,34.0,34.0,33.7,1.728,34.0,34.0,49.3,1.015,34.0,34.0,48.0,1.148,34.0,34.0,39.7,1.399,34.0,34.0,41.7,1.364,34.0,34.0,28.2,2.319,34.0,34.0,30.4,2.099,34.0,34.0,15.3,4.680,34.0,34.0,17.1,4.248,34.0,34.0,23.5,2.874,34.0,34.0,24.9,2.779,34.0,0.1,
21/05/2025 5:47:51 PM,780,34.0,32.1,1.888,34.0,3.0,99.2,31.2,34.0,34.0,38.2,1.498,34.0,3.0,99.2,31.2,34.0,34.0,19.1,3.622,34.0,3.0,99.2,31.2,34.0,34.0,30.9,1.938,34.0,34.0,28.5,2.154,34.0,34.0,44.3,1.222,34.0,34.0,43.8,1.234,34.0,34.0,34.5,1.719,34.0,34.0,37.7,1.600,34.0,34.0,41.6,1.270,34.0,34.0,44.0,1.184,34.0,34.0,19.1,3.622,34.0,34.0,32.6,1.754,34.0,34.0,14.0,5.261,34.0,34.0,35.1,1.543,34.0,34.0,49.4,1.050,34.0,34.0,42.6,1.226,34.0,34.0,39.0,1.499,34.0,34.0,38.6,1.427,34.0,34.0,27.5,2.341,34.0,34.0,28.0,2.214,34.0,34.0,14.9,4.878,34.0,34.0,16.1,4.583,34.0,34.0,21.2,2.989,34.0,34.0,23.2,2.788,34.0,0.0,
21/05/2025 5:48:51 PM,840,34.0,32.2,,34.0,3.0,99.2,31.2,34.0,34.0,37.1,,34.0,3.0,99.2,31.2,34.0,34.0,18.6,,34.0,3.0,99.2,31.2,34.0,34.0,30.7,,34.0,34.0,27.0,,34.0,34.0,41.2,,34.0,34.0,43.5,,34.0,34.0,34.5,,34.0,34.0,35.6,,34.0,34.0,42.1,,34.0,34.0,44.6,,34.0,34.0,18.6,,34.0,34.0,33.0,,34.0,34.0,13.4,,34.0,34.0,33.8,,34.0,34.0,48.2,,34.0,34.0,49.1,,34.0,34.0,38.3,,34.0,34.0,39.9,,34.0,34.0,29.7,,34.0,34.0,29.7,,34.0,34.0,15.8,,34.0,34.0,16.0,,34.0,34.0,24.5,,34.0,34.0,22.8,,34.0,0.1,
21/05/2025 5:49:51 PM,900,34.0,32.6,,34.0,3.0,99.2,31.2,34.0,34.0,37.2,,34.0,3.0,99.2,31.2,34.0,34.0,19.9,,34.0,3.0,99.2,31.2,34.0,34.0,30.7,,34.0,34.0,28.2,,34.0,34.0,41.8,,34.0,34.0,42.6,,34.0,34.0,34.5,,34.0,34.0,35.6,,34.0,34.0,43.5,,34.0,34.0,46.1,,34.0,34.0,19.9,,34.0,34.0,34.4,,34.0,34.0,14.5,,34.0,34.0,37.6,,34.0,34.0,47.7,,34.0,34.0,46.3,,34.0,34.0,38.7,,34.0,34.0,40.3,,34.0,34.0,28.4,,34.0,34.0,29.8,,34.0,34.0,16.3,,34.0,34.0,15.3,,34.0,34.0,23.8,,34.0,34.0,24.0,,34.0,0.3,
21/05/2025 5:50:51 PM,960,34.0,32.2,,34.0,3.0,99.2,31.2,34.0,34.0,36.6,,34.0,3.0,99.2,31.2,34.0,34.0,20.0,,34.0,3.0,99.2,31.2,34.0,34.0,32.4,,34.0,34.0,28.1,,34.0,34.0,40.4,,34.0,34.0,40.9,,34.0,34.0,34.5,,34.0,34.0,35.7,,34.0,34.0,42.7,,34.0,34.0,45.0,,34.0,34.0,20.0,,34.0,34.0,33.2,,34.0,34.0,14.1,,34.0,34.0,36.4,,34.0,34.0,49.9,,34.0,34.0,47.5,,34.0,34.0,38.0,,34.0,34.0,39.6,,34.0,34.0,27.8,,34.0,34.0,30.1,,34.0,34.0,14.8,,34.0,34.0,16.8,,34.0,34.0,23.7,,34.0,34.0,23.4,,34.0,0.1,
21/05/2025 5:51:51 PM,1020,34.0,32.3,1.882,34.0,3.0,99.2,31.2,34.0,34.0,36.7,1.572,34.0,3.0,99.2,31.2,34.0,34.0,18.5,3.798,34.0,3.0,99.2,31.2,34.0,34.0,32.5,1.941,34.0,34.0,28.2,2.202,34.0,34.0,42.5,1.304,34.0,34.0,39.1,1.369,34.0,34.0,34.5,1.719,34.0,34.0,35.7,1.643,34.0,34.0,41.6,1.272,34.0,34.0,44.8,1.175,34.0,34.0,18.5,3.798,34.0,34.0,33.0,1.834,34.0,34.0,14.8,5.101,34.0,34.0,39.2,1.337,34.0,34.0,44.2,1.152,34.0,34.0,47.5,1.077,34.0,34.0,39.2,1.405,34.0,34.0,40.8,1.331,34.0,34.0,30.1,2.177,34.0,34.0,31.2,2.090,34.0,34.0,15.9,4.522,34.0,34.0,15.8,4.530,34.0,34.0,22.8,2.853,34.0,34.0,24.7,2.785,34.0,0.1,
21/05/2025 5:52:51 PM,1080,34.0,32.2,1.872,34.0,3.0,99.2,31.2,34.0,34.0,37.1,1.541,34.0,3.0,99.2,31.2,34.0,34.0,19.4,3.681,34.0,3.0,99.2,31.2,34.0,34.0,32.0,1.915,34.0,34.0,27.5,2.260,34.0,34.0,41.5,1.255,34.0,34.0,42.1,1.315,34.0,34.0,34.5,1.719,34.0,34.0,36.0,1.625,34.0,34.0,42.3,1.277,34.0,34.0,43.7,1.209,34.0,34.0,19.4,3.681,34.0,34.0,33.3,1.753,34.0,34.0,14.1,5.241,34.0,34.0,35.7,1.599,34.0,34.0,46.1,1.048,34.0,34.0,45.8,1.099,34.0,34.0,40.3,1.332,34.0,34.0,40.5,1.285,34.0,34.0,28.1,2.208,34.0,34.0,29.8,2.101,34.0,34.0,14.6,4.789,34.0,34.0,16.5,4.459,34.0,34.0,25.0,2.831,34.0,34.0,23.9,2.716,34.0,0.1,
21/05/2025 5:53:51 PM,1140,34.0,32.6,,34.0,3.0,99.2,31.2,34.0,34.0,36.6,,34.0,3.0,99.2,31.2,34.0,34.0,19.1,,34.0,3.0,99.2,31.2,34.0,34.0,30.6,,34.0,34.0,28.8,,34.0,34.0,41.1,,34.0,34.0,40.7,,34.0,34.0,34.8,,34.0,34.0,36.3,,34.0,34.0,43.0,,34.0,34.0,45.0,,34.0,34.0,19.1,,34.0,34.0,33.9,,34.0,34.0,14.8,,34.0,34.0,36.8,,34.0,34.0,47.3,,34.0,34.0,50.4,,34.0,34.0,40.2,,34.0,34.0,41.8,,34.0,34.0,28.7,,34.0,34.0,31.0,,34.0,34.0,15.3,,34.0,34.0,15.7,,34.0,34.0,24.2,,34.0,34.0,24.4,,34.0,0.1,
