Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
22/05/2025 1:41:05 PM,0,34.0,31.2,1.979,34.0,3.0,99.2,31.2,34.0,34.0,36.7,1.604,34.0,3.0,99.2,31.2,34.0,34.0,15.8,4.599,34.0,3.0,99.2,31.2,34.0,34.0,29.5,2.137,34.0,34.0,28.1,2.347,34.0,34.0,42.7,1.290,34.0,34.0,41.6,1.330,34.0,34.0,33.1,1.823,34.0,34.0,34.9,1.692,34.0,34.0,41.3,1.301,34.0,34.0,41.6,1.301,34.0,34.0,15.8,4.599,34.0,34.0,31.3,1.907,34.0,34.0,11.1,6.830,34.0,34.0,48.9,0.991,34.0,34.0,40.6,1.372,34.0,34.0,40.8,1.326,34.0,34.0,35.5,1.646,34.0,34.0,37.9,1.498,34.0,34.0,27.3,2.414,34.0,34.0,27.5,2.347,34.0,34.0,16.7,4.216,34.0,34.0,16.2,4.263,34.0,34.0,22.4,3.071,34.0,34.0,23.2,2.863,34.0,0.0,
22/05/2025 1:42:05 PM,60,34.0,31.4,1.962,34.0,3.0,99.2,31.2,34.0,34.0,35.3,1.627,34.0,3.0,99.2,31.2,34.0,34.0,15.8,4.417,34.0,3.0,99.2,31.2,34.0,34.0,29.8,2.077,34.0,34.0,26.2,2.339,34.0,34.0,40.5,1.334,34.0,34.0,39.4,1.371,34.0,34.0,33.1,1.823,34.0,34.0,36.3,1.633,34.0,34.0,41.3,1.321,34.0,34.0,40.9,1.323,34.0,34.0,15.8,4.417,34.0,34.0,31.2,1.902,34.0,34.0,12.4,5.924,34.0,34.0,53.1,0.922,34.0,34.0,43.1,1.266,34.0,34.0,45.8,1.181,34.0,34.0,36.3,1.605,34.0,34.0,39.5,1.503,34.0,34.0,26.3,2.540,34.0,34.0,27.8,2.316,34.0,34.0,16.2,4.389,34.0,34.0,17.2,4.225,34.0,34.0,23.1,3.175,34.0,34.0,24.6,2.742,34.0,0.1,
22/05/2025 1:43:05 PM,120,34.0,31.2,,34.0,3.0,99.2,31.2,34.0,34.0,36.2,,34.0,3.0,99.2,31.2,34.0,34.0,15.8,,34.0,3.0,99.2,31.2,34.0,34.0,30.8,,34.0,34.0,26.7,,34.0,34.0,42.5,,34.0,34.0,40.3,,34.0,34.0,33.1,,34.0,34.0,34.0,,34.0,34.0,42.8,,34.0,34.0,41.7,,34.0,34.0,15.8,,34.0,34.0,33.7,,34.0,34.0,12.7,,34.0,34.0,47.1,,34.0,34.0,44.5,,34.0,34.0,40.0,,34.0,34.0,35.6,,34.0,34.0,37.1,,34.0,34.0,26.9,,34.0,34.0,27.0,,34.0,34.0,15.3,,34.0,34.0,16.1,,34.0,34.0,20.7,,34.0,34.0,24.0,,34.0,0.3,
22/05/2025 1:44:05 PM,180,34.0,30.8,1.982,34.0,3.0,99.2,31.2,34.0,34.0,35.3,1.626,34.0,3.0,99.2,31.2,34.0,34.0,15.5,4.301,34.0,3.0,99.2,31.2,34.0,34.0,30.5,2.081,34.0,34.0,26.1,2.441,34.0,34.0,40.1,1.329,34.0,34.0,39.6,1.349,34.0,34.0,33.1,1.823,34.0,34.0,33.6,1.744,34.0,34.0,40.3,1.324,34.0,34.0,41.1,1.308,34.0,34.0,15.5,4.301,34.0,34.0,30.7,1.914,34.0,34.0,13.4,6.008,34.0,34.0,52.1,1.004,34.0,34.0,42.5,1.134,34.0,34.0,40.8,1.321,34.0,34.0,37.7,1.509,34.0,34.0,36.7,1.539,34.0,34.0,25.4,2.534,34.0,34.0,27.0,2.419,34.0,34.0,15.7,4.660,34.0,34.0,16.3,4.448,34.0,34.0,22.6,2.934,34.0,34.0,22.5,2.896,34.0,0.0,
22/05/2025 1:45:05 PM,240,34.0,31.3,,34.0,3.0,99.2,31.2,34.0,34.0,35.4,,34.0,3.0,99.2,31.2,34.0,34.0,16.0,,34.0,3.0,99.2,31.2,34.0,34.0,30.1,,34.0,34.0,25.8,,34.0,34.0,41.0,,34.0,34.0,39.3,,34.0,34.0,33.1,,34.0,34.0,34.1,,34.0,34.0,41.5,,34.0,34.0,43.9,,34.0,34.0,16.0,,34.0,34.0,31.8,,34.0,34.0,13.1,,34.0,34.0,56.9,,34.0,34.0,42.5,,34.0,34.0,42.1,,34.0,34.0,34.4,,34.0,34.0,37.7,,34.0,34.0,27.8,,34.0,34.0,27.5,,34.0,34.0,15.7,,34.0,34.0,16.4,,34.0,34.0,22.1,,34.0,34.0,22.0,,34.0,0.7,
22/05/2025 1:46:05 PM,300,34.0,30.5,,34.0,3.0,99.2,31.2,34.0,34.0,35.2,,34.0,3.0,99.2,31.2,34.0,34.0,14.8,,34.0,3.0,99.2,31.2,34.0,34.0,28.8,,34.0,34.0,27.0,,34.0,34.0,40.2,,34.0,34.0,39.4,,34.0,34.0,33.0,,34.0,34.0,33.7,,34.0,34.0,40.1,,34.0,34.0,41.9,,34.0,34.0,14.8,,34.0,34.0,34.6,,34.0,34.0,13.3,,34.0,34.0,46.4,,34.0,34.0,39.9,,34.0,34.0,38.8,,34.0,34.0,35.2,,34.0,34.0,35.7,,34.0,34.0,26.7,,34.0,34.0,27.3,,34.0,34.0,14.4,,34.0,34.0,15.6,,34.0,34.0,21.5,,34.0,34.0,22.5,,34.0,0.2,
22/05/2025 1:47:05 PM,360,34.0,30.5,2.027,34.0,3.0,99.2,31.2,34.0,34.0,35.1,1.679,34.0,3.0,99.2,31.2,34.0,34.0,16.8,4.615,34.0,3.0,99.2,31.2,34.0,34.0,30.0,2.107,34.0,34.0,26.5,2.419,34.0,34.0,39.9,1.397,34.0,34.0,39.2,1.418,34.0,34.0,32.6,1.860,34.0,34.0,34.1,1.749,34.0,34.0,39.2,1.375,34.0,34.0,40.7,1.340,34.0,34.0,16.8,4.615,34.0,34.0,33.0,1.904,34.0,34.0,13.8,5.351,34.0,34.0,52.4,0.910,34.0,34.0,39.3,1.457,34.0,34.0,38.8,1.390,34.0,34.0,33.3,1.715,34.0,34.0,37.3,1.517,34.0,34.0,25.9,2.496,34.0,34.0,25.9,2.414,34.0,34.0,15.0,4.831,34.0,34.0,15.8,4.440,34.0,34.0,21.3,3.001,34.0,34.0,21.9,3.100,34.0,0.1,
22/05/2025 1:48:05 PM,420,34.0,30.6,,34.0,3.0,99.2,31.2,34.0,34.0,35.3,,34.0,3.0,99.2,31.2,34.0,34.0,17.6,,34.0,3.0,99.2,31.2,34.0,34.0,30.6,,34.0,34.0,26.4,,34.0,34.0,41.8,,34.0,34.0,38.4,,34.0,34.0,32.3,,34.0,34.0,33.1,,34.0,34.0,40.0,,34.0,34.0,41.3,,34.0,34.0,17.6,,34.0,34.0,32.0,,34.0,34.0,14.6,,34.0,34.0,51.3,,34.0,34.0,40.2,,34.0,34.0,40.7,,34.0,34.0,35.4,,34.0,34.0,35.4,,34.0,34.0,26.0,,34.0,34.0,26.9,,34.0,34.0,14.8,,34.0,34.0,14.4,,34.0,34.0,20.1,,34.0,34.0,23.0,,34.0,0.3,
22/05/2025 1:49:05 PM,480,34.0,30.4,2.046,34.0,3.0,99.2,31.2,34.0,34.0,34.5,1.731,34.0,3.0,99.2,31.2,34.0,34.0,16.5,4.649,34.0,3.0,99.2,31.2,34.0,34.0,29.1,2.140,34.0,34.0,27.1,2.458,34.0,34.0,38.7,1.454,34.0,34.0,38.6,1.484,34.0,34.0,32.3,1.890,34.0,34.0,34.3,1.732,34.0,34.0,39.9,1.415,34.0,34.0,39.5,1.364,34.0,34.0,16.5,4.649,34.0,34.0,30.1,2.029,34.0,34.0,13.9,5.350,34.0,34.0,55.1,0.796,34.0,34.0,38.1,1.496,34.0,34.0,41.4,1.355,34.0,34.0,34.9,1.704,34.0,34.0,37.6,1.545,34.0,34.0,26.1,2.498,34.0,34.0,26.9,2.315,34.0,34.0,14.7,4.748,34.0,34.0,16.5,4.442,34.0,34.0,21.3,3.212,34.0,34.0,22.7,3.003,34.0,0.1,
